date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2017-11-09,0.0321,,,,,,,100.0,-91.0017
2017-11-10,0.0271,-15.3933,,,,,,84.6067,-92.3868
2017-11-11,0.0274,1.1726,,,,,,85.5988,-92.2976
2017-11-12,0.024,-12.6107,,,,,,74.8042,-93.2689
2017-11-13,0.0258,7.6365,,,,,,80.5166,-92.7549
2017-11-14,0.0262,1.6352,-18.1668,,,,,81.8332,-92.6364
2017-11-15,0.0264,0.8197,-2.4853,,,,,82.504,-92.5761
2017-11-16,0.0276,4.2919,0.5212,,,,,86.045,-92.2574
2017-11-17,0.0258,-6.5519,7.4905,,,,,80.4074,-92.7647
2017-11-18,0.0264,2.3125,2.1737,,,,,82.2669,-92.5974
2017-11-19,0.0281,6.5039,7.0682,,,,,87.6174,-92.1159
2017-11-20,0.0296,5.3304,11.8586,,,,,92.2878,-91.6957
2017-11-21,0.0283,-4.2291,2.7194,,,,,88.3849,-92.0469
2017-11-22,0.0285,0.773,10.771,,,,,89.0681,-91.9854
2017-11-23,0.0274,-3.8705,4.0768,,,,,85.6207,-92.2956
2017-11-24,0.0284,3.4179,1.0611,,,,,88.5471,-92.0323
2017-11-25,0.0304,7.2757,2.9276,,,,,94.9895,-91.4526
2017-11-26,0.0363,19.3287,28.2457,,,,,113.3498,-89.8005
2017-11-27,0.0506,39.2519,77.2146,,,,,157.8417,-85.7969
2017-11-28,0.1197,136.681,336.3213,,,,,373.5813,-66.3841
2017-11-29,0.0897,-25.0752,216.1088,,,,,279.9051,-74.8133
2017-11-30,0.1199,33.622,293.7432,274.0149,,,,374.0149,-66.345
2017-12-01,0.1314,9.5668,261.5326,384.3542,,,,409.7963,-63.1253
2017-12-02,0.1324,0.7605,161.5994,382.3814,,,,412.913,-62.8449
2017-12-03,0.1318,-0.411,10.074,449.7226,,,,411.2158,-62.9976
2017-12-04,0.1359,3.0825,51.4412,426.4647,,,,423.8916,-61.857
2017-12-05,0.1275,-6.1691,6.3437,386.0389,,,,397.7412,-64.2101
2017-12-06,0.1178,-7.5686,-10.2876,345.6003,,,,367.638,-66.9189
2017-12-07,0.1055,-10.4702,-20.287,282.5272,,,,329.1455,-70.3825
2017-12-08,0.1155,9.4445,-12.3984,348.0076,,,,360.2315,-67.5853
2017-12-09,0.1196,3.589,-11.9681,353.597,,,,373.1601,-66.422
2017-12-10,0.1103,-7.7987,-13.497,292.6827,,,,344.0583,-69.0406
2017-12-11,0.1214,10.067,3.0075,310.3411,,,,378.6946,-65.9239
2017-12-12,0.1339,10.3046,26.9097,372.6121,,,,417.7175,-62.4126
2017-12-13,0.1343,0.2913,16.2958,370.3527,,,,418.9342,-62.3031
2017-12-14,0.2408,79.2904,101.2833,777.2519,,,,751.1091,-32.413
2017-12-15,0.2135,-11.3336,93.5664,652.1211,,,,665.9813,-40.073
2017-12-16,0.4047,89.5679,233.3786,1229.08,,,,1262.4871,13.6023
2017-12-17,0.513,26.7742,283.1557,1312.0086,,,,1600.5084,44.0184
2017-12-18,0.5182,1.0111,285.9057,924.2484,,,,1616.6911,45.4746
2017-12-19,0.5313,2.5232,120.6714,343.674,,,,1657.4829,49.1452
2017-12-20,0.4862,-8.4932,127.7406,441.8656,,,,1516.7098,36.478
2017-12-21,0.4779,-1.7073,18.0856,298.5978,,,,1490.8152,34.1479
2017-12-22,0.4072,-14.7956,-20.6352,209.9686,,,,1270.2399,14.2999
2017-12-23,0.414,1.6891,-20.1025,212.825,,,,1291.695,16.2305
2017-12-24,0.39,-5.7962,-26.586,195.9092,,,,1216.8253,9.4935
2017-12-25,0.4164,6.7518,-14.3552,206.4422,,,,1298.9829,16.8863
2017-12-26,0.4285,2.9066,-10.335,236.0826,,,,1336.7391,20.2837
2017-12-27,0.4142,-3.3349,1.7257,251.4762,,,,1292.1598,16.2723
2017-12-28,0.4077,-1.5633,-1.5279,286.4428,,,,1271.9588,14.4546
2017-12-29,0.5293,29.8253,35.7076,358.4065,,,,1651.3244,48.591
2017-12-30,0.6392,20.7716,53.5302,434.4439,,,,1994.3312,79.4558
2017-12-31,0.7197,12.5855,67.9705,552.6011,,,,2245.3279,102.0412
2018-01-01,0.7287,1.2453,75.9293,500.2958,,,,2273.2879,104.5571
2018-01-02,0.7826,7.4013,91.9512,484.4956,,,,2441.5405,119.697
2018-01-03,1.0797,37.9604,103.9792,704.0304,,,,3368.3587,203.0948
2018-01-04,1.1141,3.1917,74.2874,362.7648,,,,3475.868,212.7688
2018-01-05,0.9996,-10.2826,38.8865,368.2499,,,,3118.4568,180.6079
2018-01-06,1.0272,2.7603,40.9648,153.8273,,,,3204.5362,188.3536
2018-01-07,1.0085,-1.8138,28.87,96.5884,,,,3146.4137,183.1235
2018-01-08,0.899,-10.8593,-16.7329,73.4862,,,,2804.7358,152.3784
2018-01-09,0.8147,-9.3725,-26.8712,53.3567,,,,2541.8618,128.7242
2018-01-10,0.7931,-2.6538,-20.6529,63.1429,,,,2474.4047,122.6542
2018-01-11,0.6884,-13.2021,-32.9784,44.0642,2047.7303,,,2147.7303,93.2591
2018-01-12,0.8975,30.3737,-11.0074,120.4367,3209.5175,,,2800.0748,151.959
2018-01-13,0.8841,-1.4912,-1.655,113.5426,3122.3785,,,2758.3189,148.2016
2018-01-14,0.8023,-9.2591,-1.5319,105.6929,3245.9649,,,2502.9232,125.2204
2018-01-15,0.7786,-2.951,-1.8325,86.9972,2916.8437,,,2429.0611,118.5741
2018-01-16,0.6265,-19.5346,-8.9945,46.218,2288.4597,,,1954.5532,75.8764
2018-01-17,0.6291,0.4164,-29.9057,51.8924,2278.9072,,,1962.6929,76.6089
2018-01-18,0.6598,4.8865,-25.3676,61.8448,2292.4692,,,2058.5998,85.2389
2018-01-19,0.6505,-1.4163,-18.917,22.898,2423.9513,,,2029.4448,82.6154
2018-01-20,0.7075,8.7644,-9.129,10.6793,2583.1127,,,2207.3128,98.6205
2018-01-21,0.6132,-13.3351,-2.1277,-14.8024,2083.3178,,,1912.9659,72.1343
2018-01-22,0.5705,-6.9647,-9.3219,-21.711,1828.4609,,,1779.7335,60.1456
2018-01-23,0.5631,-1.2951,-14.6661,-28.0502,1887.5397,,,1756.6842,58.0716
2018-01-24,0.6222,10.5028,-4.349,-42.37,2079.4388,,,1941.1848,74.6735
2018-01-25,0.6375,2.4569,-9.896,-42.7804,2222.8939,,,1988.8777,78.9651
2018-01-26,0.6234,-2.2138,1.6666,-37.6343,2096.3991,,,1944.8474,75.0031
2018-01-27,0.6168,-1.0506,8.1294,-39.9471,1925.9236,,,1924.4156,73.1646
2018-01-28,0.6703,8.6657,19.0413,-33.5377,1744.8916,,,2091.1802,88.1705
2018-01-29,0.6232,-7.0242,0.1601,-30.6782,1131.7989,,,1944.2922,74.9531
2018-01-30,0.5319,-14.6487,-16.562,-34.714,344.2085,,,1659.4795,49.3248
2018-01-31,0.5193,-2.3684,-16.6939,-34.5226,478.8303,,,1620.1759,45.7882
2018-02-01,0.4217,-18.8023,-31.6392,-38.7471,251.7363,,,1315.546,18.3767
2018-02-02,0.3905,-7.3844,-41.7362,-56.4868,197.3186,,,1218.4008,9.6353
2018-02-03,0.4388,12.3682,-29.5839,-50.3649,231.5699,,,1369.0949,23.1952
2018-02-04,0.3793,-13.5661,-28.6908,-52.7208,187.7715,,,1183.3619,6.4824
2018-02-05,0.3274,-13.6914,-36.961,-57.9532,140.9443,,,1021.3427,-8.0966
2018-02-06,0.3698,12.9462,-12.3126,-40.9805,190.0296,,,1153.5675,3.8014
2018-02-07,0.3404,-7.9258,-12.8253,-45.8837,188.9086,,,1062.1377,-4.4257
2018-02-08,0.3566,4.7399,-18.7432,-45.9593,237.9911,,,1112.4824,0.1044
2018-02-09,0.3916,9.8204,3.2425,-39.7997,239.1521,,,1221.7327,9.9351
2018-02-10,0.4059,3.644,23.9792,-42.6337,239.3323,,,1266.2527,13.9411
