date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2019-03-14,6.5266,,,,,,,100.0,215.9397
2019-03-15,7.5044,14.9803,,,,,,114.9803,263.2684
2019-03-16,7.3839,-1.6053,,,,,,113.1345,257.4367
2019-03-17,4.7762,-35.3164,,,,,,73.1795,131.2031
2019-03-18,5.1103,6.9968,,,,,,78.2997,147.3799
2019-03-19,4.8219,-5.6446,-26.12,,,,,73.88,133.4163
2019-03-20,4.3814,-9.1352,-41.6153,,,,,67.1309,112.0932
2019-03-21,3.6329,-17.0824,-50.7989,,,,,55.6634,75.8627
2019-03-22,3.4985,-3.6995,-26.7499,,,,,53.6041,69.3566
2019-03-23,3.4455,-1.5158,-32.5776,,,,,52.7916,66.7895
2019-03-24,3.7652,9.2795,-21.9134,,,,,57.6904,82.2668
2019-03-25,3.7783,0.3479,-13.764,,,,,57.891,82.9008
2019-03-26,3.7439,-0.9115,3.0541,,,,,57.3634,81.2337
2019-03-27,3.7769,0.8819,7.9569,,,,,57.8693,82.8321
2019-03-28,3.4924,-7.5335,1.3603,,,,,53.5097,69.0584
2019-03-29,3.5398,1.3587,-5.9865,,,,,54.2367,71.3554
2019-03-30,3.4666,-2.0694,-8.2511,,,,,53.1144,67.8094
2019-03-31,3.6243,4.5503,-3.1939,,,,,55.5313,75.4453
2019-04-01,3.7252,2.7828,-1.3698,,,,,57.0766,80.3275
2019-04-02,3.7872,1.6647,8.4415,,,,,58.0267,83.3295
2019-04-03,3.767,-0.5346,6.416,,,,,57.7165,82.3495
2019-04-04,3.7473,-0.5218,8.0976,-42.5846,,,,57.4154,81.3979
2019-04-05,3.8084,1.6318,5.08,-49.2502,,,,58.3523,84.358
2019-04-06,4.4474,16.7762,19.3862,-39.7694,,,,68.1415,115.2862
2019-04-07,4.6164,3.8002,21.8939,-3.3458,,,,70.731,123.4674
2019-04-08,5.4501,18.0595,44.6807,6.6475,,,,83.5047,163.8245
2019-04-09,3.8441,-29.4668,2.5833,-20.2781,,,,58.8986,86.0839
2019-04-10,3.7498,-2.4535,-1.5403,-14.4158,,,,57.4535,81.5184
2019-04-11,3.5098,-6.3996,-21.0809,-3.3894,,,,53.7767,69.902
2019-04-12,4.3065,22.6999,-6.7115,23.095,,,,65.984,108.4695
2019-04-13,4.303,-0.0812,-21.0459,24.888,,,,65.9303,108.3001
2019-04-14,4.4627,3.7102,16.0919,18.5232,,,,68.3765,116.0284
2019-04-15,4.3496,-2.5337,15.9964,15.1197,,,,66.644,110.5549
2019-04-16,4.4186,1.5867,25.8936,18.0221,,,,67.7014,113.8958
2019-04-17,4.3458,-1.6485,0.9114,15.0617,,,,66.5854,110.3696
2019-04-18,4.3625,0.384,1.3814,24.914,,,,66.8411,111.1775
2019-04-19,4.8761,11.774,9.2642,37.7498,,,,74.711,136.0416
2019-04-20,5.4356,11.4736,24.967,56.7994,,,,83.283,163.1241
2019-04-21,5.2158,-4.0431,18.0415,43.9114,,,,79.9158,152.4858
2019-04-22,4.3835,-15.9582,0.8671,17.6712,,,,67.1627,112.1937
2019-04-23,4.1221,-5.9619,-5.5094,8.8438,,,,63.1585,99.5429
2019-04-24,3.6367,-11.7764,-25.4183,-3.4579,,,,55.7207,76.0439
2019-04-25,3.3045,-9.1345,-39.2062,-11.8164,,,,50.6309,59.9631
2019-04-26,3.6334,9.9542,-30.3382,-4.5953,,,,55.6708,75.8862
2019-04-27,3.4341,-5.4861,-21.6579,-22.7833,,,,52.6167,66.237
2019-04-28,4.4304,29.0132,7.4795,-4.0273,,,,67.8825,114.4677
2019-04-29,3.7478,-15.4072,3.0562,-31.233,,,,57.4237,81.4242
2019-04-30,3.9371,5.0491,19.1428,2.4186,,,,60.3231,90.5845
