date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2020-07-13,4.8963,,,,,,,100.0,-63.864
2020-07-14,4.9868,1.8475,,,,,,101.8475,-63.1964
2020-09-22,5.2346,4.9707,,,,,,106.9101,-61.367
2020-09-23,4.1185,-21.3227,,,,,,84.114,-69.6046
2020-09-24,4.5666,10.8801,,,,,,93.2657,-66.2975
2020-09-25,4.7123,3.191,-3.7583,,,,,96.2417,-65.2221
2020-09-26,4.5392,-3.6719,-8.9739,,,,,92.7078,-66.4991
2020-09-27,4.6255,1.9009,-11.6359,,,,,94.4701,-65.8623
2020-09-28,4.2048,-9.0959,2.0963,,,,,85.8773,-68.9674
2020-09-29,4.143,-1.471,-9.2764,,,,,84.614,-69.4239
2020-09-30,4.3225,4.335,-8.2706,,,,,88.282,-68.0984
2020-10-01,4.1511,-3.9665,-8.5512,,,,,84.7802,-69.3638
2020-10-02,3.9272,-5.3946,-15.0984,,,,,80.2067,-71.0165
2020-10-03,4.0217,2.4064,-4.3556,,,,,82.1368,-70.319
2020-10-04,3.9611,-1.5056,-4.3892,,,,,80.9002,-70.7659
2020-10-05,3.978,0.4269,-7.9704,,,,,81.2455,-70.6411
2020-10-06,3.5377,-11.0699,-14.7776,,,,,72.2517,-73.8911
2020-10-07,3.4468,-2.5678,-12.2312,,,,,70.3965,-74.5615
2020-10-08,3.9043,13.272,-2.9187,,,,,79.7395,-71.1854
2020-10-09,4.2353,8.4785,6.9222,,,,,86.5002,-68.7423
2020-10-10,4.0267,-4.9253,1.2238,,,,,82.2398,-70.2818
2020-10-11,4.0959,1.7179,15.7794,-16.3474,,,,83.6526,-69.7713
2020-10-12,4.4157,7.8093,28.1106,-11.4506,,,,90.1854,-67.4106
2020-10-13,4.4881,1.6376,14.9522,-14.2623,,,,91.6623,-66.8769
2020-10-14,4.1501,-7.5311,-2.0128,0.767,,,,84.7591,-69.3715
2020-10-15,4.1274,-0.547,2.4995,-9.6179,,,,84.2955,-69.539
2020-10-16,4.0405,-2.1048,-1.3526,-14.2563,,,,82.5212,-70.1802
2020-10-17,4.196,3.8493,-4.9761,-7.5616,,,,85.6977,-69.0323
2020-10-18,4.1161,-1.9053,-8.2885,-11.0144,,,,84.0648,-69.6223
2020-10-19,4.0503,-1.5974,-2.4035,-3.6742,,,,82.722,-70.1076
2020-10-20,3.8022,-6.1257,-7.878,-8.2248,,,,77.6547,-71.9387
2020-10-21,3.966,4.3069,-1.8444,-8.2495,,,,80.9992,-70.7301
2020-10-22,4.3144,8.7863,2.822,3.9347,,,,88.1161,-68.1584
2020-10-23,4.2621,-1.2126,3.5481,8.5291,,,,87.0476,-68.5445
2020-10-24,4.1897,-1.6988,3.4414,4.1784,,,,85.5688,-69.0789
2020-10-25,4.1532,-0.8709,9.2317,4.8497,,,,84.8235,-69.3482
2020-10-26,4.161,0.1869,4.9172,4.5991,,,,84.9821,-69.2909
2020-10-27,4.1222,-0.9308,-4.4543,16.5246,,,,84.1911,-69.5767
2020-10-28,4.0666,-1.3497,-4.5869,17.9815,,,,83.0548,-69.9873
