date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2017-11-09,1.9908,,,,,,,100.0,-99.7693
2017-11-10,1.7968,-9.7415,,,,,,90.2585,-99.7918
2017-11-11,1.6705,-7.0329,,,,,,83.9107,-99.8064
2017-11-12,1.5197,-9.0262,,,,,,76.3368,-99.8239
2017-11-13,1.6866,10.9845,,,,,,84.722,-99.8046
2017-11-14,1.5926,-5.5757,-20.0018,,,,,79.9982,-99.8155
2017-11-15,1.5304,-3.9012,-14.8255,,,,,76.8773,-99.8227
2017-11-16,1.5779,3.1017,-5.5404,,,,,79.2618,-99.8172
2017-11-17,1.5104,-4.2816,-0.6139,,,,,75.8681,-99.825
2017-11-18,1.6743,10.8564,-0.7287,,,,,84.1046,-99.806
2017-11-19,1.6138,-3.617,1.3305,,,,,81.0626,-99.813
2017-11-20,1.6244,0.6618,6.142,,,,,81.5991,-99.8118
2017-11-21,1.5741,-3.102,-0.2446,,,,,79.0679,-99.8176
2017-11-22,1.6118,2.3944,6.713,,,,,80.9611,-99.8133
2017-11-23,1.5487,-3.9119,-7.5033,,,,,77.794,-99.8206
2017-11-24,1.7177,10.913,6.4408,,,,,86.2837,-99.801
2017-11-25,1.8739,9.0912,15.3541,,,,,94.1279,-99.7829
2017-11-26,1.8531,-1.1068,17.7293,,,,,93.0861,-99.7853
2017-11-27,1.943,4.8486,20.551,,,,,97.5994,-99.7749
2017-11-28,1.9171,-1.3315,23.7883,,,,,96.2999,-99.7779
2017-11-29,1.7515,-8.637,1.9689,,,,,87.9825,-99.7971
2017-11-30,1.997,14.0129,6.5693,0.3114,,,,100.3114,-99.7686
2017-12-01,2.0702,3.6686,11.7153,15.215,,,,103.9914,-99.7601
2017-12-02,2.0842,0.6729,7.2662,24.7649,,,,104.6912,-99.7585
2017-12-03,2.2273,6.8656,16.1775,46.5595,,,,111.8788,-99.7419
2017-12-04,2.4917,11.8725,42.2573,47.7321,,,,125.1616,-99.7113
2017-12-05,2.5953,4.1586,29.9619,62.962,,,,130.3666,-99.6993
2017-12-06,2.5877,-0.2932,24.9953,69.0803,,,,129.9844,-99.7002
2017-12-07,2.7799,7.4298,33.3847,76.1781,,,,139.6419,-99.6779
2017-12-08,2.8307,1.8245,27.0926,87.4169,,,,142.1897,-99.672
2017-12-09,2.6104,-7.7805,4.7659,55.9089,,,,131.1267,-99.6975
2017-12-10,2.4834,-4.8674,-4.3128,53.8862,,,,124.7442,-99.7123
2017-12-11,2.7067,8.991,4.5971,66.6195,,,,135.96,-99.6864
2017-12-12,2.6848,-0.8091,-3.4245,70.5621,,,,134.8599,-99.6889
2017-12-13,2.7781,3.477,-1.8572,72.3654,,,,139.549,-99.6781
2017-12-14,3.1587,13.7015,21.0046,103.9607,,,,158.6693,-99.634
2017-12-15,3.9962,26.5109,60.9164,132.644,,,,200.7339,-99.537
2017-12-16,4.6646,16.7286,72.3403,148.9314,,,,234.3139,-99.4595
2017-12-17,5.7567,23.4116,114.4229,210.6485,,,,289.1705,-99.333
2017-12-18,5.6158,-2.4471,102.1471,189.0328,,,,282.0944,-99.3493
2017-12-19,5.7923,3.1425,83.3747,202.1386,,,,290.9593,-99.3289
2017-12-20,5.1762,-10.6368,29.5299,195.525,,,,260.0104,-99.4002
2017-12-21,5.18,0.0734,11.0482,159.3935,,,,260.2013,-99.3998
2017-12-22,4.3362,-16.2907,-24.6767,109.4526,,,,217.8127,-99.4976
2017-12-23,4.8393,11.6027,-13.8285,132.1923,,,,243.0848,-99.4393
2017-12-24,5.2857,9.225,-8.7469,137.3186,,,,265.5093,-99.3876
2017-12-25,6.56,24.1091,26.7338,163.2766,,,,329.5212,-99.2399
2017-12-26,9.0294,37.6434,74.3128,247.9143,,,,453.5642,-98.9538
2017-12-27,10.107,11.9341,133.087,290.58,,,,507.693,-98.8289
2017-12-28,9.3214,-7.7727,92.6206,235.3086,,,,468.2314,-98.92
2017-12-29,8.8076,-5.5122,66.6314,211.1489,,,,442.4218,-98.9795
2017-12-30,7.841,-10.9745,19.5274,200.3724,,,,393.8682,-99.0915
2017-12-31,8.6356,10.1335,-4.3617,247.7363,,,,433.7809,-98.9994
2018-01-01,8.4146,-2.5588,-16.7447,210.8865,,,,422.6812,-99.025
2018-01-02,8.8378,5.0289,-5.1885,229.1841,,,,443.9373,-98.976
2018-01-03,9.5359,7.8992,8.2688,243.2519,,,,479.0046,-98.8951
2018-01-04,9.214,-3.3756,17.5102,191.6983,,,,462.8355,-98.9324
2018-01-05,14.9172,61.8973,72.7411,273.2893,,,,749.3181,-98.2716
2018-01-06,22.7598,52.5742,170.4796,387.9209,,,,1143.2662,-97.3629
2018-01-07,18.6568,-18.0274,111.103,224.0873,,,,937.165,-97.8383
2018-01-08,18.2609,-2.122,91.4968,225.1672,,,,917.2783,-97.8842
2018-01-09,17.4118,-4.6498,88.9713,200.601,,,,874.6264,-97.9825
2018-01-10,17.3908,-0.1206,16.5822,235.9756,,,,873.5716,-97.985
2018-01-11,21.0427,20.999,-7.5444,306.229,957.0131,,,1057.0131,-97.5618
2018-01-12,22.3163,6.0525,19.6148,414.657,1141.9748,,,1120.9883,-97.4143
2018-01-13,22.1744,-0.6359,21.431,358.2188,1227.4348,,,1113.8605,-97.4307
2018-01-14,20.7773,-6.3005,19.3288,293.0866,1267.2064,,,1043.6816,-97.5926
2018-01-15,19.5647,-5.8362,12.5003,198.2419,1059.9945,,,982.7705,-97.7331
2018-01-16,13.8919,-28.9951,-33.9823,53.8515,772.289,,,697.8154,-98.3904
2018-01-17,14.2032,2.2409,-36.355,40.5283,828.0408,,,713.4526,-98.3543
2018-01-18,14.2804,0.5435,-35.5996,53.2,805.0142,,,717.3305,-98.3454
