date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2015-01-01,314.249,,,,,,,100.0,-99.6458
2015-01-02,315.032,0.2492,,,,,,100.2492,-99.645
2015-01-03,281.082,-10.7767,,,,,,89.4456,-99.6832
2015-01-04,264.195,-6.0079,,,,,,84.0719,-99.7023
2015-01-05,274.474,3.8907,,,,,,87.3428,-99.6907
2015-01-06,286.189,4.2682,-8.9292,,,,,91.0708,-99.6775
2015-01-07,294.337,2.8471,-6.5692,,,,,93.6636,-99.6683
2015-01-08,283.349,-3.7331,0.8065,,,,,90.167,-99.6807
2015-01-09,290.408,2.4913,9.9218,,,,,92.4133,-99.6727
2015-01-10,274.796,-5.3759,0.1173,,,,,87.4453,-99.6903
2015-01-11,265.66,-3.3246,-7.1732,,,,,84.5381,-99.7006
2015-01-12,267.796,0.804,-9.0172,,,,,85.2178,-99.6982
2015-01-13,225.861,-15.6593,-20.2888,,,,,71.8733,-99.7455
2015-01-14,178.103,-21.1449,-38.6715,,,,,56.6758,-99.7993
2015-01-15,209.844,17.8217,-23.6364,,,,,66.7763,-99.7635
2015-01-16,208.097,-0.8325,-21.6679,,,,,66.2204,-99.7655
2015-01-17,199.26,-4.2466,-25.5926,,,,,63.4083,-99.7754
2015-01-18,210.339,5.5601,-6.8724,,,,,66.9339,-99.763
2015-01-19,214.861,2.1499,20.6386,,,,,68.3728,-99.7579
2015-01-20,211.315,-1.6504,0.701,,,,,67.2444,-99.7619
2015-01-21,226.897,7.3738,9.0342,,,,,72.2029,-99.7443
2015-01-22,233.406,2.8687,17.1364,-25.7258,,,,74.2742,-99.737
2015-01-23,232.879,-0.2258,10.716,-26.0777,,,,74.1065,-99.7375
2015-01-24,247.847,6.4274,15.3523,-11.824,,,,78.8696,-99.7207
2015-01-25,253.718,2.3688,20.0663,-3.9656,,,,80.7379,-99.7141
2015-01-26,273.473,7.7862,20.5274,-0.3647,,,,87.0243,-99.6918
2015-01-27,263.475,-3.6559,12.8827,-7.9367,,,,83.8428,-99.7031
2015-01-28,233.915,-11.2193,0.4449,-20.5282,,,,74.4362,-99.7364
2015-01-29,233.513,-0.1719,-5.7834,-17.5882,,,,74.3083,-99.7368
2015-01-30,226.425,-3.0354,-10.7572,-22.0321,,,,72.0527,-99.7448
2015-01-31,217.464,-3.9576,-20.4806,-20.8635,,,,69.2012,-99.7549
2015-02-01,226.972,4.3722,-13.8544,-14.563,,,,72.2268,-99.7442
2015-02-02,238.229,4.9596,1.8443,-11.0409,,,,75.809,-99.7315
2015-02-03,227.268,-4.601,-2.6744,0.623,,,,72.321,-99.7439
2015-02-04,226.853,-0.1826,0.189,27.3718,,,,72.1889,-99.7443
2015-02-05,217.111,-4.2944,-0.1623,3.463,,,,69.0888,-99.7553
2015-02-06,222.266,2.3744,-2.0734,6.8088,,,,70.7293,-99.7495
2015-02-07,227.754,2.4691,-4.397,14.2999,,,,72.4756,-99.7433
2015-02-08,223.412,-1.9064,-1.6967,6.2152,,,,71.0939,-99.7482
2015-02-09,220.11,-1.478,-2.9724,2.443,,,,70.0432,-99.7519
2015-02-10,219.839,-0.1231,1.2565,4.0338,,,,69.9569,-99.7522
2015-02-11,219.185,-0.2975,-1.3862,-3.3989,,,,69.7488,-99.753
2015-02-12,221.764,1.1766,-2.63,-4.9879,,,,70.5695,-99.7501
2015-02-13,235.427,6.1611,5.378,1.0941,,,,74.9173,-99.7347
2015-02-14,257.321,9.2997,16.9056,3.8225,,,,81.8844,-99.71
2015-02-15,234.825,-8.7424,6.8168,-7.4465,,,,74.7258,-99.7354
2015-02-16,233.843,-0.4182,6.6875,-14.4914,,,,74.4133,-99.7365
2015-02-17,243.61,4.1767,9.851,-7.5396,,,,77.5213,-99.7255
2015-02-18,236.326,-2.99,0.3819,1.0307,,,,75.2034,-99.7337
