date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2017-11-09,0.0014,,,,,,,100.0,-98.883
2017-11-10,0.0012,-17.8092,,,,,,82.1908,-99.0819
2017-11-11,0.0012,3.2674,,,,,,84.8763,-99.0519
2017-11-12,0.001,-13.572,,,,,,73.3569,-99.1806
2017-11-13,0.0012,16.6667,,,,,,85.583,-99.044
2017-11-14,0.0012,-2.2296,-16.3251,,,,,83.6749,-99.0654
2017-11-15,0.0013,13.0912,15.1333,,,,,94.629,-98.943
2017-11-16,0.0014,3.8088,15.7369,,,,,98.2332,-98.9027
2017-11-17,0.0013,-5.5396,26.4933,,,,,92.7915,-98.9635
2017-11-18,0.0014,4.5697,13.3774,,,,,97.0318,-98.9162
2017-11-19,0.0014,0.2185,16.2162,,,,,97.2438,-98.9138
2017-11-20,0.0014,1.3081,4.1075,,,,,98.5159,-98.8996
2017-11-21,0.0014,-0.3587,-0.0719,,,,,98.1625,-98.9035
2017-11-22,0.0018,31.2455,38.8423,,,,,128.8339,-98.5609
2017-11-23,0.0019,3.7301,37.7276,,,,,133.6396,-98.5073
2017-11-24,0.0019,0.899,38.6628,,,,,134.841,-98.4938
2017-11-25,0.0021,8.5954,48.637,,,,,146.4311,-98.3644
2017-11-26,0.002,-2.2201,45.8603,,,,,143.1802,-98.4007
2017-11-27,0.002,-1.8756,9.051,,,,,140.4947,-98.4307
2017-11-28,0.0024,18.8632,24.9603,,,,,166.9965,-98.1347
2017-11-29,0.0021,-11.9763,9.0147,,,,,146.9965,-98.3581
2017-11-30,0.0021,-0.0481,0.3378,46.9258,,,,146.9258,-98.3589
2017-12-01,0.0021,3.3189,6.0217,84.6948,,,,151.8021,-98.3044
2017-12-02,0.0021,0.0466,8.0986,78.9342,,,,151.8728,-98.3036
2017-12-03,0.0022,3.4435,-5.9247,114.1618,,,,157.1025,-98.2452
2017-12-04,0.0025,10.7962,18.4135,103.3856,,,,174.0636,-98.0557
2017-12-05,0.0025,0.6496,19.24,109.375,,,,175.1944,-98.0431
2017-12-06,0.0027,7.4223,23.9758,98.8798,,,,188.1979,-97.8979
2017-12-07,0.0027,2.1404,26.5705,95.6835,,,,192.2262,-97.8529
2017-12-08,0.0028,2.1691,25.0112,111.6527,,,,196.3958,-97.8063
2017-12-09,0.0026,-5.8294,6.2525,90.6045,,,,184.947,-97.9342
2017-12-10,0.0025,-2.6748,2.743,85.1017,,,,180.0,-97.9894
2017-12-11,0.0028,9.8547,5.0695,100.7173,,,,197.7385,-97.7913
2017-12-12,0.0033,18.0844,21.4706,137.869,,,,233.4982,-97.3919
2017-12-13,0.0035,4.7518,24.5412,89.8519,,,,244.5937,-97.2679
2017-12-14,0.0037,7.1656,41.7272,96.1396,,,,262.1202,-97.0722
2017-12-15,0.0038,1.429,47.7032,97.1698,,,,265.8657,-97.0303
2017-12-16,0.0059,57.7087,112.0443,186.3417,,,,419.2933,-95.3165
2017-12-17,0.006,0.8596,81.1138,195.3603,,,,422.8975,-95.2763
2017-12-18,0.0064,7.5033,85.8711,223.5915,,,,454.629,-94.9219
2017-12-19,0.0057,-11.9229,52.7635,139.7799,,,,400.424,-95.5273
2017-12-20,0.0067,17.5609,77.0601,220.2404,,,,470.7421,-94.7419
2017-12-21,0.0074,11.4697,25.1475,257.1429,,,,524.735,-94.1388
2017-12-22,0.0061,-18.4646,1.1698,181.8436,,,,427.8445,-95.221
2017-12-23,0.0073,19.9042,12.84,237.785,,,,513.0036,-94.2698
2017-12-24,0.0086,18.2256,51.4649,286.0549,,,,606.5018,-93.2255
2017-12-25,0.0089,4.0667,34.079,262.6066,,,,631.1661,-92.95
2017-12-26,0.0094,5.3745,26.7475,279.6289,,,,665.0883,-92.571
2017-12-27,0.0089,-5.7273,46.5477,233.1581,,,,626.9965,-92.9965
2017-12-28,0.0085,-4.3508,16.9032,211.9853,,,,599.7173,-93.3012
2017-12-29,0.0094,10.6646,9.4267,237.9273,,,,663.6749,-92.5868
2017-12-30,0.0079,-16.3028,-11.9919,200.3439,,,,555.4771,-93.7954
2017-12-31,0.009,14.1476,-4.6647,252.2576,,,,634.0637,-92.9176
2018-01-01,0.0089,-0.7022,0.417,218.406,,,,629.6113,-92.9673
2018-01-02,0.0091,2.649,7.7657,176.7857,,,,646.2898,-92.781
2018-01-03,0.0093,1.9136,-0.756,169.2863,,,,658.6573,-92.6429
2018-01-04,0.0096,3.4764,22.6972,160.0162,,,,681.5548,-92.3871
2018-01-05,0.0122,26.1613,35.6108,223.4184,,,,859.8587,-90.3955
2018-01-06,0.0149,22.1583,66.8313,150.5141,,,,1050.3887,-88.2673
2018-01-07,0.0171,14.9701,86.8562,185.5615,,,,1207.6325,-86.5109
2018-01-08,0.015,-11.9558,61.427,133.8722,,,,1063.2509,-88.1236
2018-01-09,0.0134,-10.8009,39.1539,136.8514,,,,948.4099,-89.4064
2018-01-10,0.0131,-2.3696,7.6847,96.6972,,,,925.9364,-89.6574
2018-01-11,0.0115,-12.4637,-22.8352,54.4646,710.5301,,,810.5301,-90.9465
2018-01-12,0.0131,13.8373,-23.5955,115.6591,1022.6139,,,922.6855,-89.6937
2018-01-13,0.013,-0.2528,-13.4397,79.4049,984.3464,,,920.3534,-89.7198
2018-01-14,0.0117,-10.2818,-12.9359,36.1454,1025.6262,,,825.7244,-90.7768
2018-01-15,0.0099,-15.6368,-24.7672,10.3684,713.9554,,,696.6078,-92.219
2018-01-16,0.0068,-30.7903,-40.5179,-27.5104,476.1824,,,482.1201,-94.6148
2018-01-17,0.0076,12.1079,-41.4216,-13.7962,471.1725,,,540.4947,-93.9627
2018-01-18,0.008,4.1972,-38.8083,-6.0924,473.3094,,,563.1803,-93.7093
2018-01-19,0.0079,-1.2298,-32.6344,-16.1857,499.4669,,,556.2544,-93.7867
2018-01-20,0.0084,7.3307,-14.2944,7.4809,515.295,,,597.0318,-93.3312
2018-01-21,0.0071,-15.5895,4.5295,-20.5194,418.2413,,,503.9576,-94.3709
2018-01-22,0.0067,-5.5672,-11.9508,-24.4135,383.0703,,,475.9011,-94.6842
2018-01-23,0.0067,-0.9059,-16.263,-27.0312,380.4176,,,471.5901,-94.7324
2018-01-24,0.0071,6.1442,-10.0114,-24.0021,288.5354,,,500.5654,-94.4087
2018-01-25,0.0077,8.2451,-9.2448,-20.4998,305.4469,,,541.8375,-93.9477
2018-01-26,0.0072,-5.6085,1.4865,-40.5194,279.2977,,,511.4488,-94.2872
2018-01-27,0.0074,1.8792,9.4892,-50.3936,255.8398,,,521.0601,-94.1798
2018-01-28,0.0075,1.2478,11.8687,-56.3144,268.46,,,527.5618,-94.1072
2018-01-29,0.007,-6.6711,-1.6377,-53.6923,250.4527,,,492.3675,-94.5003
2018-01-30,0.006,-13.5352,-21.4295,-55.1118,154.9302,,,425.7244,-95.2447
2018-01-31,0.006,-0.2324,-16.9545,-54.1291,188.9423,,,424.735,-95.2558
2018-02-01,0.005,-16.3228,-31.7917,-56.1514,141.8951,,,355.4064,-96.0302
2018-02-02,0.0045,-11.0161,-40.0536,-65.7246,108.3333,,,316.2544,-96.4675
2018-02-03,0.0052,15.3967,-25.8791,-60.3471,140.2978,,,364.947,-95.9236
2018-02-04,0.0044,-14.8141,-26.9754,-62.3502,97.8858,,,310.8834,-96.5275
2018-02-05,0.0035,-19.6863,-41.2146,-64.1575,43.443,,,249.682,-97.2111
2018-02-06,0.0044,23.4362,-13.283,-36.0745,75.9177,,,308.1979,-96.5575
