date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2020-08-20,2.9001,,,,,,,100.0,45.2926
2020-08-21,2.875,-0.8638,,,,,,99.1362,44.0375
2020-08-22,4.4847,55.9877,,,,,,154.6402,124.6807
2020-08-23,3.9671,-11.542,,,,,,136.7916,98.748
2020-08-24,4.6026,16.0206,,,,,,158.7064,130.5887
2020-08-25,5.5234,20.0056,90.4566,,,,,190.4566,176.7192
2020-08-26,6.0817,10.1083,111.5359,,,,,209.7086,204.6909
2020-08-27,5.6283,-7.4548,25.5011,,,,,194.0752,181.9769
2020-08-28,6.16,9.4454,55.2773,,,,,212.4064,208.6107
2020-08-29,6.1591,-0.0132,33.8184,,,,,212.3784,208.57
2020-08-30,5.8699,-4.6965,6.2731,,,,,202.4041,194.0781
2020-08-31,6.3,7.3279,3.5895,,,,,217.2361,215.6279
2020-09-01,6.2888,-0.1786,11.734,,,,,216.8481,215.0641
2020-09-02,6.1395,-2.3741,-0.3326,,,,,211.6998,207.5841
2020-09-03,5.7479,-6.3784,-6.6775,,,,,198.1969,187.9653
2020-09-04,5.146,-10.4705,-12.3315,,,,,177.4447,157.8139
2020-09-05,4.1223,-19.8935,-34.5667,,,,,142.1448,106.5258
2020-09-06,4.7995,16.4266,-23.6819,,,,,165.4943,140.4509
2020-09-07,4.5947,-4.2671,-25.1617,,,,,158.4325,130.1906
2020-09-08,4.2743,-6.9721,-25.6364,,,,,147.3864,114.1415
2020-09-09,4.7089,10.168,-8.4939,,,,,162.3727,135.9155
2020-09-10,4.5816,-2.7045,11.1411,57.9813,,,,157.9813,129.5351
2020-09-11,4.6456,1.3965,-3.2066,61.5834,,,,160.1875,132.7406
2020-09-12,5.137,10.5793,11.8043,14.5461,,,,177.1343,157.363
2020-09-13,5.298,3.1324,23.9483,33.5483,,,,182.6829,165.4247
2020-09-14,5.3487,0.9581,13.5863,16.2102,,,,184.4332,167.9676
2020-09-15,5.0957,-4.7302,11.2215,-7.7432,,,,175.7092,155.2923
2020-09-16,5.0803,-0.3019,9.3585,-16.4657,,,,175.1787,154.5216
2020-09-17,5.3363,5.0386,3.879,-5.1887,,,,184.0053,167.346
2020-09-18,5.2458,-1.6966,-0.985,-14.8409,,,,180.8834,162.8101
2020-09-19,4.9254,-6.1069,-7.914,-20.0309,,,,169.8371,146.7606
2020-09-20,4.6724,-5.1359,-8.3061,-20.3996,,,,161.1145,134.0874
2020-09-21,4.0946,-12.3672,-19.4028,-35.0066,,,,141.1891,105.1373
2020-09-22,4.1745,1.9505,-21.7723,-33.6203,,,,143.943,109.1385
2020-09-23,4.0314,-3.4267,-23.1491,-34.3361,,,,139.0105,101.9719
2020-09-24,4.382,8.6957,-11.0334,-23.7635,,,,151.0983,119.5346
2020-09-25,4.421,0.8896,-5.3825,-14.0901,,,,152.4425,121.4876
2020-09-26,4.3477,-1.6578,6.1805,5.4666,,,,149.9152,117.8157
2020-09-27,4.3103,-0.8598,3.2535,-10.1925,,,,148.6263,115.9429
2020-09-28,4.3979,2.0319,9.0898,-4.2834,,,,151.6462,120.3306
2020-09-29,4.5005,2.3327,2.7038,5.2904,,,,155.1837,125.4704
2020-09-30,4.3498,-3.3479,-1.6099,-7.6272,,,,149.9883,117.9219
2020-10-01,4.3438,-0.1368,-0.0881,-5.1893,,,,149.7831,117.6238
2020-10-02,4.1232,-5.0797,-4.3408,-11.2449,,,,142.1747,106.5692
2020-10-03,4.07,-1.2886,-7.454,-20.7706,,,,140.3425,103.9073
2020-10-04,4.1739,2.5519,-7.2557,-21.2165,,,,143.924,109.1109
2020-10-05,4.1727,-0.029,-4.071,-21.9868,,,,143.8822,109.0502
2020-10-06,3.7562,-9.9825,-13.5288,-26.2877,,,,129.5193,88.1818
2020-10-07,3.8588,2.7325,-6.4121,-24.0442,,,,133.0583,93.3238
2020-10-08,4.1026,6.3192,0.8009,-23.1182,,,,141.4665,105.5403
2020-10-09,4.2625,3.8957,2.1217,-18.7446,,,,146.9776,113.5475
2020-10-10,4.253,-0.2232,1.9233,-13.6528,,,,146.6496,113.0709
2020-10-11,4.2622,0.2165,13.4712,-8.781,,,,146.9671,113.5322
2020-10-12,4.3199,1.3558,11.9506,5.5036,,,,148.9596,116.4272
2020-10-13,4.2494,-1.6331,3.5772,1.7951,,,,146.527,112.8928
2020-10-14,4.1991,-1.1834,-1.4863,4.1598,,,,144.793,110.3735
2020-10-15,4.0968,-2.4363,-3.6714,-6.5076,,,,141.2654,105.2482
2020-10-16,3.9095,-4.5714,-8.2736,-11.5682,,,,134.8076,95.8654
2020-10-17,3.9673,1.4765,-8.1644,-8.7498,,,,136.798,98.7573
2020-10-18,4.1047,3.4633,-3.4063,-4.7707,,,,141.5358,105.641
2020-10-19,3.9906,-2.7788,-4.9659,-9.2606,,,,137.6028,99.9267
2020-10-20,3.9103,-2.011,-4.5515,-13.1122,,,,134.8357,95.9062
2020-10-21,4.1411,5.9017,5.9238,-4.797,,,,142.7933,107.468
2020-10-22,4.2689,3.0868,7.6047,-1.7238,47.2011,,,147.2011,113.8723
2020-10-23,4.2668,-0.0492,3.9516,3.4845,48.4107,,,147.1287,113.767
2020-10-24,4.3553,2.074,9.1403,7.0097,-2.8842,,,150.1801,118.2005
2020-10-25,4.3352,-0.4618,10.8657,3.865,9.2805,,,149.4866,117.1929
2020-10-26,4.727,9.0372,14.1483,13.2843,2.7029,,,162.9961,136.8211
2020-10-27,4.684,-0.911,9.7214,24.7005,-15.1979,,,161.5111,134.6636
2020-10-28,4.3651,-6.8074,2.3026,13.1206,-28.2259,,,150.5164,118.6892
2020-10-29,4.0533,-7.1419,-6.934,-1.2016,-27.9833,,,139.7667,103.0706
2020-10-30,4.0881,0.8578,-5.7002,-4.0905,-33.634,,,140.9655,104.8124
2020-10-31,4.1818,2.2909,-11.5347,-1.6738,-32.1047,,,144.1949,109.5045
2020-11-01,4.2256,1.0485,-9.7853,-0.8575,-28.0119,,,145.7068,111.7012
2020-11-02,4.0302,-4.6238,-7.6714,-6.7065,-36.0283,,,138.9697,101.9126
2020-11-03,4.0255,-0.1182,-0.6878,-5.2697,-35.9896,,,138.8054,101.6739
2020-11-04,4.0981,1.8039,0.2439,-2.406,-33.2502,,,141.3093,105.3119
2020-11-05,4.2352,3.3458,1.2776,3.3779,-26.3171,,,146.0372,112.1812
2020-11-06,4.5797,8.1332,8.3783,17.1408,-11.0063,,,157.9147,129.4383
2020-11-07,4.242,-7.3737,5.2535,6.9244,2.9024,,,146.2705,112.5201
2020-11-08,4.3721,3.0678,8.6108,6.5156,-8.9046,,,150.7577,119.0397
2020-11-09,4.3468,-0.5793,6.0683,8.9254,-5.3954,,,149.8844,117.7708
2020-11-10,4.415,1.5701,4.2459,12.9061,3.2916,,,152.2377,121.1901
2020-11-11,4.4572,0.9555,-2.6738,7.6328,-5.3459,,,153.6924,123.3036
2020-11-12,4.3992,-1.3004,3.7077,3.052,-3.9799,,,151.6937,120.3997
2020-11-13,4.5401,3.2024,3.8432,6.4045,-2.2698,,,156.5515,127.4577
2020-11-14,4.4656,-1.6409,2.7343,2.532,-13.0701,,,153.9827,123.7254
2020-11-15,4.38,-1.9176,-0.7934,1.0324,-17.3268,,,151.0299,119.4352
2020-11-16,4.4855,2.4089,0.6349,-5.1093,-16.1386,,,154.6681,124.7213
2020-11-17,4.8447,8.0073,10.1251,3.4312,-4.9265,,,167.0528,142.7153
2020-11-18,4.6797,-3.4059,3.0736,7.2064,-7.8865,,,161.3632,134.4488
2020-11-19,4.7568,1.6476,6.5197,17.3541,-10.8602,,,164.0219,138.3116
2020-11-20,5.2334,10.0209,19.4852,28.0159,-0.235,,,180.4583,162.1925
2020-11-21,5.7519,9.9072,28.2337,37.5476,16.7805,,,198.3366,188.1684
2020-11-22,5.4819,-4.6953,13.1523,29.7291,17.3229,,,189.0242,174.6381
2020-11-23,5.9069,7.7543,26.2256,46.5656,44.2616,,,203.6817,195.9343
