date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2017-11-09,320.884,,,,,,,100.0,-89.3053
2017-11-10,299.253,-6.7411,,,,,,93.2589,-90.0262
2017-11-11,314.681,5.1555,,,,,,98.0669,-89.512
2017-11-12,307.908,-2.1523,,,,,,95.9562,-89.7377
2017-11-13,316.716,2.8606,,,,,,98.7011,-89.4442
2017-11-14,337.631,6.6037,5.219,,,,,105.219,-88.7471
2017-11-15,333.357,-1.2659,11.3964,,,,,103.8871,-88.8896
2017-11-16,330.924,-0.7298,5.1617,,,,,103.1289,-88.9706
2017-11-17,332.394,0.4442,7.9524,,,,,103.587,-88.9217
2017-11-18,347.612,4.5783,9.7551,,,,,108.3295,-88.4145
2017-11-19,354.386,1.9487,4.9625,,,,,110.4405,-88.1887
2017-11-20,366.73,3.4832,10.0112,,,,,114.2874,-87.7773
2017-11-21,360.401,-1.7258,8.9075,,,,,112.315,-87.9882
2017-11-22,380.652,5.619,14.5183,,,,,118.626,-87.3133
2017-11-23,410.166,7.7535,17.9953,,,,,127.8238,-86.3296
2017-11-24,474.911,15.7851,34.0095,,,,,148.0008,-84.1717
2017-11-25,466.276,-1.8182,27.1442,,,,,145.3098,-84.4595
2017-11-26,471.33,1.0839,30.7793,,,,,146.8849,-84.2911
2017-11-27,480.355,1.9148,26.1927,,,,,149.6974,-83.9903
2017-11-28,472.902,-1.5516,15.2953,,,,,147.3748,-84.2387
2017-11-29,427.523,-9.5959,-9.9783,,,,,133.2329,-85.7511
2017-11-30,447.114,4.5824,-4.1096,39.3382,,,,139.3382,-85.0982
2017-12-01,466.54,4.3448,-1.0163,55.9015,,,,145.3921,-84.4507
2017-12-02,463.449,-0.6625,-3.5195,47.2758,,,,144.4288,-84.5537
2017-12-03,465.853,0.5187,-1.4906,51.2962,,,,145.178,-84.4736
2017-12-04,470.204,0.934,9.9833,48.4623,,,,146.534,-84.3286
2017-12-05,463.281,-1.4723,3.6159,37.2152,,,,144.3765,-84.5593
2017-12-06,428.588,-7.4885,-8.1348,28.5673,,,,133.5648,-85.7156
2017-12-07,434.408,1.3579,-6.2663,31.2712,,,,135.3785,-85.5216
2017-12-08,456.031,4.9776,-2.1084,37.1959,,,,142.1171,-84.801
2017-12-09,473.502,3.8311,0.7014,36.2157,,,,147.5617,-84.2187
2017-12-10,441.721,-6.7119,-4.6538,24.644,,,,137.6575,-85.2779
2017-12-11,515.136,16.6202,20.1937,40.4674,,,,160.5365,-82.8311
2017-12-12,651.431,26.4581,49.9583,80.7517,,,,203.0114,-78.2885
2017-12-13,702.767,7.8805,54.1051,84.6219,,,,219.0097,-76.5775
