date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2017-11-09,0.224,,,,,,,100.0,-98.2205
2017-11-10,0.1876,-16.2375,,,,,,83.7625,-98.5095
2017-11-11,0.1798,-4.1748,,,,,,80.2656,-98.5717
2017-11-12,0.1709,-4.9352,,,,,,76.3043,-98.6422
2017-11-13,0.1831,7.123,,,,,,81.7394,-98.5455
2017-11-14,0.1881,2.7547,-16.0089,,,,,83.9911,-98.5054
2017-11-15,0.1861,-1.0504,-0.7804,,,,,83.1088,-98.5211
2017-11-16,0.1698,-8.7983,-5.5677,,,,,75.7967,-98.6512
2017-11-17,0.1596,-5.9566,-6.5823,,,,,71.2817,-98.7316
2017-11-18,0.1709,7.0298,-6.6635,,,,,76.2927,-98.6424
2017-11-19,0.1624,-4.985,-13.6938,,,,,72.4895,-98.7101
2017-11-20,0.1622,-0.1053,-12.8695,,,,,72.4131,-98.7114
2017-11-21,0.155,-4.4462,-8.7117,,,,,69.1935,-98.7687
2017-11-22,0.1685,8.739,5.5534,,,,,75.2403,-98.6611
2017-11-23,0.1644,-2.4514,-3.797,,,,,73.3959,-98.6939
2017-11-24,0.1929,17.36,18.8274,,,,,86.1374,-98.4672
2017-11-25,0.181,-6.2005,11.577,,,,,80.7965,-98.5622
2017-11-26,0.1829,1.066,18.0136,,,,,81.6577,-98.5469
2017-11-27,0.1842,0.6999,9.2888,,,,,82.2292,-98.5367
2017-11-28,0.1764,-4.2049,7.3243,,,,,78.7716,-98.5983
2017-11-29,0.1453,-17.6671,-24.7075,,,,,64.855,-98.8459
2017-11-30,0.1705,17.3529,-5.8013,-23.8908,,,,76.1092,-98.6456
2017-12-01,0.1778,4.3189,-2.7695,-5.2126,,,,79.3963,-98.5872
2017-12-02,0.2079,16.9129,12.885,15.6467,,,,92.8245,-98.3482
2017-12-03,0.2306,10.9337,30.7243,34.9513,,,,102.9736,-98.1676
2017-12-04,0.2296,-0.4544,58.0538,25.4054,,,,102.5057,-98.1759
2017-12-05,0.3139,36.7173,84.1342,66.8547,,,,140.1431,-97.5062
2017-12-06,0.2916,-7.1069,63.9664,56.6418,,,,130.1832,-97.6834
2017-12-07,0.2601,-10.8056,25.0921,53.1942,,,,116.1161,-97.9337
