date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2015-01-01,2.699,,,,,,,100.0,-96.6196
2015-01-02,2.6674,-1.1741,,,,,,98.8259,-96.6593
2015-01-03,2.1332,-20.0273,,,,,,79.0337,-97.3283
2015-01-04,1.9567,-8.2732,,,,,,72.4951,-97.5494
2015-01-05,2.0822,6.4139,,,,,,77.1449,-97.3922
2015-01-06,2.1121,1.4379,-21.7458,,,,,78.2542,-97.3547
2015-01-07,2.1182,0.2869,-20.5889,,,,,78.4787,-97.3471
2015-01-08,2.0081,-5.1983,-5.8641,,,,,74.3991,-97.485
2015-01-09,1.9834,-1.2305,1.3635,,,,,73.4836,-97.516
2015-01-10,1.6533,-16.6405,-20.5967,,,,,61.2556,-97.9293
2015-01-11,1.7246,4.3089,-18.3493,,,,,63.8951,-97.8401
2015-01-12,1.7142,-0.599,-19.0706,,,,,63.5123,-97.853
2015-01-13,1.5411,-10.0984,-23.2537,,,,,57.0986,-98.0698
2015-01-14,1.157,-24.9241,-41.6641,,,,,42.8673,-98.5509
2015-01-15,1.2828,10.8694,-22.4125,,,,,47.5267,-98.3934
2015-01-16,1.4023,9.3158,-18.6882,,,,,51.9542,-98.2437
2015-01-17,1.2934,-7.7631,-24.5486,,,,,47.9209,-98.3801
2015-01-18,1.3333,3.0864,-13.4831,,,,,49.4,-98.3301
2015-01-19,1.3418,0.6337,15.9696,,,,,49.713,-98.3195
2015-01-20,1.3235,-1.3586,3.1791,,,,,49.0376,-98.3423
2015-01-21,1.3733,3.7596,-2.0652,,,,,50.8812,-98.28
2015-01-22,1.4188,3.3088,9.6907,-47.4352,,,,52.5648,-98.2231
2015-01-23,1.426,0.5075,6.9465,-46.5408,,,,52.8316,-98.2141
2015-01-24,1.8438,29.3033,37.4145,-13.5649,,,,68.3129,-97.6907
2015-01-25,2.2483,21.9384,69.8689,14.9038,,,,83.2997,-97.1841
2015-01-26,2.081,-7.439,51.5353,-0.0543,,,,77.1031,-97.3936
2015-01-27,2.0861,0.2417,47.0365,-1.2329,,,,77.2894,-97.3873
2015-01-28,1.872,-10.2614,31.2823,-11.6213,,,,69.3585,-97.6554
2015-01-29,1.9157,2.3317,3.8979,-4.6014,,,,70.9757,-97.6007
2015-01-30,1.8976,-0.9417,-15.5971,-4.3225,,,,70.3073,-97.6233
2015-01-31,1.8735,-1.2716,-9.9733,13.3174,,,,69.4133,-97.6535
2015-02-01,1.8035,-3.7353,-13.545,4.5786,,,,66.8205,-97.7412
2015-02-02,1.8762,4.0288,0.2222,9.4474,,,,69.5126,-97.6502
2015-02-03,1.8218,-2.9006,-4.9022,18.2101,,,,67.4963,-97.7183
2015-02-04,1.7924,-1.6144,-5.548,54.9122,,,,66.4067,-97.7552
2015-02-05,1.7412,-2.8521,-7.06,35.7398,,,,64.5127,-97.8192
2015-02-06,1.7594,1.0441,-2.4458,25.4687,,,,65.1863,-97.7964
2015-02-07,1.7817,1.268,-5.0347,37.7537,,,,66.0129,-97.7685
2015-02-08,1.7836,0.105,-2.0952,33.7696,,,,66.0821,-97.7662
2015-02-09,1.7315,-2.9222,-3.3967,29.0428,,,,64.1511,-97.8314
2015-02-10,1.7632,1.8314,1.2606,33.216,,,,65.3259,-97.7917
2015-02-11,1.7274,-2.027,-1.8171,25.7866,,,,64.0018,-97.8365
2015-02-12,1.7576,1.7436,-1.356,23.8809,,,,65.1177,-97.7988
2015-02-13,1.8217,3.6482,2.1356,27.752,,,,67.4934,-97.7184
