date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2020-04-10,0.9511,,,,,,,100.0,-99.2497
2020-04-11,0.7768,-18.3202,,,,,,81.6798,-99.3872
2020-04-12,0.8825,13.6052,,,,,,92.7925,-99.3038
2020-04-13,0.7778,-11.8611,,,,,,81.7863,-99.3864
2020-04-14,0.6619,-14.9013,,,,,,69.5991,-99.4778
2020-04-15,0.6467,-2.3075,-32.0069,,,,,67.9931,-99.4899
2020-04-16,0.6908,6.8298,-11.0712,,,,,72.6369,-99.455
2020-04-17,0.6607,-4.3554,-25.1306,,,,,69.4732,-99.4788
2020-04-18,0.6811,3.0827,-12.4366,,,,,71.6149,-99.4627
2020-04-19,0.607,-10.8835,-8.3025,,,,,63.8207,-99.5212
2020-04-20,0.5388,-11.2291,-16.6765,,,,,56.6542,-99.5749
2020-04-21,0.5877,9.0657,-14.9326,,,,,61.7903,-99.5364
2020-04-22,0.6916,17.6875,4.6726,,,,,72.7194,-99.4544
2020-04-23,0.6275,-9.2747,-7.8754,,,,,65.9749,-99.505
2020-04-24,0.6342,1.0813,4.4933,,,,,66.6883,-99.4997
2020-04-25,0.6433,1.4327,19.3977,,,,,67.6438,-99.4925
2020-04-26,0.6355,-1.216,8.142,,,,,66.8212,-99.4987
2020-04-27,0.5724,-9.9344,-17.2396,,,,,60.1829,-99.5485
2020-04-28,0.6613,15.5355,5.3926,,,,,69.5326,-99.4783
2020-04-29,0.7458,12.7851,17.5955,,,,,78.4225,-99.4116
2020-04-30,0.691,-7.3468,7.417,,,,,72.661,-99.4548
2020-05-01,0.7288,5.4626,14.6793,-23.3699,,,,76.6301,-99.4251
2020-05-02,0.7159,-1.7725,25.0718,-7.8452,,,,75.2719,-99.4353
2020-05-03,0.6795,-5.0764,2.7585,-22.9995,,,,71.4507,-99.4639
2020-05-04,0.6675,-1.7724,-10.5048,-14.1857,,,,70.1843,-99.4734
2020-05-05,0.6418,-3.8434,-7.1208,-3.0348,,,,67.4869,-99.4937
2020-05-06,0.6226,-2.9997,-14.5734,-3.7218,,,,65.4625,-99.5089
2020-05-07,0.613,-1.5429,-14.3737,-11.2675,,,,64.4525,-99.5164
2020-05-08,0.6049,-1.3142,-10.98,-8.4461,,,,63.6054,-99.5228
2020-05-09,0.6045,-0.0653,-9.4329,-11.242,,,,63.5639,-99.5231
2020-05-10,0.537,-11.1646,-16.3286,-11.522,,,,56.4672,-99.5763
2020-05-11,0.5153,-4.0521,-17.2364,-4.3687,,,,54.1792,-99.5935
2020-05-12,0.5386,4.5225,-12.1378,-8.3523,,,,56.6294,-99.5751
2020-05-13,0.5505,2.2199,-8.9912,-20.3975,,,,57.8865,-99.5657
2020-05-14,0.5691,3.376,-5.8573,-9.2977,,,,59.8408,-99.551
2020-05-15,0.5598,-1.6457,4.2303,-11.7447,,,,58.856,-99.5584
2020-05-16,0.5991,7.0331,16.2724,-6.8719,,,,62.9954,-99.5274
2020-05-17,0.613,2.3149,13.8166,-3.5432,,,,64.4537,-99.5164
2020-05-18,0.6527,6.4734,18.5526,14.029,,,,68.626,-99.4851
2020-05-19,0.6245,-4.3232,9.7231,-5.5708,,,,65.6592,-99.5074
2020-05-20,0.5792,-7.254,3.4665,-22.3485,,,,60.8962,-99.5431
2020-05-21,0.6089,5.1383,1.6349,-11.8849,,,,64.0253,-99.5196
2020-05-22,0.6389,4.9202,4.2229,-12.3381,,,,67.1755,-99.496
2020-05-23,0.613,-4.0452,-6.0734,-14.3663,,,,64.4581,-99.5164
2020-05-24,0.5491,-10.4363,-12.0747,-19.2017,,,,57.731,-99.5669
2020-05-25,0.6009,9.4352,3.747,-9.9828,,,,63.178,-99.526
2020-05-26,0.5733,-4.5851,-5.8478,-10.6772,,,,60.2812,-99.5477
2020-05-27,0.591,3.0835,-7.496,-5.0755,,,,62.14,-99.5338
2020-05-28,0.5752,-2.6786,-6.1785,-6.1704,,,,60.4755,-99.5463
2020-05-29,0.5794,0.7407,5.5299,-4.2166,,,,60.9235,-99.5429
2020-05-30,0.5879,1.4701,-2.1509,-2.745,,,,61.8191,-99.5362
2020-05-31,0.57,-3.0464,-0.573,6.1426,,,,59.9358,-99.5503
2020-06-01,0.5775,1.311,-2.2826,12.0755,,,,60.7216,-99.5444
2020-06-02,0.5647,-2.221,-1.8232,4.8448,,,,59.373,-99.5545
2020-06-03,0.5866,3.8876,1.2437,6.5553,,,,61.6811,-99.5372
2020-06-04,0.5873,0.1156,-0.1078,3.1946,,,,61.7524,-99.5367
2020-06-05,0.6612,12.5755,15.9876,18.1157,,,,69.5181,-99.4784
2020-06-06,0.6224,-5.8552,7.7833,3.8929,,,,65.4477,-99.509
2020-06-07,0.6166,-0.9423,9.1928,0.5855,,,,64.831,-99.5136
2020-06-08,0.6683,8.3907,13.9259,2.3968,,,,70.2708,-99.4728
2020-06-09,0.658,-1.5428,12.0387,5.3724,,,,69.1866,-99.4809
