date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2019-10-21,0.0076,,,,,,,100.0,3896.842
2019-10-22,0.0157,107.1504,,,,,,207.1504,8179.4731
2019-10-23,0.0179,13.9025,,,,,,235.9494,9330.526
2019-10-24,0.019,6.2898,,,,,,250.7901,9923.6844
2019-10-25,0.0132,-30.4804,,,,,,174.3482,6868.421
2019-10-26,0.012,-9.6828,57.4664,,,,,157.4664,6193.6841
2019-10-27,0.0108,-9.2992,-31.0533,,,,,142.8233,5608.421
2019-10-28,0.01,-7.9384,-44.2739,,,,,131.4854,5155.2629
2019-10-29,0.0091,-8.8032,-52.1869,,,,,119.9105,4692.6314
2019-10-30,0.009,-1.2739,-32.0997,,,,,118.3829,4631.5788
2019-10-31,0.0116,29.5106,-2.6342,,,,,153.3184,6027.8945
2019-11-01,0.0118,1.2626,8.7037,,,,,155.2541,6105.2629
2019-11-02,0.0113,-3.7998,13.5904,,,,,149.3548,5869.4736
2019-11-03,0.0104,-8.1732,14.3751,,,,,137.1477,5381.5787
2019-11-04,0.0103,-0.7585,14.9722,,,,,136.1074,5339.9996
2019-11-05,0.0101,-2.0608,-13.0551,,,,,133.3026,5227.8943
2019-11-06,0.0093,-7.7052,-20.7549,,,,,123.0313,4817.3683
2019-11-07,0.0095,1.3272,-16.5315,,,,,124.6642,4882.6315
2019-11-08,0.0086,-9.0208,-17.302,,,,,113.4185,4433.1576
2019-11-09,0.0087,0.7895,-16.012,,,,,114.3139,4468.9473
2019-11-10,0.0094,8.2249,-7.1915,,,,,123.7161,4844.7365
2019-11-11,0.0093,-1.5327,-0.9847,21.8199,,,,121.8199,4768.9474
2019-11-12,0.0091,-1.535,-3.7816,-42.0952,,,,119.95,4694.2102
2019-11-13,0.0087,-4.534,0.9637,-51.4678,,,,114.5115,4476.842
2019-11-14,0.0085,-2.6909,-2.5228,-55.5684,,,,111.4301,4353.6839
2019-11-15,0.0082,-2.5644,-12.2406,-37.7266,,,,108.5726,4239.4734
2019-11-16,0.0076,-7.3014,-17.3819,-36.0846,,,,100.6452,3922.6316
2019-11-17,0.0075,-1.5308,-17.3784,-30.6104,,,,99.1046,3861.0525
2019-11-18,0.0074,-2.1393,-15.3059,-26.2394,,,,96.9845,3776.3156
2019-11-19,0.007,-4.983,-17.3009,-23.1496,,,,92.1517,3583.1579
2019-11-20,0.0059,-16.0474,-28.7447,-34.6496,,,,77.3637,2992.1051
2019-11-21,0.0055,-5.566,-27.4107,-52.3491,,,,73.0577,2819.9998
2019-11-22,0.0045,-18.9438,-40.2471,-61.8575,,,,59.2178,2266.842
2019-11-23,0.0039,-12.8308,-46.7753,-65.4382,,,,51.6197,1963.1579
2019-11-24,0.0039,-1.4541,-44.7985,-62.9093,,,,50.8691,1933.1579
2019-11-25,0.003,-21.6671,-48.4936,-70.7237,,,,39.8472,1492.6315
2019-11-26,0.0031,3.4369,-43.5833,-69.0803,,,,41.2168,1547.3684
2019-11-27,0.004,28.4984,-10.5626,-56.9517,,,,52.9629,2016.842
2019-11-28,0.0034,-15.1417,-12.9337,-63.9485,,,,44.9434,1696.3157
2019-11-29,0.0037,7.2663,-5.2291,-57.4945,,,,48.2091,1826.842
2019-11-30,0.0035,-4.2611,15.8295,-59.6245,,,,46.1549,1744.7367
2019-12-01,0.0039,12.3538,25.8147,-58.0841,,,,51.8567,1972.6316
2019-12-02,0.0032,-18.8674,-20.5619,-65.4632,,,,42.0727,1581.579
2019-12-03,0.0032,-0.9703,-7.2956,-65.2651,,,,41.6645,1565.2632
2019-12-04,0.0034,6.3527,-8.0852,-61.304,,,,44.3113,1671.0526
2019-12-05,0.0033,-1.6345,-5.5635,-60.8839,,,,43.587,1642.1052
2019-12-06,0.0031,-6.0725,-21.0513,-62.2923,,,,40.9402,1536.3157
2019-12-07,0.0032,4.3744,1.5649,-57.5429,,,,42.7311,1607.8947
2019-12-08,0.0032,-2.6502,-0.158,-58.0255,,,,41.5986,1562.6316
2019-12-09,0.0028,-10.8895,-16.3447,-61.7787,,,,37.0687,1381.5789
2019-12-10,0.0022,-21.2789,-33.0514,-68.3338,,,,29.1809,1066.3158
2019-12-11,0.0022,0.9025,-28.0798,-61.9404,,,,29.4443,1076.8421
2019-12-12,0.0028,26.6995,-12.6965,-48.9366,,,,37.3058,1391.0525
2019-12-13,0.0035,23.3675,10.6363,-22.2815,,,,46.0232,1739.4737
2019-12-14,0.0035,0.3147,24.5471,-10.5612,,,,46.168,1745.2631
2019-12-15,0.0035,-0.2852,57.7617,-9.5004,,,,46.0363,1740.0
