date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2017-11-09,0.0399,,,,,,,100.0,-80.8423
2017-11-10,0.0331,-17.2057,,,,,,82.7943,-84.1386
2017-11-11,0.0331,-0.0605,,,,,,82.7442,-84.1482
2017-11-12,0.0282,-14.7369,,,,,,70.5502,-86.4842
2017-11-13,0.0307,8.7787,,,,,,76.7436,-85.2977
2017-11-14,0.0364,18.6521,-8.9421,,,,,91.0579,-82.5554
2017-11-15,0.0371,1.8667,12.034,,,,,92.7577,-82.2298
2017-11-16,0.0372,0.4885,12.6494,,,,,93.2108,-82.143
2017-11-17,0.0356,-4.4637,26.2224,,,,,89.0502,-82.9401
2017-11-18,0.0366,2.8421,19.3339,,,,,91.5811,-82.4552
2017-11-19,0.0366,-0.0465,0.5279,,,,,91.5386,-82.4634
2017-11-20,0.0381,4.2526,2.8824,,,,,95.4313,-81.7176
2017-11-21,0.0377,-1.1883,1.1656,,,,,94.2973,-81.9349
2017-11-22,0.0423,12.2942,18.9109,,,,,105.8904,-79.7139
2017-11-23,0.0405,-4.1703,10.8028,,,,,101.4745,-80.5599
2017-11-24,0.0402,-0.8437,9.919,,,,,100.6183,-80.7239
2017-11-25,0.0436,8.5736,14.475,,,,,109.245,-79.0712
2017-11-26,0.0489,12.0466,29.8078,,,,,122.4052,-76.55
2017-11-27,0.0598,22.3883,41.4762,,,,,149.8097,-71.3
2017-11-28,0.0814,36.0477,100.8511,,,,,203.8126,-60.9543
2017-11-29,0.0644,-20.8696,60.2866,,,,,161.2777,-69.103
2017-11-30,0.0729,13.1116,66.986,82.4238,,,,182.4238,-65.0519
2017-12-01,0.0899,23.3454,83.8249,171.7715,,,,225.0113,-56.8931
2017-12-02,0.0938,4.3757,56.7702,183.835,,,,234.857,-55.0069
2017-12-03,0.089,-5.0961,9.3595,215.9286,,,,222.8884,-57.2998
2017-12-04,0.0976,9.631,51.5119,218.4042,,,,244.3549,-53.1873
2017-12-05,0.1235,26.5475,69.5091,239.5915,,,,309.2249,-40.7598
2017-12-06,0.1516,22.748,68.6882,309.203,,,,379.5674,-27.2838
2017-12-07,0.133,-12.2515,41.8159,257.3239,,,,333.0646,-36.1926
2017-12-08,0.1373,3.1673,54.1641,285.8653,,,,343.6139,-34.1716
2017-12-09,0.1351,-1.5576,38.4305,269.3574,,,,338.2616,-35.197
2017-12-10,0.1193,-11.7368,-3.4487,226.1582,,,,298.5606,-42.8028
2017-12-11,0.145,21.5431,-4.3965,280.2523,,,,362.8799,-30.4807
2017-12-12,0.1564,7.9252,17.5864,315.3233,,,,391.6387,-24.9712
2017-12-13,0.1493,-4.5396,8.8023,253.0627,,,,373.8597,-28.3773
2017-12-14,0.1889,26.4929,39.8048,366.0343,,,,472.9059,-9.4023
2017-12-15,0.1959,3.6817,64.227,387.3038,,,,490.3169,-6.0668
2017-12-16,0.2321,18.5146,60.1348,431.921,,,,581.097,11.3245
2017-12-17,0.2666,14.861,70.4258,445.2818,,,,667.4535,27.8684
2017-12-18,0.2763,3.6239,85.0002,361.6797,,,,691.6412,32.5022
2017-12-19,0.2643,-4.3336,39.9154,224.6453,,,,661.6682,26.7601
2017-12-20,0.2524,-4.5114,28.8591,291.7577,,,,631.8179,21.0415
