date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2017-11-09,0.2175,,,,,,,100.0,-88.4188
2017-11-10,0.2065,-5.06,,,,,,94.94,-89.0048
2017-11-11,0.2104,1.9115,,,,,,96.7548,-88.7946
2017-11-12,0.1973,-6.2211,,,,,,90.7356,-89.4917
2017-11-13,0.2034,3.0927,,,,,,93.5417,-89.1667
2017-11-14,0.2098,3.1375,-3.5234,,,,,96.4766,-88.8268
2017-11-15,0.213,1.4922,3.1349,,,,,97.9162,-88.6601
2017-11-16,0.2271,6.645,7.9252,,,,,104.4228,-87.9066
2017-11-17,0.2266,-0.2316,14.8182,,,,,104.1809,-87.9346
2017-11-18,0.2286,0.903,12.3794,,,,,105.1217,-87.8256
2017-11-19,0.231,1.0449,10.0994,,,,,106.2201,-87.6984
2017-11-20,0.2388,3.3517,12.1166,,,,,109.7803,-87.2861
2017-11-21,0.2333,-2.2985,2.7141,,,,,107.257,-87.5783
2017-11-22,0.2389,2.3955,5.4188,,,,,109.8263,-87.2808
2017-11-23,0.2424,1.4833,6.0251,,,,,111.4553,-87.0921
2017-11-24,0.2446,0.9241,5.8983,,,,,112.4853,-86.9728
2017-11-25,0.2524,3.1683,5.7104,,,,,116.0492,-86.5601
2017-11-26,0.2488,-1.4164,6.6648,,,,,114.4054,-86.7505
2017-11-27,0.2539,2.0533,6.3083,,,,,116.7545,-86.4784
2017-11-28,0.2992,17.8102,23.4115,,,,,137.5487,-84.0702
2017-11-29,0.2431,-18.749,-0.645,,,,,111.7597,-87.0569
2017-11-30,0.2509,3.2148,-0.6003,15.3526,,,,115.3526,-86.6408
2017-12-01,0.2557,1.9217,2.7655,23.8354,,,,117.5692,-86.384
2017-12-02,0.2555,-0.081,0.6163,21.4143,,,,117.4741,-86.3951
2017-12-03,0.2526,-1.1484,-15.5754,27.9818,,,,116.125,-86.5513
2017-12-04,0.2536,0.4011,4.3227,24.6404,,,,116.5908,-86.4974
2017-12-05,0.2461,-2.9459,-1.9041,17.2887,,,,113.1561,-86.8951
2017-12-06,0.2325,-5.5087,-9.0556,9.1981,,,,106.9227,-87.617
2017-12-07,0.2228,-4.1803,-12.7867,-1.8863,,,,102.453,-88.1347
2017-12-08,0.2521,13.1503,-0.1714,11.2737,,,,115.9259,-86.5744
2017-12-09,0.2447,-2.9418,-3.4953,7.0337,,,,112.5156,-86.9693
2017-12-10,0.2373,-3.0138,-3.5628,2.7344,,,,109.1246,-87.362
2017-12-11,0.2517,6.0497,8.2337,5.4163,,,,115.7264,-86.5975
2017-12-12,0.3735,48.4125,67.6402,60.1318,,,,171.7525,-80.109
2017-12-13,0.4711,26.1074,86.8371,97.2138,,,,216.5926,-74.9159
2017-12-14,0.8643,83.4708,253.1813,256.5412,,,,397.3842,-53.978
2017-12-15,0.7562,-12.5057,218.616,209.097,,,,347.6886,-59.7334
2017-12-16,0.7586,0.3255,201.418,200.5796,,,,348.8202,-59.6023
2017-12-17,0.7284,-3.9908,94.9896,192.7304,,,,334.8994,-61.2145
2017-12-18,0.7784,6.8703,65.2448,206.5476,,,,357.908,-58.5499
2017-12-19,0.7913,1.6508,-8.4472,164.5,,,,363.8164,-57.8656
2017-12-20,0.776,-1.9327,2.6162,219.2427,,,,356.7847,-58.68
2017-12-21,1.1931,53.752,57.2626,375.5539,,,,548.5636,-36.4696
2017-12-22,1.1383,-4.5916,56.2786,345.164,,,,523.376,-39.3866
2017-12-23,1.1743,3.1679,50.8645,359.6387,,,,539.9562,-37.4665
2017-12-24,1.0439,-11.1033,31.9356,313.3506,,,,480.0035,-44.4097
2017-12-25,1.1223,7.5071,44.6356,342.6058,,,,516.0377,-40.2365
2017-12-26,1.1895,5.9849,-0.2992,383.334,,,,546.9221,-36.6597
2017-12-27,1.3996,17.6672,22.961,501.8818,,,,643.5481,-25.4692
2017-12-28,1.4309,2.232,21.8455,542.1599,,,,657.9121,-23.8057
2017-12-29,2.2146,54.7719,112.1366,778.3739,,,,1018.2631,17.9273
2017-12-30,2.159,-2.5097,92.3711,782.2842,,,,992.7076,14.9677
2017-12-31,2.3006,6.5562,93.4081,869.3427,,,,1057.7917,22.5052
2018-01-01,2.391,3.9321,70.8318,849.9863,,,,1099.3848,27.3222
2018-01-02,2.4809,3.7586,73.3828,564.1574,,,,1140.7066,32.1078
2018-01-03,3.1054,25.1711,40.2226,559.2261,,,,1427.8351,65.3608
2018-01-04,3.1966,2.9388,48.0593,269.8677,,,,1469.796,70.2204
2018-01-05,3.0487,-4.6274,32.5198,303.172,,,,1401.7831,62.3437
2018-01-06,3.094,1.4846,29.399,307.83,,,,1422.5934,64.7538
2018-01-07,3.3778,9.174,36.1526,363.7517,,,,1553.1017,79.8682
2018-01-08,2.4562,-27.284,-20.9044,215.5432,,,,1129.3542,30.7931
2018-01-09,2.1018,-14.43,-34.2501,165.6254,,,,966.3889,11.9197
2018-01-10,1.9749,-6.0358,-35.2211,154.5118,,,,908.0593,5.1644
2018-01-11,1.9508,-1.2213,-36.9483,63.5123,796.969,,,896.969,3.88
2018-01-12,2.0432,4.7381,-39.5102,79.5015,889.5391,,,939.4679,8.8019
2018-01-13,2.0213,-1.0709,-17.7045,72.1265,860.5807,,,929.4075,7.6368
2018-01-14,1.8612,-7.9234,-11.447,78.2834,843.1435,,,855.7667,-0.8917
2018-01-15,1.6767,-9.9109,-15.0988,49.3986,724.1808,,,770.9529,-10.7142
2018-01-16,1.1792,-29.6703,-39.551,-0.8617,462.0112,,,542.2092,-37.2055
2018-01-17,1.3063,10.7781,-36.065,-6.666,513.4319,,,600.6492,-30.4375
2018-01-18,1.5966,22.2178,-21.0142,11.5803,603.0078,,,734.1003,-14.9822
2018-01-19,1.552,-2.7891,-16.6098,-29.9174,584.9868,,,713.6256,-17.3534
2018-01-20,1.5786,1.7119,-5.8513,-26.8826,590.4784,,,725.8423,-15.9386
2018-01-21,1.38,-12.5793,17.0279,-40.0131,497.3786,,,634.5362,-26.5129
2018-01-22,1.3573,-1.6442,3.9048,-43.2316,468.5021,,,624.1034,-27.7212
2018-01-23,1.3371,-1.4941,-16.2541,-46.1054,473.1831,,,614.7787,-28.8011
2018-01-24,1.3571,1.5018,-12.5576,-56.2967,468.1804,,,624.0114,-27.7318
2018-01-25,1.3122,-3.3099,-16.8749,-58.9496,441.3445,,,603.3574,-30.1238
2018-01-26,1.2173,-7.2365,-11.7946,-60.0726,397.572,,,559.6952,-35.1804
2018-01-27,1.2191,0.1512,-10.1845,-60.5972,383.0205,,,560.5413,-35.0825
2018-01-28,1.3996,14.8051,4.6766,-58.5649,462.4995,,,643.5298,-25.4714
2018-01-29,1.324,-5.4037,-2.4448,-46.097,421.3979,,,608.7554,-29.4987
2018-01-30,1.1386,-14.0041,-13.2347,-45.8288,280.5959,,,523.5048,-39.3717
2018-01-31,1.1624,2.093,-4.5085,-41.1424,378.2238,,,534.4617,-38.1028
2018-02-01,0.9625,-17.1939,-21.0465,-50.6597,283.6646,,,442.5669,-48.7453
2018-02-02,0.8848,-8.0773,-36.7831,-56.6968,246.0256,,,406.8197,-52.8853
