date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2021-03-11,5128.2202,,,,,,,100.0,8.7006
2021-03-12,5146.3799,0.3541,,,,,,100.3541,9.0855
2021-03-15,5035.54,-2.1537,,,,,,98.1927,6.7361
2021-03-16,5079.3599,0.8702,,,,,,99.0472,7.6649
2021-03-17,5100.8599,0.4233,,,,,,99.4665,8.1206
2021-03-18,5141.77,0.802,0.2642,,,,,100.2642,8.9878
2021-03-19,5007.0898,-2.6193,-2.7066,,,,,97.638,6.133
2021-03-22,5057.1499,0.9998,0.4291,,,,,98.6141,7.1941
2021-03-23,5009.25,-0.9472,-1.3803,,,,,97.6801,6.1788
2021-03-24,4928.6899,-1.6082,-3.3753,,,,,96.1092,4.4712
2021-03-25,4926.3501,-0.0475,-4.1896,,,,,96.0635,4.4216
2021-03-26,5037.9902,2.2662,0.6171,,,,,98.2405,6.788
2021-03-29,5046.8799,0.1765,-0.2031,,,,,98.4139,6.9764
2021-03-30,5094.73,0.9481,1.7064,,,,,99.3469,7.9907
2021-03-31,5048.3599,-0.9102,2.428,,,,,98.4427,7.0078
2021-04-01,5110.7798,1.2364,3.7437,,,,,99.6599,8.3309
2021-04-02,5161.5601,0.9936,2.4528,,,,,100.6501,9.4072
2021-04-06,5140.3398,-0.4111,1.8518,,,,,100.2363,8.9574
2021-04-07,5103.7402,-0.712,0.1769,,,,,99.5226,8.1817
2021-04-08,5112.21,0.166,1.2648,,,,,99.6878,8.3612
2021-04-09,5035.3398,-1.5037,-1.4761,,,,,98.1888,6.7318
2021-04-12,4947.75,-1.7395,-4.1424,-3.5192,,,,96.4808,4.8752
2021-04-13,4939.6401,-0.1639,-3.9044,-4.0172,,,,96.3227,4.7033
2021-04-14,4980.6299,0.8298,-2.4122,-1.0905,,,,97.122,5.5721
2021-04-15,4948.9702,-0.6357,-3.1931,-2.567,,,,96.5046,4.9011
2021-04-16,4966.1802,0.3477,-1.3735,-2.6403,,,,96.8402,5.2659
2021-04-19,5087.02,2.4333,2.8148,-1.0648,,,,99.1966,7.8272
2021-04-20,5083.3701,-0.0717,2.9097,1.5234,,,,99.1254,7.7499
2021-04-21,5098.7402,0.3024,2.3714,0.8224,,,,99.4251,8.0757
2021-04-22,5089.2402,-0.1863,2.8343,1.5969,,,,99.2399,7.8743
2021-04-23,5135.4502,0.908,3.4085,4.195,,,,100.141,8.8538
2021-04-26,5077.2402,-1.1335,-0.1922,3.0629,,,,99.0059,7.62
2021-04-27,5090.52,0.2616,0.1407,1.0427,,,,99.2648,7.9014
2021-04-28,5119.2402,0.5642,0.4021,1.4338,,,,99.8249,8.5102
2021-04-29,5164.1699,0.8777,1.4723,1.363,,,,100.701,9.4626
