date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,6750.7598,,,,,,,100.0,-72.4901
2000-01-04,6586.9502,-2.4265,,,,,,97.5735,-73.1576
2000-01-05,6502.0698,-1.2886,,,,,,96.3161,-73.5035
2000-01-06,6474.9199,-0.4176,,,,,,95.9139,-73.6141
2000-01-07,6780.96,4.7265,,,,,,100.4474,-72.367
2000-01-10,6925.52,2.1319,2.5887,,,,,102.5887,-71.7779
2000-01-11,6891.25,-0.4948,4.6197,,,,,102.0811,-71.9175
2000-01-12,6912.8101,0.3129,6.3171,,,,,102.4005,-71.8297
2000-01-13,6955.98,0.6245,7.4296,,,,,103.04,-71.6538
2000-01-14,7173.2202,3.1231,5.7847,,,,,106.258,-70.7685
2000-01-17,7258.8999,1.1944,4.8138,,,,,107.5272,-70.4193
2000-01-18,7072.1201,-2.5731,2.6246,,,,,104.7604,-71.1805
2000-01-19,7091.04,0.2675,2.5783,,,,,105.0406,-71.1034
2000-01-20,7112.6602,0.3049,2.2525,,,,,105.3609,-71.0153
2000-01-21,6992.75,-1.6859,-2.5159,,,,,103.5846,-71.5039
2000-01-24,6931.9902,-0.8689,-4.5036,,,,,102.6846,-71.7515
2000-01-25,6809.6401,-1.765,-3.7115,,,,,100.8722,-72.2501
2000-01-26,6969.3701,2.3456,-1.7158,,,,,103.2383,-71.5992
2000-01-27,7126.1299,2.2493,0.1894,,,,,105.5604,-70.9604
2000-01-28,7066.6001,-0.8354,1.0561,,,,,104.6786,-71.203
2000-01-31,6835.6001,-3.2689,-1.3905,,,,,101.2568,-72.1443
2000-02-01,7050.46,3.1432,3.5365,4.4395,,,,104.4395,-71.2687
2000-02-02,7171.9502,1.7232,2.9067,8.8812,,,,106.2392,-70.7737
2000-02-03,7354.2598,2.542,3.2013,13.1064,,,,108.9397,-70.0307
2000-02-04,7444.6099,1.2285,5.3492,14.9761,,,,110.2781,-69.6626
2000-02-07,7296.3198,-1.9919,6.74,7.6001,,,,108.0815,-70.2668
2000-02-08,7549.8799,3.4752,7.0835,9.0153,,,,111.8375,-69.2336
2000-02-09,7629.1099,1.0494,6.3743,10.7072,,,,113.0111,-68.9107
2000-02-10,7709.27,1.0507,4.8273,11.5215,,,,114.1986,-68.584
2000-02-11,7611.5498,-1.2676,2.2424,9.4246,,,,112.751,-68.9823
2000-02-14,7644.7998,0.4368,4.7761,6.5742,,,,113.2435,-68.8468
2000-02-15,7396.1299,-3.2528,-2.0365,1.8905,,,,109.56,-69.8601
2000-02-16,7490.3198,1.2735,-1.8192,5.9134,,,,110.9552,-69.4763
2000-02-17,7580.5298,1.2044,-1.6699,6.9029,,,,112.2915,-69.1087
2000-02-18,7573.7798,-0.089,-0.4962,6.4831,,,,112.1915,-69.1362
2000-02-21,7590.5298,0.2212,-0.7099,8.5486,,,,112.4396,-69.0679
2000-02-22,7607.9399,0.2294,2.8638,9.7512,,,,112.6975,-68.997
2000-02-23,7698.9702,1.1965,2.7856,13.0599,,,,114.046,-68.626
2000-02-24,7640.5298,-0.7591,0.7915,9.6301,,,,113.1803,-68.8642
2000-02-25,7738.6802,1.2846,2.1773,8.5958,,,,114.6342,-68.4642
2000-02-28,7587.1299,-1.9583,-0.0448,7.3661,,,,112.3893,-69.0818
2000-02-29,7644.5498,0.7568,0.4812,11.8344,,,,113.2398,-68.8478
2000-03-01,7727.9302,1.0907,0.3762,9.6089,,,,114.475,-68.508
2000-03-02,7945.77,2.8189,3.995,10.7895,,,,117.7019,-67.6203
