date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,11357.5098,,,,,,,100.0,-76.5255
2000-01-04,10997.9297,-3.166,,,,,,96.834,-77.2687
2000-01-05,11122.6504,1.134,,,,,,97.9321,-77.011
2000-01-06,11253.2598,1.1743,,,,,,99.0821,-76.741
2000-01-07,11522.5596,2.3931,,,,,,101.4532,-76.1844
2000-01-10,11572.2002,0.4308,1.8903,,,,,101.8903,-76.0818
2000-01-11,11511.0801,-0.5282,4.6659,,,,,101.3521,-76.2081
2000-01-12,11551.0996,0.3477,3.852,,,,,101.7045,-76.1254
2000-01-13,11582.4297,0.2712,2.9251,,,,,101.9804,-76.0607
2000-01-14,11722.9805,1.2135,1.7394,,,,,103.2179,-75.7702
2000-01-18,11560.7197,-1.3841,-0.0992,,,,,101.7892,-76.1055
2000-01-19,11489.3604,-0.6173,-0.1887,,,,,101.1609,-76.253
2000-01-20,11351.2998,-1.2016,-1.7297,,,,,99.9453,-76.5384
2000-01-21,11251.71,-0.8773,-2.8554,,,,,99.0685,-76.7442
2000-01-24,11008.1699,-2.1645,-6.0975,,,,,96.9242,-77.2476
2000-01-25,11029.8896,0.1973,-4.5917,,,,,97.1154,-77.2027
2000-01-26,11032.9902,0.0281,-3.9721,,,,,97.1427,-77.1963
2000-01-27,11028.0195,-0.0451,-2.848,,,,,97.0989,-77.2065
2000-01-28,10738.8701,-2.622,-4.5579,,,,,94.553,-77.8042
2000-01-31,10940.5303,1.8779,-0.6144,,,,,96.3286,-77.3874
2000-02-01,11041.0498,0.9188,0.1012,,,,,97.2137,-77.1796
2000-02-02,11003.2002,-0.3428,-0.27,-3.1196,,,,96.8804,-77.2578
2000-02-03,11013.4404,0.0931,-0.1322,0.141,,,,96.9706,-77.2367
2000-02-04,10963.7998,-0.4507,2.0945,-1.4282,,,,96.5335,-77.3393
2000-02-07,10905.79,-0.5291,-0.3175,-3.0877,,,,96.0227,-77.4592
2000-02-08,10957.5996,0.4751,-0.7558,-4.9031,,,,96.4789,-77.3521
2000-02-09,10699.1602,-2.3585,-2.7632,-7.5443,,,,94.2034,-77.8863
2000-02-10,10643.6299,-0.519,-3.3578,-7.5358,,,,93.7145,-78.001
2000-02-11,10425.21,-2.0521,-4.9124,-9.747,,,,91.7913,-78.4525
2000-02-14,10519.8398,0.9077,-3.5389,-9.1742,,,,92.6245,-78.2569
2000-02-15,10718.0898,1.8845,-2.1858,-8.572,,,,94.3701,-77.8471
2000-02-16,10561.4102,-1.4618,-1.2875,-8.644,,,,92.9905,-78.171
2000-02-17,10514.5703,-0.4435,-1.2126,-8.4843,,,,92.5781,-78.2678
2000-02-18,10219.5195,-2.8061,-1.973,-9.9705,,,,89.9803,-78.8776
2000-02-22,10304.8398,0.8349,-2.0438,-8.4153,,,,90.7315,-78.7013
2000-02-23,10225.7305,-0.7677,-4.5937,-7.1078,,,,90.035,-78.8648
2000-02-24,10092.6299,-1.3016,-4.4386,-8.4975,,,,88.8631,-79.1399
2000-02-25,9862.1201,-2.2839,-6.2052,-10.6124,,,,86.8335,-79.6163
2000-02-28,10038.6504,1.79,-1.7698,-8.9714,,,,88.3878,-79.2514
2000-02-29,10128.3096,0.8931,-1.7131,-5.6855,,,,89.1772,-79.0661
2000-03-01,10137.9297,0.095,-0.8586,-7.336,,,,89.2619,-79.0462
2000-03-02,10164.9199,0.2662,0.7163,-7.9352,,,,89.4995,-78.9905
2000-03-03,10367.2002,1.99,5.1214,-5.7801,,,,91.2806,-78.5724
