date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,100.22,,,,,,,100.0,1.8289
2000-01-04,100.41,0.1896,,,,,,100.1896,2.022
2000-01-05,100.38,-0.0299,,,,,,100.1596,1.9915
2000-01-06,100.65,0.269,,,,,,100.4291,2.2658
2000-01-07,100.8,0.149,,,,,,100.5787,2.4182
2000-01-10,100.99,0.1885,0.7683,,,,,100.7683,2.6113
2000-01-11,100.56,-0.4258,0.1494,,,,,100.3392,2.1744
2000-01-12,100.62,0.0597,0.2391,,,,,100.3991,2.2353
2000-01-13,101.0,0.3777,0.3477,,,,,100.7783,2.6214
2000-01-14,101.72,0.7129,0.9127,,,,,101.4967,3.353
2000-01-17,102.05,0.3244,1.0496,,,,,101.826,3.6883
2000-01-18,101.86,-0.1862,1.2928,,,,,101.6364,3.4952
2000-01-19,101.76,-0.0982,1.133,,,,,101.5366,3.3936
2000-01-20,101.36,-0.3931,0.3564,,,,,101.1375,2.9872
2000-01-21,101.76,0.3946,0.0393,,,,,101.5366,3.3936
2000-01-24,102.2,0.4324,0.147,,,,,101.9756,3.8407
2000-01-25,102.41,0.2055,0.54,,,,,102.1852,4.0541
2000-01-26,102.44,0.0293,0.6682,,,,,102.2151,4.0845
2000-01-27,103.17,0.7126,1.7857,,,,,102.9435,4.8263
2000-01-28,104.48,1.2698,2.673,,,,,104.2507,6.1573
2000-01-31,105.13,0.6221,2.8669,,,,,104.8992,6.8177
2000-02-01,104.92,-0.1998,2.4509,4.6897,,,,104.6897,6.6043
2000-02-02,104.79,-0.1239,2.294,4.3621,,,,104.56,6.4723
2000-02-03,103.8,-0.9447,0.6106,3.4071,,,,103.5721,5.4664
2000-02-04,104.29,0.4721,-0.1819,3.6165,,,,104.0611,5.9642
2000-02-07,104.64,0.3356,-0.4661,3.8095,,,,104.4103,6.3199
2000-02-08,104.22,-0.4014,-0.6672,3.1983,,,,103.9912,5.8931
2000-02-09,103.68,-0.5181,-1.0593,3.1026,,,,103.4524,5.3444
2000-02-10,104.13,0.434,0.3179,3.4884,,,,103.9014,5.8017
2000-02-11,104.19,0.0576,-0.0959,3.1584,,,,103.9613,5.8626
2000-02-14,104.72,0.5087,0.0765,2.9493,,,,104.4901,6.4011
2000-02-15,104.69,-0.0286,0.451,2.587,,,,104.4602,6.3707
2000-02-16,104.28,-0.3916,0.5787,2.3758,,,,104.0511,5.9541
2000-02-17,104.27,-0.0096,0.1344,2.4666,,,,104.0411,5.9439
2000-02-18,104.63,0.3453,0.4223,3.2261,,,,104.4003,6.3097
2000-02-21,104.58,-0.0478,-0.1337,2.7712,,,,104.3504,6.2589
2000-02-22,103.28,-1.2431,-1.3468,1.0568,,,,103.0533,4.938
2000-02-23,103.53,0.2421,-0.7192,1.0936,,,,103.3027,5.192
2000-02-24,104.01,0.4636,-0.2493,1.5326,,,,103.7817,5.6797
2000-02-25,105.26,1.2018,0.6021,2.0258,,,,105.0289,6.9498
2000-02-28,105.27,0.0095,0.6598,0.7561,,,,105.0389,6.96
2000-02-29,105.92,0.6175,2.5562,0.7515,,,,105.6875,7.6204
2000-03-01,104.89,-0.9724,1.3136,-0.0286,,,,104.6597,6.5739
2000-03-02,105.65,0.7246,1.5768,0.8207,,,,105.4181,7.3461
2000-03-03,106.0,0.3313,0.703,2.1195,,,,105.7673,7.7017
2000-03-06,106.16,0.1509,0.8455,1.7931,,,,105.927,7.8643
2000-03-07,106.09,-0.0659,0.1605,1.3857,,,,105.8571,7.7931
2000-03-08,105.93,-0.1508,0.9915,1.6408,,,,105.6975,7.6306
2000-03-09,105.37,-0.5286,-0.265,1.63,,,,105.1387,7.0616
2000-03-10,105.71,0.3227,-0.2736,1.5173,,,,105.4779,7.407
2000-03-13,105.5,-0.1987,-0.6217,1.2573,,,,105.2684,7.1937
2000-03-14,105.3,-0.1896,-0.7446,0.5539,,,,105.0689,6.9905
2000-03-15,105.38,0.076,-0.5192,0.6591,,,,105.1487,7.0717
2000-03-16,105.18,-0.1898,-0.1803,0.8631,,,,104.9491,6.8685
2000-03-17,105.2,0.019,-0.4825,0.8919,,,,104.9691,6.8888
2000-03-20,105.15,-0.0475,-0.3318,0.497,,,,104.9192,6.838
2000-03-21,105.81,0.6277,0.4843,1.1761,,,,105.5777,7.5086
2000-03-22,106.04,0.2174,0.6263,2.6723,,,,105.8072,7.7423
2000-03-23,105.23,-0.7639,0.0475,1.642,,,,104.999,6.9193
2000-03-24,104.77,-0.4371,-0.4087,0.7307,,,,104.54,6.4519
2000-03-27,105.45,0.649,0.2853,0.1805,,,,105.2185,7.1429
2000-03-28,105.53,0.0759,-0.2646,0.247,,,,105.2983,7.2241
2000-03-29,106.25,0.6823,0.198,0.3116,,,,106.0168,7.9557
2000-03-30,105.47,-0.7341,0.2281,0.553,5.2385,,,105.2385,7.1632
2000-03-31,105.44,-0.0284,0.6395,-0.1988,5.0095,,,105.2085,7.1327
2000-04-03,105.54,0.0948,0.0854,-0.434,5.1405,,,105.3083,7.2343
2000-04-04,105.17,-0.3506,-0.3411,-0.9326,4.4908,,,104.9391,6.8584
2000-04-05,105.29,0.1141,-0.9035,-0.7541,4.4544,,,105.0589,6.9803
2000-04-06,105.52,0.2184,0.0474,-0.3871,4.4856,,,105.2884,7.214
2000-04-07,105.97,0.4265,0.5027,0.5694,5.3799,,,105.7374,7.6712
2000-04-10,105.68,-0.2737,0.1327,-0.0284,5.0288,,,105.448,7.3766
2000-04-11,105.94,0.246,0.7322,0.4171,4.8911,,,105.7074,7.6407
2000-04-12,105.96,0.0189,0.6363,0.6268,4.1683,,,105.7274,7.661
2000-04-13,106.14,0.1699,0.5876,0.7212,4.0078,,,105.907,7.8439
2000-04-14,105.75,-0.3674,-0.2076,0.5419,3.819,,,105.5179,7.4477
2000-04-17,106.13,0.3593,0.4258,0.884,4.2944,,,105.897,7.8338
2000-04-18,106.63,0.4711,0.6513,1.4075,5.1993,,,106.3959,8.3418
2000-04-19,107.13,0.4689,1.1042,1.2475,5.2771,,,106.8948,8.8498
2000-04-20,107.45,0.2987,1.2342,1.3297,5.137,,,107.2141,9.175
2000-04-24,107.28,-0.1582,1.4468,1.9481,4.7554,,,107.0445,9.0022
2000-04-25,108.69,1.3143,2.4121,3.7415,6.1011,,,108.4514,10.4349
2000-04-26,108.55,-0.1288,1.8006,2.9398,5.2147,,,108.3117,10.2926
2000-04-27,109.57,0.9397,2.2776,3.8283,4.8717,,,109.3295,11.329
2000-04-28,110.14,0.5202,2.5035,3.6612,4.7655,,,109.8982,11.9082
2000-05-01,109.63,-0.463,2.1905,3.9442,4.4891,,,109.3893,11.39
2000-05-02,110.26,0.5747,1.4445,4.5713,5.22,,,110.018,12.0301
2000-05-03,111.26,0.9069,2.4965,5.4197,7.1869,,,111.0158,13.0461
2000-05-04,111.8,0.4854,2.0352,6.3041,7.2011,,,111.5546,13.5948
2000-05-05,111.31,-0.4383,1.0623,5.7175,6.3742,,,111.0657,13.0969
2000-05-08,111.45,0.1258,1.6601,5.6198,6.9372,,,111.2053,13.2392
2000-05-09,110.75,-0.6281,0.4444,4.5107,6.8191,,,110.5069,12.5279
2000-05-10,110.8,0.0451,-0.4134,4.8448,6.4055,,,110.5568,12.5787
2000-05-11,111.52,0.6498,-0.2505,5.2671,7.0352,,,111.2752,13.3103
2000-05-12,109.9,-1.4526,-1.2667,3.7184,4.9465,,,109.6588,11.6643
2000-05-15,110.56,0.6005,-0.7986,4.1643,5.607,,,110.3173,12.3349
2000-05-16,111.31,0.6784,0.5056,5.2577,6.7415,,,111.0657,13.0969
2000-05-17,112.1,0.7097,1.1733,5.6252,7.5094,,,111.8539,13.8996
2000-05-18,112.21,0.0981,0.6187,5.2331,7.2446,,,111.9637,14.0114
2000-05-19,111.47,-0.6595,1.4286,4.0512,6.5883,,,111.2253,13.2595
2000-05-22,111.06,-0.3678,0.4522,3.3597,7.5329,,,110.8162,12.8429
2000-05-23,111.14,0.072,-0.1527,3.5981,7.3505,,,110.896,12.9242
2000-05-24,111.22,0.072,-0.785,2.3277,6.932,,,110.9759,13.0055
2000-05-25,110.75,-0.4226,-1.3011,2.0267,5.2157,,,110.5069,12.5279
2000-05-26,109.12,-1.4718,-2.1082,-0.4107,3.6573,,,108.8805,10.8718
2000-05-30,108.93,-0.1741,-1.9179,-1.0986,2.8418,,,108.6909,10.6787
2000-05-31,108.74,-0.1744,-2.1594,-0.8118,3.6705,,,108.5013,10.4857
2000-06-01,109.05,0.2851,-1.9511,-1.0974,3.2182,,,108.8106,10.8007
2000-06-02,108.12,-0.8528,-2.3747,-2.8222,2.0,,,107.8827,9.8557
2000-06-05,107.46,-0.6104,-1.5213,-3.8819,1.2246,,,107.2241,9.1851
