date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,4.38,,,,
2000-02-01,4.5451,0.1652,,,
2000-03-01,4.588,0.0428,,,
2000-04-01,4.5759,-0.0121,0.1959,,
2000-05-01,5.0022,0.4263,0.457,,
2000-06-01,5.0204,0.0182,0.4325,,
2000-07-01,5.1898,0.1694,0.6139,0.8098,
2000-08-01,5.2833,0.0935,0.2812,0.7382,
2000-09-01,5.222,-0.0614,0.2015,0.634,
2000-10-01,5.1684,-0.0536,-0.0214,0.5925,
2000-11-01,5.1168,-0.0515,-0.1665,0.1147,
2000-12-01,4.7364,-0.3805,-0.4856,-0.2841,
2001-01-01,4.4916,-0.2448,-0.6768,-0.6982,0.1116
2001-02-01,4.5173,0.0257,-0.5995,-0.766,-0.0278
2001-03-01,4.3741,-0.1432,-0.3623,-0.8479,-0.2139
2001-04-01,4.4516,0.0775,-0.04,-0.7168,-0.1243
2001-05-01,4.5101,0.0585,-0.0072,-0.6068,-0.4921
2001-06-01,4.3415,-0.1686,-0.0326,-0.3948,-0.6789
2001-07-01,4.3271,-0.0144,-0.1245,-0.1645,-0.8627
2001-08-01,4.1071,-0.22,-0.4029,-0.4102,-1.1762
2001-09-01,3.773,-0.3342,-0.5685,-0.6011,-1.449
2001-10-01,3.4384,-0.3346,-0.8887,-1.0132,-1.73
2001-11-01,3.3581,-0.0803,-0.749,-1.152,-1.7587
2001-12-01,3.6574,0.2993,-0.1155,-0.6841,-1.0789
2002-01-01,3.8411,0.1836,0.4026,-0.4861,-0.6505
2002-02-01,3.9619,0.1209,0.6038,-0.1452,-0.5554
2002-03-01,4.246,0.2841,0.5886,0.473,-0.1281
2002-04-01,4.2074,-0.0386,0.3664,0.769,-0.2441
2002-05-01,4.2525,0.0451,0.2906,0.8944,-0.2576
2002-06-01,4.1012,-0.1513,-0.1448,0.4438,-0.2403
2002-07-01,3.8032,-0.298,-0.4042,-0.0378,-0.5239
2002-08-01,3.4655,-0.3378,-0.787,-0.4965,-0.6417
2002-09-01,3.1931,-0.2724,-0.9082,-1.053,-0.5799
2002-10-01,3.1281,-0.065,-0.6751,-1.0794,-0.3103
2002-11-01,3.0415,-0.0866,-0.4239,-1.211,-0.3166
2002-12-01,2.8376,-0.204,-0.3555,-1.2637,-0.8199
2003-01-01,2.636,-0.2015,-0.4921,-1.1672,-1.205
2003-02-01,2.4501,-0.1859,-0.5914,-1.0154,-1.5118
2003-03-01,2.4999,0.0499,-0.3376,-0.6931,-1.7461
2003-04-01,2.5898,0.0899,-0.0462,-0.5383,-1.6176
2003-05-01,2.306,-0.2838,-0.1441,-0.7355,-1.9465
2003-06-01,2.0757,-0.2303,-0.4242,-0.7618,-2.0255
2003-07-01,2.3006,0.2249,-0.2893,-0.3354,-1.5027
2003-08-01,2.632,0.3314,0.326,0.1819,-0.8335
2003-09-01,2.5299,-0.102,0.4542,0.03,-0.6631
2003-10-01,2.5867,0.0568,0.2861,-0.0031,-0.5414
2003-11-01,2.7002,0.1135,0.0683,0.3942,-0.3413
2003-12-01,2.5815,-0.1188,0.0515,0.5058,-0.2561
2004-01-01,2.4085,-0.1729,-0.1782,0.1079,-0.2275
2004-02-01,2.3764,-0.0321,-0.3239,-0.2556,-0.0737
2004-03-01,2.1603,-0.2161,-0.4212,-0.3697,-0.3397
2004-04-01,2.3879,0.2276,-0.0206,-0.1988,-0.2019
2004-05-01,2.5469,0.159,0.1706,-0.1533,0.2409
2004-06-01,2.7367,0.1898,0.5764,0.1553,0.661
2004-07-01,2.6984,-0.0383,0.3105,0.2899,0.3979
2004-08-01,2.5327,-0.1657,-0.0142,0.1563,-0.0993
2004-09-01,2.5954,0.0627,-0.1413,0.4351,0.0655
2004-10-01,2.4716,-0.1238,-0.2268,0.0837,-0.1151
2004-11-01,2.4136,-0.058,-0.1191,-0.1333,-0.2866
2004-12-01,2.3612,-0.0524,-0.2342,-0.3755,-0.2202
2005-01-01,2.39,0.0287,-0.0817,-0.3085,-0.0185
2005-02-01,2.4547,0.0647,0.0411,-0.078,0.0783
