date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-02-04,3.25,,,,
2000-03-17,3.5,0.25,,,
2000-04-28,3.75,0.25,,,
2000-06-09,4.25,0.5,1.0,,
2008-10-15,3.75,-0.5,0.25,,
2008-11-12,3.25,-0.5,-0.5,,
2008-12-10,2.5,-0.75,-1.75,-0.75,
2009-01-21,2.0,-0.5,-1.75,-1.5,
2009-03-11,1.5,-0.5,-1.75,-2.25,
2009-04-08,1.25,-0.25,-1.25,-3.0,
2009-05-13,1.0,-0.25,-1.0,-2.75,
2011-04-13,1.25,0.25,-0.25,-2.0,
2011-07-13,1.5,0.25,0.25,-1.0,-1.75
2011-11-09,1.25,-0.25,0.25,-0.75,-2.25
2011-12-14,1.0,-0.25,-0.25,-0.5,-2.75
2012-07-11,0.75,-0.25,-0.75,-0.5,-3.5
2013-05-08,0.5,-0.25,-0.75,-0.5,-3.25
2013-11-13,0.25,-0.25,-0.75,-1.0,-3.0
2014-06-11,0.15,-0.1,-0.6,-1.35,-2.35
2014-09-10,0.05,-0.1,-0.45,-1.2,-1.95
2015-12-09,0.05,0.0,-0.2,-0.95,-1.45
2016-03-16,0.0,-0.05,-0.15,-0.75,-1.25
2019-09-18,0.0,0.0,-0.05,-0.5,-1.0
2022-07-27,0.5,0.5,0.45,0.25,-0.75
2022-09-14,1.25,0.75,1.25,1.1,-0.25
2022-11-02,2.0,0.75,2.0,1.95,0.75
2022-12-21,2.5,0.5,2.0,2.45,1.5
2023-02-08,3.0,0.5,1.75,3.0,2.25
2023-03-22,3.5,0.5,1.5,3.5,3.0
2023-05-10,3.75,0.25,1.25,3.25,3.5
2023-06-21,4.0,0.25,1.0,2.75,3.85
2023-08-02,4.25,0.25,0.75,2.25,4.2
2023-09-20,4.5,0.25,0.75,2.0,4.45
2024-06-12,4.25,-0.25,0.25,1.25,4.25
2024-09-18,3.65,-0.6,-0.6,0.15,3.65
2024-10-23,3.4,-0.25,-1.1,-0.35,2.9
2024-12-18,3.15,-0.25,-1.1,-0.85,1.9
2025-02-05,2.9,-0.25,-0.75,-1.35,0.9
2025-03-12,2.65,-0.25,-0.75,-1.85,0.15
2025-04-23,2.4,-0.25,-0.75,-1.85,-0.6
2025-06-11,2.15,-0.25,-0.75,-1.5,-1.35
