date,value,chg_1m,chg_3m,chg_6m,chg_1y
2019-10-01,-0.549,,,,
2019-10-02,-0.551,-0.002,,,
2019-10-03,-0.555,-0.004,,,
2019-10-04,-0.553,0.002,-0.004,,
2019-10-07,-0.554,-0.001,-0.003,,
2019-10-08,-0.552,0.002,0.003,,
2019-10-09,-0.552,0.0,0.001,-0.003,
2019-10-10,-0.552,0.0,0.002,-0.001,
2019-10-11,-0.55,0.002,0.002,0.005,
2019-10-14,-0.549,0.001,0.003,0.004,
2019-10-15,-0.551,-0.002,0.001,0.003,
2019-10-16,-0.548,0.003,0.002,0.004,
2019-10-17,-0.548,0.0,0.001,0.004,0.001
2019-10-18,-0.547,0.001,0.004,0.005,0.004
2019-10-21,-0.549,-0.002,-0.001,0.001,0.006
2019-10-22,-0.548,0.001,0.0,0.001,0.005
2019-10-23,-0.547,0.001,0.0,0.004,0.007
2019-10-24,-0.548,-0.001,0.001,0.0,0.004
2019-10-25,-0.548,0.0,0.0,0.0,0.004
2019-10-28,-0.548,0.0,-0.001,-0.001,0.004
2019-10-29,-0.545,0.003,0.003,0.004,0.005
2019-10-30,-0.545,0.0,0.003,0.003,0.004
2019-10-31,-0.543,0.002,0.005,0.004,0.008
2019-11-01,-0.549,-0.006,-0.004,-0.001,-0.001
2019-11-04,-0.536,0.013,0.009,0.012,0.012
2019-11-05,-0.541,-0.005,0.002,0.007,0.006
2019-11-06,-0.539,0.002,0.01,0.006,0.01
2019-11-07,-0.537,0.002,-0.001,0.008,0.011
2019-11-08,-0.54,-0.003,0.001,0.003,0.007
2019-11-11,-0.541,-0.001,-0.002,0.008,0.007
2019-11-12,-0.537,0.004,0.0,-0.001,0.011
2019-11-13,-0.531,0.006,0.009,0.01,0.017
2019-11-14,-0.536,-0.005,0.005,0.003,0.009
2019-11-15,-0.541,-0.005,-0.004,-0.004,0.004
2019-11-18,-0.541,0.0,-0.01,-0.001,0.002
2019-11-19,-0.542,-0.001,-0.006,-0.001,0.007
2019-11-20,-0.511,0.031,0.03,0.026,0.025
2019-11-21,-0.542,-0.031,-0.001,-0.011,-0.001
2019-11-22,-0.536,0.006,0.006,0.0,0.003
2019-11-25,-0.533,0.003,-0.022,0.008,0.004
2019-11-26,-0.533,0.0,0.009,0.008,0.007
2019-11-27,-0.533,0.0,0.003,0.009,0.008
2019-11-28,-0.531,0.002,0.002,-0.02,0.006
2019-11-29,-0.532,-0.001,0.001,0.01,-0.001
2019-12-02,-0.541,-0.009,-0.008,-0.005,-0.005
2019-12-03,-0.539,0.002,-0.008,-0.006,0.002
2019-12-04,-0.54,-0.001,-0.008,-0.007,0.001
2019-12-05,-0.54,0.0,0.001,-0.007,0.002
2019-12-06,-0.541,-0.001,-0.002,-0.01,-0.03
2019-12-09,-0.541,0.0,-0.001,-0.009,0.001
2019-12-10,-0.544,-0.003,-0.004,-0.003,-0.008
2019-12-11,-0.544,0.0,-0.003,-0.005,-0.011
2019-12-12,-0.544,0.0,-0.003,-0.004,-0.011
2019-12-13,-0.543,0.001,0.001,-0.003,-0.01
2019-12-16,-0.543,0.0,0.001,-0.002,-0.012
2019-12-17,-0.536,0.007,0.008,0.005,-0.004
2019-12-18,-0.54,-0.004,0.003,0.004,0.001
2019-12-19,-0.54,0.0,0.003,0.004,-0.001
2019-12-20,-0.54,0.0,-0.004,0.004,0.0
2019-12-23,-0.545,-0.005,-0.005,-0.002,-0.005
2019-12-24,-0.549,-0.004,-0.009,-0.006,-0.008
2019-12-27,-0.542,0.007,-0.002,-0.006,-0.001
2019-12-30,-0.541,0.001,0.004,-0.001,0.003
2019-12-31,-0.531,0.01,0.018,0.009,0.013
2020-01-02,-0.539,-0.008,0.003,0.001,0.005
2020-01-03,-0.537,0.002,0.004,0.008,0.006
2020-01-06,-0.539,-0.002,-0.008,0.01,0.004
2020-01-07,-0.54,-0.001,-0.001,0.002,-0.004
2020-01-08,-0.536,0.004,0.001,0.005,0.004
2020-01-09,-0.539,-0.003,0.0,-0.008,0.001
2020-01-10,-0.538,0.001,0.002,0.001,0.002
2020-01-13,-0.537,0.001,-0.001,0.0,0.008
2020-01-14,-0.538,-0.001,0.001,0.001,0.011
2020-01-15,-0.538,0.0,0.0,0.002,0.004
2020-01-16,-0.536,0.002,0.001,0.0,0.005
2020-01-17,-0.537,-0.001,0.001,0.002,-0.006
2020-01-20,-0.538,-0.001,0.0,0.0,0.001
2020-01-21,-0.535,0.003,0.001,0.002,0.002
2020-01-22,-0.536,-0.001,0.001,0.002,0.003
2020-01-23,-0.537,-0.001,0.001,0.001,0.003
2020-01-24,-0.537,0.0,-0.002,-0.001,-0.001
2020-01-27,-0.538,-0.001,-0.002,-0.001,0.001
2020-01-28,-0.536,0.002,0.001,0.002,0.002
2020-01-29,-0.54,-0.004,-0.003,-0.005,-0.003
2020-01-30,-0.539,0.001,-0.001,-0.003,-0.001
2020-01-31,-0.539,0.0,-0.003,-0.002,-0.001
2020-02-03,-0.537,0.002,0.003,0.0,-0.001
2020-02-04,-0.536,0.001,0.003,0.002,0.001
2020-02-05,-0.536,0.0,0.003,0.0,0.002
2020-02-06,-0.535,0.001,0.002,0.005,0.0
2020-02-07,-0.537,-0.002,-0.001,0.002,-0.001
2020-02-10,-0.537,0.0,-0.001,0.002,0.0
2020-02-11,-0.541,-0.004,-0.006,-0.004,-0.004
2020-02-12,-0.541,0.0,-0.004,-0.005,-0.003
2020-02-13,-0.54,0.001,-0.003,-0.004,-0.004
2020-02-14,-0.538,0.002,0.003,-0.003,0.002
2020-02-17,-0.541,-0.003,0.0,-0.004,-0.002
2020-02-18,-0.536,0.005,0.004,0.001,0.003
2020-02-19,-0.538,-0.002,0.0,0.003,-0.001
2020-02-20,-0.538,0.0,0.003,0.003,-0.002
2020-02-21,-0.539,-0.001,-0.003,0.001,-0.003
2020-02-24,-0.54,-0.001,-0.002,-0.002,-0.005
2020-02-25,-0.539,0.001,-0.001,0.002,-0.002
2020-02-26,-0.539,0.0,0.0,-0.003,-0.002
2020-02-27,-0.538,0.001,0.002,0.0,0.003
2020-02-28,-0.54,-0.002,-0.001,-0.002,0.001
2020-03-02,-0.542,-0.002,-0.003,-0.003,-0.002
2020-03-03,-0.542,0.0,-0.004,-0.002,-0.004
2020-03-04,-0.541,0.001,-0.001,-0.002,0.0
2020-03-05,-0.54,0.001,0.002,-0.001,-0.004
2020-03-06,-0.541,-0.001,0.001,-0.003,-0.003
2020-03-09,-0.539,0.002,0.002,0.001,-0.001
2020-03-10,-0.541,-0.002,-0.001,0.001,-0.002
2020-03-11,-0.543,-0.002,-0.002,-0.001,-0.003
2020-03-12,-0.54,0.003,-0.001,0.001,-0.001
2020-03-13,-0.541,-0.001,0.0,-0.001,-0.002
2020-03-16,-0.536,0.005,0.007,0.005,0.002
2020-03-17,-0.531,0.005,0.009,0.008,0.009
2020-03-18,-0.529,0.002,0.012,0.012,0.013
2020-03-19,-0.526,0.003,0.01,0.017,0.016
2020-03-20,-0.524,0.002,0.007,0.016,0.017
2020-03-23,-0.525,-0.001,0.004,0.016,0.015
2020-03-24,-0.527,-0.002,-0.001,0.009,0.014
2020-03-25,-0.527,0.0,-0.003,0.004,0.012
2020-03-26,-0.529,-0.002,-0.004,0.0,0.012
2020-03-27,-0.53,-0.001,-0.003,-0.004,0.013
2020-03-30,-0.528,0.002,-0.001,-0.004,0.012
2020-03-31,-0.522,0.006,0.007,0.003,0.019
2020-04-01,-0.527,-0.005,0.003,0.0,0.009
2020-04-02,-0.534,-0.007,-0.006,-0.007,-0.003
2020-04-03,-0.539,-0.005,-0.017,-0.01,-0.01
2020-04-06,-0.533,0.006,-0.006,-0.003,-0.007
2020-04-07,-0.533,0.0,0.001,-0.005,-0.009
2020-04-08,-0.535,-0.002,0.004,-0.013,-0.01
2020-04-09,-0.536,-0.001,-0.003,-0.009,-0.009
2020-04-14,-0.534,0.002,-0.001,0.0,-0.007
2020-04-15,-0.535,-0.001,0.0,0.004,-0.006
2020-04-16,-0.534,0.001,0.002,-0.001,-0.004
2020-04-17,-0.538,-0.004,-0.004,-0.005,-0.01
2020-04-20,-0.541,-0.003,-0.006,-0.006,-0.019
2020-04-21,-0.541,0.0,-0.007,-0.005,-0.014
