date,value,pct_1m,pct_3m,pct_1y
2000-01-01,1.5421,,,
2000-02-01,1.5642,1.4331,,
2000-03-01,1.5827,1.1822,,
2000-04-01,1.5878,0.3211,2.9617,
2000-05-01,1.5703,-1.1032,0.3872,
2000-06-01,1.5967,1.6844,0.8855,
2000-07-01,1.5978,0.0652,0.6281,
2000-08-01,1.5575,-2.5244,-0.8179,
2000-09-01,1.5749,1.1215,-1.3669,
2000-10-01,1.6176,2.7083,1.2384,
2000-11-01,1.6387,1.3047,5.2153,
2000-12-01,1.6422,0.2166,4.2737,
2001-01-01,1.6891,2.8562,4.4238,9.5318
2001-02-01,1.7236,2.0427,5.1845,10.1901
2001-03-01,1.8072,4.8474,10.0448,14.1815
2001-04-01,1.7847,-1.2431,5.6591,12.4013
2001-05-01,1.6813,-5.7974,-2.4588,7.0661
2001-06-01,1.6469,-2.0417,-8.8678,3.1428
2001-07-01,1.689,2.5518,-5.3659,5.7059
2001-08-01,1.7169,1.6564,2.122,10.2397
2001-09-01,1.8036,5.0456,9.5105,14.5176
2001-10-01,1.7955,-0.4445,6.3109,11.0023
2001-11-01,1.7172,-4.3642,0.0147,4.7907
2001-12-01,1.7348,1.0264,-3.8121,5.6374
2002-01-01,1.7094,-1.4677,-4.8006,1.1967
2002-02-01,1.6963,-0.7617,-1.2146,-1.5844
2002-03-01,1.6695,-1.5825,-3.7656,-7.6199
2002-04-01,1.6537,-0.9432,-3.2534,-7.3394
2002-05-01,1.6662,0.7519,-1.7778,-0.8973
2002-06-01,1.6793,0.7855,0.5855,1.9628
2002-07-01,1.7922,6.7245,8.3716,6.1117
2002-08-01,1.8045,0.6891,8.304,5.1019
2002-09-01,1.7927,-0.6573,6.7537,-0.604
2002-10-01,1.7831,-0.5351,-0.508,-0.6945
2002-11-01,1.7847,0.0926,-1.0974,3.9333
2002-12-01,1.8076,1.2812,0.8325,4.1955
2003-01-01,1.8218,0.7879,2.1737,6.5807
2003-02-01,1.8112,-0.5844,1.4827,6.7711
2003-03-01,1.795,-0.8965,-0.6994,7.5153
2003-04-01,1.7813,-0.7609,-2.2253,7.7132
2003-05-01,1.7866,0.2954,-1.36,7.2252
2003-06-01,1.7552,-1.7549,-2.2144,4.5225
2003-07-01,1.7184,-2.0981,-3.5321,-4.1181
2003-08-01,1.7114,-0.4075,-4.2081,-5.1623
2003-09-01,1.6967,-0.8549,-3.3306,-5.351
2003-10-01,1.6867,-0.5931,-1.8445,-5.4061
2003-11-01,1.6337,-3.1397,-4.5374,-8.4609
2003-12-01,1.6626,1.7703,-2.0096,-8.0188
2004-01-01,1.6374,-1.5159,-2.9193,-10.1213
2004-02-01,1.626,-0.7013,-0.4753,-10.227
2004-03-01,1.637,0.6766,-1.5449,-8.802
2004-04-01,1.6142,-1.3935,-1.4225,-9.3833
2004-05-01,1.7033,5.5227,4.7563,-4.6605
2004-06-01,1.7483,2.6441,6.8035,-0.3916
2004-07-01,1.7135,-1.9907,6.1566,-0.2823
2004-08-01,1.7147,0.069,0.6701,0.1947
2004-09-01,1.7396,1.4519,-0.4992,2.526
2004-10-01,1.7049,-1.9925,-0.501,1.0826
2004-11-01,1.6867,-1.0721,-1.6356,3.2404
2004-12-01,1.7462,3.5298,0.3791,5.0253
2005-01-01,1.7147,-1.8061,0.5701,4.7158
2005-02-01,1.667,-2.78,-1.1661,2.5237
2005-03-01,1.6806,0.8173,-3.7556,2.667
2005-04-01,1.6738,-0.4072,-2.3845,3.694
2005-05-01,1.6571,-0.999,-0.5963,-2.7148
2005-06-01,1.5875,-4.1991,-5.5424,-9.2007
2005-07-01,1.6002,0.8014,-4.3961,-6.614
2005-08-01,1.6144,0.8888,-2.5731,-5.8489
2005-09-01,1.6009,-0.8387,0.8444,-7.9746
2005-10-01,1.5937,-0.4483,-0.4059,-6.5247
2005-11-01,1.603,0.581,-0.7097,-4.9627
2005-12-01,1.5979,-0.3132,-0.1836,-8.4905
2006-01-01,1.6152,1.0777,1.3465,-5.8031
2006-02-01,1.6102,-0.3086,0.4502,-3.4085
2006-03-01,1.654,2.722,3.5087,-1.5836
2006-04-01,1.6662,0.7397,3.1625,-0.4503
2006-05-01,1.6715,0.3147,3.8075,0.8707
2006-06-01,1.7104,2.3265,3.4077,7.7416
2006-07-01,1.6869,-1.3735,1.2386,5.4169
2006-08-01,1.6788,-0.4762,0.4404,3.9907
