date,value,pct_1m,pct_3m,pct_1y
2000-01-01,1.7987,,,
2000-02-01,1.7602,-2.1407,,
2000-03-01,1.6809,-4.5064,,
2000-04-01,1.6712,-0.5778,-7.0906,
2000-05-01,1.6545,-0.9992,-6.0068,
2000-06-01,1.7182,3.8527,2.2209,
2000-07-01,1.6906,-1.6063,1.1635,
2000-08-01,1.634,-3.3497,-1.2385,
2000-09-01,1.6018,-1.9682,-6.7739,
2000-10-01,1.6057,0.2434,-5.0213,
2000-11-01,1.6665,3.7853,1.9903,
2000-12-01,1.7625,5.7593,10.0298,
2001-01-01,1.835,4.1143,14.2786,2.0174
2001-02-01,1.8473,0.6686,10.8467,4.946
2001-03-01,1.9012,2.9178,7.8685,13.1051
2001-04-01,1.9578,2.9776,6.6909,17.1499
2001-05-01,2.0004,2.179,8.2916,20.9106
2001-06-01,2.0302,1.4874,6.7865,18.1568
2001-07-01,2.1218,4.5149,8.3806,25.5075
2001-08-01,2.2588,6.455,12.9161,38.2397
2001-09-01,2.4287,7.5195,19.6275,51.6187
2001-10-01,2.4812,2.1643,16.9371,54.524
2001-11-01,2.2667,-8.6466,0.3485,36.0143
2001-12-01,2.1135,-6.7581,-12.9768,19.9161
2002-01-01,2.1003,-0.6236,-15.3515,14.4591
2002-02-01,2.1097,0.445,-6.9272,14.2049
2002-03-01,2.056,-2.5438,-2.7206,8.1443
2002-04-01,2.0547,-0.0644,-2.1731,4.9497
2002-05-01,2.2705,10.5037,7.6234,13.5001
2002-06-01,2.588,13.9842,25.8756,27.4761
2002-07-01,2.8935,11.8044,40.8251,36.3671
2002-08-01,3.0461,5.2742,34.1608,34.8546
2002-09-01,3.2586,6.9766,25.9128,34.1737
2002-10-01,3.7272,14.3811,28.8146,50.2182
2002-11-01,3.5853,-3.8092,17.7001,58.1727
2002-12-01,3.6984,3.1548,13.4952,74.9886
2003-01-01,3.6527,-1.236,-2.001,73.9103
2003-02-01,3.8652,5.8198,7.809,83.2162
2003-03-01,3.7413,-3.2057,1.1616,81.9719
2003-04-01,3.3952,-9.2506,-7.0476,65.2448
2003-05-01,3.4239,0.8458,-11.4167,50.8027
2003-06-01,3.3661,-1.6896,-10.0293,30.066
2003-07-01,3.2699,-2.8566,-3.6902,13.0103
2003-08-01,3.3452,2.3006,-2.3009,9.8182
2003-09-01,3.2793,-1.97,-2.5795,0.634
2003-10-01,3.3468,2.0584,2.3496,-10.2077
2003-11-01,3.4053,1.7502,1.799,-5.0181
2003-12-01,3.5941,5.5429,9.6007,-2.8192
2004-01-01,3.5997,0.1569,7.5586,-1.4487
