date,value,pct_1m,pct_3m,pct_1y
2000-01-01,1.4687,,,
2000-02-01,1.427,-2.8332,,
2000-03-01,1.4082,-1.3238,,
2000-04-01,1.389,-1.3581,-5.4216,
2000-05-01,1.3549,-2.4547,-5.0532,
2000-06-01,1.4018,3.4604,-0.4498,
2000-07-01,1.3886,-0.9406,-0.0284,
2000-08-01,1.3406,-3.4597,-1.0584,
2000-09-01,1.2945,-3.4364,-7.6539,
2000-10-01,1.2924,-0.1669,-6.9327,
2000-11-01,1.3204,2.1694,-1.5061,
2000-12-01,1.3679,3.5978,5.6686,
2001-01-01,1.4098,3.0614,9.0855,-4.0085
2001-02-01,1.4027,-0.5048,6.2303,-1.7083
2001-03-01,1.4167,0.9999,3.5664,0.6064
2001-04-01,1.3903,-1.8655,-1.3845,0.0889
2001-05-01,1.3473,-3.0909,-3.9478,-0.5639
2001-06-01,1.3016,-3.3949,-8.1273,-7.1526
2001-07-01,1.3153,1.059,-5.3894,-5.2784
2001-08-01,1.3857,5.3518,2.8531,3.3671
2001-09-01,1.426,2.9057,9.5611,10.1559
2001-10-01,1.4224,-0.2503,8.1416,10.0639
2001-11-01,1.4153,-0.5019,2.1329,7.1862
2001-12-01,1.4075,-0.549,-1.2958,2.8958
2002-01-01,1.4135,0.4228,-0.6298,0.2615
2002-02-01,1.388,-1.8032,-1.9294,-1.0469
2002-03-01,1.3902,0.1635,-1.2267,-1.8664
2002-04-01,1.4008,0.7578,-0.8973,0.7569
2002-05-01,1.421,1.4437,2.3797,5.4716
2002-06-01,1.4627,2.9342,5.2117,12.3816
2002-07-01,1.5321,4.7467,9.3768,16.4824
2002-08-01,1.5333,0.0772,7.9035,10.6505
2002-09-01,1.5434,0.6603,5.5198,8.2362
2002-10-01,1.5481,0.3031,1.0434,8.8367
2002-11-01,1.5735,1.6424,2.6237,11.1823
2002-12-01,1.5872,0.8648,2.8321,12.7628
2003-01-01,1.6364,3.1044,5.704,15.7739
2003-02-01,1.6299,-0.3973,3.5828,17.4314
2003-03-01,1.5943,-2.1857,0.4502,14.6772
2003-04-01,1.5851,-0.5783,-3.1378,13.1565
2003-05-01,1.6016,1.0413,-1.7387,12.7076
2003-06-01,1.5798,-1.3617,-0.911,8.0037
2003-07-01,1.5694,-0.6579,-0.9903,2.4311
2003-08-01,1.557,-0.7917,-2.7865,1.5417
2003-09-01,1.533,-1.5393,-2.9615,-0.6772
2003-10-01,1.5489,1.0361,-1.3068,0.0486
2003-11-01,1.5361,-0.827,-1.3419,-2.382
2003-12-01,1.6131,5.0151,5.2257,1.6347
2004-01-01,1.6346,1.3346,5.5366,-0.1099
2004-02-01,1.6817,2.8815,9.483,3.1784
2004-03-01,1.6314,-2.9933,1.1339,2.3265
2004-04-01,1.6068,-1.5058,-1.7009,1.3719
2004-05-01,1.6541,2.9445,-1.6407,3.2813
2004-06-01,1.6492,-0.3007,1.0894,4.3922
2004-07-01,1.622,-1.649,0.9424,3.3507
2004-08-01,1.6007,-1.3129,-3.2322,2.8078
2004-09-01,1.5767,-1.4965,-4.3929,2.8524
2004-10-01,1.56,-1.0573,-3.8176,0.7214
2004-11-01,1.554,-0.3906,-2.9187,1.1646
2004-12-01,1.6333,5.1049,3.5875,1.2512
2005-01-01,1.606,-1.6722,2.9437,-1.7531
2005-02-01,1.6128,0.4224,3.7839,-4.1014
2005-03-01,1.6064,-0.394,-1.6459,-1.5319
2005-04-01,1.5991,-0.4538,-0.4273,-0.4802
2005-05-01,1.5942,-0.3082,-1.1516,-3.6246
2005-06-01,1.5111,-5.2118,-5.9328,-8.372
2005-07-01,1.473,-2.521,-7.8862,-9.1844
2005-08-01,1.4819,0.6066,-7.041,-7.418
2005-09-01,1.4452,-2.4819,-4.3638,-8.3441
2005-10-01,1.4149,-2.0958,-3.9466,-9.3062
2005-11-01,1.3944,-1.4488,-5.9089,-10.2697
2005-12-01,1.3778,-1.1906,-4.663,-15.6443
2006-01-01,1.4025,1.7932,-0.876,-12.6714
2006-02-01,1.3723,-2.151,-1.5823,-14.9093
2006-03-01,1.3919,1.4269,1.0249,-13.3537
2006-04-01,1.4052,0.9557,0.1937,-12.1268
2006-05-01,1.4173,0.859,3.2758,-11.098
2006-06-01,1.4089,-0.5895,1.2226,-6.7627
2006-07-01,1.4303,1.5213,1.7897,-2.8963
2006-08-01,1.4338,0.2405,1.1656,-3.2496
2006-09-01,1.4203,-0.9384,0.8105,-1.7182
2006-10-01,1.4235,0.2259,-0.4759,0.6124
2006-11-01,1.4635,2.8048,2.0701,4.955
2006-12-01,1.5212,3.9455,7.1023,10.4106
2007-01-01,1.5285,0.4784,7.3722,8.9845
2007-02-01,1.5309,0.1592,4.609,11.5576
2007-03-01,1.5472,1.0644,1.7095,11.1588
2007-04-01,1.5334,-0.8912,0.3231,9.1252
2007-05-01,1.4796,-3.5101,-3.3522,4.3981
2007-06-01,1.4293,-3.3967,-7.6183,1.45
2007-07-01,1.4417,0.8671,-5.9794,0.7963
2007-08-01,1.442,0.0213,-2.5383,0.5759
2007-09-01,1.4273,-1.0239,-0.1444,0.4891
2007-10-01,1.3891,-2.6777,-3.6536,-2.4221
2007-11-01,1.4163,1.9649,-1.7815,-3.2193
2007-12-01,1.462,3.2238,2.4337,-3.8913
2008-01-01,1.4862,1.6521,6.9909,-2.7686
2008-02-01,1.474,-0.8172,4.0717,-3.7165
2008-03-01,1.5519,5.2821,6.1469,0.3018
2008-04-01,1.5965,2.8733,7.4221,4.1116
2008-05-01,1.553,-2.7198,5.3615,4.9643
2008-06-01,1.5803,1.7523,1.829,10.559
2008-07-01,1.5974,1.0873,0.0611,10.8004
2008-08-01,1.5765,-1.3111,1.5101,9.3244
2008-09-01,1.5201,-3.5744,-3.8039,6.5072
2008-10-01,1.5646,2.9258,-2.0544,12.6395
2008-11-01,1.5509,-0.8767,-1.6232,9.5005
2008-12-01,1.66,7.034,9.1998,13.5424
2009-01-01,1.6233,-2.2077,3.7534,9.2311
2009-02-01,1.594,-1.8109,2.7755,8.1367
2009-03-01,1.647,3.3251,-0.7859,6.1265
2009-04-01,1.6188,-1.7098,-0.2808,1.3985
2009-05-01,1.5712,-2.9402,-1.4276,1.1688
2009-06-01,1.5761,0.3128,-4.3013,-0.2625
2009-07-01,1.5824,0.4022,-2.245,-0.9385
2009-08-01,1.5522,-1.9121,-1.2096,-1.5417
2009-09-01,1.5752,1.4812,-0.0588,3.6205
2009-10-01,1.5619,-0.8432,-1.2985,-0.174
2009-11-01,1.5805,1.1921,1.8251,1.9095
2009-12-01,1.5397,-2.5821,-2.252,-7.2462
2010-01-01,1.4879,-3.3619,-4.7349,-8.341
2010-02-01,1.4454,-2.8583,-8.5481,-9.3187
2010-03-01,1.3889,-3.9096,-9.7944,-15.6681
2010-04-01,1.3467,-3.039,-9.493,-16.8085
2010-05-01,1.306,-3.0233,-9.6466,-16.8798
2010-06-01,1.2674,-2.9559,-8.7499,-19.5882
2010-07-01,1.3322,5.1147,-1.0763,-15.814
2010-08-01,1.3411,0.6674,2.6884,-13.6001
2010-09-01,1.3515,0.7758,6.6372,-14.2007
2010-10-01,1.4152,4.714,6.2307,-9.3921
2010-11-01,1.3831,-2.2702,3.1308,-12.4922
2010-12-01,1.3327,-3.6449,-1.3933,-13.4469
2011-01-01,1.3277,-0.369,-6.1798,-10.7664
2011-02-01,1.3484,1.5581,-2.5047,-6.7095
2011-03-01,1.3672,1.389,2.5888,-1.5652
2011-04-01,1.3834,1.1882,4.1923,2.7263
2011-05-01,1.3884,0.3643,2.9675,6.3147
2011-06-01,1.4063,1.2889,2.8658,10.965
2011-07-01,1.3638,-3.0242,-1.4165,2.3731
2011-08-01,1.4071,3.1732,1.3426,4.9214
2011-09-01,1.3794,-1.9657,-1.9137,2.0671
2011-10-01,1.3981,1.3516,2.5122,-1.2103
2011-11-01,1.3896,-0.6027,-1.2395,0.4752
2011-12-01,1.3481,-2.9927,-2.2741,1.1553
2012-01-01,1.3073,-3.0268,-6.4959,-1.5431
2012-02-01,1.3193,0.9222,-5.0614,-2.1596
2012-03-01,1.3121,-0.5461,-2.667,-4.027
2012-04-01,1.3068,-0.4066,-0.0371,-5.5397
2012-05-01,1.2916,-1.1594,-2.0989,-6.9738
2012-06-01,1.2874,-0.3236,-1.8799,-8.4547
2012-07-01,1.2461,-3.2109,-4.6427,-8.6309
2012-08-01,1.2315,-1.1724,-4.6552,-12.4793
2012-09-01,1.2583,2.1729,-2.2671,-8.7845
2012-10-01,1.2801,1.7323,2.7243,-8.4419
2012-11-01,1.2787,-0.1035,3.8353,-7.9821
2012-12-01,1.2984,1.5352,3.1872,-3.6871
2013-01-01,1.3189,1.5832,3.0359,0.8915
2013-02-01,1.3477,2.1849,5.3962,2.1538
2013-03-01,1.3285,-1.4254,2.3231,1.2507
2013-04-01,1.3268,-0.1323,0.5951,1.5296
2013-05-01,1.3257,-0.0773,-1.6319,2.6411
2013-06-01,1.3596,2.5524,2.3376,5.6027
2013-07-01,1.3619,0.1697,2.6471,9.2912
2013-08-01,1.3853,1.7222,4.4956,12.4922
2013-09-01,1.3817,-0.2625,1.6273,9.8108
2013-10-01,1.4128,2.2483,3.7362,10.3678
2013-11-01,1.4145,0.1211,2.1034,10.6159
2013-12-01,1.458,3.0777,5.5229,12.2965
2014-01-01,1.4884,2.0865,5.3559,12.8529
2014-02-01,1.5094,1.4077,6.7098,11.9946
2014-03-01,1.5352,1.7122,5.2962,15.5593
2014-04-01,1.5181,-1.1134,1.9956,14.4241
2014-05-01,1.4951,-1.5198,-0.9489,12.7722
2014-06-01,1.4728,-1.4916,-4.0689,8.3252
2014-07-01,1.4524,-1.3855,-4.3328,6.6433
2014-08-01,1.4548,0.1659,-2.6952,5.0118
2014-09-01,1.4196,-2.4142,-3.6066,2.7463
2014-10-01,1.4214,0.1248,-2.1303,0.6124
2014-11-01,1.4136,-0.5472,-2.827,-0.0591
2014-12-01,1.4216,0.5617,0.1363,-2.4985
2015-01-01,1.4039,-1.2468,-1.2354,-5.6821
2015-02-01,1.4198,1.1392,0.4393,-5.9319
2015-03-01,1.366,-3.7891,-3.9063,-11.0198
2015-04-01,1.3313,-2.5446,-5.1691,-12.3075
2015-05-01,1.3568,1.9128,-4.4438,-9.2509
2015-06-01,1.3854,2.1103,1.4155,-5.9328
2015-07-01,1.4124,1.9502,6.0929,-2.7509
2015-08-01,1.4637,3.6348,7.8856,0.617
2015-09-01,1.4882,1.6684,7.4187,4.8264
2015-10-01,1.4685,-1.3229,3.97,3.3108
2015-11-01,1.4248,-2.9714,-2.6576,0.7925
2015-12-01,1.4904,4.6023,0.1515,4.8423
2016-01-01,1.5447,3.6431,5.1916,10.0336
2016-02-01,1.5317,-0.8432,7.4989,7.8769
2016-03-01,1.4697,-4.0472,-1.3901,7.5876
2016-04-01,1.4559,-0.9361,-5.7468,9.3633
2016-05-01,1.4626,0.4547,-4.5131,7.7987
2016-06-01,1.4477,-1.016,-1.4966,4.4983
2016-07-01,1.4428,-0.3365,-0.9004,2.1544
2016-08-01,1.4557,0.8948,-0.4663,-0.5465
2016-09-01,1.4677,0.8226,1.3824,-1.3739
2016-10-01,1.4594,-0.5677,1.1472,-0.6191
2016-11-01,1.4519,-0.5161,-0.2671,1.8958
2016-12-01,1.407,-3.0882,-4.1356,-5.5957
2017-01-01,1.4032,-0.2714,-3.85,-9.1612
2017-02-01,1.3942,-0.6407,-3.9704,-8.9757
2017-03-01,1.4306,2.6091,1.675,-2.6613
2017-04-01,1.4408,0.712,2.6776,-1.042
2017-05-01,1.5041,4.3929,7.8793,2.8375
2017-06-01,1.4941,-0.6603,4.4419,3.207
2017-07-01,1.4641,-2.0081,1.6211,1.4759
2017-08-01,1.4889,1.6916,-1.0085,2.2773
2017-09-01,1.4639,-1.6814,-2.0259,-0.2627
2017-10-01,1.4801,1.1102,1.0918,1.4203
2017-11-01,1.4978,1.1931,0.5962,3.1627
2017-12-01,1.5108,0.8729,3.2097,7.3793
2018-01-01,1.5166,0.3841,2.4685,8.0851
2018-02-01,1.5526,2.3717,3.6619,11.362
2018-03-01,1.5943,2.686,5.5251,11.4454
2018-04-01,1.5622,-2.0136,3.0046,8.4294
2018-05-01,1.5197,-2.7203,-2.1188,1.0411
2018-06-01,1.5327,0.853,-3.8661,2.5804
2018-07-01,1.5356,0.1916,-1.7025,4.8831
2018-08-01,1.5063,-1.9118,-0.8855,1.1666
2018-09-01,1.5211,0.9819,-0.7588,3.907
2018-10-01,1.4935,-1.8116,-2.743,0.9044
