date,value,pct_1m,pct_3m,pct_1y
2000-01-01,1.6103,,,
2000-02-01,1.6069,-0.2106,,
2000-03-01,1.6042,-0.1644,,
2000-04-01,1.574,-1.888,-2.2556,
2000-05-01,1.5562,-1.1304,-3.1565,
2000-06-01,1.5608,0.2968,-2.7092,
2000-07-01,1.5505,-0.6585,-1.4899,
2000-08-01,1.5506,0.0084,-0.3553,
2000-09-01,1.5307,-1.2868,-1.9286,
2000-10-01,1.513,-1.1527,-2.4165,
2000-11-01,1.5216,0.569,-1.8695,
2000-12-01,1.5137,-0.5249,-1.1121,
2001-01-01,1.5291,1.0196,1.0611,-5.0417
2001-02-01,1.5358,0.4358,0.9273,-4.4266
2001-03-01,1.5355,-0.019,1.4406,-4.2874
2001-04-01,1.5287,-0.4432,-0.0283,-2.878
2001-05-01,1.5334,0.3129,-0.1507,-1.4602
2001-06-01,1.5225,-0.7138,-0.8446,-2.453
2001-07-01,1.5135,-0.5878,-0.9886,-2.3837
2001-08-01,1.5144,0.0536,-1.2445,-2.3396
2001-09-01,1.4913,-1.5235,-2.0499,-2.5738
2001-10-01,1.4793,-0.8069,-2.2658,-2.2329
2001-11-01,1.4663,-0.8771,-3.1749,-3.6387
2001-12-01,1.4749,0.5907,-1.0961,-2.558
2002-01-01,1.4745,-0.0294,-0.3209,-3.5699
2002-02-01,1.4775,0.2025,0.7647,-3.7939
2002-03-01,1.4678,-0.6545,-0.4827,-4.4054
2002-04-01,1.4658,-0.1386,-0.5913,-4.1129
2002-05-01,1.4572,-0.5833,-1.3708,-4.9695
2002-06-01,1.4721,1.0203,0.2919,-3.3097
2002-07-01,1.4624,-0.6599,-0.2316,-3.3798
2002-08-01,1.4636,0.0845,0.4386,-3.3499
2002-09-01,1.4649,0.0863,-0.4901,-1.7699
2002-10-01,1.465,0.0057,0.1766,-0.9652
2002-11-01,1.4673,0.1578,0.25,0.0688
2002-12-01,1.4679,0.0436,0.2072,-0.4755
2003-01-01,1.4621,-0.3974,-0.1968,-0.8419
2003-02-01,1.4674,0.3621,0.0068,-0.6839
2003-03-01,1.4695,0.1422,0.1053,0.1125
2003-04-01,1.4964,1.8315,2.3456,2.0876
2003-05-01,1.5155,1.2803,3.2819,4.0012
2003-06-01,1.5411,1.6876,4.8757,4.6881
2003-07-01,1.5476,0.4222,3.4243,5.8285
2003-08-01,1.54,-0.494,1.6125,5.2167
2003-09-01,1.5474,0.4809,0.4067,5.6315
2003-10-01,1.5485,0.0711,0.0556,5.7007
2003-11-01,1.559,0.6809,1.237,6.2527
2003-12-01,1.5544,-0.2961,0.4542,5.8919
2004-01-01,1.5657,0.7239,1.1095,7.0841
2004-02-01,1.5734,0.4962,0.924,7.2271
2004-03-01,1.567,-0.4062,0.8125,6.6399
2004-04-01,1.5547,-0.788,-0.7008,3.8967
2004-05-01,1.54,-0.9428,-2.1225,1.6163
2004-06-01,1.5192,-1.3531,-3.0531,-1.4223
2004-07-01,1.527,0.5158,-1.779,-1.3304
2004-08-01,1.5387,0.7665,-0.0842,-0.0805
2004-09-01,1.5431,0.2836,1.5735,-0.2767
2004-10-01,1.5426,-0.0324,1.0195,-0.3799
2004-11-01,1.5216,-1.3587,-1.111,-2.3979
2004-12-01,1.5364,0.9685,-0.4356,-1.16
