date,value,pct_1m,pct_3m,pct_1y
2000-01-01,8.3182,,,
2000-02-01,8.1398,-2.1452,,
2000-03-01,7.9819,-1.9402,,
2000-04-01,7.8379,-1.8036,-5.7745,
2000-05-01,7.4987,-4.3278,-7.8761,
2000-06-01,7.8563,4.7692,-1.5728,
2000-07-01,7.7776,-1.0028,-0.7701,
2000-08-01,7.4829,-3.7888,-0.2111,
2000-09-01,7.2185,-3.5332,-8.1188,
2000-10-01,7.0782,-1.9441,-8.9925,
2000-11-01,7.0883,0.1433,-5.2731,
2000-12-01,7.4271,4.7794,2.8896,
2001-01-01,7.7662,4.5655,9.7201,-6.6371
2001-02-01,7.629,-1.7668,7.6274,-6.276
2001-03-01,7.5281,-1.3218,1.3604,-5.6848
2001-04-01,7.3831,-1.9264,-4.9325,-5.8028
2001-05-01,7.2355,-1.9997,-5.1579,-3.5106
2001-06-01,7.0617,-2.4021,-6.1963,-10.1151
2001-07-01,7.1237,0.8788,-3.5132,-8.4068
2001-08-01,7.4533,4.6266,3.0107,-0.3954
2001-09-01,7.5411,1.1787,6.79,4.4698
2001-10-01,7.4978,-0.5743,5.2518,5.9292
2001-11-01,7.3525,-1.9378,-1.3518,3.7278
2001-12-01,7.3862,0.4573,-2.0551,-0.5509
2002-01-01,7.311,-1.0181,-2.4923,-5.8613
2002-02-01,7.2013,-1.5003,-2.0573,-5.6059
2002-03-01,7.249,0.6625,-1.8571,-3.7078
2002-04-01,7.3321,1.1468,0.2894,-0.6904
2002-05-01,7.59,3.5173,5.3981,4.9003
2002-06-01,7.9082,4.1918,9.0934,11.9875
2002-07-01,8.2123,3.8457,12.0044,15.2812
2002-08-01,8.0929,-1.4538,6.6258,8.5817
2002-09-01,8.118,0.3104,2.6538,7.6499
2002-10-01,8.1206,0.032,-1.1162,8.3063
2002-11-01,8.2883,2.0645,2.4141,12.7268
2002-12-01,8.4281,1.687,3.8195,14.1067
2003-01-01,8.7917,4.3143,8.264,20.2539
2003-02-01,8.9168,1.4225,7.583,23.8222
2003-03-01,8.9446,0.3116,6.1279,23.3905
2003-04-01,8.9786,0.38,2.1252,22.4552
2003-05-01,9.5862,6.7682,7.508,26.3008
2003-06-01,9.6533,0.6995,7.9237,22.0675
2003-07-01,9.4125,-2.495,4.8325,14.6141
2003-08-01,9.2195,-2.0503,-3.8261,13.9204
2003-09-01,9.2882,0.7458,-3.7818,14.4148
2003-10-01,9.6774,4.1898,2.8147,19.1704
2003-11-01,9.6857,0.0859,5.057,16.8602
2003-12-01,10.1688,4.9878,9.4805,20.6535
2004-01-01,10.4399,2.6663,7.8797,18.7474
2004-02-01,10.4675,0.2638,8.0714,17.3908
2004-03-01,10.149,-3.0428,-0.195,13.4652
2004-04-01,9.9163,-2.2925,-5.0156,10.4443
2004-05-01,9.9268,0.1058,-5.1653,3.5525
2004-06-01,10.0529,1.27,-0.947,4.1391
2004-07-01,10.1622,1.0872,2.4793,7.9651
2004-08-01,10.083,-0.7794,1.5732,9.366
2004-09-01,10.1134,0.3014,0.6017,8.8835
2004-10-01,10.3423,2.2635,1.7723,6.8704
2004-11-01,10.7536,3.9772,6.6511,11.0255
2004-12-01,11.0967,3.191,9.7237,9.1254
2005-01-01,10.8588,-2.144,4.9948,4.0125
2005-02-01,10.7719,-0.8008,0.1701,2.9082
2005-03-01,10.9262,1.4325,-1.537,7.6581
2005-04-01,10.708,-1.9965,-1.3886,7.9842
2005-05-01,10.5062,-1.8853,-2.4667,5.8365
2005-06-01,10.0683,-4.1679,-7.8519,0.1533
2005-07-01,9.8954,-1.7174,-7.5894,-2.6254
2005-08-01,9.9589,0.6424,-5.2087,-1.23
2005-09-01,9.9177,-0.4137,-1.4952,-1.9342
2005-10-01,9.7189,-2.005,-1.7834,-6.0275
2005-11-01,9.5273,-1.9709,-4.3338,-11.4032
2005-12-01,9.5746,0.4963,-3.4596,-13.7168
2006-01-01,9.763,1.9671,0.4535,-10.092
2006-02-01,9.6117,-1.5498,0.885,-10.7709
2006-03-01,9.6581,0.4827,0.8713,-11.6064
2006-04-01,9.8361,1.8432,0.7488,-8.1432
2006-05-01,10.2353,4.0587,6.4882,-2.5784
2006-06-01,10.1285,-1.0429,4.8715,0.5985
2006-07-01,10.1347,0.061,3.0362,2.4188
2006-08-01,10.2141,0.7832,-0.207,2.5621
2006-09-01,10.0971,-1.1457,-0.3107,1.8082
2006-10-01,9.9651,-1.3067,-1.6733,2.5337
2006-11-01,10.1286,1.6402,-0.8372,6.3107
2006-12-01,10.3356,2.0438,2.3622,7.9477
2007-01-01,10.1238,-2.0496,1.5917,3.6955
2007-02-01,10.1326,0.0874,0.0397,5.4199
2007-03-01,10.2467,1.1261,-0.86,6.0949
2007-04-01,10.44,1.8868,3.1242,6.1403
2007-05-01,10.3689,-0.6812,2.3323,1.3056
2007-06-01,10.2415,-1.229,-0.0509,1.1151
2007-07-01,10.3899,1.4495,-0.4799,2.5182
2007-08-01,10.3162,-0.7092,-0.508,1.0001
2007-09-01,10.4533,1.3285,2.0682,3.528
2007-10-01,10.6741,2.1121,2.7349,7.1143
2007-11-01,10.8957,2.0761,5.6168,7.5736
2007-12-01,10.7404,-1.4253,2.7464,3.9166
2008-01-01,10.6568,-0.7784,-0.1621,5.2651
2008-02-01,10.5682,-0.8311,-3.0056,4.299
2008-03-01,10.9833,3.9279,2.2618,7.1888
2008-04-01,11.0237,0.3676,3.4429,5.5905
2008-05-01,10.8462,-1.6104,2.63,4.6025
2008-06-01,10.7287,-1.0826,-2.3179,4.7576
2008-07-01,10.7809,0.4858,-2.2028,3.7625
2008-08-01,10.2609,-4.8232,-5.3962,-0.5367
2008-09-01,9.8252,-4.2457,-8.4213,-6.0083
2008-10-01,9.1071,-7.3095,-15.5257,-14.6807
2008-11-01,8.695,-4.5244,-15.2605,-20.1976
2008-12-01,9.2205,6.0436,-6.1548,-14.1511
2009-01-01,9.0496,-1.8534,-0.6307,-15.0811
2009-02-01,8.7406,-3.4145,0.5244,-17.2933
2009-03-01,8.921,2.0632,-3.2488,-18.7772
2009-04-01,9.011,1.0099,-0.4263,-18.2574
2009-05-01,9.3157,3.3812,6.5797,-14.1104
2009-06-01,9.5786,2.8215,7.3715,-10.7205
2009-07-01,9.6246,0.4802,6.8085,-10.7255
2009-08-01,9.7485,1.2882,4.6461,-4.9931
2009-09-01,9.9431,1.9958,3.8058,1.1997
2009-10-01,10.1152,1.7307,5.0977,11.0698
2009-11-01,10.1827,0.6676,4.4538,17.1098
2009-12-01,9.9777,-2.0131,0.3482,8.2124
2010-01-01,9.7436,-2.3462,-3.6732,7.669
2010-02-01,9.3462,-4.0786,-8.2148,6.9287
2010-03-01,9.2623,-0.8982,-7.1705,3.8261
2010-04-01,9.1505,-1.2065,-6.0872,1.5479
2010-05-01,8.5794,-6.2414,-8.2047,-7.9041
2010-06-01,8.3245,-2.9705,-10.1242,-13.0919
2010-07-01,8.6538,3.9553,-5.4283,-10.0862
2010-08-01,8.752,1.1351,2.0122,-10.2221
2010-09-01,8.8104,0.667,5.8366,-11.3918
2010-10-01,9.2665,5.1762,7.0796,-8.3906
2010-11-01,9.0895,-1.9098,3.8558,-10.7361
2010-12-01,8.7873,-3.3247,-0.2623,-11.9309
2011-01-01,8.8154,0.3202,-4.8673,-9.5262
2011-02-01,8.9842,1.914,-1.1588,-3.8739
2011-03-01,9.1902,2.2935,4.5852,-0.7781
2011-04-01,9.4274,2.5808,6.9419,3.0257
2011-05-01,9.3198,-1.1416,3.7355,8.6296
2011-06-01,9.3161,-0.0394,1.3698,11.9112
2011-07-01,9.2121,-1.1163,-2.2837,6.4514
2011-08-01,9.1857,-0.2867,-1.4387,4.9549
2011-09-01,8.7994,-4.2053,-5.5463,-0.125
2011-10-01,8.7308,-0.78,-5.225,-5.781
2011-11-01,8.6154,-1.3216,-6.2087,-5.2161
2011-12-01,8.3563,-3.0067,-5.0351,-4.9043
2012-01-01,8.1465,-2.5113,-6.6921,-7.5883
2012-02-01,8.3314,2.2703,-3.2957,-7.2653
2012-03-01,8.3326,0.0141,-0.284,-9.3317
2012-04-01,8.2921,-0.4857,1.7879,-12.042
2012-05-01,8.0806,-2.5511,-3.0107,-13.2961
2012-06-01,7.9676,-1.3985,-4.3807,-14.475
2012-07-01,7.8288,-1.7414,-5.5872,-15.0157
2012-08-01,7.8864,0.735,-2.4035,-14.1449
2012-09-01,8.1272,3.0542,2.0039,-7.6386
2012-10-01,8.139,0.1445,3.9616,-6.778
2012-11-01,7.9998,-1.71,1.4383,-7.1449
2012-12-01,8.1809,2.2632,0.6597,-2.1
2013-01-01,8.2698,1.087,1.6071,1.5135
2013-02-01,8.3282,0.7065,4.1052,-0.0386
2013-03-01,8.0599,-3.2219,-1.4787,-3.2729
2013-04-01,8.0564,-0.0435,-2.5805,-2.8431
2013-05-01,7.9715,-1.0536,-4.2833,-1.3501
2013-06-01,8.0905,1.4929,0.3798,1.5427
2013-07-01,8.0234,-0.8293,-0.4092,2.4854
2013-08-01,8.1477,1.5486,2.21,3.3131
2013-09-01,8.169,0.2613,0.9696,0.5132
2013-10-01,8.3226,1.8813,3.7294,2.2564
2013-11-01,8.2221,-1.208,0.9135,2.7786
2013-12-01,8.3248,1.2486,1.9073,1.7589
2014-01-01,8.2368,-1.0562,-1.031,-0.3985
2014-02-01,8.3062,0.8418,1.0225,-0.2648
2014-03-01,8.5332,2.7328,2.5034,5.8719
2014-04-01,8.5984,0.764,4.3891,6.7272
2014-05-01,8.5658,-0.3784,3.126,7.4555
2014-06-01,8.4698,-1.1206,-0.7422,4.6884
2014-07-01,8.394,-0.8951,-2.3765,4.619
2014-08-01,8.1965,-2.3527,-4.3112,0.5997
2014-09-01,7.9207,-3.3647,-6.4829,-3.0385
2014-10-01,7.7635,-1.9857,-7.512,-6.7188
2014-11-01,7.6411,-1.5767,-6.777,-7.0669
2014-12-01,7.633,-0.1054,-3.6328,-8.3097
2015-01-01,7.2269,-5.3199,-6.9109,-12.2608
