date,value,pct_1m,pct_3m,pct_1y
2000-01-01,36.0052,,,
2000-02-01,35.6849,-0.8897,,
2000-03-01,35.6266,-0.1632,,
2000-04-01,36.3233,1.9556,0.8836,
2000-05-01,36.5487,0.6204,2.4207,
2000-06-01,35.9744,-1.5713,0.9762,
2000-07-01,35.6077,-1.0195,-1.9703,
2000-08-01,35.3564,-0.7056,-3.2621,
2000-09-01,35.4401,0.2368,-1.4851,
2000-10-01,35.2359,-0.5764,-1.0442,
2000-11-01,34.609,-1.7792,-2.1141,
2000-12-01,34.8341,0.6506,-1.71,
2001-01-01,35.1281,0.8441,-0.3057,-2.4359
2001-02-01,34.6402,-1.3889,0.0904,-2.9273
2001-03-01,34.5898,-0.1456,-0.7013,-2.9102
2001-04-01,34.5549,-0.1008,-1.6317,-4.8685
2001-05-01,34.3753,-0.52,-0.7649,-5.9466
2001-06-01,33.9536,-1.2268,-1.8394,-5.6174
2001-07-01,33.8681,-0.2518,-1.9877,-4.8854
2001-08-01,34.0496,0.5358,-0.9475,-3.6963
2001-09-01,34.1566,0.3145,0.5981,-3.6216
2001-10-01,33.5494,-1.7779,-0.941,-4.7862
2001-11-01,33.2905,-0.7715,-2.2292,-3.8094
2001-12-01,32.5317,-2.2796,-4.7574,-6.6097
2002-01-01,32.0663,-1.4306,-4.4207,-8.7163
2002-02-01,31.7888,-0.8653,-4.511,-8.2316
2002-03-01,31.4194,-1.1622,-3.4192,-9.1659
2002-04-01,30.3365,-3.4465,-5.3944,-12.208
2002-05-01,30.5517,0.7095,-3.8915,-11.123
2002-06-01,30.2998,-0.8248,-3.5634,-10.7612
2002-07-01,29.7267,-1.8913,-2.0101,-12.228
2002-08-01,30.7962,3.5977,0.8001,-9.5548
2002-09-01,30.1902,-1.9676,-0.3614,-11.6124
2002-10-01,30.6604,1.5574,3.1411,-8.6111
2002-11-01,30.7524,0.2999,-0.1422,-7.6243
2002-12-01,31.1942,1.4365,3.3253,-4.1114
2003-01-01,31.4887,0.9442,2.7014,-1.8012
2003-02-01,31.641,0.4837,2.8896,-0.4649
2003-03-01,31.751,0.3477,1.7851,1.0556
2003-04-01,31.6182,-0.4181,0.4115,4.2252
2003-05-01,31.3875,-0.7299,-0.8013,2.7355
2003-06-01,31.4118,0.0774,-1.0684,3.67
2003-07-01,31.8801,1.4911,0.8283,7.2441
2003-08-01,32.2866,1.2751,2.8647,4.8397
2003-09-01,32.3547,0.2109,3.0019,7.1695
2003-10-01,31.9885,-1.1318,0.34,4.3316
2003-11-01,31.9742,-0.0446,-0.9675,3.9733
2003-12-01,32.3294,1.1108,-0.0782,3.6394
2004-01-01,32.7242,1.2212,2.2999,3.9238
2004-02-01,32.8574,0.4069,2.7621,3.8444
2004-03-01,32.9855,0.3898,2.0293,3.888
2004-04-01,32.5194,-1.4131,-0.6261,2.8499
2004-05-01,31.9761,-1.6706,-2.6822,1.8753
2004-06-01,31.6136,-1.1337,-4.1591,0.6425
2004-07-01,31.5447,-0.2178,-2.9971,-1.0521
2004-08-01,31.6335,0.2814,-1.0714,-2.0229
2004-09-01,31.6011,-0.1025,-0.0395,-2.3293
2004-10-01,31.4913,-0.3473,-0.1693,-1.5543
2004-11-01,31.2862,-0.6515,-1.0979,-2.1519
2004-12-01,30.636,-2.0782,-3.054,-5.238
