date,value,pct_1m,pct_3m,pct_1y
2000-01-01,0.6183,,,
2000-02-01,0.6147,-0.5953,,
2000-03-01,0.6106,-0.6558,,
2000-04-01,0.598,-2.065,-3.2865,
2000-05-01,0.6015,0.584,-2.1391,
2000-06-01,0.6293,4.6149,3.0529,
2000-07-01,0.623,-0.9893,4.1849,
2000-08-01,0.6071,-2.5596,0.9288,
2000-09-01,0.6077,0.1043,-3.423,
2000-10-01,0.5893,-3.0279,-5.4114,
2000-11-01,0.6004,1.8766,-1.1051,
2000-12-01,0.6134,2.1711,0.9367,
2001-01-01,0.6348,3.4852,7.716,2.6623
2001-02-01,0.634,-0.1268,5.5978,3.1461
2001-03-01,0.6291,-0.7649,2.5634,3.0328
2001-04-01,0.6217,-1.1859,-2.0661,3.9577
2001-05-01,0.6133,-1.3516,-3.2671,1.9572
2001-06-01,0.6089,-0.7137,-3.2172,-3.236
2001-07-01,0.6086,-0.0553,-2.1098,-2.3232
2001-08-01,0.6267,2.9823,2.1908,3.2321
2001-09-01,0.6229,-0.6075,2.3001,2.4981
2001-10-01,0.6239,0.1645,2.525,5.8724
2001-11-01,0.6184,-0.8911,-1.3311,2.9962
2001-12-01,0.6201,0.2821,-0.448,1.092
2002-01-01,0.6166,-0.5686,-1.1767,-2.8681
2002-02-01,0.6116,-0.8094,-1.0952,-3.532
2002-03-01,0.6157,0.6757,-0.707,-2.1315
2002-04-01,0.6141,-0.2702,-0.409,-1.2245
2002-05-01,0.6282,2.3052,2.7182,2.437
2002-06-01,0.644,2.5186,4.5986,5.7719
2002-07-01,0.6387,-0.8307,4.0107,4.9513
2002-08-01,0.6363,-0.3708,1.2901,1.5341
2002-09-01,0.6306,-0.9026,-2.0902,1.2326
2002-10-01,0.6299,-0.1026,-1.3713,0.9627
2002-11-01,0.6371,1.1341,0.1185,3.0258
2002-12-01,0.6422,0.7988,1.8375,3.5567
2003-01-01,0.6571,2.3255,4.3127,6.5709
2003-02-01,0.6698,1.9271,5.1307,9.5111
2003-03-01,0.6825,1.9074,6.2869,10.8509
2003-04-01,0.689,0.9483,4.8563,12.2052
2003-05-01,0.7132,3.5121,6.4868,13.5288
2003-06-01,0.7022,-1.5393,2.8852,9.0351
2003-07-01,0.7004,-0.2553,1.6586,9.6677
2003-08-01,0.6992,-0.1792,-1.9666,9.8787
2003-09-01,0.6969,-0.324,-0.7566,10.5202
2003-10-01,0.6976,0.1009,-0.4022,10.7453
2003-11-01,0.6928,-0.6956,-0.9175,8.7416
2003-12-01,0.702,1.325,0.7217,9.3093
2004-01-01,0.6921,-1.3978,-0.7863,5.3319
2004-02-01,0.6769,-2.203,-2.2922,1.0638
2004-03-01,0.6712,-0.8356,-4.3757,-1.6565
2004-04-01,0.6653,-0.8814,-3.8749,-3.4389
2004-05-01,0.6716,0.9392,-0.7865,-5.8391
2004-06-01,0.6643,-1.0858,-1.0368,-5.4054
2004-07-01,0.6658,0.222,0.0649,-4.9527
2004-08-01,0.6694,0.55,-0.321,-4.2584
2004-09-01,0.6813,1.7746,2.5615,-2.2426
2004-10-01,0.6914,1.4887,3.8578,-0.8873
2004-11-01,0.6986,1.0384,4.3623,0.8434
2004-12-01,0.695,-0.5182,2.0112,-0.9911
2005-01-01,0.6987,0.5276,1.0451,0.9422
2005-02-01,0.6897,-1.2863,-1.2797,1.8884
2005-03-01,0.6923,0.3844,-0.384,3.1419
2005-04-01,0.6829,-1.3574,-2.2519,2.6466
2005-05-01,0.684,0.1552,-0.8246,1.8493
2005-06-01,0.6689,-2.1996,-3.3775,0.7024
2005-07-01,0.6876,2.783,0.6781,3.2756
2005-08-01,0.6853,-0.3337,0.1866,2.3679
2005-09-01,0.6776,-1.1199,1.2927,-0.5434
2005-10-01,0.6814,0.5566,-0.9014,-1.4569
2005-11-01,0.6793,-0.2986,-0.8665,-2.761
2005-12-01,0.6792,-0.0162,0.24,-2.2703
2006-01-01,0.686,0.9956,0.6777,-1.8153
2006-02-01,0.683,-0.439,0.5359,-0.9726
2006-03-01,0.6893,0.9335,1.4909,-0.4309
2006-04-01,0.6946,0.7659,1.26,1.7124
2006-05-01,0.6833,-1.6314,0.0473,-0.102
2006-06-01,0.6867,0.4923,-0.39,2.6476
2006-07-01,0.6878,0.1689,-0.9802,0.0371
2006-08-01,0.6767,-1.6185,-0.9672,-1.2524
2006-09-01,0.6751,-0.2335,-1.6823,-0.3672
2006-10-01,0.6725,-0.3798,-2.2209,-1.295
2006-11-01,0.674,0.2119,-0.4018,-0.7895
2006-12-01,0.6729,-0.1643,-0.3328,-0.9365
2007-01-01,0.6634,-1.405,-1.3585,-3.2912
2007-02-01,0.668,0.6927,-0.8852,-2.1919
2007-03-01,0.6802,1.8277,1.0925,-1.3254
2007-04-01,0.6793,-0.1286,2.4012,-2.2013
2007-05-01,0.6814,0.2972,1.999,-0.2839
2007-06-01,0.6756,-0.8413,-0.6744,-1.6071
2007-07-01,0.6744,-0.1811,-0.7267,-1.951
2007-08-01,0.6777,0.4838,-0.542,0.1442
2007-09-01,0.6889,1.6538,1.9606,2.0386
2007-10-01,0.6961,1.0555,3.2238,3.5088
2007-11-01,0.709,1.8413,4.6182,5.1918
2007-12-01,0.7206,1.6472,4.6114,7.1005
2008-01-01,0.7472,3.693,7.3417,12.6383
2008-02-01,0.7509,0.4936,5.9212,12.4155
2008-03-01,0.7749,3.1962,7.5354,13.9263
2008-04-01,0.7949,2.5714,6.3722,17.0062
2008-05-01,0.7921,-0.3498,5.4795,16.2514
2008-06-01,0.7915,-0.0709,2.1401,17.1545
2008-07-01,0.7931,0.1961,-0.2252,17.5973
2008-08-01,0.7928,-0.0363,0.0887,16.9885
2008-09-01,0.7992,0.8142,0.9753,16.0224
2008-10-01,0.7867,-1.5718,-0.8064,13.0059
2008-11-01,0.8306,5.587,4.7736,17.1623
2008-12-01,0.9045,8.8901,13.1666,25.5107
2009-01-01,0.9182,1.5165,16.7174,22.8763
2009-02-01,0.8869,-3.407,6.7753,18.1069
2009-03-01,0.9197,3.693,1.6791,18.6755
2009-04-01,0.8976,-2.4034,-2.2471,12.9197
2009-05-01,0.8844,-1.4612,-0.2779,11.6603
2009-06-01,0.8567,-3.137,-6.8464,8.2343
2009-07-01,0.8609,0.4925,-4.0822,8.5545
2009-08-01,0.8627,0.2016,-2.4637,8.8128
2009-09-01,0.8913,3.3261,4.0443,11.524
2009-10-01,0.9156,2.717,6.3474,16.3835
2009-11-01,0.8989,-1.8177,4.2044,8.2216
2009-12-01,0.8997,0.0883,0.939,-0.5262
2010-01-01,0.883,-1.8525,-3.5515,-3.8274
2010-02-01,0.876,-0.7936,-2.5454,-1.2253
2010-03-01,0.9016,2.9176,0.2095,-1.9639
2010-04-01,0.8746,-2.9999,-0.962,-2.5631
2010-05-01,0.8571,-1.9908,-2.1572,-3.0868
2010-06-01,0.8277,-3.4344,-8.196,-3.3843
2010-07-01,0.8357,0.9605,-4.4478,-2.9344
2010-08-01,0.8236,-1.439,-3.9098,-4.5236
2010-09-01,0.8399,1.971,1.469,-5.7757
2010-10-01,0.8764,4.3472,4.8727,-4.2804
2010-11-01,0.8551,-2.4283,3.8201,-4.8756
2010-12-01,0.8481,-0.8148,0.9838,-5.7339
2011-01-01,0.8471,-0.1192,-3.3386,-4.0692
2011-02-01,0.8464,-0.09,-1.0222,-3.3889
