date,value,pct_1m,pct_3m,pct_1y
2000-01-01,254.91,,,
2000-02-01,256.1248,0.4765,,
2000-03-01,257.0761,0.3714,,
2000-04-01,258.445,0.5325,1.3868,
2000-05-01,259.0309,0.2267,1.1347,
2000-06-01,259.7277,0.269,1.0315,
2000-07-01,260.2162,0.1881,0.6853,
2000-08-01,260.8813,0.2556,0.7144,
2000-09-01,262.3471,0.5619,1.0085,
2000-10-01,262.915,0.2165,1.0371,
2000-11-01,264.0909,0.4473,1.2303,
2000-12-01,264.9463,0.3239,0.9907,
2001-01-01,264.9955,0.0185,0.7913,3.9565
2001-02-01,265.687,0.261,0.6044,3.7334
2001-03-01,266.4691,0.2944,0.5747,3.6538
2001-04-01,266.9911,0.1959,0.7531,3.3067
2001-05-01,258.2891,-3.2593,-2.7844,-0.2864
2001-06-01,247.2529,-4.2728,-7.2114,-4.8031
2001-07-01,248.9405,0.6825,-6.7608,-4.3332
2001-08-01,251.017,0.8341,-2.8155,-3.7812
2001-09-01,255.9415,1.9618,3.5141,-2.4417
2001-10-01,255.2343,-0.2763,2.5283,-2.9213
2001-11-01,251.3568,-1.5192,0.1354,-4.8219
2001-12-01,247.3078,-1.6109,-3.3733,-6.6574
2002-01-01,243.8391,-1.4026,-4.4646,-7.9837
2002-02-01,243.5115,-0.1343,-3.1212,-8.3465
2002-03-01,244.779,0.5205,-1.0225,-8.1398
2002-04-01,242.2629,-1.0279,-0.6464,-9.2618
2002-05-01,243.7964,0.633,0.117,-5.611
2002-06-01,242.7145,-0.4438,-0.8434,-1.8355
2002-07-01,246.7174,1.6492,1.8387,-0.893
2002-08-01,245.3032,-0.5732,0.6181,-2.2763
2002-09-01,243.89,-0.5761,0.4843,-4.7087
2002-10-01,243.533,-0.1464,-1.2907,-4.5845
2002-11-01,238.2452,-2.1713,-2.8772,-5.2163
2002-12-01,236.0705,-0.9128,-3.2062,-4.5438
2003-01-01,240.3936,1.8313,-1.2891,-1.413
2003-02-01,245.12,1.9661,2.8856,0.6605
2003-03-01,245.5957,0.1941,4.0349,0.3337
2003-04-01,245.5915,-0.0017,2.1622,1.374
2003-05-01,245.7833,0.0781,0.2706,0.815
2003-06-01,261.2148,6.2785,6.3597,7.6222
2003-07-01,263.7283,0.9622,7.3849,6.8949
2003-08-01,259.5595,-1.5807,5.605,5.8117
2003-09-01,255.4641,-1.5778,-2.2015,4.7456
2003-10-01,255.7743,0.1214,-3.016,5.0265
2003-11-01,259.309,1.3819,-0.0965,8.8412
2003-12-01,264.7438,2.0959,3.6325,12.1461
2004-01-01,264.3219,-0.1594,3.3418,9.9538
2004-02-01,263.145,-0.4453,1.4793,7.3535
2004-03-01,253.3326,-3.7289,-4.3103,3.1503
2004-04-01,250.413,-1.1525,-5.2621,1.9632
2004-05-01,252.9148,0.9991,-3.8877,2.9015
2004-06-01,253.0236,0.043,-0.122,-3.1358
2004-07-01,249.8932,-1.2372,-0.2076,-5.246
2004-08-01,248.8541,-0.4158,-1.6055,-4.1245
2004-09-01,247.6555,-0.4817,-2.1216,-3.0566
2004-10-01,246.6905,-0.3896,-1.2816,-3.5515
2004-11-01,245.3559,-0.541,-1.4057,-5.3809
2004-12-01,245.8017,0.1817,-0.7485,-7.1549
2005-01-01,246.4829,0.2771,-0.0842,-6.749
2005-02-01,243.686,-1.1347,-0.6806,-7.3948
2005-03-01,244.8095,0.4611,-0.4037,-3.3644
2005-04-01,248.19,1.3809,0.6926,-0.8877
2005-05-01,251.9536,1.5164,3.3927,-0.38
2005-06-01,249.0405,-1.1562,1.7283,-1.5742
2005-07-01,246.4667,-1.0335,-0.6944,-1.3712
2005-08-01,244.4878,-0.8029,-2.9632,-1.7545
2005-09-01,245.8341,0.5506,-1.2875,-0.7354
2005-10-01,251.8467,2.4458,2.1829,2.0901
2005-11-01,251.0359,-0.3219,2.6783,2.315
2005-12-01,252.6829,0.6561,2.7859,2.7995
2006-01-01,250.7064,-0.7822,-0.4528,1.7135
2006-02-01,251.5695,0.3443,0.2126,3.2351
2006-03-01,260.8491,3.6887,3.2318,6.5519
2006-04-01,265.4711,1.7719,5.8893,6.9629
2006-05-01,262.3682,-1.1688,4.2925,4.1335
2006-06-01,272.3905,3.8199,4.4245,9.376
2006-07-01,277.4895,1.872,4.5272,12.587
2006-08-01,274.4104,-1.1096,4.5898,12.2389
2006-09-01,274.4176,0.0026,0.7442,11.6272
2006-10-01,267.0995,-2.6668,-3.7443,6.0564
2006-11-01,258.8373,-3.0933,-5.6751,3.1077
2006-12-01,253.9689,-1.8808,-7.4517,0.509
2007-01-01,253.8836,-0.0336,-4.9479,1.2673
2007-02-01,253.2975,-0.2309,-2.1403,0.6869
2007-03-01,249.8618,-1.3564,-1.6172,-4.2121
2007-04-01,245.9974,-1.5466,-3.1063,-7.3355
2007-05-01,248.4214,0.9854,-1.9251,-5.3157
2007-06-01,250.2886,0.7516,0.1708,-8.114
2007-07-01,246.9027,-1.3528,0.368,-11.0227
2007-08-01,255.2022,3.3614,2.7296,-6.9998
2007-09-01,253.3315,-0.733,1.2158,-7.684
2007-10-01,251.0196,-0.9126,1.6674,-6.0202
2007-11-01,254.5036,1.388,-0.2737,-1.6743
2007-12-01,253.1816,-0.5195,-0.0592,-0.31
2008-01-01,256.03,1.1251,1.996,0.8454
2008-02-01,262.1519,2.3911,3.0052,3.4957
2008-03-01,259.9395,-0.844,2.6692,4.0333
2008-04-01,253.7518,-2.3804,-0.8898,3.1522
2008-05-01,247.6895,-2.3891,-5.5168,-0.2946
2008-06-01,242.421,-2.1271,-6.7395,-3.1434
2008-07-01,231.8178,-4.3738,-8.6439,-6.1097
2008-08-01,235.8829,1.7535,-4.7667,-7.5702
2008-09-01,240.6814,2.0343,-0.7176,-4.9935
2008-10-01,260.1509,8.0893,12.2221,3.6377
2008-11-01,265.3165,1.9856,12.4781,4.2486
2008-12-01,265.019,-0.1121,10.112,4.6755
2009-01-01,279.8586,5.5994,7.5755,9.3069
2009-02-01,298.2975,6.5887,12.4308,13.788
2009-03-01,304.1386,1.9582,14.761,17.0036
2009-04-01,295.26,-2.9193,5.5033,16.3578
2009-05-01,281.929,-4.515,-5.4873,13.8235
2009-06-01,280.4595,-0.5212,-7.7856,15.6911
2009-07-01,272.0596,-2.9951,-7.8576,17.3592
2009-08-01,270.0471,-0.7397,-4.2145,14.4836
2009-09-01,271.8409,0.6642,-3.073,12.9464
2009-10-01,268.485,-1.2345,-1.3139,3.2036
2009-11-01,270.9243,0.9085,0.3248,2.1136
2009-12-01,273.22,0.8474,0.5073,3.0945
2010-01-01,269.428,-1.3879,0.3512,-3.7271
2010-02-01,271.2105,0.6616,0.1056,-9.0805
2010-03-01,265.397,-2.1436,-2.8633,-12.7382
2010-04-01,265.5305,0.0503,-1.4466,-10.0689
2010-05-01,276.7824,4.2375,2.0544,-1.8255
2010-06-01,281.485,1.699,6.0619,0.3656
2010-07-01,283.7518,0.8053,6.8622,4.2977
2010-08-01,281.4518,-0.8106,1.687,4.2232
2010-09-01,282.1018,0.2309,0.2191,3.7746
2010-10-01,274.0133,-2.8672,-3.432,2.0591
2010-11-01,275.5086,0.5457,-2.1116,1.6921
2010-12-01,277.6157,0.7648,-1.5903,1.6088
2011-01-01,275.3262,-0.8247,0.4791,2.1892
2011-02-01,271.1525,-1.5159,-1.5811,-0.0214
2011-03-01,270.8904,-0.0966,-2.4225,2.0699
2011-04-01,265.2874,-2.0684,-3.6462,-0.0916
2011-05-01,266.9582,0.6298,-1.5468,-3.5494
2011-06-01,266.8714,-0.0325,-1.4837,-5.1916
2011-07-01,267.681,0.3034,0.9023,-5.6637
2011-08-01,272.3674,1.7508,2.0262,-3.2277
2011-09-01,285.0473,4.6554,6.8107,1.0441
2011-10-01,296.7905,4.1197,10.8747,8.3124
2011-11-01,309.1514,4.1649,13.5053,12.2111
2011-12-01,304.1881,-1.6054,6.715,9.5717
2012-01-01,307.3291,1.0326,3.5509,11.6236
2012-02-01,290.6757,-5.4187,-5.9762,7.2001
2012-03-01,292.2564,0.5438,-3.9225,7.8873
2012-04-01,294.8063,0.8725,-4.0747,11.1272
2012-05-01,293.6723,-0.3847,1.0309,10.0068
2012-06-01,293.5686,-0.0353,0.449,10.0038
2012-07-01,286.2832,-2.4817,-2.8911,6.9494
2012-08-01,278.9339,-2.5671,-5.0186,2.4109
2012-09-01,284.2165,1.8938,-3.1857,-0.2915
2012-10-01,282.0861,-0.7496,-1.4661,-4.9545
2012-11-01,282.2586,0.0612,1.1919,-8.6989
2012-12-01,285.7905,1.2513,0.5538,-6.0481
2013-01-01,294.0145,2.8776,4.2287,-4.3323
2013-02-01,292.732,-0.4362,3.7106,0.7074
2013-03-01,303.0055,3.5095,6.0236,3.678
2013-04-01,298.669,-1.4311,1.5831,1.3103
2013-05-01,292.3759,-2.1071,-0.1216,-0.4414
2013-06-01,295.7035,1.1381,-2.4099,0.7272
2013-07-01,294.8987,-0.2722,-1.2624,3.0094
2013-08-01,299.4645,1.5483,2.4245,7.3604
2013-09-01,299.7495,0.0952,1.3683,5.4652
2013-10-01,294.7613,-1.6641,-0.0466,4.4934
2013-11-01,297.68,0.9902,-0.5959,5.4636
2013-12-01,300.2365,0.8588,0.1625,5.0547
2014-01-01,302.475,0.7456,2.6169,2.8776
2014-02-01,310.195,2.5523,4.2042,5.9655
2014-03-01,311.4933,0.4186,3.7493,2.8012
2014-04-01,307.369,-1.3241,1.618,2.9129
2014-05-01,304.5757,-0.9088,-1.8115,4.1726
2014-06-01,305.8667,0.4239,-1.8064,3.4369
2014-07-01,309.8078,1.2885,0.7935,5.0557
2014-08-01,313.9067,1.323,3.0636,4.8226
2014-09-01,313.1973,-0.226,2.3967,4.4863
2014-10-01,307.8461,-1.7086,-0.6332,4.4391
2014-11-01,306.888,-0.3112,-2.2359,3.0933
2014-12-01,310.8333,1.2856,-0.7548,3.5295
2015-01-01,316.5005,1.8232,2.8113,4.6369
2015-02-01,306.884,-3.0384,-0.0013,-1.0674
2015-03-01,303.4455,-1.1205,-2.3768,-2.5836
2015-04-01,299.429,-1.3236,-5.3938,-2.5832
2015-05-01,306.3265,2.3036,-0.1817,0.5748
2015-06-01,311.9595,1.8389,2.8058,1.992
2015-07-01,311.5309,-0.1374,4.0416,0.5562
2015-08-01,311.6143,0.0268,1.7262,-0.7303
2015-09-01,313.1445,0.4911,0.3799,-0.0168
2015-10-01,311.2723,-0.5979,-0.083,1.113
2015-11-01,312.2686,0.3201,0.21,1.7533
2015-12-01,314.3977,0.6818,0.4002,1.1467
2016-01-01,314.679,0.0895,1.0945,-0.5755
2016-02-01,310.3652,-1.3708,-0.6095,1.1344
2016-03-01,311.1543,0.2542,-1.0316,2.5404
2016-04-01,311.4619,0.0989,-1.0223,4.0186
2016-05-01,314.5809,1.0014,1.3583,2.6946
2016-06-01,313.9841,-0.1897,0.9095,0.649
2016-07-01,314.3529,0.1174,0.9282,0.9058
2016-08-01,310.2052,-1.3194,-1.391,-0.4522
2016-09-01,308.6777,-0.4924,-1.69,-1.4264
2016-10-01,306.9995,-0.5437,-2.3392,-1.3727
2016-11-01,308.8159,0.5917,-0.4479,-1.1057
2016-12-01,312.2352,1.1072,1.1525,-0.6878
2017-01-01,308.9868,-1.0404,0.6473,-1.8089
2017-02-01,308.502,-0.1569,-0.1016,-0.6003
2017-03-01,309.7139,0.3928,-0.8075,-0.4629
2017-04-01,311.5656,0.5979,0.8346,0.0333
2017-05-01,309.7682,-0.5769,0.4104,-1.5299
2017-06-01,308.2845,-0.479,-0.4615,-1.8152
2017-07-01,306.7148,-0.5092,-1.5569,-2.4298
2017-08-01,304.3657,-0.7659,-1.7441,-1.8825
2017-09-01,308.3676,1.3149,0.0269,-0.1005
2017-10-01,309.9514,0.5136,1.0552,0.9615
2017-11-01,311.8914,0.6259,2.4726,0.9959
2017-12-01,313.1626,0.4076,1.555,0.297
2018-01-01,309.2686,-1.2434,-0.2203,0.0912
2018-02-01,311.735,0.7975,-0.0501,1.048
2018-03-01,312.1943,0.1473,-0.3092,0.8009
2018-04-01,311.7205,-0.1518,0.7928,0.0497
2018-05-01,316.9305,1.6714,1.6666,2.3121
2018-06-01,322.6971,1.8195,3.3642,4.6751
2018-07-01,324.5968,0.5887,4.1307,5.8302
2018-08-01,323.0213,-0.4854,1.9218,6.1294
2018-09-01,324.818,0.5562,0.6572,5.3347
2018-10-01,323.8435,-0.3,-0.2321,4.482
2018-11-01,322.3295,-0.4675,-0.2142,3.3467
2018-12-01,322.7384,0.1269,-0.6402,3.0578
