date,value,pct_1m,pct_3m,pct_1y
2000-01-01,43.7825,,,
2000-02-01,42.8904,-2.0376,,
2000-03-01,42.0274,-2.0122,,
2000-04-01,41.3251,-1.671,-5.6128,
2000-05-01,39.8981,-3.453,-6.9766,
2000-06-01,42.4088,6.2927,0.9076,
2000-07-01,42.0855,-0.7623,1.8401,
2000-08-01,41.3157,-1.8293,3.5528,
2000-09-01,39.9966,-3.1927,-5.6881,
2000-10-01,39.6361,-0.9012,-5.82,
2000-11-01,40.0462,1.0346,-3.0725,
2000-12-01,41.9399,4.7287,4.8587,
2001-01-01,43.6577,4.0958,10.1462,-0.2852
2001-02-01,42.8652,-1.8152,7.0393,-0.0588
2001-03-01,42.3984,-1.0891,1.0932,0.8827
2001-04-01,41.6859,-1.6803,-4.5164,0.8732
2001-05-01,41.026,-1.5831,-4.2907,2.8269
2001-06-01,40.1022,-2.2516,-5.4156,-5.4389
2001-07-01,40.5633,1.1496,-2.6932,-3.617
2001-08-01,42.4362,4.6172,3.4373,2.7121
2001-09-01,43.4012,2.2739,8.2263,8.5122
2001-10-01,43.4898,0.2043,7.2148,9.7227
2001-11-01,42.6271,-1.9837,0.45,6.4448
2001-12-01,42.7202,0.2182,-1.569,1.8605
2002-01-01,42.6718,-0.1133,-1.881,-2.2583
2002-02-01,42.3348,-0.7898,-0.6859,-1.2375
2002-03-01,42.6634,0.7764,-0.1328,0.6252
2002-04-01,43.3172,1.5324,1.5126,3.9133
2002-05-01,44.9023,3.6591,6.0648,9.4483
2002-06-01,46.7657,4.1501,9.6155,16.6163
2002-07-01,48.3618,3.4129,11.6457,19.2257
2002-08-01,47.4844,-1.8143,5.7506,11.8961
2002-09-01,47.485,0.0011,1.5379,9.4094
2002-10-01,47.4242,-0.1279,-1.9387,9.0467
2002-11-01,48.3008,1.8483,1.7192,13.3099
2002-12-01,49.0004,1.4485,3.1914,14.7009
2003-01-01,50.8847,3.8454,7.2968,19.2467
2003-02-01,51.4016,1.0159,6.4199,21.417
2003-03-01,51.4532,0.1004,5.0057,20.6025
2003-04-01,51.3774,-0.1473,0.9683,18.6073
2003-05-01,54.5054,6.0882,6.0383,21.3867
2003-06-01,54.4281,-0.1418,5.7818,16.3845
2003-07-01,52.5253,-3.4961,2.2342,8.6089
2003-08-01,51.1332,-2.6503,-6.1869,7.6842
2003-09-01,51.3898,0.5018,-5.5823,8.2233
2003-10-01,53.0507,3.2319,1.0003,11.8641
2003-11-01,53.2698,0.413,4.1784,10.2876
2003-12-01,55.9228,4.9804,8.8209,14.1273
2004-01-01,57.2666,2.403,7.9471,12.542
2004-02-01,57.2302,-0.0636,7.4347,11.3393
2004-03-01,55.1034,-3.7162,-1.4652,7.0943
2004-04-01,52.6318,-4.4854,-8.0933,2.4416
2004-05-01,54.2223,3.0219,-5.2557,-0.5193
2004-06-01,55.2072,1.8163,0.1883,1.4314
2004-07-01,56.4521,2.255,7.2584,7.4761
2004-08-01,56.3699,-0.1457,3.9606,10.2412
2004-09-01,56.2383,-0.2333,1.8678,9.4349
2004-10-01,57.121,1.5695,1.1849,7.6726
2004-11-01,58.5597,2.5187,3.8848,9.9305
2004-12-01,58.8817,0.5498,4.7003,5.291
2005-01-01,57.3558,-2.5914,0.4111,0.1557
2005-02-01,56.8258,-0.9242,-2.961,-0.7067
2005-03-01,57.6219,1.401,-2.1396,4.5704
2005-04-01,56.5389,-1.8794,-1.4243,7.4234
2005-05-01,55.2004,-2.3674,-2.8602,1.8038
2005-06-01,52.9916,-4.0015,-8.0356,-4.0132
2005-07-01,52.3733,-1.1668,-7.3677,-7.2253
2005-08-01,53.6126,2.3662,-2.8765,-4.8914
2005-09-01,53.8,0.3497,1.5256,-4.3356
2005-10-01,53.8684,0.1271,2.8548,-5.6942
2005-11-01,53.8362,-0.0599,0.4171,-8.0662
2005-12-01,54.0889,0.4693,0.5368,-8.1398
2006-01-01,53.6473,-0.8164,-0.4105,-6.4658
2006-02-01,52.8602,-1.467,-1.8128,-6.9784
2006-03-01,53.3767,0.977,-1.3167,-7.3673
2006-04-01,55.0932,3.2158,2.6952,-2.5571
2006-05-01,57.9107,5.1141,9.5543,4.9099
2006-06-01,58.1437,0.4023,8.9308,9.7225
2006-07-01,58.8833,1.272,6.8795,12.43
2006-08-01,59.5794,1.1823,2.8816,11.1296
2006-09-01,58.6211,-1.6085,0.8211,8.9611
2006-10-01,57.2602,-2.3215,-2.7565,6.2964
2006-11-01,57.6853,0.7425,-3.1791,7.1497
2006-12-01,58.8629,2.0414,0.4125,8.8263
2007-01-01,57.509,-2.3001,0.4345,7.1984
2007-02-01,57.6024,0.1625,-0.1437,8.9712
2007-03-01,57.9914,0.6752,-1.4805,8.6456
2007-04-01,56.6413,-2.3282,-1.5089,2.81
2007-05-01,54.9493,-2.9871,-4.6059,-5.1137
2007-06-01,54.595,-0.6449,-5.8568,-6.1034
2007-07-01,55.3319,1.3498,-2.3117,-6.0313
2007-08-01,55.4819,0.2712,0.9692,-6.8774
2007-09-01,55.8997,0.753,2.3899,-4.6423
2007-10-01,56.0591,0.2851,1.3143,-2.0976
2007-11-01,57.7965,3.0992,4.1717,0.1927
2007-12-01,57.3607,-0.754,2.6136,-2.5521
2008-01-01,57.7981,0.7626,3.1021,0.5027
2008-02-01,58.5077,1.2278,1.2306,1.5716
2008-03-01,62.3968,6.6472,8.7798,7.5967
2008-04-01,62.9946,0.958,8.9908,11.2168
2008-05-01,65.559,4.0709,12.052,19.3082
2008-06-01,66.5632,1.5317,6.6772,21.9219
2008-07-01,67.5111,1.4241,7.1697,22.0112
2008-08-01,64.3236,-4.7214,-1.8845,15.9362
2008-09-01,65.4115,1.6913,-1.7302,17.0159
2008-10-01,64.5866,-1.2611,-4.3318,15.2117
2008-11-01,62.1436,-3.7825,-3.3891,7.5215
2008-12-01,65.1465,4.8322,-0.4052,13.5734
2009-01-01,64.5104,-0.9764,-0.118,11.6133
2009-02-01,62.8849,-2.5197,1.1929,7.4814
2009-03-01,66.8026,6.23,2.5422,7.0609
2009-04-01,66.0471,-1.131,2.3821,4.8457
2009-05-01,66.1762,0.1954,5.2338,0.9413
2009-06-01,66.9191,1.1227,0.1744,0.5347
2009-07-01,68.2333,1.9637,3.31,1.0697
2009-08-01,68.957,1.0606,4.2021,7.2032
2009-09-01,70.4154,2.115,5.2246,7.6498
2009-10-01,69.216,-1.7033,1.4403,7.1677
2009-11-01,69.4421,0.3266,0.7035,11.7445
2009-12-01,68.0924,-1.9435,-3.299,4.522
2010-01-01,65.5361,-3.7542,-5.3165,1.59
2010-02-01,63.4291,-3.215,-8.6589,0.8654
2010-03-01,61.7352,-2.6706,-9.3362,-7.5857
2010-04-01,59.6203,-3.4257,-9.0267,-9.7306
2010-05-01,57.6166,-3.3608,-9.1638,-12.9345
2010-06-01,56.8582,-1.3163,-7.8998,-15.0344
2010-07-01,59.81,5.1914,0.3181,-12.3448
2010-08-01,60.0584,0.4153,4.2379,-12.9045
2010-09-01,60.0771,0.0312,5.6612,-14.6819
2010-10-01,61.7399,2.7678,3.2268,-10.8011
2010-11-01,61.4539,-0.4632,2.3236,-11.5033
2010-12-01,59.6472,-2.94,-0.7156,-12.4026
2011-01-01,60.7161,1.7921,-1.6583,-7.3547
2011-02-01,62.0142,2.138,0.9118,-2.2307
2011-03-01,62.9526,1.5132,5.5417,1.9721
2011-04-01,64.1128,1.8429,5.5944,7.5351
2011-05-01,64.4735,0.5625,3.9656,11.9008
2011-06-01,64.52,0.0722,2.4898,13.4752
2011-07-01,63.3537,-1.8077,-1.184,5.9249
2011-08-01,65.0717,2.7118,0.9279,8.3474
2011-09-01,65.5964,0.8064,1.6683,9.1871
