date,value,pct_1m,pct_3m,pct_1y
2000-01-01,106.5324,,,
2000-02-01,107.641,1.0406,,
2000-03-01,102.5909,-4.6916,,
2000-04-01,99.9244,-2.5991,-6.2027,
2000-05-01,98.0905,-1.8354,-8.8726,
2000-06-01,100.7136,2.6742,-1.8298,
2000-07-01,101.3857,0.6673,1.4624,
2000-08-01,97.7574,-3.5787,-0.3395,
2000-09-01,93.1062,-4.7579,-7.5535,
2000-10-01,92.745,-0.3879,-8.5226,
2000-11-01,93.2591,0.5543,-4.6015,
2000-12-01,100.6147,7.8873,8.0645,
2001-01-01,109.5741,8.9046,18.1456,2.8552
2001-02-01,107.081,-2.2753,14.821,-0.5202
2001-03-01,110.3332,3.0371,9.6591,7.5468
2001-04-01,110.3553,0.02,0.7129,10.4387
2001-05-01,106.4959,-3.4972,-0.5464,8.5691
2001-06-01,104.2976,-2.0642,-5.4703,3.5586
2001-07-01,107.2105,2.7928,-2.8497,5.7451
2001-08-01,109.3387,1.9851,2.6694,11.847
2001-09-01,108.2005,-1.041,3.7421,16.2119
2001-10-01,109.8557,1.5297,2.4673,18.4491
2001-11-01,108.6764,-1.0735,-0.6058,16.5317
2001-12-01,113.38,4.3281,4.7869,12.6873
2002-01-01,117.1159,3.295,6.6089,6.8828
2002-02-01,116.232,-0.7547,6.9524,8.5459
2002-03-01,114.7455,-1.2789,1.2044,3.9991
2002-04-01,115.8095,0.9273,-1.1155,4.9425
2002-05-01,115.8609,0.0444,-0.3193,8.7938
2002-06-01,117.7985,1.6723,2.6607,12.9446
2002-07-01,117.107,-0.5871,1.1203,9.2309
2002-08-01,116.3055,-0.6844,0.3837,6.3717
2002-09-01,118.3805,1.7841,0.494,9.4084
2002-10-01,121.5722,2.6961,3.8129,10.6654
2002-11-01,121.65,0.064,4.5953,11.9379
2002-12-01,124.198,2.0945,4.9143,9.5414
2003-01-01,126.1155,1.5439,3.7371,7.6843
2003-02-01,128.604,1.9732,5.7164,10.6442
2003-03-01,128.1562,-0.3482,3.187,11.6873
2003-04-01,130.115,1.5285,3.1713,12.3526
2003-05-01,135.8286,4.3912,5.6177,17.2342
2003-06-01,138.0505,1.6358,7.7205,17.192
2003-07-01,134.9883,-2.2182,3.7453,15.2692
2003-08-01,132.3781,-1.9336,-2.5403,13.8193
2003-09-01,128.9441,-2.5941,-6.5964,8.9234
2003-10-01,128.1183,-0.6405,-5.0893,5.3845
2003-11-01,127.839,-0.218,-3.4289,5.0875
2003-12-01,132.4314,3.5924,2.7045,6.6293
2004-01-01,134.131,1.2833,4.6931,6.3557
2004-02-01,134.779,0.4831,5.4287,4.8016
2004-03-01,133.1252,-1.227,0.5239,3.8773
2004-04-01,129.078,-3.0402,-3.7672,-0.797
2004-05-01,134.4824,4.1869,-0.2201,-0.9911
2004-06-01,132.8609,-1.2057,-0.1985,-3.7592
2004-07-01,134.0823,0.9193,3.8769,-0.6712
2004-08-01,134.5386,0.3404,0.0418,1.6321
2004-09-01,134.5055,-0.0247,1.2378,4.313
2004-10-01,135.971,1.0895,1.4086,6.1293
2004-11-01,136.0873,0.0855,1.1511,6.4521
2004-12-01,139.14,2.2432,3.4456,5.0657
2005-01-01,135.6333,-2.5202,-0.2483,1.1201
2005-02-01,136.5495,0.6755,0.3397,1.3136
2005-03-01,138.8329,1.6722,-0.2207,4.2874
2005-04-01,138.8362,0.0024,2.3614,7.5599
2005-05-01,135.3732,-2.4943,-0.8615,0.6624
2005-06-01,132.2159,-2.3323,-4.7661,-0.4855
2005-07-01,134.7471,1.9145,-2.9452,0.4959
2005-08-01,135.9848,0.9185,0.4518,1.0749
2005-09-01,136.0632,0.0577,2.9098,1.1581
2005-10-01,138.0519,1.4616,2.4526,1.5304
2005-11-01,139.5914,1.1151,2.6522,2.5749
2005-12-01,140.5767,0.7058,3.3172,1.0325
2006-01-01,139.815,-0.5418,1.2771,3.0831
2006-02-01,140.7675,0.6813,0.8426,3.089
2006-03-01,140.96,0.1368,0.2727,1.5322
2006-04-01,143.5867,1.8634,2.6976,3.4216
2006-05-01,142.7032,-0.6153,1.3751,5.4147
2006-06-01,145.11,1.6866,2.9441,9.7523
2006-07-01,146.6967,1.0934,2.1659,8.8681
2006-08-01,148.5348,1.253,4.0865,9.229
2006-09-01,148.9924,0.3081,2.6755,9.5023
2006-10-01,149.6518,0.4426,2.0145,8.4026
2006-11-01,151.1055,0.9713,1.7307,8.2484
2006-12-01,154.8247,2.4614,3.9145,10.1354
2007-01-01,156.5614,1.1217,4.6171,11.9775
2007-02-01,157.6005,0.6637,4.2984,11.958
2007-03-01,155.2409,-1.4972,0.2688,10.1312
2007-04-01,160.6847,3.5067,2.6337,11.9078
2007-05-01,163.2191,1.5772,3.5651,14.3766
2007-06-01,164.5548,0.8183,5.9996,13.4
