date,value,pct_1m,pct_3m,pct_1y
2000-01-01,1145.8729,,,
2000-02-01,1110.7576,-3.0645,,
2000-03-01,1076.117,-3.1187,,
2000-04-01,1051.4156,-2.2954,-8.2433,
2000-05-01,1015.2705,-3.4378,-8.5966,
2000-06-01,1061.0805,4.5121,-1.3973,
2000-07-01,1047.9067,-1.2415,-0.3337,
2000-08-01,1007.6365,-3.8429,-0.7519,
2000-09-01,973.2319,-3.4144,-8.2792,
2000-10-01,965.0995,-0.8356,-7.9021,
2000-11-01,990.6073,2.643,-1.69,
2000-12-01,1089.5942,9.9926,11.9563,
2001-01-01,1194.9232,9.6668,23.8135,4.2806
2001-02-01,1153.8145,-3.4403,16.4755,3.8764
2001-03-01,1173.3995,1.6974,7.6914,9.0402
2001-04-01,1183.4521,0.8567,-0.96,12.558
2001-05-01,1133.74,-4.2006,-1.7398,11.6688
2001-06-01,1104.1205,-2.6125,-5.9041,4.0562
2001-07-01,1120.275,1.4631,-5.3384,6.906
2001-08-01,1153.9922,3.0097,1.7863,14.5246
2001-09-01,1178.274,2.1042,6.7161,21.0682
2001-10-01,1178.6213,0.0295,5.2082,22.1243
2001-11-01,1137.4827,-3.4904,-1.4306,14.8268
2001-12-01,1146.9933,0.8361,-2.6548,5.2679
2002-01-01,1160.7832,1.2023,-1.5135,-2.8571
2002-02-01,1147.178,-1.1721,0.8523,-0.5752
2002-03-01,1157.299,0.8823,0.8985,-1.3721
2002-04-01,1163.1776,0.508,0.2063,-1.7132
2002-05-01,1150.0777,-1.1262,0.2528,1.441
2002-06-01,1160.6205,0.9167,0.287,5.1172
2002-07-01,1169.1557,0.7354,0.5139,4.3633
2002-08-01,1167.0768,-0.1778,1.4781,1.1339
2002-09-01,1182.5671,1.3273,1.8909,0.3644
2002-10-01,1211.92,2.4821,3.6577,2.8252
2002-11-01,1208.1895,-0.3078,3.5227,6.2161
2002-12-01,1226.883,1.5472,3.7474,6.9651
2003-01-01,1250.055,1.8887,3.1467,7.6907
2003-02-01,1282.821,2.6212,6.1771,11.8241
2003-03-01,1335.4419,4.102,8.8484,15.393
2003-04-01,1337.3775,0.1449,6.9855,14.9762
2003-05-01,1390.0314,3.9371,8.3574,20.8641
2003-06-01,1392.3343,0.1657,4.2602,19.9646
2003-07-01,1342.2704,-3.5957,0.3659,14.8068
2003-08-01,1312.6705,-2.2052,-5.5654,12.4751
2003-09-01,1306.8768,-0.4414,-6.1377,10.5118
2003-10-01,1364.6978,4.4244,1.6709,12.6063
2003-11-01,1388.09,1.7141,5.7455,14.8901
2003-12-01,1463.9024,5.4616,12.0153,19.3188
2004-01-01,1492.2271,1.9349,9.3449,19.3729
2004-02-01,1474.741,-1.1718,6.2425,14.9608
2004-03-01,1429.4017,-3.0744,-2.3568,7.0359
2004-04-01,1381.582,-3.3454,-7.4148,3.3053
2004-05-01,1412.2867,2.2224,-4.2349,1.6011
2004-06-01,1406.1823,-0.4322,-1.6244,0.9946
2004-07-01,1420.6641,1.0299,2.8288,5.8404
2004-08-01,1409.3723,-0.7948,-0.2064,7.3668
2004-09-01,1403.0586,-0.448,-0.2221,7.3597
2004-10-01,1426.1905,1.6487,0.389,4.506
2004-11-01,1411.1527,-1.0544,0.1263,1.6615
2004-12-01,1408.7683,-0.169,0.4069,-3.7662
2005-01-01,1362.0071,-3.3193,-4.5003,-8.7266
2005-02-01,1330.263,-2.3307,-5.7322,-9.7968
2005-03-01,1329.4419,-0.0617,-5.6309,-6.9931
2005-04-01,1306.8224,-1.7014,-4.0517,-5.4112
2005-05-01,1272.3364,-2.6389,-4.3545,-9.9095
2005-06-01,1231.1214,-3.2393,-7.3956,-12.4494
2005-07-01,1248.5314,1.4142,-4.4605,-12.1164
2005-08-01,1255.3335,0.5448,-1.3364,-10.9296
2005-09-01,1261.4636,0.4883,2.4646,-10.0919
2005-10-01,1256.6552,-0.3812,0.6507,-11.8873
2005-11-01,1226.3805,-2.4092,-2.3064,-13.0937
2005-12-01,1212.3,-1.1481,-3.8973,-13.9461
2006-01-01,1190.0218,-1.8377,-5.3024,-12.6273
2006-02-01,1157.955,-2.6946,-5.5795,-12.9529
2006-03-01,1171.8417,1.1992,-3.3373,-11.8546
2006-04-01,1168.6694,-0.2707,-1.7943,-10.5717
2006-05-01,1202.0418,2.8556,3.8073,-5.5248
2006-06-01,1207.6373,0.4655,3.0546,-1.9075
2006-07-01,1205.8948,-0.1443,3.1853,-3.4149
2006-08-01,1231.4161,2.1164,2.4437,-1.9053
2006-09-01,1212.639,-1.5248,0.4142,-3.8705
2006-10-01,1202.3123,-0.8516,-0.2971,-4.3244
2006-11-01,1205.0068,0.2241,-2.1446,-1.7428
2006-12-01,1222.3405,1.4385,0.8,0.8282
2007-01-01,1217.8282,-0.3692,1.2905,2.3366
2007-02-01,1225.253,0.6097,1.6802,5.8118
2007-03-01,1248.8159,1.9231,2.166,6.5686
2007-04-01,1257.9932,0.7349,3.2981,7.6432
2007-05-01,1253.2741,-0.3751,2.287,4.2621
2007-06-01,1245.3876,-0.6293,-0.2745,3.126
2007-07-01,1259.6968,1.149,0.1354,4.4616
2007-08-01,1273.3696,1.0854,1.6034,3.4069
2007-09-01,1291.4625,1.4209,3.6996,6.5002
2007-10-01,1301.6665,0.7901,3.3317,8.2636
2007-11-01,1348.4614,3.595,5.8971,11.9049
2007-12-01,1356.7932,0.6179,5.0587,10.9996
2008-01-01,1387.6614,2.2751,6.6065,13.9456
2008-02-01,1392.5681,0.3536,3.2709,13.6556
2008-03-01,1523.1416,9.3765,12.2604,21.9669
2008-04-01,1555.9782,2.1558,12.1295,23.6873
2008-05-01,1613.1814,3.6764,15.8422,28.7174
2008-06-01,1604.9471,-0.5104,5.3708,28.8713
2008-07-01,1604.5757,-0.0231,3.1233,27.3779
2008-08-01,1566.2267,-2.39,-2.9107,22.9986
2008-09-01,1630.2568,4.0882,1.577,26.2334
2008-10-01,1759.0722,7.9015,9.6285,35.14
2008-11-01,1783.122,1.3672,13.8483,32.2338
2008-12-01,1850.0562,3.7538,13.4825,36.3551
2009-01-01,1801.9738,-2.599,2.4389,29.8569
2009-02-01,1843.895,2.3264,3.4082,32.4097
2009-03-01,1894.48,2.7434,2.4012,24.3798
2009-04-01,1760.1405,-7.0911,-2.3215,13.1212
2009-05-01,1710.183,-2.8383,-7.2516,6.0131
