date,value,pct_1m,pct_3m,pct_1y
2000-01-01,9.6243,,,
2000-02-01,9.2663,-3.7191,,
2000-03-01,8.96,-3.3062,,
2000-04-01,8.8888,-0.7946,-7.6421,
2000-05-01,8.6147,-3.0839,-7.0328,
2000-06-01,9.3298,8.3016,4.1276,
2000-07-01,8.8647,-4.9847,-0.2704,
2000-08-01,8.389,-5.3671,-2.6199,
2000-09-01,8.1528,-2.8154,-12.6158,
2000-10-01,8.1534,0.007,-8.025,
2000-11-01,8.1424,-0.1339,-2.9387,
2000-12-01,8.4904,4.2729,4.1406,
2001-01-01,9.1715,8.0222,12.4872,-4.7048
2001-02-01,8.9533,-2.3793,9.958,-3.3786
2001-03-01,8.7355,-2.4326,2.8868,-2.5058
2001-04-01,8.3273,-4.6727,-9.2046,-6.3169
2001-05-01,7.9923,-4.0229,-10.7333,-7.2246
2001-06-01,7.758,-2.9316,-11.1898,-16.8474
2001-07-01,7.8806,1.5812,-5.3635,-11.1013
2001-08-01,8.2222,4.3346,2.8773,-1.9874
2001-09-01,8.5775,4.3209,10.5638,5.2097
2001-10-01,8.4724,-1.2249,7.5096,3.9137
2001-11-01,8.1912,-3.3196,-0.3775,0.5989
2001-12-01,8.1751,-0.1967,-4.6916,-3.7133
2002-01-01,8.0942,-0.9889,-4.4639,-11.7454
2002-02-01,7.9138,-2.229,-3.3863,-11.6096
2002-03-01,7.9417,0.3522,-2.8549,-9.0867
2002-04-01,8.117,2.2077,0.2814,-2.5249
2002-05-01,8.724,7.4774,10.237,9.1549
2002-06-01,9.3367,7.0231,17.5651,20.3492
2002-07-01,9.6998,3.8897,19.4998,23.0842
2002-08-01,9.6141,-0.8843,10.2029,16.9275
2002-09-01,9.8733,2.6962,5.7474,15.1064
2002-10-01,9.9014,0.285,2.0782,16.866
2002-11-01,10.2059,3.0754,6.1562,24.5961
2002-12-01,10.41,1.9998,5.4363,27.3382
2003-01-01,11.276,8.3188,13.8828,39.3089
2003-02-01,11.7747,4.4224,15.371,48.7861
2003-03-01,11.8037,0.2468,13.3882,48.6299
2003-04-01,11.4946,-2.6192,1.9384,41.6107
2003-05-01,11.8822,3.3724,0.9134,36.2021
2003-06-01,12.256,3.1455,3.8314,31.2672
2003-07-01,11.8934,-2.9583,3.4697,22.6146
2003-08-01,12.004,0.9297,1.0247,24.8586
2003-09-01,12.2582,2.1174,0.0178,24.155
2003-10-01,13.0559,6.508,9.7745,31.8592
2003-11-01,13.0339,-0.1691,8.5794,27.7088
2003-12-01,13.8173,6.0107,12.7191,32.7307
2004-01-01,13.7686,-0.3525,5.4584,22.1051
2004-02-01,13.9545,1.3506,7.0638,18.5132
2004-03-01,13.498,-3.2719,-2.311,14.3533
2004-04-01,13.5069,0.0665,-1.9003,17.507
2004-05-01,13.8176,2.2998,-0.9815,16.2878
2004-06-01,13.8211,0.0257,2.3942,12.7705
2004-07-01,14.0696,1.798,4.166,18.2978
2004-08-01,13.8721,-1.404,0.3946,15.5625
2004-09-01,14.0294,1.1337,1.5068,14.4493
2004-10-01,14.2421,1.5165,1.226,9.0855
2004-11-01,14.7711,3.7139,6.4804,13.3284
2004-12-01,15.0226,1.703,7.0798,8.7234
2005-01-01,14.7795,-1.6183,3.7732,7.3423
2005-02-01,14.4992,-1.8968,-1.8408,3.9028
2005-03-01,14.7222,1.538,-2.0,9.0695
2005-04-01,14.3858,-2.2851,-2.6642,6.5064
2005-05-01,13.9348,-3.1347,-3.8923,0.8484
2005-06-01,13.1698,-5.49,-10.5445,-4.7127
2005-07-01,12.8672,-2.2975,-10.5559,-8.5463
2005-08-01,13.1376,2.1015,-5.7209,-5.2947
2005-09-01,13.2124,0.5693,0.3237,-5.8233
2005-10-01,13.0256,-1.4135,1.2314,-8.5414
2005-11-01,12.5826,-3.401,-4.2242,-14.8155
2005-12-01,12.6044,0.1729,-4.6017,-16.0971
2006-01-01,12.7752,1.3552,-1.9226,-13.5613
2006-02-01,12.5198,-1.9992,-0.4994,-13.6514
2006-03-01,12.9188,3.1871,2.4946,-12.2491
2006-04-01,13.5388,4.7991,5.9772,-5.8873
2006-05-01,14.1604,4.5912,13.1039,1.619
2006-06-01,14.4093,1.7574,11.5369,9.4116
2006-07-01,13.9392,-3.2622,2.9573,8.3312
2006-08-01,13.9359,-0.0233,-1.5851,6.0767
2006-09-01,13.9736,0.2701,-3.0236,5.7611
2006-10-01,13.7479,-1.6149,-1.3722,5.545
2006-11-01,14.0612,2.279,0.8991,11.751
2006-12-01,14.345,2.0182,2.6582,13.8096
2007-01-01,14.2315,-0.7912,3.5177,11.3995
2007-02-01,14.3697,0.9711,2.1939,14.7759
2007-03-01,14.7187,2.4285,2.6049,13.9321
2007-04-01,14.8496,0.8893,4.3429,9.6816
2007-05-01,14.6202,-1.5451,1.7427,3.2467
2007-06-01,14.5434,-0.5249,-1.1908,0.9311
2007-07-01,14.82,1.9019,-0.1991,6.3191
2007-08-01,15.0491,1.5456,2.9338,7.9875
2007-09-01,15.3293,1.8619,5.4035,9.7018
2007-10-01,15.4044,0.4902,3.9433,12.0492
2007-11-01,15.9776,3.7207,6.1697,13.6285
2007-12-01,15.8096,-1.0516,3.1331,10.2093
2008-01-01,16.0639,1.6087,4.2809,12.8753
2008-02-01,15.8786,-1.1535,-0.6196,10.5002
2008-03-01,16.6678,4.9703,5.4286,13.2423
2008-04-01,16.5608,-0.6418,3.0936,11.5238
