date,value,pct_1m,pct_3m,pct_1y
2000-01-01,8.1215,,,
2000-02-01,8.0991,-0.2756,,
2000-03-01,8.111,0.1473,,
2000-04-01,8.1545,0.5366,0.4072,
2000-05-01,8.1994,0.5499,1.2383,
2000-06-01,8.249,0.6045,1.7006,
2000-07-01,8.1763,-0.8812,0.2663,
2000-08-01,8.0959,-0.983,-1.2622,
2000-09-01,8.0266,-0.8554,-2.695,
2000-10-01,8.0032,-0.292,-2.1166,
2000-11-01,7.995,-0.1019,-1.2456,
2000-12-01,8.1334,1.7311,1.3306,
2001-01-01,8.2355,1.255,2.9028,1.4043
2001-02-01,8.2125,-0.2793,2.7202,1.4005
2001-03-01,8.16,-0.639,0.327,0.6044
2001-04-01,8.1146,-0.5569,-1.4682,-0.4898
2001-05-01,7.9927,-1.5025,-2.6769,-2.521
2001-06-01,7.936,-0.7089,-2.7453,-3.7936
2001-07-01,7.9714,0.4462,-1.7644,-2.5052
2001-08-01,8.0552,1.0508,0.7821,-0.5027
2001-09-01,7.9985,-0.7035,0.7876,-0.3503
2001-10-01,7.997,-0.0185,0.3213,-0.077
2001-11-01,7.9224,-0.9336,-1.6487,-0.9088
2001-12-01,7.9911,0.8678,-0.0923,-1.7497
2002-01-01,7.9208,-0.8808,-0.954,-3.8221
2002-02-01,7.7853,-1.7101,-1.7304,-5.2021
2002-03-01,7.7183,-0.8609,-3.4146,-5.4138
2002-04-01,7.6221,-1.2461,-3.7705,-6.0694
2002-05-01,7.5207,-1.3302,-3.3987,-5.9051
2002-06-01,7.4043,-1.5478,-4.0679,-6.7001
2002-07-01,7.405,0.0092,-2.8485,-7.106
2002-08-01,7.4284,0.3161,-1.2275,-7.7814
2002-09-01,7.3619,-0.8946,-0.5723,-7.9589
2002-10-01,7.3405,-0.2905,-0.8702,-8.2093
2002-11-01,7.319,-0.2935,-1.4725,-7.6162
2002-12-01,7.2948,-0.3311,-0.9122,-8.7143
2003-01-01,7.3328,0.5216,-0.1052,-7.4227
2003-02-01,7.5439,2.8789,3.0732,-3.1004
2003-03-01,7.845,3.9906,7.5425,1.6416
2003-04-01,7.8317,-0.1689,6.8038,2.7503
2003-05-01,7.8715,0.5074,4.3418,4.664
