date,value,pct_1m,pct_3m,pct_1y
2000-01-01,4.1603,,,
2000-02-01,4.0782,-1.9739,,
2000-03-01,3.946,-3.2417,,
2000-04-01,4.0065,1.534,-3.6966,
2000-05-01,4.0731,1.6614,-0.1253,
2000-06-01,4.1731,2.4549,5.7549,
2000-07-01,4.0528,-2.8818,1.1555,
2000-08-01,3.9446,-2.6701,-3.1544,
2000-09-01,3.9174,-0.6895,-6.1266,
2000-10-01,3.967,1.2652,-2.1182,
2000-11-01,3.9,-1.6884,-1.1309,
2000-12-01,3.8744,-0.6554,-1.097,
2001-01-01,3.8591,-0.3953,-2.7188,-7.2398
2001-02-01,3.7671,-2.3831,-3.4062,-7.627
2001-03-01,3.6944,-1.9295,-4.645,-6.3742
2001-04-01,3.5904,-2.8177,-6.964,-10.3869
2001-05-01,3.4842,-2.9577,-7.5117,-14.4586
2001-06-01,3.3876,-2.7714,-8.3057,-18.8221
2001-07-01,3.6171,6.7755,0.7457,-10.7499
2001-08-01,3.8243,5.7275,9.7625,-3.0494
2001-09-01,3.8468,0.5889,13.5559,-1.8015
2001-10-01,3.7465,-2.6069,3.5778,-5.5563
2001-11-01,3.6348,-2.9831,-4.9557,-6.8
2001-12-01,3.5881,-1.2834,-6.7248,-7.3892
2002-01-01,3.5922,0.1127,-4.1202,-6.9168
2002-02-01,3.642,1.3861,0.1977,-3.3227
2002-03-01,3.6229,-0.5229,0.9696,-1.9361
2002-04-01,3.5944,-0.7884,0.0608,0.1115
2002-05-01,3.7126,3.2908,1.9406,6.5577
2002-06-01,3.8502,3.7042,6.2724,13.6547
2002-07-01,4.0882,6.1835,13.7405,13.0245
2002-08-01,4.0836,-0.113,9.9923,6.7808
2002-09-01,4.0703,-0.3261,5.7175,5.8095
2002-10-01,4.0434,-0.6607,-1.0966,7.9238
2002-11-01,3.9569,-2.1389,-3.1025,8.8629
2002-12-01,3.9858,0.7288,-2.077,11.0819
2003-01-01,4.0704,2.1237,0.6677,13.3132
2003-02-01,4.1656,2.3377,5.2727,14.3767
2003-03-01,4.3363,4.0988,8.7948,19.6907
2003-04-01,4.2971,-0.9049,5.5684,19.5502
2003-05-01,4.3343,0.8664,4.0506,16.7441
2003-06-01,4.4339,2.2983,2.2509,15.1614
2003-07-01,4.4368,0.0646,3.2513,8.5252
2003-08-01,4.3699,-1.5078,0.8209,7.0098
2003-09-01,4.4635,2.1417,0.6666,9.6592
2003-10-01,4.5952,2.9513,3.5706,13.6464
2003-11-01,4.6174,0.4844,5.6655,16.6928
2003-12-01,4.6595,0.9104,4.3917,16.9032
2004-01-01,4.7128,1.1447,2.5599,15.7826
2004-02-01,4.8569,3.0571,5.1858,16.5964
2004-03-01,4.7642,-1.9079,2.2481,9.8686
2004-04-01,4.7597,-0.0948,0.9951,10.7668
2004-05-01,4.7209,-0.8145,-2.7991,8.9209
2004-06-01,4.5906,-2.761,-3.6444,3.5341
2004-07-01,4.4651,-2.7338,-6.1897,0.6386
2004-08-01,4.431,-0.7637,-6.1416,1.399
2004-09-01,4.3748,-1.2676,-4.7002,-1.9855
2004-10-01,4.3182,-1.2942,-3.2896,-6.0273
2004-11-01,4.2573,-1.4105,-3.92,-7.7995
2004-12-01,4.1354,-2.8642,-5.4737,-11.2483
2005-01-01,4.0794,-1.3531,-5.5302,-13.44
2005-02-01,3.9867,-2.2738,-6.3574,-17.9176
2005-03-01,4.0123,0.6424,-2.9768,-15.7835
2005-04-01,4.1559,3.5806,1.8756,-12.6853
2005-05-01,4.1749,0.4568,4.7222,-11.5662
2005-06-01,4.0606,-2.7372,1.2055,-11.5446
2005-07-01,4.0986,0.9356,-1.3788,-8.2076
2005-08-01,4.0436,-1.3422,-3.1449,-8.7426
2005-09-01,3.916,-3.1558,-3.5617,-10.4879
2005-10-01,3.9229,0.1751,-4.2883,-9.1554
2005-11-01,3.9701,1.2045,-1.8177,-6.7458
2005-12-01,3.8501,-3.022,-1.682,-6.8972
2006-01-01,3.8201,-0.7803,-2.6197,-6.3567
2006-02-01,3.7941,-0.6796,-4.4326,-4.829
2006-03-01,3.8837,2.3593,0.8705,-3.2054
2006-04-01,3.9177,0.8759,2.5542,-5.7329
2006-05-01,3.8954,-0.5689,2.6685,-6.6954
2006-06-01,4.0261,3.3553,3.6674,-0.8509
2006-07-01,3.9962,-0.7417,2.0051,-2.4985
2006-08-01,3.9046,-2.2934,0.2359,-3.4386
2006-09-01,3.9649,1.5455,-1.5193,1.249
2006-10-01,3.9014,-1.6029,-2.3737,-0.5481
2006-11-01,3.8248,-1.9616,-2.0422,-3.6594
2006-12-01,3.8125,-0.322,-3.8437,-0.9772
2007-01-01,3.8795,1.7566,-0.5606,1.5547
2007-02-01,3.8943,0.3825,1.8169,2.6407
2007-03-01,3.8859,-0.2154,1.9258,0.0588
2007-04-01,3.8144,-1.842,-1.6788,-2.637
2007-05-01,3.7819,-0.8517,-2.8876,-2.9139
2007-06-01,3.8074,0.6751,-2.0209,-5.4315
2007-07-01,3.7682,-1.0295,-1.2099,-5.7056
2007-08-01,3.8116,1.1523,0.7868,-2.3803
2007-09-01,3.7891,-0.5904,-0.4801,-4.4336
2007-10-01,3.7062,-2.1877,-1.6448,-5.0016
2007-11-01,3.6575,-1.314,-4.0428,-4.374
2007-12-01,3.6015,-1.5328,-4.9525,-5.5356
2008-01-01,3.6092,0.2131,-2.6195,-6.9685
2008-02-01,3.5768,-0.8966,-2.2077,-8.1539
2008-03-01,3.5363,-1.1325,-1.8101,-8.998
2008-04-01,3.4421,-2.6626,-4.6278,-9.7588
2008-05-01,3.4038,-1.1142,-4.8371,-9.9977
2008-06-01,3.3736,-0.8879,-4.6018,-11.3951
2008-07-01,3.2591,-3.3932,-5.3178,-13.5112
2008-08-01,3.292,1.0089,-3.285,-13.6339
2008-09-01,3.3747,2.5135,0.0342,-10.9372
2008-10-01,3.5767,5.9863,9.7464,-3.4943
2008-11-01,3.7326,4.3579,13.3851,2.0522
2008-12-01,4.0044,7.2828,18.6603,11.1887
2009-01-01,4.23,5.6334,18.2651,17.2026
2009-02-01,4.6467,9.8503,24.4895,29.9123
2009-03-01,4.621,-0.5521,15.398,30.6749
2009-04-01,4.4326,-4.0787,4.7882,28.7739
2009-05-01,4.4103,-0.5029,-5.0879,29.5699
2009-06-01,4.5084,2.2252,-2.4373,33.6398
2009-07-01,4.2965,-4.7006,-3.0699,31.8312
2009-08-01,4.1311,-3.8502,-6.3309,25.4894
2009-09-01,4.1584,0.6625,-7.7628,23.2236
2009-10-01,4.2146,1.351,-1.9056,17.8344
2009-11-01,4.1646,-1.1866,0.812,11.574
