date,value,pct_1m,pct_3m,pct_1y
2000-01-01,8.5968,,,
2000-02-01,8.5114,-0.9934,,
2000-03-01,8.3884,-1.445,,
2000-04-01,8.2671,-1.4455,-3.8345,
2000-05-01,8.241,-0.3156,-3.1762,
2000-06-01,8.3177,0.9302,-0.8427,
2000-07-01,8.407,1.0738,1.6921,
2000-08-01,8.3917,-0.1826,1.8278,
2000-09-01,8.4145,0.2725,1.1642,
2000-10-01,8.5245,1.3066,1.3971,
2000-11-01,8.6289,1.2249,2.8269,
2000-12-01,8.6622,0.386,2.9433,
2001-01-01,8.9055,2.8092,4.4702,3.5916
2001-02-01,8.977,0.8018,4.0336,5.47
2001-03-01,9.1264,1.6645,5.3585,8.7977
2001-04-01,9.112,-0.1574,2.3183,10.2196
2001-05-01,9.0576,-0.597,0.8985,9.9084
2001-06-01,9.2106,1.6893,0.9231,10.735
2001-07-01,9.2637,0.5759,1.6643,10.1895
2001-08-01,9.3107,0.5079,2.7944,10.9518
2001-09-01,9.6744,3.9057,5.0349,14.972
2001-10-01,9.578,-0.9963,3.393,12.3585
2001-11-01,9.4166,-1.6847,1.1375,9.1289
2001-12-01,9.4358,0.2042,-2.4654,8.9313
2002-01-01,9.2275,-2.2083,-3.6594,3.615
2002-02-01,9.1828,-0.4843,-2.4831,2.293
2002-03-01,9.0594,-1.3436,-3.9894,-0.7337
2002-04-01,9.1358,0.8428,-0.9939,0.2608
2002-05-01,9.2208,0.9303,0.4135,1.8013
2002-06-01,9.1136,-1.1617,0.5987,-1.0527
2002-07-01,9.2689,1.7036,1.4574,0.0567
2002-08-01,9.2489,-0.2164,0.3047,-0.6643
2002-09-01,9.1679,-0.8752,0.5954,-5.2349
2002-10-01,9.1051,-0.6854,-1.7676,-4.9374
2002-11-01,9.0818,-0.2552,-1.8059,-3.5553
2002-12-01,9.0961,0.1571,-0.7833,-3.6006
2003-01-01,9.1733,0.8492,0.7498,-0.5867
2003-02-01,9.1455,-0.3035,0.701,-0.4061
2003-03-01,9.2265,0.8858,1.4337,1.8445
2003-04-01,9.1541,-0.7847,-0.2096,0.2008
2003-05-01,9.1559,0.019,0.1132,-0.7039
2003-06-01,9.1182,-0.4114,-1.1741,0.0498
2003-07-01,9.1856,0.7394,0.344,-0.8988
2003-08-01,9.2378,0.5688,0.8955,-0.1191
2003-09-01,9.0682,-1.8368,-0.5485,-1.088
2003-10-01,9.0105,-0.6364,-1.9067,-1.0391
2003-11-01,8.9939,-0.1839,-2.6408,-0.9683
2003-12-01,9.0228,0.3211,-0.5006,-0.8062
2004-01-01,9.1368,1.2634,1.4018,-0.3987
2004-02-01,9.1763,0.433,2.0285,0.3372
2004-03-01,9.2346,0.6353,2.348,0.088
2004-04-01,9.1653,-0.7506,0.3125,0.1224
2004-05-01,9.1277,-0.4103,-0.5298,-0.3074
2004-06-01,9.143,0.1677,-0.9921,0.2723
2004-07-01,9.1962,0.5821,0.3373,0.1157
2004-08-01,9.1861,-0.1103,0.6396,-0.5602
2004-09-01,9.092,-1.0248,-0.5585,0.2623
2004-10-01,9.062,-0.3298,-1.4601,0.5716
2004-11-01,8.998,-0.7053,-2.0471,0.0462
2004-12-01,8.9819,-0.1797,-1.2107,-0.4533
2005-01-01,9.0476,0.7316,-0.1586,-0.976
2005-02-01,9.0852,0.4161,0.969,-0.9927
2005-03-01,9.0884,0.0351,1.1863,-1.5832
2005-04-01,9.167,0.8646,1.3199,0.0184
2005-05-01,9.1931,0.2848,1.1874,0.7165
2005-06-01,9.2628,0.7578,1.9184,1.3099
2005-07-01,9.4276,1.7789,2.8423,2.5154
2005-08-01,9.3398,-0.9308,1.5958,1.6734
2005-09-01,9.3342,-0.0606,0.7705,2.6638
2005-10-01,9.4223,0.9439,-0.0563,3.9758
2005-11-01,9.5614,1.4763,2.372,6.2603
2005-12-01,9.4316,-1.3576,1.0435,5.0065
2006-01-01,9.3111,-1.2773,-1.1799,2.9123
2006-02-01,9.3414,0.3258,-2.3003,2.8197
2006-03-01,9.4017,0.6452,-0.3167,3.4467
2006-04-01,9.3346,-0.7139,0.2522,1.8278
2006-05-01,9.331,-0.0382,-0.1114,1.4999
2006-06-01,9.2349,-1.0299,-1.774,-0.301
2006-07-01,9.217,-0.1934,-1.2591,-2.2331
2006-08-01,9.2098,-0.0789,-1.2993,-1.3924
2006-09-01,9.2665,0.6157,0.3419,-0.7251
2006-10-01,9.2533,-0.1419,0.3937,-1.7929
2006-11-01,9.1008,-1.6483,-1.1831,-4.8168
2006-12-01,9.0377,-0.6933,-2.4687,-4.1758
2007-01-01,9.0795,0.4628,-1.878,-2.4867
2007-02-01,9.1896,1.2119,0.9755,-1.6254
2007-03-01,9.2992,1.1924,2.8929,-1.0905
2007-04-01,9.2372,-0.6661,1.7366,-1.0429
2007-05-01,9.2061,-0.337,0.1796,-1.3388
2007-06-01,9.329,1.335,0.3207,1.0188
2007-07-01,9.1842,-1.5522,-0.5741,-0.3565
2007-08-01,9.3231,1.5121,1.2706,1.2301
2007-09-01,9.2835,-0.424,-0.4873,0.184
2007-10-01,9.1735,-1.1854,-0.1165,-0.8629
2007-11-01,9.2889,1.2578,-0.3668,2.0664
2007-12-01,9.4319,1.5404,1.5988,4.3621
2008-01-01,9.4314,-0.0062,2.8112,3.8749
2008-02-01,9.3642,-0.7126,0.8105,1.8997
2008-03-01,9.402,0.4046,-0.3171,1.1064
2008-04-01,9.3699,-0.342,-0.6518,1.4363
2008-05-01,9.3106,-0.6331,-0.5722,1.135
2008-06-01,9.3739,0.6801,-0.2994,0.4813
2008-07-01,9.4566,0.8822,0.9253,2.966
2008-08-01,9.3984,-0.6154,0.9433,0.8081
2008-09-01,9.5637,1.7589,2.0249,3.018
2008-10-01,9.8506,2.9999,4.1666,7.3814
2008-11-01,10.1275,2.8111,7.7579,9.0286
2008-12-01,10.7538,6.184,12.4439,14.0147
2009-01-01,10.7264,-0.2548,8.8907,13.7312
2009-02-01,10.9069,1.683,7.6959,16.4753
2009-03-01,11.1767,2.4739,3.9329,18.8757
2009-04-01,10.8796,-2.659,1.4279,16.1119
2009-05-01,10.582,-2.7355,-2.9794,13.6553
2009-06-01,10.8713,2.7345,-2.7327,15.9745
2009-07-01,10.8262,-0.4154,-0.4908,14.4828
2009-08-01,10.221,-5.5898,-3.411,8.7527
2009-09-01,10.1976,-0.2292,-6.1974,6.6279
2009-10-01,10.3102,1.1048,-4.7655,4.666
2009-11-01,10.3331,0.2219,1.0969,2.0302
2009-12-01,10.4085,0.7296,2.0685,-3.2109
2010-01-01,10.1938,-2.0623,-1.1288,-4.9649
2010-02-01,9.9505,-2.3877,-3.7033,-8.7693
2010-03-01,9.7277,-2.2385,-6.5408,-12.9647
2010-04-01,9.6617,-0.6787,-5.2204,-11.1941
2010-05-01,9.6641,0.0252,-2.8775,-8.6735
2010-06-01,9.5722,-0.9507,-1.5981,-11.9495
2010-07-01,9.4954,-0.8025,-1.7208,-12.2917
2010-08-01,9.4216,-0.7781,-2.5101,-7.8217
2010-09-01,9.2241,-2.0958,-3.6371,-9.5462
2010-10-01,9.2794,0.5994,-2.2754,-9.9984
2010-11-01,9.3166,0.4013,-1.1137,-9.8373
2010-12-01,9.0559,-2.7989,-1.824,-12.9957
2011-01-01,8.9122,-1.5866,-3.9572,-12.573
2011-02-01,8.7882,-1.3916,-5.6723,-11.6809
2011-03-01,8.8864,1.1179,-1.8712,-8.6486
2011-04-01,8.9702,0.9425,0.6506,-7.1575
2011-05-01,8.9571,-0.1456,1.9224,-7.3161
2011-06-01,9.1125,1.7345,2.5438,-4.8034
2011-07-01,9.134,0.2368,1.8269,-3.8061
2011-08-01,9.1655,0.3442,2.3264,-2.718
2011-09-01,9.1343,-0.3404,0.2395,-0.9737
2011-10-01,9.1138,-0.2241,-0.2214,-1.7843
2011-11-01,9.1387,0.2727,-0.2926,-1.9101
2011-12-01,9.0184,-1.3163,-1.2689,-0.4139
2012-01-01,8.8503,-1.864,-2.8917,-0.6946
2012-02-01,8.8196,-0.3461,-3.4909,0.3582
2012-03-01,8.8873,0.7667,-1.4539,0.0096
2012-04-01,8.865,-0.2506,0.1663,-1.1725
2012-05-01,8.9924,1.437,1.9585,0.3938
2012-06-01,8.8743,-1.313,-0.1458,-2.6135
2012-07-01,8.5451,-3.7097,-3.6085,-6.4478
2012-08-01,8.2805,-3.0966,-7.9166,-9.6557
2012-09-01,8.4929,2.5658,-4.2973,-7.0212
2012-10-01,8.6145,1.4309,0.8119,-5.4789
2012-11-01,8.6076,-0.0794,3.9508,-5.8108
2012-12-01,8.6512,0.5063,1.8635,-4.0713
2013-01-01,8.6217,-0.341,0.084,-2.5825
2013-02-01,8.5083,-1.3154,-1.1541,-3.5301
2013-03-01,8.347,-1.8957,-3.5163,-6.0789
2013-04-01,8.4449,1.1724,-2.0512,-4.7391
2013-05-01,8.5725,1.5116,0.7548,-4.669
2013-06-01,8.6836,1.296,4.0328,-2.1487
2013-07-01,8.6609,-0.2614,2.5585,1.3555
2013-08-01,8.7034,0.4904,1.5267,5.1073
2013-09-01,8.6758,-0.3176,-0.0905,2.1525
2013-10-01,8.7479,0.8318,1.0045,1.5492
2013-11-01,8.8802,1.5125,2.0319,3.167
2013-12-01,8.9597,0.8952,3.2732,3.5662
2014-01-01,8.8339,-1.4039,0.9833,2.4616
2014-02-01,8.8721,0.4315,-0.0921,4.2754
2014-03-01,8.8666,-0.0619,-1.0397,6.2246
2014-04-01,9.0329,1.8761,2.2524,6.9635
2014-05-01,9.0298,-0.0341,1.7784,5.3348
2014-06-01,9.0914,0.6817,2.5356,4.6959
2014-07-01,9.2327,1.5546,2.212,6.6022
2014-08-01,9.1878,-0.4867,1.7492,5.5656
2014-09-01,9.1929,0.0555,1.1164,5.9607
2014-10-01,9.1797,-0.1431,-0.574,4.9362
2014-11-01,9.2384,0.6394,0.5512,4.0336
2014-12-01,9.4043,1.7956,2.2999,4.9621
2015-01-01,9.4167,0.1311,2.5808,6.5963
2015-02-01,9.4901,0.7803,2.7244,6.9665
2015-03-01,9.2449,-2.5842,-1.6954,4.2667
2015-04-01,9.3254,0.8712,-0.9688,3.2382
2015-05-01,9.3037,-0.2331,-1.9646,3.0326
2015-06-01,9.2722,-0.3388,0.2951,1.9883
2015-07-01,9.386,1.2277,0.6496,1.6601
2015-08-01,9.5155,1.3794,2.2764,3.5665
2015-09-01,9.3924,-1.2933,1.2968,2.1703
2015-10-01,9.3485,-0.4671,-0.3991,1.8388
2015-11-01,9.3133,-0.3767,-2.1245,0.8106
2015-12-01,9.2451,-0.732,-1.5679,-1.6926
2016-01-01,9.2826,0.4056,-0.7049,-1.4231
2016-02-01,9.4105,1.3769,1.043,-0.8395
2016-03-01,9.2848,-1.3356,0.4286,0.4314
2016-04-01,9.2027,-0.8841,-0.8614,-1.3163
2016-05-01,9.2948,1.0014,-1.2287,-0.0952
2016-06-01,9.3338,0.4188,0.5276,0.6643
2016-07-01,9.4742,1.505,2.9508,0.94
2016-08-01,9.4913,0.1801,2.1136,-0.2541
2016-09-01,9.5655,0.7816,2.4826,1.8426
2016-10-01,9.7073,1.4831,2.4605,3.8381
2016-11-01,9.8508,1.478,3.7879,5.7712
2016-12-01,9.7095,-1.4347,1.5055,5.0225
2017-01-01,9.511,-2.044,-2.0224,2.4603
2017-02-01,9.4762,-0.3666,-3.8033,0.6981
2017-03-01,9.5279,0.5465,-1.8697,2.619
2017-04-01,9.5941,0.6942,0.8734,4.2532
2017-05-01,9.7097,1.2046,2.4641,4.4629
2017-06-01,9.7538,0.4547,2.3706,4.5003
2017-07-01,9.5892,-1.6873,-0.0507,1.2138
2017-08-01,9.5485,-0.4248,-1.6598,0.6027
2017-09-01,9.5334,-0.1584,-2.26,-0.3356
2017-10-01,9.6138,0.8442,0.2568,-0.9631
2017-11-01,9.8479,2.4347,3.1359,-0.0293
2017-12-01,9.937,0.9044,4.2337,2.3431
2018-01-01,9.82,-1.177,2.1446,3.2489
2018-02-01,9.9384,1.2055,0.9188,4.878
2018-03-01,10.1608,2.2378,2.2524,6.6422
2018-04-01,10.3717,2.0758,5.6181,8.1054
2018-05-01,10.3419,-0.2875,4.06,6.5115
2018-06-01,10.2788,-0.6098,1.1617,5.3828
2018-07-01,10.3076,0.2801,-0.618,7.4918
2018-08-01,10.4668,1.5441,1.2076,9.6172
2018-09-01,10.4426,-0.2316,1.5928,9.5369
2018-10-01,10.3839,-0.5619,0.7397,8.0096
2018-11-01,10.2918,-0.8871,-1.6723,4.5069
2018-12-01,10.2766,-0.1469,-1.5889,3.4181
2019-01-01,10.2685,-0.0788,-1.1107,4.5674
2019-02-01,10.4986,2.2402,2.0096,5.6365
2019-03-01,10.4999,0.0126,2.1725,3.3373
2019-04-01,10.4819,-0.1716,2.0776,1.0621
2019-05-01,10.7372,2.4362,2.2733,3.8227
2019-06-01,10.6263,-1.0333,1.2038,3.3804
2019-07-01,10.5604,-0.6205,0.7487,2.4519
2019-08-01,10.7356,1.6593,-0.0154,2.5681
2019-09-01,10.6968,-0.3611,0.6637,2.4349
2019-10-01,10.8023,0.9865,2.2915,4.03
2019-11-01,10.6497,-1.413,-0.8,3.478
2019-12-01,10.4827,-1.5685,-2.0021,2.0048
2020-01-01,10.5544,0.6845,-2.2951,2.784
2020-02-01,10.5679,0.1277,-0.7682,0.6602
2020-03-01,10.8751,2.9066,3.7433,3.573
2020-04-01,10.8845,0.0864,3.1271,3.8408
2020-05-01,10.597,-2.6407,0.2758,-1.3057
2020-06-01,10.4869,-1.0395,-3.5694,-1.3119
2020-07-01,10.3538,-1.2688,-4.8752,-1.9557
2020-08-01,10.3087,-0.4355,-2.7206,-3.976
2020-09-01,10.4279,1.1555,-0.5629,-2.5145
2020-10-01,10.3967,-0.2985,0.4143,-3.7549
2020-11-01,10.2311,-1.5934,-0.7535,-3.931
2020-12-01,10.1736,-0.5617,-2.4383,-2.9484
2021-01-01,10.0952,-0.7703,-2.8999,-4.3506
2021-02-01,10.0887,-0.065,-1.3918,-4.5348
2021-03-01,10.1692,0.7987,-0.0427,-6.4902
2021-04-01,10.162,-0.0711,0.6616,-6.6374
2021-05-01,10.1471,-0.1471,0.5789,-4.2462
2021-06-01,10.1172,-0.2948,-0.5123,-3.5257
2021-07-01,10.1979,0.7978,0.3528,-1.5063
2021-08-01,10.2157,0.1746,0.6762,-0.9027
2021-09-01,10.171,-0.4373,0.5323,-2.4632
2021-10-01,10.0557,-1.1334,-1.3939,-3.2799
2021-11-01,10.0459,-0.0975,-1.6618,-1.8097
2021-12-01,10.2726,2.2568,0.9993,0.9735
2022-01-01,10.3579,0.8298,3.0048,2.6017
2022-02-01,10.5342,1.7021,4.8603,4.4159
2022-03-01,10.5463,0.1148,2.6637,3.7075
2022-04-01,10.3175,-2.1688,-0.3894,1.5304
2022-05-01,10.4956,1.7261,-0.3659,3.4351
2022-06-01,10.6005,0.9993,0.5144,4.7777
2022-07-01,10.5752,-0.2392,2.4969,3.6997
2022-08-01,10.5021,-0.6909,0.0615,2.8037
2022-09-01,10.784,2.684,1.7306,6.0266
2022-10-01,10.9503,1.5421,3.5471,8.8959
2022-11-01,10.8798,-0.6435,3.5966,8.3008
2022-12-01,10.9859,0.9752,1.8726,6.9434
2023-01-01,11.2051,1.9951,2.3271,8.1794
2023-02-01,11.1725,-0.2912,2.6899,6.0592
2023-03-01,11.2276,0.4931,2.1996,6.4599
2023-04-01,11.337,0.9748,1.1772,9.8808
2023-05-01,11.3697,0.2883,1.7652,8.3277
2023-06-01,11.6766,2.6994,3.9995,10.1512
2023-07-01,11.6343,-0.362,2.6226,10.0156
2023-08-01,11.8117,1.5246,3.8877,12.47
2023-09-01,11.8417,0.2543,1.4143,9.8087
2023-10-01,11.6472,-1.6425,0.111,6.3649
2023-11-01,11.5475,-0.8564,-2.2368,6.1369
2023-12-01,11.2028,-2.9846,-5.3953,1.9746
2024-01-01,11.2834,0.7189,-3.124,0.6987
2024-02-01,11.25,-0.296,-2.5764,0.6938
2024-03-01,11.3054,0.4924,0.9153,0.6932
2024-04-01,11.591,2.5261,2.726,2.2402
2024-05-01,11.6186,0.2385,3.2767,2.1894
2024-06-01,11.2851,-2.8703,-0.1792,-3.3527
2024-07-01,11.5324,2.1912,-0.5052,-0.876
2024-08-01,11.4557,-0.6655,-1.4025,-3.0143
2024-09-01,11.3577,-0.8549,0.6434,-4.0873
2024-10-01,11.4048,0.414,-1.1069,-2.0819
2024-11-01,11.5828,1.5615,1.1101,0.3061
2024-12-01,11.504,-0.6803,1.2881,2.6885
2025-01-01,11.4797,-0.2117,0.6569,1.7397
2025-02-01,11.2474,-2.0234,-2.896,-0.023
2025-03-01,10.9675,-2.4884,-4.6637,-2.9885
2025-04-01,10.9744,0.063,-4.4012,-5.3191
2025-05-01,10.8812,-0.8498,-3.2561,-6.347
2025-06-01,11.0094,1.1787,0.3821,-2.443
2025-07-01,11.1985,1.7176,2.042,-2.8952
2025-08-01,11.161,-0.3355,2.5713,-2.5726
2025-09-01,11.0004,-1.4386,-0.082,-3.1462
2025-10-01,10.9699,-0.2769,-2.0413,-3.8127
2025-11-01,10.9914,0.1962,-1.5187,-5.1057
2025-12-01,10.8956,-0.8723,-0.9528,-5.2891
2026-01-01,10.6815,-1.9648,-2.6293,-6.953
2026-02-01,10.6351,-0.4344,-3.2422,-5.444
2026-03-01,10.7614,1.188,-1.2311,-1.879
2026-04-01,10.8348,0.6818,1.4353,-1.2723
2026-05-01,10.8613,0.2441,2.1266,-0.183
