date,value,pct_1m,pct_3m,pct_1y
2000-01-01,0.5523,,,
2000-02-01,0.5539,0.2978,,
2000-03-01,0.5593,0.9723,,
2000-04-01,0.5638,0.7955,2.0785,
2000-05-01,0.5591,-0.8277,0.9331,
2000-06-01,0.5845,4.5472,4.5066,
2000-07-01,0.5896,0.8705,4.5844,
2000-08-01,0.5837,-1.0025,4.4001,
2000-09-01,0.5789,-0.8248,-0.9644,
2000-10-01,0.5796,0.1224,-1.6989,
2000-11-01,0.5861,1.1276,0.4162,
2000-12-01,0.6085,3.8155,5.1146,
2001-01-01,0.6301,3.5499,8.7131,14.0884
2001-02-01,0.7192,14.1443,22.7062,29.8388
2001-03-01,0.8847,23.0091,45.3922,58.1756
2001-04-01,1.0884,23.0187,72.7279,93.0499
2001-05-01,0.9963,-8.4647,38.5149,78.1835
2001-06-01,1.0381,4.2015,17.3366,77.5944
2001-07-01,1.1427,10.0728,4.9887,93.796
2001-08-01,1.2658,10.7712,27.0518,116.8441
2001-09-01,1.3512,6.746,30.1542,133.3974
2001-10-01,1.4592,7.995,27.6973,151.7493
2001-11-01,1.3504,-7.457,6.6838,130.3787
2001-12-01,1.298,-3.8798,-3.9357,113.3019
2002-01-01,1.2088,-6.8705,-17.1589,91.837
2002-02-01,1.1835,-2.0926,-12.3569,64.5483
2002-03-01,1.1926,0.7689,-8.1182,34.7979
2002-04-01,1.1701,-1.887,-3.2016,7.5074
2002-05-01,1.2862,9.925,8.68,29.106
2002-06-01,1.4689,14.2022,23.1679,41.4969
2002-07-01,1.6506,12.3674,41.0625,44.4466
2002-08-01,1.6026,-2.9038,24.5998,26.6143
2002-09-01,1.6202,1.0983,10.3028,19.9155
2002-10-01,1.6257,0.3368,-1.5067,11.4121
2002-11-01,1.6066,-1.1764,0.2455,18.9732
2002-12-01,1.6191,0.7767,-0.0733,24.7369
2003-01-01,1.7671,9.1465,8.7003,46.1899
2003-02-01,1.7624,-0.2709,9.6963,48.91
2003-03-01,1.8041,2.3714,11.4322,51.2781
2003-04-01,1.7676,-2.0283,0.0234,51.0604
2003-05-01,1.7205,-2.6632,-2.376,33.7614
2003-06-01,1.664,-3.2826,-7.7678,13.282
2003-07-01,1.597,-4.0291,-9.6514,-3.2479
2003-08-01,1.5642,-2.0503,-9.0825,-2.3974
2003-09-01,1.5466,-1.1243,-7.0536,-4.5432
2003-10-01,1.6791,8.5631,5.1417,3.283
2003-11-01,1.7268,2.8417,10.3929,7.4824
2003-12-01,1.7616,2.0136,13.8963,8.8015
2004-01-01,1.6983,-3.5928,1.1432,-3.8975
2004-02-01,1.6827,-0.9188,-2.5552,-4.5219
2004-03-01,1.6204,-3.7016,-8.0144,-10.186
2004-04-01,1.6374,1.0522,-3.5825,-7.362
2004-05-01,1.8185,11.0579,8.0723,5.6968
2004-06-01,1.8143,-0.2321,11.9659,9.0304
2004-07-01,1.7841,-1.6618,8.9588,11.7198
2004-08-01,1.7999,0.8857,-1.0211,15.0685
2004-09-01,1.8385,2.1433,1.3355,18.8713
2004-10-01,1.8602,1.183,4.2671,10.7905
2004-11-01,1.8834,1.2427,4.6361,9.0679
2004-12-01,1.8707,-0.673,1.7511,6.1956
2005-01-01,1.7784,-4.9342,-4.4005,4.718
2005-02-01,1.7104,-3.8237,-9.1846,1.6478
2005-03-01,1.7333,1.3381,-7.3459,6.9674
2005-04-01,1.7645,1.8014,-0.7811,7.7605
2005-05-01,1.7396,-1.4124,1.7065,-4.3396
2005-06-01,1.656,-4.8042,-4.4581,-8.7234
2005-07-01,1.6133,-2.5814,-8.5715,-9.577
2005-08-01,1.6534,2.49,-4.9524,-8.1391
2005-09-01,1.643,-0.6284,-0.7831,-10.6318
2005-10-01,1.6331,-0.6056,1.2291,-12.2116
2005-11-01,1.6032,-1.8267,-3.0344,-14.8731
2005-12-01,1.6038,0.0343,-2.3878,-14.2669
2006-01-01,1.6158,0.7482,-1.0582,-9.1423
2006-02-01,1.583,-2.0312,-1.2643,-7.4489
2006-03-01,1.6071,1.5259,0.2079,-7.2774
2006-04-01,1.6381,1.9267,1.3801,-7.1633
2006-05-01,1.84,12.3275,16.2388,5.7752
2006-06-01,2.0258,10.0929,26.0473,22.3279
2006-07-01,1.9712,-2.6919,20.3357,22.1891
2006-08-01,1.8802,-4.6187,2.1813,13.7141
2006-09-01,1.887,0.3648,-6.8477,14.8507
2006-10-01,1.8654,-1.1467,-5.3684,14.2255
2006-11-01,1.8786,0.7103,-0.0813,17.1773
2006-12-01,1.892,0.7117,0.264,17.9708
2007-01-01,1.8536,-2.0304,-0.6323,14.7172
2007-02-01,1.826,-1.4914,-2.8047,15.3492
2007-03-01,1.8659,2.1901,-1.3779,16.1039
2007-04-01,1.8362,-1.5947,-0.9393,12.0926
2007-05-01,1.8029,-1.8115,-1.2611,-2.0168
2007-06-01,1.7728,-1.6734,-4.9942,-12.4888
2007-07-01,1.7574,-0.8653,-4.2899,-10.8461
2007-08-01,1.7921,1.9739,-0.6001,-4.6839
2007-09-01,1.7536,-2.1482,-1.0801,-7.0705
2007-10-01,1.7089,-2.5511,-2.7622,-8.3908
2007-11-01,1.7498,2.3954,-2.3603,-6.8579
2007-12-01,1.7195,-1.7315,-1.9445,-9.1175
2008-01-01,1.7322,0.7396,1.3666,-6.5479
2008-02-01,1.7632,1.7872,0.7645,-3.4376
2008-03-01,1.9309,9.5123,12.2939,3.4813
2008-04-01,2.05,6.1669,18.3437,11.6433
2008-05-01,1.9408,-5.3248,10.0748,7.6485
2008-06-01,1.9206,-1.0396,-0.5312,8.3424
2008-07-01,1.9128,-0.4061,-6.6895,8.8442
2008-08-01,1.7669,-7.6304,-8.9618,-1.4072
2008-09-01,1.7843,0.9833,-7.1009,1.748
2008-10-01,1.9612,9.9143,2.5257,14.7633
2008-11-01,2.0342,3.7263,15.1311,16.255
2008-12-01,2.0894,2.7095,17.0991,21.5088
2009-01-01,2.1233,1.625,8.268,22.5768
2009-02-01,2.128,0.2228,4.6111,20.6929
2009-03-01,2.234,4.9794,6.9231,15.6973
2009-04-01,2.1277,-4.7578,0.2075,3.7919
2009-05-01,2.1251,-0.122,-0.1372,9.4958
2009-06-01,2.1675,1.9942,-2.9769,12.8526
2009-07-01,2.1378,-1.3712,0.473,11.7589
2009-08-01,2.1236,-0.665,-0.0733,20.1864
2009-09-01,2.1711,2.2375,0.165,21.6792
2009-10-01,2.1823,0.5184,2.0841,11.2776
2009-11-01,2.2262,2.0104,4.8335,9.4367
2009-12-01,2.2013,-1.1203,1.3904,5.356
2010-01-01,2.1028,-4.4744,-3.6457,-0.9673
2010-02-01,2.0756,-1.2926,-6.7655,-2.4647
2010-03-01,2.0821,0.3155,-5.4116,-6.7979
2010-04-01,1.9983,-4.0283,-4.9699,-6.084
2010-05-01,1.9459,-2.6217,-6.2495,-8.4345
2010-06-01,1.9274,-0.9509,-7.433,-11.0785
2010-07-01,1.9669,2.052,-1.5685,-7.9922
2010-08-01,1.9484,-0.9406,0.1309,-8.2474
2010-09-01,1.9528,0.2247,1.3193,-10.0539
2010-10-01,1.98,1.3943,0.6663,-9.27
2010-11-01,1.9717,-0.4225,1.1928,-11.4339
2010-12-01,2.0159,2.2423,3.2299,-8.422
2011-01-01,2.0919,3.7718,5.6505,-0.5165
2011-02-01,2.1702,3.7418,10.0687,4.5575
2011-03-01,2.2108,1.8735,9.6717,6.1814
2011-04-01,2.1975,-0.604,5.0471,9.9699
2011-05-01,2.2602,2.856,4.1501,16.1559
2011-06-01,2.3077,2.0971,4.3787,19.7303
2011-07-01,2.3654,2.503,7.6414,20.2594
2011-08-01,2.5147,6.3103,11.2565,29.062
2011-09-01,2.4736,-1.6326,7.1921,26.6703
2011-10-01,2.5089,1.4275,6.0674,26.7117
