date,value,pct_1m,pct_3m,pct_1y
2000-01-01,1.0137,,,
2000-02-01,0.9834,-2.9862,,
2000-03-01,0.9643,-1.9402,,
2000-04-01,0.947,-1.8037,-6.5843,
2000-05-01,0.906,-4.3278,-7.8761,
2000-06-01,0.9492,4.7694,-1.5727,
2000-07-01,0.9397,-1.003,-0.7701,
2000-08-01,0.9041,-3.7887,-0.211,
2000-09-01,0.8721,-3.5332,-8.1189,
2000-10-01,0.8552,-1.9441,-8.9924,
2000-11-01,0.8564,0.1435,-5.2729,
2000-12-01,0.8973,4.7793,2.8897,
2001-01-01,0.9383,4.5654,9.7201,-7.4395
2001-02-01,0.9217,-1.7667,7.6272,-6.2759
2001-03-01,0.9095,-1.3217,1.3604,-5.6848
2001-04-01,0.892,-1.9266,-4.9326,-5.8028
2001-05-01,0.8742,-1.9996,-5.158,-3.5106
2001-06-01,0.8532,-2.4019,-6.1962,-10.1151
2001-07-01,0.8607,0.8787,-3.513,-8.4066
2001-08-01,0.9005,4.6265,3.0108,-0.3953
2001-09-01,0.9111,1.1785,6.7898,4.4697
2001-10-01,0.9059,-0.574,5.2519,5.9294
2001-11-01,0.8883,-1.9381,-1.3519,3.7276
2001-12-01,0.8924,0.4574,-2.055,-0.5509
2002-01-01,0.8833,-1.0182,-2.4925,-5.8613
2002-02-01,0.87,-1.5002,-2.0572,-5.6059
2002-03-01,0.8758,0.6626,-1.8571,-3.7077
2002-04-01,0.8858,1.1467,0.2894,-0.6903
2002-05-01,0.917,3.5172,5.3981,4.9003
2002-06-01,0.9554,4.1919,9.0934,11.9875
2002-07-01,0.9922,3.8456,12.0044,15.2811
2002-08-01,0.9778,-1.4537,6.6259,8.5817
2002-09-01,0.9808,0.3105,2.6538,7.6502
2002-10-01,0.9811,0.032,-1.1161,8.3063
2002-11-01,1.0014,2.0643,2.414,12.7267
2002-12-01,1.0183,1.687,3.8193,14.1065
2003-01-01,1.0622,4.3144,8.2639,20.2539
2003-02-01,1.0773,1.4224,7.583,23.822
2003-03-01,1.0807,0.3116,6.1279,23.3903
