date,value,pct_1m,pct_3m,pct_1y
2000-01-01,6.2031,,,
2000-02-01,6.2132,0.1621,,
2000-03-01,6.2408,0.4445,,
2000-04-01,6.2792,0.6145,1.2256,
2000-05-01,6.3783,1.5782,2.6567,
2000-06-01,6.5691,2.9924,5.2608,
2000-07-01,6.4622,-1.6278,2.9149,
2000-08-01,6.2922,-2.6312,-1.3499,
2000-09-01,6.2457,-0.7378,-4.9229,
2000-10-01,6.3928,2.3551,-1.0734,
2000-11-01,6.577,2.8813,4.5273,
2000-12-01,6.8602,4.306,9.8387,
2001-01-01,7.2985,6.3889,14.1674,17.6587
2001-02-01,7.2018,-1.3252,9.4995,15.9116
2001-03-01,7.1709,-0.4293,4.5284,14.9032
2001-04-01,7.2107,0.5547,-1.2038,14.8349
2001-05-01,6.966,-3.3936,-3.2748,9.2143
2001-06-01,6.8718,-1.3523,-4.1714,4.6071
2001-07-01,7.058,2.7101,-2.1173,9.2199
2001-08-01,7.4823,6.0119,7.4125,18.9151
2001-09-01,7.8878,5.4193,14.7858,26.2912
2001-10-01,8.413,6.6581,19.1979,31.6005
2001-11-01,8.6467,2.7776,15.5613,31.4678
2001-12-01,10.3783,20.0266,31.574,51.2821
2002-01-01,10.2535,-1.2025,21.877,40.4873
2002-02-01,9.9955,-2.516,15.5997,38.7918
2002-03-01,10.0974,1.0197,-2.7062,40.8116
2002-04-01,9.8103,-2.8436,-4.3223,36.0528
2002-05-01,9.2845,-5.3597,-7.1133,33.284
2002-06-01,9.7239,4.732,-3.6998,41.5045
2002-07-01,10.014,2.9842,2.0765,41.882
2002-08-01,10.3591,3.4461,11.5742,38.448
2002-09-01,10.3986,0.3815,6.9395,31.8319
2002-10-01,10.1148,-2.7298,1.0061,20.2282
2002-11-01,9.6582,-4.514,-6.7662,11.6986
2002-12-01,9.1038,-5.7397,-12.4516,-12.28
2003-01-01,9.2343,1.4325,-8.7054,-9.9405
2003-02-01,8.9347,-3.2437,-7.4908,-10.6127
2003-03-01,8.6966,-2.665,-4.4731,-13.873
2003-04-01,8.3192,-4.3396,-9.9091,-15.1992
2003-05-01,8.906,7.0531,-0.3217,-4.077
2003-06-01,9.216,3.4809,5.9721,-5.2229
2003-07-01,8.5842,-6.8559,3.1846,-14.2787
2003-08-01,8.2375,-4.0384,-7.5061,-20.4808
2003-09-01,8.2141,-0.2843,-10.8716,-21.0083
2003-10-01,8.154,-0.7312,-5.011,-19.3853
2003-11-01,7.8806,-3.3528,-4.3323,-18.4049
2003-12-01,7.9934,1.4316,-2.6859,-12.1971
2004-01-01,8.7788,9.8249,7.6623,-4.9323
2004-02-01,8.5555,-2.5437,8.5636,-4.2446
2004-03-01,8.1326,-4.9423,1.7414,-6.485
2004-04-01,7.889,-2.9954,-10.1352,-5.1709
2004-05-01,8.1432,3.2215,-4.8191,-8.565
2004-06-01,7.811,-4.0789,-3.9546,-15.2448
2004-07-01,7.5137,-3.8069,-4.758,-12.4704
2004-08-01,7.8526,4.5113,-3.5679,-4.6719
2004-09-01,7.9943,1.8035,2.3459,-2.6759
2004-10-01,7.9861,-0.1021,6.2876,-2.059
2004-11-01,7.8566,-1.6219,0.0501,-0.305
2004-12-01,7.6847,-2.1872,-3.8718,-3.8619
2005-01-01,7.8386,2.002,-1.8471,-10.7098
2005-02-01,7.8337,-0.0624,-0.2912,-8.4365
2005-03-01,7.9635,1.6569,3.6274,-2.0798
2005-04-01,7.9649,0.0179,1.6116,0.9619
2005-05-01,8.05,1.0686,2.7616,-1.1439
2005-06-01,8.2194,2.104,3.2135,5.2282
2005-07-01,8.079,-1.708,1.4325,7.5242
2005-08-01,7.9508,-1.5873,-1.233,1.2497
2005-09-01,7.7936,-1.9776,-5.1812,-2.5108
2005-10-01,7.9139,1.5443,-2.0437,-0.9041
2005-11-01,7.8502,-0.8049,-1.265,-0.0812
2005-12-01,7.5439,-3.9019,-3.2033,-1.8328
2006-01-01,7.3811,-2.1584,-6.7329,-5.8368
2006-02-01,7.3079,-0.9912,-6.9081,-6.712
2006-03-01,7.5171,2.862,-0.3557,-5.6061
2006-04-01,7.4656,-0.6852,1.1446,-6.2696
2006-05-01,8.0859,8.3091,10.6456,0.4452
2006-06-01,8.8431,9.3647,17.6403,7.5879
2006-07-01,8.9892,1.6526,20.4094,11.2663
2006-08-01,8.9034,-0.9554,10.1099,11.9808
2006-09-01,9.4553,6.1995,6.9231,21.3223
2006-10-01,9.6481,2.0384,7.329,21.9126
2006-11-01,9.3616,-2.9694,5.1466,19.2525
2006-12-01,9.3092,-0.5593,-1.5452,23.4005
2007-01-01,9.344,0.3736,-3.1516,26.5939
2007-02-01,9.3797,0.3823,0.1938,28.3502
2007-03-01,9.7417,3.8594,4.646,29.5946
2007-04-01,9.6089,-1.363,2.8355,28.7103
2007-05-01,9.4855,-1.2849,1.1275,17.3091
2007-06-01,9.6198,1.4163,-1.2513,8.7834
2007-07-01,9.5712,-0.5055,-0.3928,6.474
2007-08-01,9.8391,2.7991,3.7281,10.5101
2007-09-01,9.8912,0.5293,2.8209,4.6098
2007-10-01,9.6371,-2.5687,0.6887,-0.1135
2007-11-01,9.8553,2.2642,0.1647,5.2741
2007-12-01,9.9626,1.0889,0.7222,7.019
2008-01-01,10.3101,3.4878,6.9833,10.3393
2008-02-01,11.2899,9.5033,14.5564,20.365
2008-03-01,12.3712,9.5774,24.1759,26.9918
2008-04-01,12.2729,-0.7943,19.0378,27.7239
2008-05-01,11.8696,-3.286,5.1349,25.1347
2008-06-01,12.3467,4.0191,-0.198,28.3462
2008-07-01,12.0328,-2.5418,-1.9561,25.7193
2008-08-01,11.468,-4.6943,-3.3837,16.5552
2008-09-01,11.5899,1.0633,-6.1292,17.1743
2008-10-01,12.9341,11.5978,7.4899,34.2114
2008-11-01,12.8785,-0.4301,12.2993,30.6754
2008-12-01,13.4275,4.2635,15.8553,34.7792
2009-01-01,13.1255,-2.2492,1.4801,27.3076
2009-02-01,12.8005,-2.476,-0.6051,13.3806
2009-03-01,12.987,1.4569,-3.2806,4.9782
2009-04-01,11.8784,-8.5366,-9.5017,-3.2146
2009-05-01,11.4475,-3.6271,-10.5699,-3.556
2009-06-01,11.2718,-1.5349,-13.2071,-8.7055
2009-07-01,11.2007,-0.6311,-5.7052,-6.9157
2009-08-01,11.3415,1.2573,-0.9261,-1.1028
2009-09-01,10.9495,-3.4561,-2.8593,-5.5253
2009-10-01,11.0938,1.3174,-0.9544,-14.2284
2009-11-01,11.2134,1.0785,-1.1294,-12.9288
2009-12-01,10.9261,-2.5626,-0.2144,-18.6294
2010-01-01,10.6492,-2.5344,-4.0079,-18.8668
2010-02-01,10.4964,-1.4348,-6.3947,-18.0006
2010-03-01,10.0589,-4.1679,-7.9368,-22.5467
2010-04-01,9.8658,-1.9194,-7.3559,-16.9431
2010-05-01,9.6117,-2.5759,-8.4284,-16.0371
2010-06-01,9.3398,-2.8283,-7.1484,-17.14
2010-07-01,9.6351,3.1617,-2.3381,-13.9773
2010-08-01,9.4192,-2.2414,-2.0028,-16.9495
2010-09-01,9.3236,-1.0149,-0.174,-14.8495
2010-10-01,9.6165,3.1416,-0.1934,-13.3163
2010-11-01,9.532,-0.8788,1.1977,-14.9949
2010-12-01,9.0143,-5.4312,-3.3174,-17.4974
2011-01-01,9.2652,2.783,-3.6536,-12.9964
2011-02-01,9.8126,5.9088,2.944,-6.5142
2011-03-01,9.6862,-1.2888,7.4533,-3.7055
2011-04-01,9.72,0.349,4.9088,-1.4784
2011-05-01,9.8461,1.2982,0.3417,2.4393
2011-06-01,9.7807,-0.6643,0.9765,4.7206
2011-07-01,9.7,-0.8251,-0.2049,0.6735
2011-08-01,10.1532,4.6721,3.1189,7.7932
2011-09-01,10.3956,2.3871,6.2865,11.4978
2011-10-01,10.9188,5.0325,12.5641,13.5419
2011-11-01,11.0547,1.2447,8.8783,15.9744
2011-12-01,10.7829,-2.4586,3.7255,19.62
2012-01-01,10.3405,-4.103,-5.2963,11.606
2012-02-01,10.1289,-2.0456,-8.3741,3.2237
2012-03-01,10.0475,-0.8045,-6.8203,3.7301
2012-04-01,10.306,2.5728,-0.3337,6.0288
2012-05-01,10.4412,1.3126,3.0832,6.0439
2012-06-01,10.505,0.6106,4.5537,7.4049
2012-07-01,10.1379,-3.4948,-1.6311,4.5136
2012-08-01,10.2585,1.19,-1.7501,1.0368
2012-09-01,10.6512,3.8276,1.3914,2.4583
2012-10-01,11.2215,5.355,10.6893,2.7728
