date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,3.5563,,,,
2000-02-01,3.7347,0.1784,,,
2000-03-01,3.9362,0.2016,,,
2000-04-01,4.0827,0.1464,0.5264,,
2000-05-01,4.5439,0.4612,0.8092,,
2000-06-01,4.6811,0.1372,0.7449,,
2000-07-01,4.8369,0.1558,0.7542,1.2806,
2000-08-01,5.011,0.1741,0.467,1.2763,
2000-09-01,5.038,0.027,0.3569,1.1017,
2000-10-01,5.1033,0.0654,0.2665,1.0207,
2000-11-01,5.1308,0.0275,0.1199,0.5869,
2000-12-01,4.9197,-0.2111,-0.1183,0.2386,
2001-01-01,4.6753,-0.2444,-0.428,-0.1616,1.119
2001-02-01,4.6664,-0.0089,-0.4644,-0.3446,0.9317
2001-03-01,4.5769,-0.0895,-0.3428,-0.461,0.6407
2001-04-01,4.5664,-0.0105,-0.1089,-0.5369,0.4838
2001-05-01,4.5578,-0.0086,-0.1086,-0.573,0.0139
2001-06-01,4.3529,-0.2049,-0.224,-0.5668,-0.3282
2001-07-01,4.3873,0.0344,-0.1791,-0.288,-0.4495
2001-08-01,4.2249,-0.1624,-0.3329,-0.4415,-0.786
2001-09-01,3.8758,-0.3492,-0.4772,-0.7012,-1.1622
2001-10-01,3.4593,-0.4164,-0.928,-1.1071,-1.644
2001-11-01,3.2625,-0.1969,-0.9625,-1.2953,-1.8684
2001-12-01,3.2556,-0.0068,-0.6201,-1.0973,-1.6641
2002-01-01,3.3423,0.0867,-0.117,-1.045,-1.333
2002-02-01,3.3976,0.0552,0.1351,-0.8274,-1.2689
2002-03-01,3.5001,0.1026,0.2445,-0.3756,-1.0768
2002-04-01,3.536,0.0359,0.1937,0.0767,-1.0304
2002-05-01,3.6264,0.0904,0.2288,0.3639,-0.9314
2002-06-01,3.5903,-0.0361,0.0902,0.3347,-0.7626
2002-07-01,3.4836,-0.1067,-0.0524,0.1413,-0.9037
2002-08-01,3.3798,-0.1038,-0.2466,-0.0178,-0.8451
2002-09-01,3.2695,-0.1102,-0.3208,-0.2306,-0.6062
2002-10-01,3.1676,-0.1019,-0.316,-0.3684,-0.2917
2002-11-01,3.0369,-0.1308,-0.3429,-0.5895,-0.2256
2002-12-01,2.8924,-0.1445,-0.3772,-0.698,-0.3633
2003-01-01,2.7581,-0.1342,-0.4095,-0.7255,-0.5842
2003-02-01,2.5777,-0.1804,-0.4592,-0.8021,-0.8198
2003-03-01,2.4507,-0.127,-0.4416,-0.8188,-1.0494
2003-04-01,2.4694,0.0187,-0.2887,-0.6982,-1.0665
2003-05-01,2.3084,-0.1611,-0.2693,-0.7285,-1.318
2003-06-01,2.0843,-0.224,-0.3664,-0.808,-1.506
2003-07-01,2.0925,0.0082,-0.3769,-0.6656,-1.3911
2003-08-01,2.1721,0.0796,-0.1363,-0.4056,-1.2077
2003-09-01,2.1776,0.0055,0.0933,-0.2731,-1.0919
2003-10-01,2.1727,-0.005,0.0801,-0.2968,-0.995
2003-11-01,2.224,0.0514,0.052,-0.0843,-0.8128
2003-12-01,2.1995,-0.0246,0.0218,0.1151,-0.6929
2004-01-01,2.1154,-0.084,-0.0572,0.0229,-0.6427
2004-02-01,2.0859,-0.0295,-0.1382,-0.0862,-0.4918
2004-03-01,2.0185,-0.0674,-0.181,-0.1591,-0.4322
2004-04-01,2.0614,0.0429,-0.054,-0.1113,-0.4081
2004-05-01,2.136,0.0746,0.0501,-0.088,-0.1723
2004-06-01,2.1885,0.0524,0.1699,-0.011,0.1041
2004-07-01,2.1878,-0.0006,0.1264,0.0724,0.0953
2004-08-01,2.1691,-0.0187,0.033,0.0832,-0.003
2004-09-01,2.2003,0.0312,0.0119,0.1818,0.0227
2004-10-01,2.1906,-0.0097,0.0028,0.1292,0.018
2004-11-01,2.2173,0.0267,0.0482,0.0813,-0.0067
2004-12-01,2.2065,-0.0108,0.0062,0.018,0.007
2005-01-01,2.192,-0.0145,0.0014,0.0042,0.0766
2005-02-01,2.1846,-0.0074,-0.0327,0.0155,0.0987
2005-03-01,2.1918,0.0072,-0.0147,-0.0085,0.1733
2005-04-01,2.1722,-0.0196,-0.0198,-0.0184,0.1108
2005-05-01,2.1441,-0.0281,-0.0405,-0.0732,0.008
2005-06-01,2.1069,-0.0372,-0.0849,-0.0996,-0.0815
2005-07-01,2.1345,0.0276,-0.0377,-0.0575,-0.0533
2005-08-01,2.1595,0.025,0.0154,-0.0251,-0.0096
2005-09-01,2.1666,0.0071,0.0597,-0.0252,-0.0337
2005-10-01,2.272,0.1054,0.1375,0.0998,0.0814
2005-11-01,2.5002,0.2282,0.3407,0.3561,0.2829
2005-12-01,2.6003,0.1001,0.4337,0.4934,0.3939
2006-01-01,2.6507,0.0504,0.3787,0.5162,0.4587
2006-02-01,2.7248,0.0741,0.2246,0.5653,0.5402
2006-03-01,2.872,0.1472,0.2717,0.7054,0.6802
2006-04-01,2.9561,0.084,0.3053,0.684,0.7838
2006-05-01,3.0582,0.1021,0.3333,0.558,0.9141
2006-06-01,3.158,0.0999,0.286,0.5577,1.0511
2006-07-01,3.2875,0.1295,0.3315,0.6368,1.153
2006-08-01,3.4096,0.122,0.3514,0.6847,1.25
2006-09-01,3.5275,0.1179,0.3694,0.6554,1.3608
2006-10-01,3.6446,0.1171,0.3571,0.6885,1.3725
2006-11-01,3.7281,0.0835,0.3186,0.67,1.2279
2006-12-01,3.7894,0.0613,0.2619,0.6314,1.1891
2007-01-01,3.8897,0.1003,0.2451,0.6022,1.239
2007-02-01,3.9444,0.0547,0.2162,0.5348,1.2195
2007-03-01,3.9963,0.052,0.2069,0.4688,1.1243
2007-04-01,4.0974,0.1011,0.2077,0.4528,1.1413
2007-05-01,4.1966,0.0992,0.2522,0.4685,1.1384
2007-06-01,4.283,0.0864,0.2866,0.4935,1.1249
2007-07-01,4.3585,0.0756,0.2612,0.4689,1.071
2007-08-01,4.5938,0.2352,0.3972,0.6494,1.1842
2007-09-01,4.7514,0.1576,0.4684,0.755,1.2239
2007-10-01,4.6634,-0.088,0.3048,0.566,1.0188
2007-11-01,4.6297,-0.0337,0.0359,0.4331,0.9016
2007-12-01,4.8194,0.1896,0.068,0.5364,1.0299
2008-01-01,4.5014,-0.318,-0.162,0.1428,0.6117
2008-02-01,4.3565,-0.1449,-0.2733,-0.2373,0.4121
2008-03-01,4.593,0.2365,-0.2264,-0.1584,0.5967
2008-04-01,4.7954,0.2024,0.294,0.132,0.698
2008-05-01,4.8975,0.1021,0.541,0.2677,0.7009
