date,value,chg_1m,chg_3m,chg_6m,chg_1y
2004-09-06,3.4572,,,,
2004-09-07,3.4795,0.0223,,,
2004-09-08,3.5079,0.0284,,,
2004-09-09,3.4306,-0.0773,-0.0266,,
2004-09-10,3.3747,-0.0559,-0.1048,,
2004-09-13,3.4103,0.0356,-0.0976,,
2004-09-14,3.3959,-0.0144,-0.0347,-0.0613,
2004-09-15,3.3959,-0.0,0.0211,-0.0836,
2004-09-16,3.4043,0.0084,-0.006,-0.1036,
2004-09-17,3.3605,-0.0438,-0.0354,-0.0701,
2004-09-20,3.3497,-0.0108,-0.0462,-0.0251,
2004-09-21,3.3608,0.0111,-0.0435,-0.0496,
2004-09-22,3.3466,-0.0141,-0.0139,-0.0492,-0.1106
2004-09-23,3.2629,-0.0838,-0.0868,-0.133,-0.2167
2004-09-24,3.319,0.0562,-0.0417,-0.0853,-0.1889
2004-09-27,3.2899,-0.0291,-0.0567,-0.0706,-0.1407
2004-09-28,3.2855,-0.0045,0.0226,-0.0642,-0.0893
2004-09-29,3.325,0.0395,0.006,-0.0358,-0.0853
2004-09-30,3.3296,0.0046,0.0397,-0.017,-0.0662
2004-10-01,3.3246,-0.005,0.0392,0.0618,-0.0712
2004-10-04,3.3648,0.0402,0.0398,0.0458,-0.0394
2004-10-05,3.3268,-0.038,-0.0028,0.0369,-0.0337
2004-10-06,3.3216,-0.0053,-0.003,0.0361,-0.0281
2004-10-07,3.3269,0.0053,-0.0379,0.0019,-0.0338
2004-10-08,3.256,-0.0709,-0.0708,-0.0736,-0.0906
2004-10-11,3.2587,0.0027,-0.0628,-0.0659,-0.0041
2004-10-12,3.2123,-0.0464,-0.1146,-0.1525,-0.1067
2004-10-13,3.2318,0.0194,-0.0243,-0.0951,-0.0582
2004-10-14,3.2074,-0.0244,-0.0513,-0.1142,-0.078
2004-10-15,3.1856,-0.0218,-0.0267,-0.1413,-0.1394
2004-10-18,3.186,0.0004,-0.0458,-0.07,-0.1436
2004-10-19,3.2068,0.0208,-0.0006,-0.052,-0.1178
2004-10-20,3.1593,-0.0475,-0.0263,-0.0531,-0.2056
2004-10-21,3.1633,0.004,-0.0227,-0.0685,-0.1635
2004-10-22,3.1695,0.0062,-0.0373,-0.0379,-0.1521
2004-10-25,3.1209,-0.0486,-0.0384,-0.0647,-0.206
2004-10-26,3.1147,-0.0062,-0.0486,-0.0713,-0.1414
2004-10-27,3.1238,0.0091,-0.0458,-0.083,-0.135
2004-10-28,3.2158,0.092,0.0949,0.0565,0.0035
2004-10-29,3.1483,-0.0675,0.0336,-0.015,-0.0835
2004-11-01,3.166,0.0177,0.0422,-0.0035,-0.0414
2004-11-02,3.1983,0.0323,-0.0175,0.0774,0.0127
2004-11-03,3.1986,0.0003,0.0503,0.0839,0.0126
2004-11-04,3.1986,-0.0,0.0326,0.0748,-0.0082
2004-11-05,3.199,0.0004,0.0007,-0.0168,0.0398
2004-11-08,3.1989,-0.0001,0.0004,0.0507,0.0356
2004-11-09,3.1812,-0.0177,-0.0174,0.0152,0.0117
2004-11-10,3.1593,-0.0219,-0.0398,-0.039,0.0384
2004-11-11,3.1261,-0.0332,-0.0729,-0.0725,0.0114
2004-11-12,3.1086,-0.0175,-0.0726,-0.09,-0.0152
2004-11-15,3.0806,-0.028,-0.0786,-0.1184,-0.1352
2004-11-16,3.0828,0.0022,-0.0433,-0.1161,-0.0655
2004-11-17,3.0961,0.0133,-0.0125,-0.0851,-0.0699
2004-11-18,3.131,0.0349,0.0503,-0.0283,-0.0673
