date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2007-03-30,4181.0298,,,,,,,100.0,-29.4185
2007-04-02,4189.5498,0.2038,,,,,,100.2038,-29.2747
2007-04-03,4246.2998,1.3546,,,,,,101.5611,-28.3166
2007-04-04,4261.8301,0.3657,,,,,,101.9325,-28.0545
2007-04-05,4271.54,0.2278,,,,,,102.1648,-27.8906
2007-04-10,4301.4702,0.7007,2.8806,,,,,102.8806,-27.3853
2007-04-11,4293.2002,-0.1923,2.474,,,,,102.6828,-27.5249
2007-04-12,4280.02,-0.307,0.7941,,,,,102.3676,-27.7474
2007-04-13,4317.3501,0.8722,1.3027,,,,,103.2604,-27.1172
2007-04-16,4379.25,1.4337,2.5216,,,,,104.7409,-26.0723
2007-04-17,4384.3799,0.1171,1.9275,,,,,104.8636,-25.9857
2007-04-18,4358.9502,-0.58,1.5315,,,,,104.2554,-26.415
2007-04-19,4339.9302,-0.4363,1.3998,,,,,103.8005,-26.736
2007-04-20,4416.79,1.771,2.3033,,,,,105.6388,-25.4385
2007-04-23,4400.1201,-0.3774,0.4766,,,,,105.2401,-25.7199
2007-04-24,4367.8301,-0.7338,-0.3775,,,,,104.4678,-26.265
2007-04-25,4404.4399,0.8382,1.0436,,,,,105.3434,-25.647
2007-04-26,4414.21,0.2218,1.7115,,,,,105.5771,-25.4821
2007-04-27,4383.1299,-0.7041,-0.7621,,,,,104.8337,-26.0068
2007-04-30,4392.3398,0.2101,-0.1768,,,,,105.054,-25.8513
2007-05-02,4415.48,0.5268,1.0909,,,,,105.6075,-25.4606
2007-05-03,4427.3198,0.2681,0.5195,5.8907,,,,105.8907,-25.2608
2007-05-04,4445.5898,0.4127,0.7109,6.1114,,,,106.3276,-24.9524
2007-05-07,4441.3101,-0.0963,1.3274,4.5925,,,,106.2253,-25.0246
2007-05-08,4411.3198,-0.6753,0.4321,3.5076,,,,105.508,-25.5309
2007-05-10,4391.8701,-0.4409,-0.5347,2.817,,,,105.0428,-25.8592
2007-05-11,4423.0698,0.7104,-0.096,2.8269,,,,105.789,-25.3325
2007-05-14,4413.7202,-0.2114,-0.7169,2.8072,,,,105.5654,-25.4904
2007-05-15,4441.0298,0.6187,-0.0063,3.7619,,,,106.2186,-25.0293
2007-05-16,4422.6201,-0.4145,0.2562,2.4383,,,,105.7782,-25.3401
2007-05-18,4480.8101,1.3157,2.0251,2.3191,,,,107.17,-24.3578
2007-05-21,4465.54,-0.3408,0.9602,1.8511,,,,106.8048,-24.6156
2007-05-22,4469.8799,0.0972,1.2724,2.5449,,,,106.9086,-24.5423
2007-05-23,4499.6899,0.6669,1.3209,3.6812,,,,107.6216,-24.0391
2007-05-24,4452.7002,-1.0443,0.6801,0.813,,,,106.4977,-24.8323
2007-05-25,4463.52,0.243,-0.3859,1.4409,,,,106.7565,-24.6497
2007-05-29,4474.8101,0.2529,0.2076,2.4493,,,,107.0265,-24.4591
2007-05-30,4468.7202,-0.1361,-0.0259,1.4594,,,,106.8809,-24.5619
2007-05-31,4512.6499,0.983,0.288,2.2301,,,,107.9315,-23.8203
2007-06-01,4556.9702,0.9821,2.3417,3.9661,,,,108.9916,-23.0721
2007-06-04,4537.8101,-0.4205,1.6644,3.3119,,,,108.5333,-23.3956
2007-06-05,4513.1802,-0.5428,0.8575,2.2127,,,,107.9442,-23.8113
2007-06-06,4437.29,-1.6815,-0.7033,0.2252,,,,106.1291,-25.0925
2007-06-07,4381.4502,-1.2584,-2.9074,-1.4428,,,,104.7936,-26.0351
2007-06-08,4376.4199,-0.1148,-3.9621,-1.4611,,,,104.6733,-26.12
2007-06-11,4415.5,0.893,-2.6954,0.0948,,,,105.608,-25.4603
2007-06-12,4383.02,-0.7356,-2.884,-0.2015,,,,104.8311,-26.0086
2007-06-13,4401.6802,0.4257,-0.8025,-0.4836,,,,105.2774,-25.6936
2007-06-14,4485.04,1.8938,2.3643,1.6159,,,,107.2712,-24.2864
2007-06-15,4551.0,1.4707,3.9891,2.4762,,,,108.8488,-23.1729
2007-06-18,4530.2202,-0.4566,2.5981,2.4329,,,,108.3518,-23.5237
2007-06-19,4527.2202,-0.0662,3.29,1.0358,,,,108.28,-23.5743
2007-06-20,4545.6099,0.4062,3.2699,1.7931,,,,108.7199,-23.2639
2007-06-21,4488.6602,-1.2529,0.0807,0.4202,,,,107.3578,-24.2253
2007-06-22,4479.3599,-0.2072,-1.5742,-0.4518,,,,107.1353,-24.3823
2007-06-25,4471.1299,-0.1837,-1.3044,0.4139,,,,106.9385,-24.5212
2007-06-26,4433.04,-0.8519,-2.0803,-0.6829,,,,106.0275,-25.1642
2007-06-27,4412.1201,-0.4719,-2.9367,-1.401,,,,105.5271,-25.5174
2007-06-28,4457.9902,1.0396,-0.6833,-0.2401,,,,106.6242,-24.743
2007-06-29,4489.77,0.7129,0.2324,-0.507,,,,107.3843,-24.2065
2007-07-02,4470.2598,-0.4345,-0.0195,-1.9028,,,,106.9177,-24.5359
2007-07-03,4513.0098,0.9563,1.8039,-0.5465,,,,107.9401,-23.8142
2007-07-04,4524.2402,0.2488,2.5412,0.2451,,,,108.2088,-23.6246
2007-07-05,4491.8701,-0.7155,0.76,1.23,7.4345,,,107.4345,-24.1711
2007-07-06,4524.4502,0.7253,0.7724,3.2638,7.9937,,,108.2138,-23.6211
2007-07-09,4528.7598,0.0953,1.3086,3.4809,6.6519,,,108.3169,-23.5483
2007-07-10,4474.1499,-1.2058,-0.8611,1.3283,4.9819,,,107.0107,-24.4702
2007-07-11,4447.52,-0.5952,-1.6958,1.4716,4.1198,,,106.3738,-24.9198
2007-07-12,4517.7002,1.578,0.575,2.6358,5.0269,,,108.0523,-23.735
2007-07-13,4542.5698,0.5505,0.4005,1.2827,5.8085,,,108.6472,-23.3152
2007-07-16,4557.5698,0.3302,0.6362,0.1444,6.4848,,,109.0059,-23.062
2007-07-17,4538.3101,-0.4226,1.434,0.1786,5.118,,,108.5453,-23.3871
2007-07-18,4472.2202,-1.4563,0.5554,-1.2149,2.123,,,106.9646,-24.5028
2007-07-19,4522.6401,1.1274,0.1093,-0.5053,3.1535,,,108.1705,-23.6516
2007-07-20,4445.23,-1.7116,-2.1428,-0.9676,1.9794,,,106.319,-24.9584
2007-07-23,4482.75,0.8441,-1.6417,0.0757,3.2908,,,107.2164,-24.325
2007-07-24,4412.0601,-1.5769,-2.7819,-1.3211,-0.1071,,,105.5257,-25.5184
2007-07-25,4360.8999,-1.1596,-2.4892,-1.6273,-0.8913,,,104.3021,-26.382
2007-07-26,4252.9199,-2.4761,-5.9638,-3.6082,-2.6308,,,101.7194,-28.2049
2007-07-27,4244.5801,-0.1961,-4.5138,-4.7871,-3.6295,,,101.52,-28.3457
2007-07-30,4239.1802,-0.1272,-5.4335,-5.5814,-3.9651,,,101.3908,-28.4368
2007-07-31,4315.6899,1.8048,-2.1842,-3.4577,-1.5386,,,103.2207,-27.1452
2007-08-02,4288.6602,-0.6263,-1.6565,-4.9712,-2.3605,,,102.5743,-27.6015
2007-08-03,4229.1899,-1.3867,-0.558,-6.5215,-4.219,,,101.1519,-28.6055
2007-08-06,4202.7798,-0.6245,-0.9848,-6.4359,-5.0717,,,100.5202,-29.0513
