date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,41226.0,,,,,,,100.0,-9.1418
2000-01-04,40314.0,-2.2122,,,,,,97.7878,-11.1518
2000-01-05,39452.0,-2.1382,,,,,,95.6969,-13.0515
2000-01-06,38835.0,-1.5639,,,,,,94.2003,-14.4113
2000-01-07,40194.0,3.4994,,,,,,97.4967,-11.4162
2000-01-10,39711.0,-1.2017,-3.6749,,,,,96.3251,-12.4807
2000-01-11,39870.0,0.4004,-1.1014,,,,,96.7108,-12.1303
2000-01-12,40289.0,1.0509,2.1216,,,,,97.7272,-11.2069
2000-01-13,40499.0,0.5212,4.2848,,,,,98.2365,-10.744
2000-01-14,41588.0,2.689,3.4682,,,,,100.8781,-8.344
2000-01-17,41546.0,-0.101,4.6209,,,,,100.7762,-8.4365
2000-01-18,41109.0,-1.0518,3.1076,,,,,99.7162,-9.3997
2000-01-19,41436.0,0.7954,2.8469,,,,,100.5094,-8.679
2000-01-20,41690.0,0.613,2.9408,,,,,101.1255,-8.1192
2000-01-21,41702.0,0.0288,0.2741,,,,,101.1546,-8.0927
2000-01-24,42012.0,0.7434,1.1216,,,,,101.9066,-7.4095
2000-01-25,41165.0,-2.0161,0.1362,,,,,99.852,-9.2762
2000-01-26,41361.0,0.4761,-0.181,,,,,100.3275,-8.8443
2000-01-27,41939.0,1.3975,0.5973,,,,,101.7295,-7.5704
2000-01-28,41854.0,-0.2027,0.3645,,,,,101.5233,-7.7577
2000-01-31,41463.0,-0.9342,-1.3068,,,,,100.5749,-8.6195
2000-02-01,42403.0,2.2671,3.0074,2.855,,,,102.855,-6.5478
2000-02-02,42993.0,1.3914,3.9457,6.6453,,,,104.2861,-5.2475
2000-02-03,43889.0,2.0841,4.6496,11.2466,,,,106.4595,-3.2728
2000-02-04,44091.0,0.4603,5.3448,13.5342,,,,106.9495,-2.8276
2000-02-07,43730.0,-0.8188,5.4675,8.7973,,,,106.0738,-3.6232
2000-02-08,45150.0,3.2472,6.4783,13.6965,,,,109.5183,-0.4937
2000-02-09,45101.0,-0.1085,4.9031,13.1201,,,,109.3994,-0.6017
2000-02-10,45785.0,1.5166,4.32,13.6414,,,,111.0586,0.9058
2000-02-11,46878.0,2.3872,6.321,15.751,,,,113.7098,3.3147
2000-02-14,47395.0,1.1029,8.381,13.9632,,,,114.9639,4.4541
2000-02-15,45726.0,-3.5215,1.2757,10.0611,,,,110.9154,0.7758
2000-02-16,46446.0,1.5746,2.9822,12.9826,,,,112.6619,2.3626
2000-02-17,46807.0,0.7772,2.2322,12.9622,,,,113.5376,3.1582
2000-02-18,46602.0,-0.438,-0.5888,11.7822,,,,113.0403,2.7064
2000-02-21,46014.0,-1.2617,-2.9138,10.34,,,,111.614,1.4105
2000-02-22,46034.0,0.0435,0.6736,9.5735,,,,111.6625,1.4546
2000-02-23,47134.0,2.3895,1.4813,14.5002,,,,114.3308,3.8789
2000-02-24,46907.0,-0.4816,0.2136,13.4088,,,,113.7801,3.3786
2000-02-25,48235.0,2.8311,3.5041,15.0123,,,,117.0014,6.3054
2000-02-28,47747.0,-1.0117,3.7662,14.0799,,,,115.8177,5.2299
2000-02-29,48479.0,1.5331,5.3113,16.9211,,,,117.5933,6.8431
2000-03-01,48676.0,0.4064,3.2715,14.7938,,,,118.0711,7.2773
2000-03-02,49464.0,1.6189,5.4512,15.0513,,,,119.9825,9.014
2000-03-03,49169.0,-0.5964,1.9364,12.0303,,,,119.267,8.3638
2000-03-06,50109.0,1.9118,4.9469,13.649,,,,121.5471,10.4355
2000-03-07,48925.0,-2.3628,0.92,11.8797,,,,118.6751,7.8261
2000-03-08,48810.0,-0.2351,0.2753,8.1063,,,,118.3962,7.5726
2000-03-09,49233.0,0.8666,-0.467,9.1617,,,,119.4222,8.5049
2000-03-10,49355.0,0.2478,0.3783,7.7973,,,,119.7181,8.7737
2000-03-13,48208.0,-2.324,-3.7937,2.8372,,,,116.9359,6.2459
2000-03-14,48181.0,-0.056,-1.5207,1.6584,,,,116.8704,6.1864
2000-03-15,46692.0,-3.0904,-4.3393,2.1126,,,,113.2586,2.9047
2000-03-16,47485.0,1.6984,-3.5505,2.237,,,,115.1822,4.6524
2000-03-17,48125.0,1.3478,-2.4921,2.8158,,,,116.7346,6.0629
2000-03-20,47354.0,-1.6021,-1.7715,1.6137,,,,114.8644,4.3637
2000-03-21,46756.0,-1.2628,-2.9576,1.6126,,,,113.4139,3.0458
2000-03-22,45921.0,-1.7859,-1.6512,-0.2455,,,,111.3884,1.2055
2000-03-23,45938.0,0.037,-3.2579,-2.5374,,,,111.4297,1.243
2000-03-24,47258.0,2.8734,-1.8016,0.7483,,,,114.6315,4.1522
2000-03-27,47051.0,-0.438,-0.6399,-2.4546,,,,114.1294,3.6959
2000-03-28,46827.0,-0.4761,0.1519,-1.9268,,,,113.5861,3.2023
2000-03-29,46839.0,0.0256,1.9991,-3.3829,,,,113.6152,3.2287
2000-03-30,45616.0,-2.6111,-0.7009,-6.2865,10.6486,,,110.6486,0.5333
2000-03-31,45392.0,-0.4911,-3.9485,-8.2322,12.5961,,,110.1053,0.0397
2000-04-03,44218.0,-2.5864,-6.0211,-10.0694,12.0805,,,107.2576,-2.5477
2000-04-04,44987.0,1.7391,-3.9294,-10.2217,15.8414,,,109.1229,-0.8529
2000-04-05,43815.0,-2.6052,-6.4562,-10.4446,9.0088,,,106.28,-3.4359
2000-04-06,45060.0,2.8415,-1.2189,-7.6829,13.4698,,,109.3,-0.692
2000-04-07,45275.0,0.4771,-0.2578,-8.0393,13.5566,,,109.8215,-0.2182
2000-04-10,45206.0,-0.1524,2.2344,-8.4064,12.2043,,,109.6541,-0.3703
2000-04-11,44123.0,-2.3957,-1.9206,-8.4737,8.9484,,,107.0271,-2.7571
2000-04-12,44511.0,0.8794,1.5885,-7.6171,7.0285,,,107.9683,-1.902
2000-04-13,44616.0,0.2359,-0.9854,-4.4462,7.3894,,,108.223,-1.6706
2000-04-14,43449.0,-2.6157,-4.0331,-8.4995,5.6922,,,105.3922,-4.2425
2000-04-17,42651.0,-1.8366,-5.6519,-11.3745,2.9322,,,103.4566,-6.0012
2000-04-18,43003.0,0.8253,-2.5384,-9.1882,3.1494,,,104.3104,-5.2255
2000-04-19,43061.0,0.1349,-3.2576,-7.9027,3.2588,,,104.4511,-5.0976
2000-04-20,44077.0,2.3594,-1.2081,-4.0156,4.9153,,,106.9155,-2.8585
2000-04-21,44077.0,0.0,1.4454,-4.0511,7.074,,,106.9155,-2.8585
2000-04-24,44077.0,0.0,3.3434,-6.7311,6.5666,,,106.9155,-2.8585
2000-04-25,44621.0,1.2342,3.7625,-5.1646,6.395,,,108.2351,-1.6595
2000-04-26,44606.0,-0.0336,3.5879,-4.743,6.5752,,,108.1987,-1.6926
2000-04-27,44206.0,-0.8967,0.2927,-5.6214,6.6155,,,107.2284,-2.5742
2000-04-28,44801.0,1.346,1.6426,-1.7867,5.6553,,,108.6717,-1.2628
2000-05-01,44801.0,0.0,1.6426,-1.302,4.2053,,,108.6717,-1.2628
2000-05-02,46168.0,3.0513,3.467,4.41,5.1926,,,111.9876,1.7499
2000-05-03,45226.0,-2.0404,1.3899,0.5313,2.5742,,,109.7026,-0.3262
2000-05-04,45968.0,1.6406,3.9859,4.9138,5.1178,,,111.5024,1.3091
2000-05-05,45980.0,0.0261,2.6316,2.0417,1.8383,,,111.5316,1.3356
2000-05-08,45672.0,-0.6699,1.9442,0.8769,1.266,,,110.7845,0.6568
2000-05-09,44967.0,-1.5436,-2.6014,-0.5287,-1.7866,,,109.0744,-0.897
2000-05-10,44879.0,-0.1957,-0.7673,1.7134,-4.2643,,,108.8609,-1.0909
2000-05-11,45292.0,0.9203,-1.4706,1.7546,-4.4372,,,109.8627,-0.1807
2000-05-12,45707.0,0.9163,-0.5937,2.4453,-0.0416,,,110.8694,0.7339
2000-05-15,45689.0,-0.0394,0.0372,5.1555,-1.6298,,,110.8257,0.6942
2000-05-16,46568.0,1.9239,3.5604,9.1838,-0.5106,,,112.9578,2.6315
2000-05-17,45492.0,-2.3106,1.3659,5.788,-2.3819,,,110.3478,0.2601
2000-05-18,45941.0,0.987,1.4329,6.6882,-0.1586,,,111.437,1.2496
2000-05-19,44325.0,-3.5176,-3.0236,0.5627,-3.7125,,,107.5171,-2.3119
2000-05-22,43100.0,-2.7637,-5.6666,-2.2166,-8.5586,,,104.5457,-5.0117
2000-05-23,44172.0,2.4872,-5.1452,0.2155,-5.8307,,,107.146,-2.6491
2000-05-24,43635.0,-1.2157,-4.082,-2.2097,-9.5366,,,105.8434,-3.8326
2000-05-25,44594.0,2.1978,-2.932,-0.0269,-6.6036,,,108.1696,-1.719
2000-05-26,44633.0,0.0875,0.6949,0.9659,-7.9333,,,108.2642,-1.6331
2000-05-29,45062.0,0.9612,4.5522,0.5826,-7.4246,,,109.3048,-0.6876
2000-05-30,45589.0,1.1695,3.2079,1.7589,-7.834,,,110.5831,0.4738
2000-05-31,45214.0,-0.8226,3.6187,-2.0664,-8.0437,,,109.6735,-0.3526
2000-06-01,45999.0,1.7362,3.1506,1.7092,-8.2021,,,111.5776,1.3774
2000-06-02,46365.0,0.7957,3.8805,0.8636,-5.2325,,,112.4654,2.1841
2000-06-05,46077.0,-0.6212,2.2525,0.211,-5.5993,,,111.7668,1.5493
2000-06-06,45675.0,-0.8725,0.1886,0.0066,-7.2269,,,110.7917,0.6634
2000-06-07,46275.0,1.3136,2.3466,2.9088,-6.2405,,,112.2471,1.9857
2000-06-08,46024.0,-0.5424,0.0543,2.5513,-4.5304,,,111.6383,1.4325
2000-06-09,46260.0,0.5128,-0.2265,2.1372,-3.987,,,112.2107,1.9527
2000-06-12,46055.0,-0.4431,-0.0477,0.7614,-1.3643,,,111.7135,1.5009
2000-06-13,46258.0,0.4408,1.2764,1.2454,-2.584,,,112.2059,1.9483
