date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,17369.6309,,,,,,,100.0,-34.0522
2000-01-04,17072.8203,-1.7088,,,,,,98.2912,-35.1792
2000-01-05,15846.7197,-7.1816,,,,,,91.2323,-39.8343
2000-01-06,15153.2305,-4.3762,,,,,,87.2398,-42.4673
2000-01-07,15405.6299,1.6656,,,,,,88.6929,-41.509
2000-01-10,15848.1504,2.8725,-8.7594,,,,,91.2406,-39.8289
2000-01-11,15862.0996,0.088,-7.0915,,,,,91.3209,-39.7759
2000-01-12,15714.2002,-0.9324,-0.8363,,,,,90.4694,-40.3375
2000-01-13,15633.96,-0.5106,3.1725,,,,,90.0074,-40.6421
2000-01-14,15542.2305,-0.5867,0.8867,,,,,89.4793,-40.9904
2000-01-17,15574.5596,0.208,-1.7263,,,,,89.6655,-40.8676
2000-01-18,15789.2002,1.3781,-0.4596,,,,,90.9012,-40.0527
2000-01-19,15275.3398,-3.2545,-2.7928,,,,,87.9428,-42.0037
2000-01-20,15215.3096,-0.393,-2.6778,,,,,87.5972,-42.2316
2000-01-21,15108.4102,-0.7026,-2.7912,,,,,86.9818,-42.6375
2000-01-24,15167.5498,0.3914,-2.6133,,,,,87.3222,-42.4129
2000-01-25,15103.04,-0.4253,-4.3458,,,,,86.9508,-42.6579
2000-01-26,15427.7197,2.1498,0.9976,,,,,88.8201,-41.4251
2000-01-27,15917.8096,3.1767,4.6171,,,,,91.6416,-39.5644
2000-01-28,16185.9404,1.6845,7.132,,,,,93.1853,-38.5464
2000-01-31,15532.3398,-4.0381,2.4051,,,,,89.4224,-41.0279
2000-02-01,15653.8604,0.7824,3.6471,-9.878,,,,90.122,-40.5666
2000-02-02,15789.8203,0.8685,2.3471,-7.5149,,,,90.9048,-40.0504
2000-02-03,15968.1201,1.1292,0.3161,0.7661,,,,91.9313,-39.3734
2000-02-08,16228.7305,1.6321,0.2644,7.0975,,,,93.4316,-38.3839
2000-02-09,16819.4609,3.64,8.2867,9.1774,,,,96.8326,-36.1411
2000-02-10,16845.1699,0.1529,7.6103,6.2911,,,,96.9806,-36.0435
2000-02-11,17380.3008,3.1768,10.0728,9.5712,,,,100.0614,-34.0117
2000-02-14,17188.9609,-1.1009,7.6455,9.3849,,,,98.9599,-34.7382
2000-02-15,16688.1602,-2.9135,2.831,6.743,,,,96.0767,-36.6396
2000-02-16,17043.3906,2.1286,1.3314,9.6586,,,,98.1218,-35.2909
2000-02-17,16981.2305,-0.3647,0.8077,9.0319,,,,97.7639,-35.5269
2000-02-18,16599.1602,-2.25,-4.4944,5.1298,,,,95.5643,-36.9775
2000-02-21,16322.3701,-1.6675,-5.0416,6.8544,,,,93.9707,-38.0284
2000-02-22,16255.1699,-0.4117,-2.5946,6.8343,,,,93.5839,-38.2835
2000-02-23,16376.79,0.7482,-3.9112,8.3952,,,,94.284,-37.8218
2000-02-24,17058.6602,4.1636,0.456,12.4681,,,,98.2097,-35.2329
2000-02-25,17200.9805,0.8343,3.6256,13.8908,,,,99.0291,-34.6926
2000-02-28,16984.4395,-1.2589,4.0562,10.0904,,,,97.7824,-35.5147
2000-02-29,17169.4395,1.0892,5.6245,7.8631,,,,98.8475,-34.8123
2000-03-01,16843.5898,-1.8978,2.8504,4.0631,,,,96.9715,-36.0495
2000-03-02,16936.8105,0.5534,-0.7143,9.0422,,,,97.5082,-35.6955
2000-03-03,17285.2402,2.0572,0.4899,10.4216,,,,99.5141,-34.3727
2000-03-06,17758.7598,2.7394,4.559,12.4697,,,,102.2403,-32.5748
2000-03-07,17865.3594,0.6003,4.0532,11.8814,,,,102.854,-32.1701
