date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,11609.9883,,,,,,,100.0,-33.6284
2000-01-04,11206.5879,-3.4746,,,,,,96.5254,-35.9345
2000-01-05,10863.0889,-3.0652,,,,,,93.5668,-37.8982
2000-01-07,11102.3887,2.2029,,,,,,95.6279,-36.5302
2000-01-10,11173.2881,0.6386,,,,,,96.2386,-36.1249
2000-01-11,11012.3896,-1.44,-5.1473,,,,,94.8527,-37.0447
2000-01-12,10851.7891,-1.4584,-3.166,,,,,93.4694,-37.9628
2000-01-13,10931.8896,0.7381,0.6333,,,,,94.1594,-37.5049
2000-01-14,11183.9883,2.3061,0.735,,,,,96.3307,-36.0637
2000-01-17,11285.5879,0.9084,1.0051,,,,,97.2059,-35.4829
2000-01-18,11066.2891,-1.9432,0.4894,,,,,95.317,-36.7366
2000-01-19,11120.6885,0.4916,2.4779,,,,,95.7855,-36.4256
2000-01-20,11047.5889,-0.6573,1.0584,,,,,95.1559,-36.8435
2000-01-21,10969.2891,-0.7088,-1.9197,,,,,94.4815,-37.2911
2000-01-24,10954.9893,-0.1304,-2.9294,,,,,94.3583,-37.3729
2000-01-25,10863.4893,-0.8352,-1.8326,,,,,93.5702,-37.8959
2000-01-26,11031.3896,1.5455,-0.803,,,,,95.0164,-36.9361
2000-01-27,11206.5879,1.5882,1.4392,,,,,96.5254,-35.9345
2000-01-28,11009.2891,-1.7606,0.3647,,,,,94.826,-37.0624
2000-01-31,10835.0889,-1.5823,-1.0945,,,,,93.3256,-38.0583
2000-02-01,10969.9893,1.245,0.9803,,,,,94.4875,-37.2871
2000-02-02,11195.5879,2.0565,1.4885,-3.5693,,,,96.4307,-35.9974
2000-02-03,11544.0879,3.1128,3.0116,3.0116,,,,99.4324,-34.0051
2000-02-04,11580.0879,0.3118,5.1847,6.6003,,,,99.7425,-33.7993
2000-02-07,11506.7881,-0.633,6.1993,3.6425,,,,99.1111,-34.2184
2000-02-08,11834.7881,2.8505,7.8833,5.9204,,,,101.9363,-32.3433
2000-02-09,11939.4883,0.8847,6.6446,8.4187,,,,102.8381,-31.7447
2000-02-10,12020.5879,0.6793,4.1277,10.7706,,,,103.5366,-31.2811
2000-02-11,12432.5869,3.4274,7.3618,13.7277,,,,107.0853,-28.9258
2000-02-14,12458.5869,0.2091,8.2716,11.3966,,,,107.3092,-28.7771
2000-02-15,12165.0869,-2.3558,2.7909,7.7931,,,,104.7812,-30.455
2000-02-16,12235.0869,0.5754,2.4758,10.5618,,,,105.3841,-30.0548
2000-02-17,12326.6875,0.7487,2.5465,10.8446,,,,106.1731,-29.5312
2000-02-18,12367.9873,0.335,-0.5196,11.9519,,,,106.5289,-29.2951
2000-02-21,12260.2871,-0.8708,-1.5917,11.7692,,,,105.6012,-29.9108
2000-02-22,12076.8877,-1.4959,-0.725,10.241,,,,104.0215,-30.9592
2000-02-23,12312.2871,1.9492,0.631,13.3364,,,,106.0491,-29.6135
2000-02-24,12352.2871,0.3249,0.2077,11.974,,,,106.3936,-29.3848
2000-02-25,12690.8877,2.7412,2.6108,13.2449,,,,109.3101,-27.4491
2000-02-28,12466.9873,-1.7643,1.6859,13.2406,,,,107.3816,-28.7291
2000-02-29,12585.7871,0.9529,4.2138,16.1577,,,,108.4048,-28.05
2000-03-01,12538.6875,-0.3742,1.8388,14.2999,,,,107.9991,-28.3192
2000-03-02,12709.5869,1.363,2.8926,13.5232,,,,109.4711,-27.3422
2000-03-03,12744.9873,0.2785,0.4263,10.4027,,,,109.7761,-27.1399
2000-03-06,12816.7871,0.5634,2.8058,10.6795,,,,110.3945,-26.7294
2000-03-07,12667.1875,-1.1672,0.6468,10.0845,,,,109.1059,-27.5846
2000-03-08,12668.2871,0.0087,1.0336,7.0428,,,,109.1154,-27.5783
2000-03-09,12563.1875,-0.8296,-1.1519,5.2238,,,,108.2102,-28.1792
2000-03-10,12513.6875,-0.394,-1.8148,4.1021,,,,107.7838,-28.4621
2000-03-13,12359.6875,-1.2307,-3.5664,-0.5864,,,,106.4574,-29.3425
2000-03-14,12555.7871,1.5866,-0.8794,0.7802,,,,108.1464,-28.2215
2000-03-15,12279.4873,-2.2006,-3.0691,0.9404,,,,105.7666,-29.801
2000-03-16,12260.8877,-0.1515,-2.4062,0.2109,,,,105.6064,-29.9073
2000-03-17,12369.7871,0.8882,-1.1499,0.3496,,,,106.5444,-29.2848
2000-03-20,12362.3877,-0.0598,0.0218,-0.0453,,,,106.4806,-29.3271
2000-03-21,12308.2871,-0.4376,-1.9712,0.3915,,,,106.0146,-29.6364
2000-03-22,12172.1875,-1.1058,-0.8738,0.7891,,,,104.8424,-30.4144
2000-03-23,12073.2871,-0.8125,-1.5301,-1.9412,,,,103.9905,-30.9798
2000-03-24,12213.7871,1.1637,-1.2611,-1.1212,,,,105.2007,-30.1766
2000-03-27,12161.9873,-0.4241,-1.621,-4.1676,,,,104.7545,-30.4727
2000-03-28,12211.0869,0.4037,-0.7897,-2.0526,,,,105.1774,-30.192
2000-03-29,12088.5869,-1.0032,-0.6868,-3.9505,,,,104.1223,-30.8923
2000-03-30,11833.3887,-2.1111,-1.987,-5.625,,,,101.9242,-32.3513
2000-03-31,11934.9883,0.8586,-2.2827,-6.0946,2.7993,,,102.7993,-31.7704
2000-04-03,11686.3887,-2.0829,-3.9105,-8.306,4.2814,,,100.6581,-33.1916
2000-04-04,11584.1885,-0.8745,-5.1338,-9.6171,6.6381,,,99.7778,-33.7759
2000-04-05,11374.5879,-1.8094,-5.9064,-10.2043,2.4517,,,97.9724,-34.9741
2000-04-06,11607.8887,2.0511,-1.9056,-8.3705,3.8896,,,99.9819,-33.6404
2000-04-07,11790.5879,1.5739,-1.2099,-6.1497,7.0666,,,101.5556,-32.5959
2000-04-10,11768.6885,-0.1857,0.7042,-5.9535,8.4493,,,101.3669,-32.7211
2000-04-11,11515.2881,-2.1532,-0.5948,-6.8319,5.3367,,,99.1843,-34.1698
2000-04-12,11542.0879,0.2327,1.4726,-8.0736,3.2019,,,99.4152,-34.0166
2000-04-13,11647.1885,0.9106,0.3386,-5.1492,3.2041,,,100.3204,-33.4157
2000-04-14,11363.8887,-2.4323,-3.619,-7.3159,2.6892,,,97.8803,-35.0353
2000-04-17,11217.2881,-1.2901,-4.6853,-9.317,0.8686,,,96.6176,-35.8734
2000-04-18,11261.4883,0.394,-2.204,-8.9052,1.9362,,,96.9983,-35.6207
2000-04-19,11339.7881,0.6953,-1.7527,-7.8687,3.3776,,,97.6727,-35.1731
2000-04-20,11501.9883,1.4304,-1.2467,-5.506,4.9931,,,99.0698,-34.2458
2000-04-25,11425.4883,-0.6651,0.5421,-5.3656,5.1733,,,98.4109,-34.6831
2000-04-26,11481.4883,0.4901,2.3553,-5.9957,4.0802,,,98.8932,-34.363
2000-04-27,11272.9883,-1.816,0.1021,-7.3097,0.5925,,,97.0973,-35.5549
2000-04-28,11467.8887,1.7289,1.1297,-6.0863,4.1656,,,98.7761,-34.4407
2000-05-02,11867.1885,3.4819,3.1751,-1.8315,9.5255,,,102.2153,-32.158
2000-05-03,11667.8887,-1.6794,2.1216,-1.3986,6.3619,,,100.4987,-33.2974
2000-05-04,11597.4883,-0.6034,1.0103,-2.8278,3.5898,,,99.8923,-33.6998
2000-05-05,11560.8887,-0.3156,2.5539,-1.0739,0.1455,,,99.5771,-33.9091
2000-05-08,11303.9883,-2.2222,-1.4292,-2.4188,-2.3843,,,97.3643,-35.3777
2000-05-09,11071.6895,-2.055,-6.7033,-2.6629,-3.7812,,,95.3635,-36.7057
2000-05-10,10832.2891,-2.1623,-7.1615,-6.6817,-8.4708,,,93.3015,-38.0743
2000-05-11,11036.2891,1.8833,-4.839,-6.3975,-7.5648,,,95.0586,-36.9081
2000-05-12,11102.5879,0.6007,-3.9642,-5.6599,-7.6369,,,95.6296,-36.5291
2000-05-15,11009.2891,-0.8403,-2.607,-4.3941,-11.4481,,,94.826,-37.0624
2000-05-16,11220.6885,1.9202,1.3458,-2.7846,-9.9361,,,96.6469,-35.8539
2000-05-17,10905.2891,-2.8109,0.6739,-6.3698,-10.3558,,,93.9302,-37.657
2000-05-18,10889.5889,-0.144,-1.3293,-4.1737,-10.997,,,93.795,-37.7467
2000-05-19,10544.8896,-3.1654,-5.0231,-5.9943,-14.4548,,,90.826,-39.7173
2000-05-22,10326.2891,-2.073,-6.2039,-8.3044,-16.5079,,,88.9431,-40.967
2000-05-23,10380.0889,0.521,-7.4915,-8.4631,-15.3357,,,89.4065,-40.6594
2000-05-24,10342.3896,-0.3632,-5.1617,-10.0817,-14.3621,,,89.0818,-40.875
2000-05-25,10560.5889,2.1098,-3.0212,-7.5699,-14.2272,,,90.9612,-39.6276
2000-05-26,10437.0889,-1.1694,-1.0223,-9.0964,-15.5048,,,89.8975,-40.3336
2000-05-29,10558.8896,1.167,2.2525,-6.3346,-16.7994,,,90.9466,-39.6373
2000-05-30,10648.4893,0.8486,2.5857,-7.1452,-14.5865,,,91.7183,-39.1251
2000-05-31,10688.4893,0.3756,3.3464,-9.9324,-15.0749,,,92.0629,-38.8964
2000-06-01,10875.4893,1.7495,2.9818,-6.7913,-13.2645,,,93.6736,-37.8273
2000-06-02,11141.4883,2.4459,6.749,-3.9319,-12.3379,,,95.9647,-36.3067
2000-06-05,11004.1895,-1.2323,4.2173,-4.8154,-13.6587,,,94.7821,-37.0916
2000-06-06,10782.4893,-2.0147,1.2584,-4.6134,-15.8721,,,92.8725,-38.359
2000-06-07,10688.8896,-0.8681,0.0037,-3.4575,-15.6175,,,92.0663,-38.8941
2000-06-08,10799.5889,1.0356,-0.6979,-0.3019,-14.751,,,93.0198,-38.2613
2000-06-09,10873.1895,0.6815,-2.4081,-1.4778,-13.452,,,93.6538,-37.8405
2000-06-12,10791.2891,-0.7532,-1.9347,-2.8038,-13.7641,,,92.9483,-38.3087
2000-06-13,10805.9893,0.1362,0.2179,-1.8466,-12.5707,,,93.0749,-38.2247
2000-06-14,10880.6895,0.6913,1.7944,-3.0301,-13.3412,,,93.7184,-37.7976
2000-06-15,10875.9893,-0.0432,0.7074,-0.2687,-11.4296,,,93.6779,-37.8245
2000-06-16,10723.7891,-1.3994,-1.374,-1.5226,-12.5366,,,92.3669,-38.6946
2000-06-19,10595.5889,-1.1955,-1.8135,0.4808,-14.343,,,91.2627,-39.4275
2000-06-20,10563.3896,-0.3039,-2.245,2.2961,-14.5522,,,90.9854,-39.6115
2000-06-21,10351.3896,-2.0069,-4.8646,-0.2765,-15.899,,,89.1593,-40.8235
2000-06-22,10490.4893,1.3438,-3.5445,1.432,-13.8159,,,90.3574,-40.0283
2000-06-23,10533.0889,0.4061,-1.7783,-0.2604,-12.7571,,,90.7244,-39.7848
2000-06-26,10488.8896,-0.4196,-1.007,0.4963,-14.1225,,,90.3437,-40.0374
2000-06-27,10528.1895,0.3747,-0.3332,-0.2908,-13.4336,,,90.6822,-39.8128
2000-06-28,10583.1895,0.5224,2.2393,-0.6132,-13.3313,,,91.1559,-39.4984
2000-06-29,10366.3896,-2.0485,-1.183,-3.0135,-14.2465,,,89.2885,-40.7378
2000-06-30,10581.2891,2.073,0.4576,-2.7052,-10.5811,,,91.1395,-39.5092
2000-07-03,10676.6895,0.9016,1.7905,-4.1718,-10.5429,-8.0388,,91.9612,-38.9638
2000-07-04,10848.8896,1.6129,3.0461,-1.4113,-7.1664,-3.1919,,93.4444,-37.9794
2000-07-05,10757.5889,-0.8416,1.6479,-0.2309,-7.1356,-0.9712,,92.6581,-38.5014
2000-07-06,10739.5889,-0.1673,3.6001,0.4743,-5.5826,-3.2678,,92.503,-38.6043
2000-07-07,10896.6895,1.4628,2.9807,0.8991,-6.1269,-2.4755,,93.8562,-37.7062
2000-07-10,10828.8896,-0.6222,1.4255,-0.4074,-8.1565,-1.6663,,93.2722,-38.0937
2000-07-11,10874.7891,0.4239,0.2387,0.7738,-7.5956,0.2119,,93.6675,-37.8314
2000-07-12,10878.6895,0.0359,1.1257,0.6728,-5.5283,-0.4867,,93.7011,-37.8091
2000-07-13,10848.1895,-0.2804,1.0112,-0.2987,-6.0119,-3.0025,,93.4384,-37.9834
2000-07-14,11002.5889,1.4233,0.9718,1.164,-5.5344,-2.5076,,94.7683,-37.1007
2000-07-17,10949.1895,-0.4853,1.1109,2.1019,-3.6493,-1.0582,,94.3084,-37.406
2000-07-18,10791.4893,-1.4403,-0.766,1.8489,-3.7959,-2.9602,,92.95,-38.3076
2000-07-19,10850.6895,0.5486,-0.2574,2.7198,-3.6478,-1.7823,,93.46,-37.9691
2000-07-20,10986.0889,1.2478,1.2712,6.1315,-3.1191,0.1532,,94.6262,-37.1951
2000-07-21,10879.5889,-0.9694,-1.1179,3.7091,-5.4112,-0.6883,,93.7089,-37.8039
2000-07-24,10831.4893,-0.4421,-1.075,2.833,-5.1989,-0.2946,,93.2946,-38.0789
2000-07-25,10714.5889,-1.0793,-0.7126,2.1518,-6.6794,-2.8718,,92.2877,-38.7472
2000-07-26,10743.7891,0.2725,-0.9852,2.0478,-4.6944,-4.1297,,92.5392,-38.5802
2000-07-27,10725.9893,-0.1657,-2.3675,1.3493,-6.4694,-2.5733,,92.3859,-38.682
