date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,94.8509,,,,
2000-02-01,94.485,,-0.3858,,
2000-03-01,95.5775,,1.1563,,
2000-04-01,95.3086,,-0.2814,1.9443,
2000-05-01,96.7557,,1.5183,9.9651,
2000-06-01,97.0825,,0.3378,6.4487,
2000-07-01,97.0873,,0.005,7.6767,4.7713
2000-08-01,98.0718,,1.014,5.5532,7.7365
2000-09-01,98.033,,-0.0395,3.9743,5.2042
2000-10-01,98.2504,,0.2217,4.8784,6.2684
2000-11-01,98.2429,,-0.0075,0.6998,3.0979
2000-12-01,98.3405,,0.0993,1.2603,2.6083
2001-01-01,95.8242,1.0262,-2.5587,-9.5174,-2.5851
2001-02-01,95.5989,1.179,-0.2351,-10.3384,-4.9794
2001-03-01,94.8751,-0.7349,-0.7571,-13.3677,-6.3388
2001-04-01,95.1957,-0.1185,0.3379,-2.5981,-6.1215
2001-05-01,95.3229,-1.4808,0.1336,-1.1501,-5.8562
2001-06-01,94.3854,-2.7781,-0.9834,-2.0486,-7.8818
2001-07-01,93.0713,-4.1365,-1.3923,-8.632,-5.6633
2001-08-01,93.5644,-4.5961,0.5298,-7.1774,-4.2111
2001-09-01,92.1299,-6.0216,-1.5332,-9.2217,-5.7033
2001-10-01,92.4036,-5.9508,0.2972,-2.8386,-5.7798
2001-11-01,92.4864,-5.8595,0.0895,-4.5297,-5.8628
2001-12-01,90.6842,-7.7854,-1.9485,-6.1303,-7.689
2002-01-01,93.8735,-2.0357,3.5169,6.5163,1.7314
2002-02-01,95.1423,-0.4776,1.3516,11.9914,3.4014
2002-03-01,94.9878,0.1187,-0.1625,20.377,6.3003
2002-04-01,96.3433,1.2055,1.427,10.9464,8.7088
2002-05-01,96.2851,1.0094,-0.0604,4.8917,8.3834
2002-06-01,95.5987,1.2854,-0.7129,2.5974,11.1322
2002-07-01,96.5905,3.7813,1.0376,1.0305,5.8725
2002-08-01,96.3912,3.0212,-0.2064,0.4415,2.6425
2002-09-01,95.5137,3.6728,-0.9104,-0.3551,1.1104
2002-10-01,96.1596,4.0647,0.6763,-1.7727,-0.3809
2002-11-01,95.5542,3.317,-0.6296,-3.4285,-1.5125
2002-12-01,94.4872,4.1937,-1.1165,-4.2297,-2.3116
2003-01-01,95.5239,1.7581,1.0972,-2.6182,-2.1963
2003-02-01,95.6765,0.5614,0.1597,0.5132,-1.4774
2003-03-01,95.322,0.3519,-0.3705,3.581,-0.4009
2003-04-01,94.9786,-1.4164,-0.3602,-2.2639,-2.4412
2003-05-01,95.0402,-1.2929,0.0649,-2.6336,-1.0727
2003-06-01,94.5934,-1.0516,-0.4702,-3.0228,0.2247
2003-07-01,95.6286,-0.9959,1.0944,2.7655,0.2192
2003-08-01,94.3447,-2.1232,-1.3426,-2.8955,-2.7647
2003-09-01,96.2224,0.742,1.9903,7.0685,1.898
2003-10-01,96.7659,0.6305,0.5649,4.8429,3.799
2003-11-01,96.8458,1.3517,0.0825,11.0334,3.8356
