date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,79.1559,,,,
2000-02-01,80.8956,,2.1978,,
2000-03-01,80.799,,-0.1195,,
2000-04-01,81.9588,,1.4354,14.9338,
2000-05-01,83.8918,,2.3585,15.6583,
2000-06-01,81.4755,,-2.8802,3.3916,
2000-07-01,83.5052,,2.4911,7.7635,11.2909
2000-08-01,83.9884,,0.5787,0.4616,7.7925
2000-09-01,84.085,,0.1151,13.4401,8.2994
2000-10-01,83.7951,,-0.3448,1.3961,4.5313
2000-11-01,84.1817,,0.4614,0.9238,0.6924
2000-12-01,84.5683,,0.4592,2.3188,7.736
2001-01-01,84.2784,6.4713,-0.3429,2.3268,1.8604
2001-02-01,85.2448,5.3763,1.1468,5.1481,3.0143
2001-03-01,84.1817,4.1866,-1.2472,-1.8161,0.23
2001-04-01,83.1186,1.4151,-1.2629,-5.392,-1.6083
2001-05-01,83.8918,0.0,0.9302,-6.1996,-0.6877
2001-06-01,83.7951,2.847,-0.1152,-1.8244,-1.8202
2001-07-01,81.6688,-2.1991,-2.5375,-6.7963,-6.0968
2001-08-01,83.8918,-0.1151,2.7219,0.0,-3.1494
2001-09-01,82.732,-1.6092,-1.3825,-4.9792,-3.4147
2001-10-01,81.1856,-3.1142,-1.8692,-2.346,-4.5971
2001-11-01,80.4124,-4.4776,-0.9524,-15.586,-8.1229
2001-12-01,81.2822,-3.8857,1.0817,-6.8272,-5.9077
2002-01-01,81.0889,-3.7844,-0.2378,-0.4753,-1.4151
2002-02-01,81.2822,-4.6485,0.2384,4.3977,-6.1244
2002-03-01,81.7655,-2.8703,0.5945,2.3994,-2.3228
2002-04-01,81.9588,-1.3953,0.2364,4.3603,1.9138
2002-05-01,81.2822,-3.1106,-0.8255,0.0,2.1752
2002-06-01,82.9252,-1.0381,2.0214,5.7956,4.0836
2002-07-01,81.6688,0.0,-1.5151,-1.4076,1.4354
2002-08-01,83.4085,-0.576,2.1302,10.8815,5.3003
2002-09-01,82.6353,-0.1168,-0.927,-1.3912,2.139
2002-10-01,81.9588,0.9524,-0.8187,1.4277,0.0
2002-11-01,83.0219,3.2452,1.2972,-1.8412,4.3264
2002-12-01,81.6688,0.4756,-1.6298,-4.5969,-3.0073
2003-01-01,82.442,1.6686,0.9467,2.3794,1.9024
2003-02-01,82.732,1.7836,0.3517,-1.3896,-1.6157
2003-03-01,82.732,1.182,0.0,5.3096,0.2341
2003-04-01,82.442,0.5896,-0.3505,0.0,1.1827
2003-05-01,81.9588,0.8323,-0.5862,-3.6863,-2.5447
2003-06-01,81.4755,-1.7482,-0.5896,-5.9378,-0.4728
2003-07-01,83.0219,1.6568,1.898,2.8434,1.4117
2003-08-01,81.3789,-2.4334,-1.979,-2.8003,-3.2443
2003-09-01,80.8956,-2.1053,-0.5938,-2.8167,-4.39
2003-10-01,83.1186,1.4151,2.7479,0.4665,1.648
2003-11-01,83.6985,0.8149,0.6977,11.8982,4.2904
2003-12-01,84.085,2.9586,0.4619,16.728,6.5083
2004-01-01,84.1817,2.1102,0.1149,5.2153,2.8135
2004-02-01,84.375,1.986,0.2296,3.2726,7.499
2004-03-01,83.6985,1.1682,-0.8018,-1.8264,7.0496
2004-04-01,84.9549,3.0481,1.5012,3.7249,4.4674
2004-05-01,85.6314,4.4811,0.7964,6.0909,4.6723
2004-06-01,84.9549,4.2705,-0.7901,6.1412,2.0797
2004-07-01,86.1147,3.7253,1.3652,5.5736,4.6451
2004-08-01,85.2448,4.7506,-1.0101,-1.7937,2.0725
2004-09-01,85.0515,5.1374,-0.2268,0.4558,3.2594
2004-10-01,86.1147,3.6047,1.25,0.0,2.749
2004-11-01,84.665,1.1547,-1.6835,-2.6934,-2.2446
2004-12-01,84.7616,0.8046,0.1142,-1.3566,-0.4545
2005-01-01,86.5979,2.8703,2.1665,2.2636,1.1255
2005-02-01,85.6314,1.4891,-1.1161,4.645,0.9091
2005-03-01,86.5979,3.4642,1.1287,8.9516,3.6694
2005-04-01,87.1778,2.6166,0.6696,2.7056,2.4844
2005-05-01,86.2113,0.6772,-1.1086,2.7364,3.6863
2005-06-01,87.951,3.5267,2.0179,6.398,7.6672
2005-07-01,89.1108,3.4792,1.3187,9.1686,5.8878
2005-08-01,86.7912,1.8141,-2.603,2.7179,2.7271
2005-09-01,88.8209,4.4318,2.3385,4.0151,5.1998
2005-10-01,90.4639,5.0505,1.8498,6.2135,7.6809
2005-11-01,89.5941,5.8219,-0.9615,13.5569,8.0015
2005-12-01,89.5941,5.7012,0.0,3.5278,3.7712
2006-01-01,90.5606,4.5759,1.0788,0.428,3.2803
2006-02-01,90.7539,5.9819,0.2134,5.2794,9.3399
2006-03-01,89.884,3.7946,-0.9585,1.3008,2.4082
2006-04-01,91.7204,5.2106,2.043,5.222,2.7971
2006-05-01,92.5902,7.3991,0.9484,8.3427,6.8001
2006-06-01,92.3002,4.945,-0.3132,11.1941,6.1322
2006-07-01,93.8466,5.3145,1.6754,9.6004,7.3889
