date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,107.2544,,,,
2000-02-01,107.5486,,0.2743,,
2000-03-01,108.2645,,0.6657,,
2000-04-01,108.9019,,0.5887,6.2873,
2000-05-01,110.2356,,1.2247,10.3744,
2000-06-01,108.8038,,-1.2989,2.0075,
2000-07-01,110.0983,,1.1898,4.4674,5.3734
2000-08-01,109.1078,,-0.8997,-4.03,2.9205
2000-09-01,109.3628,,0.2337,2.071,2.0392
2000-10-01,110.6573,,1.1837,2.0464,3.2498
2000-11-01,110.4612,,-0.1772,5.0548,0.4097
2000-12-01,111.3732,,0.8256,7.5584,4.7788
2001-01-01,110.9515,3.447,-0.3786,1.0677,1.5559
2001-02-01,111.6576,3.8206,0.6364,4.4033,4.7285
2001-03-01,112.1479,3.587,0.4391,2.8115,5.1582
2001-04-01,110.2944,1.2787,-1.6527,-2.348,-0.6548
2001-05-01,111.128,0.8095,0.7558,-1.8838,1.2109
2001-06-01,111.1868,2.1902,0.0529,-3.3842,-0.3345
2001-07-01,109.657,-0.4008,-1.3759,-2.2917,-2.3198
2001-08-01,112.3538,2.975,2.4593,4.4858,1.2509
2001-09-01,110.7357,1.2554,-1.4402,-1.613,-2.5026
2001-10-01,110.0199,-0.576,-0.6464,1.3303,-0.4971
2001-11-01,108.7646,-1.5359,-1.141,-12.1788,-4.2082
2001-12-01,109.4217,-1.7522,0.6041,-4.6626,-3.1498
2002-01-01,109.4118,-1.3877,-0.009,-2.1926,-0.4467
2002-02-01,109.8335,-1.6337,0.3854,3.9894,-4.436
2002-03-01,110.3141,-1.6352,0.4376,3.3024,-0.76
2002-04-01,111.0103,0.6491,0.6311,5.9733,1.8085
2002-05-01,110.0199,-0.9971,-0.8922,0.6806,2.3216
2002-06-01,109.9022,-1.1554,-0.107,-1.4852,0.8802
2002-07-01,108.7548,-0.8227,-1.044,-7.8828,-1.1974
2002-08-01,110.7259,-1.4489,1.8124,2.5916,1.6316
2002-09-01,109.3922,-1.2132,-1.2045,-1.8433,-1.6644
2002-10-01,108.4998,-1.3817,-0.8158,-0.9346,-4.4719
2002-11-01,109.5491,0.7213,0.9671,-4.1839,-0.854
2002-12-01,106.9798,-2.2316,-2.3453,-8.5336,-5.2475
2003-01-01,109.2157,-0.1792,2.09,2.6655,0.8494
2003-02-01,110.1768,0.3126,0.88,2.3117,-0.9894
2003-03-01,109.3432,-0.8801,-0.7566,9.134,-0.0896
2003-04-01,109.353,-1.4929,0.009,0.5038,1.5789
2003-05-01,106.8033,-2.9237,-2.3316,-11.6965,-4.9501
2003-06-01,106.4895,-3.1052,-0.2938,-10.0378,-0.9145
2003-07-01,108.4116,-0.3156,1.805,-3.3993,-1.4671
2003-08-01,107.9311,-2.5241,-0.4432,4.2912,-4.035
2003-09-01,107.5486,-1.6853,-0.3544,4.038,-3.2556
2003-10-01,110.1572,1.5276,2.4255,6.5979,1.4762
2003-11-01,107.9997,-1.4143,-1.9586,0.2545,2.2529
2003-12-01,108.6764,1.5859,0.6266,4.261,4.1494
2004-01-01,109.3432,0.1167,0.6136,-2.9232,1.726
2004-02-01,110.471,0.267,1.0314,9.472,4.7619
2004-03-01,110.1179,0.7085,-0.3196,5.4122,4.835
2004-04-01,110.1375,0.7174,0.0178,2.9375,-0.0358
2004-05-01,109.5197,2.5434,-0.5609,-3.4003,2.8346
2004-06-01,110.6083,3.8678,0.994,1.7933,3.5869
2004-07-01,111.0495,2.4332,0.3989,3.3536,3.1454
2004-08-01,107.1171,-0.7542,-3.5411,-8.4905,-5.9798
2004-09-01,110.8534,3.0728,3.4881,0.8893,1.3403
2004-10-01,111.7066,1.4065,0.7697,2.388,2.8696
2004-11-01,109.8531,1.7161,-1.6593,10.615,0.6098
2004-12-01,110.0885,1.2994,0.2143,-2.7316,-0.9377
2005-01-01,111.8439,2.287,1.5945,0.4926,1.4358
2005-02-01,110.6181,0.1332,-1.096,2.8148,6.6436
2005-03-01,108.1958,-1.7455,-2.1898,-6.7017,-4.7373
2005-04-01,111.0201,0.8014,2.6104,-2.9139,-1.2253
2005-05-01,109.8237,0.2776,-1.0776,-2.8418,-0.0535
2005-06-01,109.706,-0.8158,-0.1072,5.7012,-0.6937
