date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,103.0037,,,,
2000-02-01,102.8974,,-0.1032,,
2000-03-01,104.3856,,1.4463,,
2000-04-01,105.9801,,1.5275,12.0691,
2000-05-01,105.3423,,-0.6018,9.8484,
2000-06-01,106.7242,,1.3118,9.2671,
2000-07-01,106.5116,,-0.1992,2.0212,6.9272
2000-08-01,107.9997,,1.3971,10.4788,10.1631
2000-09-01,105.7675,,-2.0669,-3.5378,2.6652
2000-10-01,107.362,,1.5076,3.2321,2.6249
2000-11-01,107.7871,,0.396,-0.7851,4.6955
2000-12-01,108.8501,,0.9862,12.1777,4.0236
2001-01-01,104.8108,1.7544,-3.7109,-9.1716,-3.1681
2001-02-01,105.7675,2.7893,0.9128,-7.2867,-4.091
2001-03-01,103.9604,-0.4073,-1.7086,-16.7937,-3.3879
2001-04-01,103.2163,-2.6078,-0.7158,-5.9478,-7.5737
2001-05-01,101.1966,-3.9355,-1.9568,-16.1979,-11.8549
2001-06-01,100.1336,-6.1754,-1.0504,-13.9308,-15.3744
2001-07-01,98.7517,-7.2855,-1.38,-16.2112,-11.2277
2001-08-01,97.3698,-9.8425,-1.3994,-14.2894,-15.2491
2001-09-01,95.5628,-9.6483,-1.8559,-17.0463,-15.5029
2001-10-01,95.5628,-10.9901,0.0,-12.3048,-14.2803
2001-11-01,94.0746,-12.7219,-1.5573,-12.8653,-13.5803
2001-12-01,95.0313,-12.6953,1.0169,-2.2062,-9.9314
2002-01-01,94.4998,-9.8377,-0.5593,-4.3757,-8.426
2002-02-01,95.6691,-9.5478,1.2373,6.954,-3.4629
2002-03-01,96.0943,-7.5665,0.4444,4.5499,1.1154
2002-04-01,95.988,-7.0031,-0.1106,6.4496,0.8918
2002-05-01,99.8147,-1.3655,3.9867,18.4929,12.5757
2002-06-01,98.6454,-1.4862,-1.1715,11.0499,7.7509
2002-07-01,99.3895,0.6459,0.7543,14.9464,10.6164
2002-08-01,99.8147,2.5109,0.4278,0.0,8.8544
2002-09-01,100.4525,5.1168,0.639,7.5313,9.2765
2002-10-01,100.4525,5.1168,0.0,4.3471,9.5186
2002-11-01,100.3462,6.6666,-0.1058,2.1469,1.0677
2002-12-01,100.2399,5.481,-0.1059,-0.8439,3.2588
2003-01-01,101.6218,7.5365,1.3786,4.7381,4.5424
2003-02-01,101.1871,5.7678,-0.4278,3.3944,2.7687
2003-03-01,101.9479,6.0916,0.7519,6.9918,2.9995
2003-04-01,100.5349,4.737,-1.386,-4.2101,0.1641
2003-05-01,101.8392,2.0282,1.2974,2.6028,2.9978
2003-06-01,100.9697,2.3562,-0.8538,-3.7832,1.4614
2003-07-01,101.4044,2.0272,0.4305,3.5046,-0.4274
2003-08-01,100.4263,0.6127,-0.9646,-5.4351,-1.4981
2003-09-01,103.4695,3.0034,3.0303,10.277,3.0073
2003-10-01,104.665,4.1935,1.1554,13.4955,8.385
2003-11-01,104.8824,4.5205,0.2077,18.9654,6.0658
2003-12-01,104.5563,4.3061,-0.3109,4.2681,7.2305
2004-01-01,106.404,4.7059,1.7672,6.8134,10.1038
2004-02-01,106.0779,4.8334,-0.3065,4.6379,11.5719
2004-03-01,105.5345,3.5181,-0.5123,3.7951,4.0313
2004-04-01,107.3822,6.8109,1.7508,3.7283,5.2596
2004-05-01,107.4909,5.5496,0.1012,5.4356,5.036
2004-06-01,107.8169,6.7814,0.3033,8.9355,6.3343
2004-07-01,109.3385,7.8242,1.4113,7.4888,5.5918
2004-08-01,107.8169,7.3592,-1.3916,1.2187,3.3056
