date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,47.6438,,,,
2000-02-01,47.7427,,0.2077,,
2000-03-01,48.2843,,1.1344,,
2000-04-01,48.0055,,-0.5774,3.072,
2000-05-01,49.8526,,3.8477,18.884,
2000-06-01,49.3334,,-1.0415,8.9784,
2000-07-01,50.9252,,3.2265,26.638,14.249
2000-08-01,51.7125,,1.5461,15.7791,17.3213
2000-09-01,50.4815,,-2.3806,9.6386,9.308
2000-10-01,50.1282,,-0.6998,-6.1143,9.039
2000-11-01,49.3568,,-1.5389,-17.0138,-1.9793
2000-12-01,48.6386,,-1.4551,-13.8219,-2.7969
2001-01-01,48.1396,1.0407,-1.026,-14.9487,-10.6406
2001-02-01,48.6492,1.8988,1.0587,-5.6121,-11.4964
2001-03-01,48.9429,1.364,0.6036,2.5262,-6.0026
2001-04-01,49.3142,2.7262,0.7587,10.1235,-3.2211
2001-05-01,49.7303,-0.2454,0.8436,9.189,1.5191
2001-06-01,49.8314,1.0094,0.2033,7.4611,4.9647
2001-07-01,48.8418,-4.0909,-1.9857,-3.7771,2.9388
2001-08-01,49.9792,-3.3517,2.3288,2.0177,5.5424
2001-09-01,49.9888,-0.9759,0.0192,1.27,4.3197
2001-10-01,50.2931,0.329,0.6087,12.426,4.0094
2001-11-01,50.6198,2.5589,0.6495,5.2258,3.6093
2001-12-01,49.3547,1.4722,-2.4992,-4.9786,-1.904
2002-01-01,50.8975,5.7289,3.1259,4.894,8.5947
2002-02-01,51.8774,6.6356,1.9253,10.3146,7.7401
2002-03-01,53.1776,8.6524,2.5063,34.773,13.165
2002-04-01,53.6341,8.7598,0.8583,23.3044,13.7272
2002-05-01,53.0468,6.6689,-1.0951,9.3255,9.8189
2002-06-01,52.6499,5.6561,-0.7482,-3.911,13.799
2002-07-01,53.9629,10.4849,2.4938,2.4747,12.4081
2002-08-01,54.4651,8.9754,0.9306,11.1314,10.2248
2002-09-01,53.4968,7.0176,-1.7777,6.5914,1.2041
2002-10-01,54.4449,8.2551,1.7721,3.6209,3.0462
2002-11-01,55.2301,9.1077,1.4422,5.7379,8.4011
2002-12-01,55.8462,13.1527,1.1154,18.7574,12.5101
2003-01-01,54.5385,7.1536,-2.3415,0.6897,2.1448
2003-02-01,54.8056,5.6443,0.4897,-3.0394,1.2542
2003-03-01,55.9611,5.2342,2.1084,0.8256,9.4248
2003-04-01,54.9886,2.5254,-1.7378,3.342,2.0072
2003-05-01,54.7545,3.2193,-0.4257,-0.3722,-1.7149
2003-06-01,56.4335,7.1863,3.0664,3.4197,2.1144
2003-07-01,53.8043,-0.2938,-4.6588,-8.3401,-2.6741
2003-08-01,56.6537,4.0184,5.2958,14.6133,6.8582
2003-09-01,57.3709,7.2416,1.2658,6.8116,5.102
2003-10-01,58.9658,8.3037,2.78,44.2552,14.9888
2003-11-01,59.0435,6.9045,0.1317,17.9705,16.2798
2003-12-01,60.1085,7.6324,1.8039,20.4978,13.4485
2004-01-01,59.8691,9.7741,-0.3983,6.2702,23.8145
2004-02-01,62.9175,14.8013,5.0917,28.9432,23.3349
2004-03-01,61.8226,10.4744,-1.7402,11.904,16.1214
2004-04-01,62.4908,13.6433,1.0808,18.7007,12.3136
2004-05-01,63.4027,15.7945,1.4592,3.1204,15.3112
2004-06-01,61.6034,9.1612,-2.8378,-1.4106,5.0359
2004-07-01,60.8257,13.0497,-1.2626,-10.2401,3.2209
2004-08-01,61.7918,9.0692,1.5883,-9.7822,-3.5464
2004-09-01,62.494,8.9299,1.1365,5.9091,2.1837
2004-10-01,62.5004,5.9943,0.0102,11.4766,0.0307
2004-11-01,63.574,7.6732,1.7177,12.0456,0.5411
2004-12-01,62.7121,4.3315,-1.3556,1.4035,3.6318
2005-01-01,65.3721,9.1917,4.2416,19.6849,15.5079
2005-02-01,63.8719,1.5169,-2.2949,1.8877,6.846
2005-03-01,65.9265,6.6381,3.2167,22.133,11.2866
2005-04-01,64.6029,3.3798,-2.0077,-4.6246,6.841
2005-05-01,64.1006,1.1009,-0.7774,1.4403,1.6638
2005-06-01,64.4975,4.6979,0.6192,-8.3921,5.775
2005-07-01,65.0434,6.9341,0.8463,2.7555,-1.0033
2005-08-01,65.4083,5.8528,0.5611,8.4132,4.8688
2005-09-01,65.5956,4.963,0.2863,6.9857,-1.0014
2005-10-01,67.8662,8.5851,3.4615,18.5225,10.3578
2005-11-01,70.4102,10.7531,3.7486,34.2795,20.6552
2005-12-01,68.9621,9.9661,-2.0567,22.164,14.3232
2006-01-01,71.1241,8.7988,3.1351,20.6298,19.5715
2006-02-01,71.2518,11.5542,0.1795,4.8677,18.6658
2006-03-01,71.6391,8.6651,0.5436,16.4553,19.2755
2006-04-01,70.9049,9.7551,-1.0248,-1.227,9.1557
2006-05-01,71.5582,11.6342,0.9214,1.7315,3.2876
2006-06-01,70.4644,9.2514,-1.5285,-6.3992,4.4046
2006-07-01,67.0245,3.0459,-4.8818,-20.1584,-11.1957
2006-08-01,71.9094,9.9392,7.2881,1.9772,1.8543
2006-09-01,73.8022,12.511,2.6323,20.3365,6.1301
2006-10-01,75.8653,11.7867,2.7954,64.1488,14.481
2006-11-01,75.5248,7.2641,-0.4488,21.6795,11.3936
2006-12-01,72.8893,5.6948,-3.4896,-4.8568,7.0009
2007-01-01,74.0331,4.09,1.5692,-9.316,22.0068
2007-02-01,74.3736,4.3813,0.4599,-5.9593,6.9711
2007-03-01,74.1459,3.4992,-0.3062,7.0762,0.9335
2007-04-01,75.3812,6.313,1.6661,7.4851,-1.2722
2007-05-01,75.5833,5.6249,0.2682,6.6669,0.155
2007-06-01,75.0705,6.5367,-0.6785,5.0822,6.0745
2007-07-01,75.9281,13.284,1.1424,2.9337,5.1848
2007-08-01,78.2795,8.8586,3.0969,15.0504,10.7794
2007-09-01,77.5209,5.0387,-0.9691,13.7098,9.3109
2007-10-01,81.7482,7.7543,5.4531,34.37,17.6061
2007-11-01,81.5119,7.9274,-0.2889,17.5689,16.3028
2007-12-01,81.114,11.2839,-0.4882,19.8695,16.749
2008-01-01,83.159,12.3268,2.5211,7.0842,19.9538
2008-02-01,82.3408,10.7124,-0.9839,4.1299,10.6456
2008-03-01,83.4974,12.6123,1.4046,12.2814,16.0134
2008-04-01,83.7304,11.076,0.2791,2.7768,4.9084
2008-05-01,82.4472,9.0812,-1.5325,0.5179,2.3079
2008-06-01,81.7428,8.8881,-0.8543,-8.144,1.5565
2008-07-01,81.2906,7.0627,-0.5532,-11.1557,-4.443
2008-08-01,81.2332,3.7732,-0.0707,-5.7611,-2.6722
2008-09-01,80.0596,3.2749,-1.4447,-7.9858,-8.0649
2008-10-01,80.7459,-1.2261,0.8572,-2.6538,-7.0018
2008-11-01,71.8455,-11.8589,-11.0227,-38.8123,-24.0641
2008-12-01,64.1102,-20.9628,-10.7665,-58.8797,-38.4886
2009-01-01,65.303,-21.4722,1.8605,-57.219,-35.4665
2009-02-01,71.089,-13.6649,8.8603,-4.1458,-23.416
2009-03-01,73.7809,-11.6368,3.7867,75.4151,-15.0699
2009-04-01,76.2526,-8.9308,3.35,85.9031,-10.8198
2009-05-01,76.8208,-6.8243,0.7451,36.3657,14.3295
2009-06-01,79.7627,-2.4224,3.8296,36.5915,54.7909
2009-07-01,81.8067,0.6348,2.5625,32.4758,56.932
2009-08-01,82.3131,1.3294,0.6191,31.8141,34.0706
2009-09-01,85.8754,7.2644,4.3277,34.3616,35.472
2009-10-01,84.3358,4.446,-1.7928,12.9518,22.3249
2009-11-01,85.3445,18.7889,1.196,15.5647,23.4223
2009-12-01,86.3797,34.7363,1.213,2.3699,17.2799
2010-01-01,87.9481,34.677,1.8156,18.2653,15.578
2010-02-01,88.5992,24.6314,0.7404,16.1498,15.8569
2010-03-01,90.4336,22.5704,2.0704,20.1355,10.8975
2010-04-01,91.6157,20.1476,1.3071,17.7535,18.0091
2010-05-01,92.1658,19.9751,0.6004,17.1005,16.6242
2010-06-01,92.4552,15.9128,0.314,9.2461,14.5615
2010-07-01,93.1532,13.8699,0.7549,6.8836,12.187
2010-08-01,92.3562,12.2011,-0.8555,0.8291,8.6607
2010-09-01,92.8638,8.1378,0.5495,1.7794,5.4467
2010-10-01,94.1991,11.6952,1.4379,4.5673,5.7191
2010-11-01,94.3278,10.526,0.1367,8.8165,4.7467
2010-12-01,95.8355,10.9467,1.5983,13.4281,7.446
2011-01-01,98.786,12.3231,3.0787,20.9469,12.4593
2011-02-01,95.7961,8.123,-3.0266,6.3733,7.5879
2011-03-01,98.1912,8.5783,2.5002,10.2008,11.8028
2011-04-01,96.7782,5.635,-1.439,-7.8853,5.5509
2011-05-01,97.191,5.4524,0.4266,5.953,6.1629
2011-06-01,97.9614,5.9555,0.7926,-0.9329,4.4857
2011-07-01,98.0933,5.3033,0.1347,5.5474,-1.3974
2011-08-01,97.3613,5.4193,-0.7463,0.7025,3.2944
2011-09-01,97.8241,5.3416,0.4754,-0.5593,-0.7463
2011-10-01,100.116,6.2813,2.3429,8.5066,7.0168
2011-11-01,97.788,3.6682,-2.3254,1.7645,1.2321
2011-12-01,96.0728,0.2476,-1.754,-6.9712,-3.8186
2012-01-01,98.2859,-0.5062,2.3036,-7.1139,0.393
2012-02-01,102.1918,6.6763,3.974,19.2677,10.169
2012-03-01,99.035,0.8593,-3.0891,12.9152,2.4908
2012-04-01,100.1883,3.5236,1.1646,7.97,0.1445
2012-05-01,100.6097,3.5175,0.4206,-6.0503,5.8544
2012-06-01,98.7179,0.7722,-1.8804,-1.2745,5.5823
2012-07-01,98.0678,-0.026,-0.6585,-8.2011,-0.4434
2012-08-01,96.1568,-1.2371,-1.9486,-16.5625,-11.4623
2012-09-01,97.4581,-0.3742,1.3533,-5.0076,-3.1591
2012-10-01,100.0053,-0.1106,2.6136,8.1401,-0.365
2012-11-01,100.599,2.8746,0.5937,19.7993,-0.0213
2012-12-01,100.6533,4.7678,0.054,13.7732,3.9596
2013-01-01,102.111,3.8918,1.4482,8.6921,8.4157
2013-02-01,100.0255,-2.1198,-2.0424,-2.2609,8.2085
2013-03-01,98.9434,-0.0924,-1.0818,-6.6238,3.0714
2013-04-01,99.667,-0.5204,0.7312,-9.2357,-0.6755
2013-05-01,99.0903,-1.5102,-0.5786,-3.6878,-2.977
2013-06-01,99.1286,0.416,0.0387,0.7506,-3.0067
2013-07-01,98.2731,0.2094,-0.863,-5.4777,-7.3758
2013-08-01,99.5265,3.5044,1.2754,1.7726,-0.9952
2013-09-01,97.7965,0.3472,-1.7383,-5.268,-2.305
2013-10-01,101.1289,1.1235,3.4075,12.1404,2.9551
2013-11-01,100.0426,-0.5531,-1.0742,2.0903,1.9314
2013-12-01,101.4556,0.7971,1.4124,15.8275,4.75
2014-01-01,102.0684,-0.0417,0.604,3.7682,7.8731
2014-02-01,101.4641,1.4382,-0.5921,5.8059,3.9315
2014-03-01,102.1684,3.2594,0.6941,2.84,9.1407
2014-04-01,102.4972,2.8397,0.3218,1.6911,2.7244
2014-05-01,99.0722,-0.0183,-3.3416,-9.1014,-1.9306
2014-06-01,101.563,2.4558,2.5141,-2.3492,0.2118
2014-07-01,102.3419,4.1403,0.7669,-0.6047,0.5366
2014-08-01,98.3763,-1.1557,-3.8748,-2.78,-5.9938
2014-09-01,98.038,0.247,-0.3439,-13.1769,-7.9221
2014-10-01,98.1731,-2.9228,0.1378,-15.3248,-8.2595
2014-11-01,98.4487,-1.5932,0.2807,0.2945,-1.2547
2014-12-01,100.9778,-0.4709,2.569,12.545,-1.1491
2015-01-01,99.1339,-2.875,-1.826,3.9725,-6.1709
2015-02-01,100.5809,-0.8705,1.4596,8.9488,4.5321
2015-03-01,99.485,-2.6264,-1.0896,-5.7835,2.9738
2015-04-01,100.3266,-2.1177,0.8459,4.9,4.4352
2015-05-01,97.7188,-1.3661,-2.5993,-10.9056,-1.4773
2015-06-01,99.3393,-2.1895,1.6583,-0.5848,-3.219
2015-07-01,98.687,-3.5712,-0.6566,-6.3784,-0.8995
2015-08-01,100.9108,2.5763,2.2534,13.7204,0.6571
2015-09-01,102.1333,4.1773,1.2115,11.7341,5.3948
2015-10-01,101.5205,3.4097,-0.6,11.9888,2.3942
2015-11-01,100.5373,2.1215,-0.9685,-1.4723,5.8518
2015-12-01,99.6797,-1.2855,-0.853,-9.2685,0.6866
2016-01-01,99.984,0.8576,0.3053,-5.9177,2.6458
2016-02-01,101.0853,0.5015,1.1014,2.1982,0.3461
2016-03-01,101.8865,2.4139,0.7926,9.1539,-0.4827
2016-04-01,100.4458,0.1188,-1.414,1.8602,-2.106
2016-05-01,103.1728,5.5813,2.7149,8.5198,5.3115
2016-06-01,102.5323,3.2143,-0.6208,2.5596,5.8054
2016-07-01,102.1323,3.4911,-0.3901,6.8871,4.3434
2016-08-01,100.8172,-0.0928,-1.2876,-8.8246,-0.5297
2016-09-01,101.0746,-1.0366,0.2553,-5.5667,-1.5874
2016-10-01,100.4192,-1.0848,-0.6484,-6.5424,-0.053
2016-11-01,105.07,4.5085,4.6314,17.9713,3.7115
2016-12-01,103.823,4.1566,-1.1868,11.3285,2.5335
2017-01-01,106.5713,6.5883,2.6471,26.851,8.8816
2017-02-01,105.3487,4.2176,-1.1472,1.0652,9.1916
