date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,97.2091,,,,
2000-02-01,97.525,,0.325,,
2000-03-01,97.2091,,-0.324,,
2000-04-01,96.9984,,-0.2167,-0.8639,
2000-05-01,97.3144,,0.3257,-0.8611,
2000-06-01,97.841,,0.5411,2.6257,
2000-07-01,97.2091,,-0.6459,0.8715,0.0
2000-08-01,98.4729,,1.3001,4.8476,1.9533
2000-09-01,98.1569,,-0.3209,1.298,1.9597
2000-10-01,98.3676,,0.2146,4.8529,2.8429
2000-11-01,99.2101,,0.8565,3.0284,3.934
2000-12-01,101.3165,,2.1232,13.5108,7.2306
2001-01-01,101.0005,3.9003,-0.3119,11.1441,7.9527
2001-02-01,101.1058,3.6717,0.1043,7.865,5.419
2001-03-01,101.9484,4.8754,0.8334,2.5182,7.8745
2001-04-01,102.475,5.6461,0.5165,5.9687,8.5256
2001-05-01,101.9484,4.7619,-0.5139,3.3754,5.5964
2001-06-01,102.6856,4.9515,0.7231,2.924,2.7209
2001-07-01,102.3697,5.3088,-0.3076,-0.4104,2.7297
2001-08-01,103.5282,5.1337,1.1317,6.344,4.8492
2001-09-01,103.0016,4.9356,-0.5087,1.2366,2.0768
2001-10-01,102.3697,4.0686,-0.6135,0.0,-0.2054
2001-11-01,102.475,3.2909,0.1029,-4.0076,1.0357
2001-12-01,102.0537,0.7276,-0.4111,-3.6306,-1.227
2002-01-01,101.4218,0.4171,-0.6192,-3.6527,-1.8433
2002-02-01,101.5271,0.4167,0.1038,-3.649,-3.8284
2002-03-01,103.4229,1.4463,1.8673,5.4756,0.8197
2002-04-01,101.2112,-1.2333,-2.1385,-0.828,-2.2506
2002-05-01,104.3707,2.376,3.1217,11.6828,3.7341
2002-06-01,98.9995,-3.5897,-5.1463,-16.0415,-5.896
2002-07-01,105.5292,3.0864,6.5957,18.1888,8.2636
2002-08-01,105.3186,1.7294,-0.1996,3.6826,7.6084
2002-09-01,106.8984,3.7832,1.5,35.9419,6.8339
2002-10-01,105.5292,3.0864,-1.2808,0.0,8.7147
2002-11-01,105.8452,3.2888,0.2994,2.0151,2.8455
2002-12-01,106.6877,4.5407,0.796,-0.7861,16.135
2003-01-01,106.1611,4.6729,-0.4936,2.4168,1.2012
2003-02-01,107.3196,5.7054,1.0913,5.6894,3.836
2003-03-01,107.0037,3.4623,-0.2944,1.19,0.1971
2003-04-01,106.4771,5.2029,-0.4921,1.196,1.8045
2003-05-01,105.1079,0.7063,-1.2859,-7.9921,-1.3883
2003-06-01,105.7399,6.8086,0.6013,-4.6413,-1.7689
2003-07-01,106.3718,0.7985,0.5976,-0.395,0.3973
2003-08-01,106.5824,1.2,0.198,5.7306,-1.3691
2003-09-01,106.7931,-0.0985,0.1977,4.044,-0.3932
2003-10-01,108.6888,2.9941,1.7751,9.0017,4.1975
2003-11-01,107.2143,1.2935,-1.3566,2.3927,4.0482
2003-12-01,107.2143,0.4936,0.0,1.587,2.8082
2004-01-01,108.5835,2.2818,1.2771,-0.387,4.2017
2004-02-01,108.2675,0.8832,-0.291,3.9876,3.1871
2004-03-01,108.3728,1.2795,0.0973,4.3927,2.9803
2004-04-01,108.8994,2.2749,0.4859,1.1688,0.3879
2004-05-01,107.3196,2.1042,-1.4507,-3.4563,0.1965
2004-06-01,107.109,1.2948,-0.1962,-4.5837,-0.1963
2004-07-01,106.6877,0.297,-0.3933,-7.8797,-3.4614
2004-08-01,105.1079,-1.3834,-1.4808,-7.9921,-5.7515
2004-09-01,104.792,-1.8738,-0.3005,-8.3761,-6.4991
2004-10-01,104.792,-3.5853,0.0,-6.9203,-7.4012
2004-11-01,105.5292,-1.5717,0.7035,1.613,-3.3087
2004-12-01,105.0026,-2.0629,-0.499,0.8063,-3.8945
2005-01-01,105.6345,-2.7159,0.6018,3.2549,-1.9646
2005-02-01,105.2133,-2.821,-0.3987,-1.192,0.2007
2005-03-01,103.5282,-4.4703,-1.6016,-5.4994,-2.3975
2005-04-01,106.2665,-2.4177,2.645,2.4147,2.8339
2005-05-01,105.6345,-1.5702,-0.5947,1.611,0.1997
2005-06-01,106.4771,-0.59,0.7977,11.8897,2.8282
2005-07-01,105.2133,-1.382,-1.1869,-3.9058,-0.7959
2005-08-01,104.3707,-0.7014,-0.8008,-4.7004,-1.5953
2005-09-01,105.8452,1.005,1.4128,-2.3528,4.5262
2005-10-01,104.792,0.0,-0.995,-1.5921,-2.7558
2005-11-01,106.1611,0.5988,1.3065,7.0403,0.9995
2005-12-01,109.742,4.5136,3.3731,15.5598,6.2266
2006-01-01,108.2675,2.4926,-1.3436,13.941,5.89
2006-02-01,108.1622,2.8028,-0.0973,7.7557,7.3974
2006-03-01,109.426,5.6968,1.1684,-1.1468,6.8806
2006-04-01,109.6367,3.1715,0.1926,5.1554,9.4601
2006-05-01,110.5845,4.686,0.8645,9.2635,8.507
2006-06-01,111.2164,4.451,0.5714,6.7071,2.7051
2006-07-01,110.0579,4.6046,-1.0417,1.5456,3.3347
2006-08-01,111.0058,6.3572,0.8613,1.5326,5.3271
2006-09-01,111.3217,5.1741,0.2846,0.3793,3.4948
2006-10-01,110.1632,5.1256,-1.0407,0.3833,0.9628
2006-11-01,110.9005,4.4643,0.6693,-0.3789,0.5723
2006-12-01,110.1632,0.3838,-0.6648,-4.0982,-1.885
2007-01-01,110.5845,2.1401,0.3824,1.5385,0.9592
2007-02-01,109.1101,0.8764,-1.3333,-6.303,-3.3863
2007-03-01,108.7941,-0.5775,-0.2896,-4.8793,-4.4895
2007-04-01,107.3196,-2.1134,-1.3553,-11.2968,-5.0959
2007-05-01,109.5313,-0.9524,2.0609,1.5531,-2.454
2007-06-01,107.7409,-3.125,-1.6346,-3.8164,-4.3493
2007-07-01,107.2143,-2.5837,-0.4888,-0.3919,-6.0024
2007-08-01,108.5835,-2.1821,1.2771,-3.4166,-0.9629
2007-09-01,107.2143,-3.6897,-1.261,-1.9408,-2.8831
2007-10-01,107.8462,-2.1032,0.5894,2.3784,0.9838
2007-11-01,108.0569,-2.5641,0.1954,-1.9258,-2.6741
2007-12-01,107.5303,-2.39,-0.4873,1.1842,-0.3906
2008-01-01,107.425,-2.8571,-0.0979,-1.5531,0.3934
2008-02-01,108.7941,-0.2896,1.2745,2.757,0.3883
2008-03-01,105.7399,-2.8073,-2.8073,-6.4956,-2.7315
2008-04-01,107.3196,0.0,1.4939,-0.3919,-0.9742
2008-05-01,106.4771,-2.7884,-0.785,-8.2505,-2.9026
2008-06-01,106.0558,-1.564,-0.3957,1.2004,-2.7237
2008-07-01,106.8984,-0.2946,0.7945,-1.5607,-0.978
2008-08-01,106.1611,-2.2309,-0.6897,-1.1818,-4.7818
2008-09-01,105.7399,-1.3752,-0.3968,-1.1861,0.0
2008-10-01,105.6345,-2.0508,-0.0997,-4.6461,-3.1157
2008-11-01,101.2112,-6.3353,-4.1874,-17.3862,-9.6466
2008-12-01,101.3165,-5.7787,0.104,-15.7121,-8.7377
2009-01-01,98.8942,-7.9412,-2.3909,-23.1826,-14.4148
2009-02-01,98.8942,-9.0997,0.0,-8.8476,-13.2218
2009-03-01,98.1569,-7.1714,-0.7455,-11.9026,-13.8284
2009-04-01,99.5261,-7.262,1.3949,2.5805,-11.2308
2009-05-01,98.0516,-7.913,-1.4815,-3.3646,-6.1461
2009-06-01,98.5782,-7.0506,0.5371,1.7278,-5.3324
2009-07-01,99.5261,-6.8966,0.9615,0.0,1.282
2009-08-01,97.525,-8.1349,-2.0106,-2.131,-2.7497
2009-09-01,97.525,-7.769,0.0,-4.2055,-1.2834
2009-10-01,97.7357,-7.4775,0.216,-7.0039,-3.5655
2009-11-01,97.525,-3.6421,-0.2155,0.0,-1.0712
2009-12-01,97.6303,-3.6383,0.108,0.4326,-1.9138
2010-01-01,97.1037,-1.8104,-0.5394,-2.5612,-4.8085
2010-02-01,98.0516,-0.852,0.9761,2.1774,1.0828
2010-03-01,99.2101,1.073,1.1815,6.6313,3.4856
2010-04-01,97.1037,-2.4339,-2.1231,0.0,-1.2889
2010-05-01,97.1037,-0.9667,0.0,-3.8111,-0.8621
2010-06-01,95.7346,-2.8846,-1.41,-13.2934,-3.8458
2010-07-01,94.892,-4.6561,-0.8801,-8.8041,-4.5034
2010-08-01,94.7867,-2.8078,-0.111,-9.2083,-6.5486
2010-09-01,93.9442,-3.6717,-0.8889,-7.2735,-10.334
2010-10-01,95.6293,-2.1552,1.7937,3.1441,-3.0138
2010-11-01,93.7335,-3.8877,-1.9824,-4.3709,-6.821
2010-12-01,92.891,-4.8544,-0.8989,-4.4094,-5.8524
2011-01-01,93.8389,-3.3623,1.0204,-7.2813,-2.2074
2011-02-01,91.2059,-6.9818,-2.8058,-10.358,-7.4129
2011-03-01,90.6793,-8.5987,-0.5774,-9.189,-6.8299
2011-04-01,90.0474,-7.2668,-0.6969,-15.2082,-11.3333
2011-05-01,90.8899,-6.3991,0.9357,-1.3785,-5.9754
2011-06-01,91.1006,-4.8405,0.2318,1.8713,-3.8177
2011-07-01,90.7846,-4.3285,-0.3468,3.3153,-6.4036
2011-08-01,90.7846,-4.2222,0.0,-0.4627,-0.9216
2011-09-01,91.1006,-3.0269,0.348,0.0,0.9313
2011-10-01,90.7846,-5.0661,-0.3468,0.0,1.6441
2011-11-01,91.2059,-2.6966,0.464,1.8691,0.6964
2011-12-01,92.0484,-0.907,0.9238,4.2273,2.0918
2012-01-01,91.9431,-2.0202,-0.1144,5.203,2.5685
2012-02-01,91.2059,0.0,-0.8018,0.0,0.9302
2012-03-01,91.5218,0.9291,0.3464,-2.2688,0.927
2012-04-01,91.7325,1.8713,0.2302,-0.9132,2.0991
2012-05-01,92.4697,1.7381,0.8037,5.659,2.7906
2012-06-01,91.2059,0.1156,-1.3668,-1.3738,-1.8223
2012-07-01,93.3123,2.7842,2.3095,7.0686,3.0004
2012-08-01,92.575,1.9722,-0.7901,0.4564,3.0249
2012-09-01,90.258,-0.9249,-2.5028,-4.0927,-2.7427
2012-10-01,90.8899,0.116,0.7001,-9.9864,-1.8285
2012-11-01,91.6272,0.4619,0.8111,-4.0331,-1.814
2012-12-01,92.7857,0.8009,1.2644,11.6813,3.4942
2013-01-01,91.5218,-0.4582,-1.3621,2.8101,-3.8007
2013-02-01,91.9431,0.8083,0.4603,1.3865,-1.3605
2013-03-01,92.9963,1.6111,1.1455,0.9112,6.1597
2013-04-01,92.891,1.2629,-0.1133,6.1195,4.4517
2013-05-01,93.207,0.7973,0.3401,5.6127,3.478
2013-06-01,94.2601,3.3487,1.1299,5.5478,3.2035
2013-07-01,94.2601,1.0158,0.0,6.0273,6.0734
2013-08-01,93.7335,1.2514,-0.5587,2.2791,3.9325
2013-09-01,94.9974,5.2509,1.3483,3.1654,4.3498
2013-10-01,94.4708,3.9397,-0.5543,0.8968,3.4303
2013-11-01,94.5761,3.2184,0.1115,3.6443,2.9594
2013-12-01,94.5761,1.9296,0.0,-1.7621,0.6715
2014-01-01,94.7867,3.5673,0.2227,1.3445,1.1204
2014-02-01,95.3133,3.6655,0.5556,3.1546,3.3992
2014-03-01,94.5761,1.6988,-0.7735,0.0,-0.8849
2014-04-01,94.9974,2.2676,0.4454,0.8919,1.1179
