date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,91.538,,,,
2000-02-01,91.8239,,0.3123,,
2000-03-01,92.1504,,0.3556,,
2000-04-01,92.6989,,0.5952,5.1702,
2000-05-01,92.9499,,0.2708,4.996,
2000-06-01,92.9862,,0.0391,3.6776,
2000-07-01,92.8048,,-0.1951,0.4577,2.787
2000-08-01,92.5521,,-0.2723,-1.7009,1.5924
2000-09-01,92.9792,,0.4615,-0.0301,1.8069
2000-10-01,92.6179,,-0.3886,-0.8031,-0.1747
2000-11-01,92.6438,,0.028,0.3969,-0.6575
2000-12-01,92.3415,,-0.3263,-2.7153,-1.3819
2001-01-01,91.902,0.3976,-0.476,-3.0562,-1.9361
2001-02-01,91.3034,-0.5668,-0.6513,-5.6629,-2.6802
2001-03-01,91.1162,-1.1223,-0.205,-5.203,-3.9672
2001-04-01,90.7891,-2.0602,-0.359,-4.7566,-3.9101
2001-05-01,90.3555,-2.7912,-0.4776,-4.0885,-4.879
2001-06-01,89.8784,-3.3422,-0.528,-5.3242,-5.2636
2001-07-01,89.3028,-3.7735,-0.6404,-6.3893,-5.5765
2001-08-01,89.2003,-3.6215,-0.1148,-5.0168,-4.5538
2001-09-01,88.7485,-4.5502,-0.5065,-4.9345,-5.1296
2001-10-01,88.5052,-4.4405,-0.2741,-3.525,-4.9679
2001-11-01,87.97,-5.0449,-0.6047,-5.4039,-5.2106
2001-12-01,87.9324,-4.7748,-0.0427,-3.6278,-4.2834
2002-01-01,88.5176,-3.6826,0.6655,0.0561,-1.7508
2002-02-01,88.5278,-3.04,0.0115,2.5605,-1.5022
2002-03-01,89.1686,-2.1375,0.7238,5.7431,0.949
2002-04-01,89.604,-1.3053,0.4883,5.0004,2.4984
2002-05-01,89.964,-0.4333,0.4018,6.6489,4.5847
2002-06-01,90.7061,0.9209,0.8249,7.0775,6.4082
2002-07-01,90.6769,1.5387,-0.0322,4.8762,4.9383
2002-08-01,90.5762,1.5425,-0.1111,2.7499,4.6812
2002-09-01,90.6531,2.1461,0.0849,-0.2335,3.3574
2002-10-01,90.4643,2.2135,-0.2083,-0.9345,1.9294
2002-11-01,90.9711,3.4115,0.5602,1.7554,2.2514
2002-12-01,90.4652,2.8804,-0.5561,-0.8265,-0.5305
2003-01-01,91.2361,3.0711,0.8522,3.4565,1.2372
2003-02-01,91.3445,3.1817,0.1188,1.652,1.7037
2003-03-01,91.1044,2.1709,-0.2629,2.8564,0.9981
2003-04-01,90.5617,1.0688,-0.5957,-2.9241,0.2154
2003-05-01,90.537,0.6369,-0.0273,-3.4895,-0.9521
2003-06-01,90.6527,-0.0589,0.1278,-1.9685,0.415
2003-07-01,91.1185,0.487,0.5138,2.4821,-0.2576
2003-08-01,90.9197,0.3792,-0.2182,1.7016,-0.9279
2003-09-01,91.5059,0.9407,0.6447,3.8182,0.8833
2003-10-01,91.6186,1.276,0.1232,2.2135,2.3477
2003-11-01,92.2329,1.387,0.6705,5.9038,3.7814
2003-12-01,92.2602,1.9842,0.0296,3.3383,3.5779
2004-01-01,92.4006,1.2764,0.1522,3.4581,2.8339
2004-02-01,92.958,1.7664,0.6032,3.1819,4.534
2004-03-01,92.5861,1.6264,-0.4001,1.4205,2.3749
2004-04-01,92.93,2.6151,0.3714,2.3115,2.8832
2004-05-01,93.6013,3.3846,0.7224,2.797,2.9893
2004-06-01,92.871,2.447,-0.7802,1.2365,1.3285
2004-07-01,93.5649,2.6849,0.7472,2.7609,2.536
2004-08-01,93.6277,2.9785,0.0671,0.1129,1.4461
2004-09-01,93.7467,2.4488,0.1271,3.8254,2.5228
2004-10-01,94.5465,3.1957,0.8532,4.2629,3.5092
2004-11-01,94.7813,2.763,0.2483,5.0203,2.5372
2004-12-01,95.5365,3.5512,0.7968,7.8582,5.8226
2005-01-01,95.8801,3.7657,0.3597,5.7626,5.0101
2005-02-01,96.5761,3.8922,0.7259,7.7924,6.3973
2005-03-01,96.4456,4.1686,-0.1351,3.861,5.8407
2005-04-01,96.6532,4.0065,0.2153,3.2645,4.5061
2005-05-01,96.7402,3.3535,0.09,0.6814,4.1762
2005-06-01,97.1753,4.6347,0.4498,3.0609,3.4602
2005-07-01,96.8676,3.5298,-0.3166,0.8903,2.0705
2005-08-01,97.1833,3.7976,0.3259,1.8447,1.2614
