date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,7077.71,,,,,,,100.0,-88.9655
2000-01-04,6675.27,-5.686,,,,,,94.314,-89.5929
2000-01-05,6764.3101,1.3339,,,,,,95.572,-89.4541
2000-01-06,6751.6499,-0.1872,,,,,,95.3931,-89.4738
2000-01-07,7047.0898,4.3758,,,,,,99.5674,-89.0132
2000-01-10,7333.7002,4.0671,3.6169,,,,,103.6169,-88.5663
2000-01-11,7143.1299,-2.5986,7.0089,,,,,100.9243,-88.8635
2000-01-12,7174.1001,0.4336,6.0581,,,,,101.3619,-88.8152
2000-01-13,7274.52,1.3998,7.7443,,,,,102.7807,-88.6586
2000-01-14,7381.4902,1.4705,4.7452,,,,,104.2921,-88.4918
2000-01-17,7447.1201,0.8891,1.5466,,,,,105.2193,-88.3895
2000-01-18,7303.3198,-1.931,2.2426,,,,,103.1876,-88.6137
2000-01-19,7171.2002,-1.809,-0.0404,,,,,101.3209,-88.8197
2000-01-20,7036.79,-1.8743,-3.268,,,,,99.4218,-89.0292
2000-01-21,6890.7798,-2.075,-6.6479,,,,,97.3589,-89.2569
2000-01-24,6855.3501,-0.5142,-7.9463,,,,,96.8583,-89.3121
2000-01-25,6885.8799,0.4453,-5.7158,,,,,97.2897,-89.2645
2000-01-26,6918.9399,0.4801,-3.5177,,,,,97.7568,-89.213
2000-01-27,6854.3901,-0.9329,-2.5921,,,,,96.8447,-89.3136
2000-01-28,6648.48,-3.0041,-3.5163,,,,,93.9355,-89.6346
2000-01-31,6585.6699,-0.9447,-3.9339,,,,,93.048,-89.7326
2000-02-01,6740.52,2.3513,-2.111,-4.7641,,,,95.2359,-89.4911
2000-02-02,6769.8101,0.4345,-2.1554,1.4163,,,,95.6497,-89.4455
2000-02-03,7043.1001,4.0369,2.7531,4.1215,,,,99.511,-89.0194
2000-02-04,7236.54,2.7465,8.845,7.1818,,,,102.2441,-88.7178
2000-02-07,7592.5698,4.9199,15.2893,7.7405,,,,107.2744,-88.1628
2000-02-08,7583.5098,-0.1193,12.5063,3.4063,,,,107.1464,-88.1769
2000-02-09,7469.1602,-1.5079,10.3304,4.5642,,,,105.5307,-88.3552
2000-02-10,7723.8599,3.41,9.6656,7.6631,,,,109.1294,-87.9581
2000-02-11,7623.4702,-1.2997,5.3469,4.7969,,,,107.711,-88.1146
2000-02-14,7558.23,-0.8558,-0.4523,2.3944,,,,106.7892,-88.2163
2000-02-15,7574.6401,0.2171,-0.117,1.7123,,,,107.0211,-88.1907
