date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-07-17,251.5,,,,,,,100.0,-30.8116
2000-07-18,253.3,0.7157,,,,,,100.7157,-30.3164
2000-07-19,253.7,0.1579,,,,,,100.8748,-30.2063
2000-07-20,243.7,-3.9417,,,,,,96.8986,-32.9574
2000-07-21,249.4,2.3389,,,,,,99.165,-31.3893
2000-07-24,252.0,1.0425,0.1988,,,,,100.1988,-30.674
2000-07-25,253.6,0.6349,0.1184,,,,,100.835,-30.2338
2000-07-26,259.5,2.3265,2.2862,,,,,103.1809,-28.6107
2000-07-27,256.7,-1.079,5.3344,,,,,102.0676,-29.381
2000-07-28,253.2,-1.3635,1.5237,,,,,100.6759,-30.3439
2000-07-31,250.0,-1.2638,-0.7937,,,,,99.4036,-31.2242
2000-08-01,246.4,-1.44,-2.8391,,,,,97.9722,-32.2146
2000-08-02,243.9,-1.0146,-6.0116,,,,,96.9781,-32.9023
2000-08-03,240.3,-1.476,-6.3888,,,,,95.5467,-33.8927
2000-08-04,239.4,-0.3745,-5.4502,,,,,95.1889,-34.1403
2000-08-07,236.2,-1.3367,-5.52,,,,,93.9165,-35.0206
2000-08-08,237.5,0.5504,-3.612,,,,,94.4334,-34.663
2000-08-09,243.2,2.4,-0.287,,,,,96.6998,-33.0949
2000-08-10,247.7,1.8503,3.0795,,,,,98.4891,-31.8569
2000-08-11,237.7,-4.0371,-0.7101,,,,,94.5129,-34.608
2000-08-14,236.4,-0.5469,0.0847,,,,,93.996,-34.9656
2000-08-15,236.6,0.0846,-0.3789,-5.9245,,,,94.0755,-34.9106
2000-08-16,236.5,-0.0423,-2.7549,-6.6325,,,,94.0358,-34.9381
2000-08-17,231.3,-2.1987,-6.6209,-8.8293,,,,91.9682,-36.3686
2000-08-18,231.5,0.0865,-2.6083,-5.0062,,,,92.0477,-36.3136
2000-08-21,232.6,0.4752,-1.6074,-6.7362,,,,92.4851,-36.011
2000-08-22,228.2,-1.8917,-3.5503,-9.4444,,,,90.7356,-37.2215
2000-08-23,227.3,-0.3944,-3.8901,-10.3707,,,,90.3777,-37.4691
2000-08-24,229.0,0.7479,-0.9944,-11.7534,,,,91.0537,-37.0014
2000-08-25,223.8,-2.2707,-3.3261,-12.8165,,,,88.9861,-38.4319
2000-08-28,222.0,-0.8043,-4.5572,-12.3223,,,,88.2704,-38.9271
2000-08-29,215.3,-3.018,-5.6529,-13.88,,,,85.6064,-40.7703
2000-08-30,219.2,1.8114,-3.5636,-11.039,,,,87.1571,-39.6974
2000-08-31,221.8,1.1861,-3.1441,-9.0611,,,,88.1909,-38.9821
2000-09-01,216.5,-2.3895,-3.2618,-9.9043,,,,86.0835,-40.4402
2000-09-05,217.6,0.5081,-1.982,-9.1061,,,,86.5209,-40.1375
2000-09-06,217.5,-0.046,1.0218,-7.917,,,,86.4811,-40.1651
2000-09-07,216.5,-0.4598,-1.2318,-8.8421,,,,86.0835,-40.4402
2000-09-08,219.3,1.2933,-1.1271,-9.8273,,,,87.1968,-39.6699
2000-09-11,222.1,1.2768,2.5866,-10.3351,,,,88.3101,-38.8996
2000-09-12,222.7,0.2701,2.3437,-6.3105,,,,88.5487,-38.7345
2000-09-13,231.8,4.0862,6.5747,-1.9459,,,,92.167,-36.2311
2000-09-14,229.0,-1.2079,5.7737,-3.2122,,,,91.0537,-37.0014
2000-09-15,237.0,3.4934,8.0711,0.2114,,,,94.2346,-34.8006
2000-09-18,245.8,3.7131,10.6709,6.2689,,,,97.7336,-32.3796
2000-09-19,241.4,-1.7901,8.3969,4.2765,,,,95.9841,-33.5901
2000-09-20,238.3,-1.2842,2.8041,2.4506,,,,94.7515,-34.4429
