date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,12122040000000.0,,,,
2000-02-01,12158300000000.0,,0.2991,,
2000-03-01,12258070000000.0,,0.8206,,
2000-04-01,12412190000000.0,,1.2573,9.9236,
2000-05-01,12405330000000.0,,-0.0553,8.3782,
2000-06-01,12660530000000.0,,2.0572,13.7939,
2000-07-01,12632390000000.0,,-0.2223,7.2873,8.5974
2000-08-01,12779030000000.0,,1.1608,12.6052,10.4715
2000-09-01,13047380000000.0,,2.0999,12.7939,13.2928
2000-10-01,12952240000000.0,,-0.7292,10.5191,8.8912
2000-11-01,13099400000000.0,,1.1362,10.4114,11.5029
2000-12-01,13461030000000.0,,2.7607,13.2974,13.0454
2001-01-01,13754360000000.0,13.4657,2.1791,27.1692,18.5522
2001-02-01,13621020000000.0,12.0306,-0.9694,16.905,13.6118
2001-03-01,13874450000000.0,13.1863,1.8606,12.8626,13.0798
2001-04-01,13995000000000.0,12.7521,0.8689,7.184,16.7498
2001-05-01,13901590000000.0,12.0614,-0.6675,8.4974,12.6228
2001-06-01,14780970000000.0,16.7484,6.3258,28.8097,20.5728
2001-07-01,14922870000000.0,18.1318,0.96,29.276,17.7129
2001-08-01,14994180000000.0,17.3343,0.4779,35.3421,21.1787
2001-09-01,15182020000000.0,16.3607,1.2528,11.3029,19.7368
2001-10-01,15149730000000.0,16.9661,-0.2127,6.2209,17.1828
2001-11-01,15408830000000.0,17.63,1.7103,11.529,22.86
2001-12-01,15830190000000.0,17.6001,2.7345,18.2024,14.7008
2002-01-01,15966860000000.0,16.0858,0.8634,23.3839,14.4812
2002-02-01,16093560000000.0,18.1524,0.7935,18.9953,15.2017
2002-03-01,16406460000000.0,18.2494,1.9443,15.3759,16.7806
2002-04-01,16457060000000.0,17.5924,0.3084,12.8576,18.0035
2002-05-01,16606100000000.0,19.4547,0.9056,13.3606,16.1438
2002-06-01,16960120000000.0,14.7429,2.1319,14.1974,14.7851
2002-07-01,17085110000000.0,14.4894,0.737,16.1615,14.4976
2002-08-01,17325090000000.0,15.5454,1.4046,18.4763,15.8902
2002-09-01,17698240000000.0,16.5737,2.1538,18.5781,16.3671
2002-10-01,17729420000000.0,17.028,0.1762,15.9597,16.0605
2002-11-01,17973630000000.0,16.645,1.3774,15.8354,17.1484
2002-12-01,18500730000000.0,16.8699,2.9326,19.4085,18.9926
2003-01-01,19018830000000.0,19.1144,2.8004,32.4211,23.9173
2003-02-01,19010840000000.0,18.127,-0.042,25.159,20.407
2003-03-01,19448730000000.0,18.5431,2.3034,22.1264,20.7598
2003-04-01,19613010000000.0,19.1769,0.8447,13.0946,22.3769
2003-05-01,19950520000000.0,20.1397,1.7208,21.2863,23.2074
2003-06-01,20493140000000.0,20.8313,2.7198,23.2733,22.6985
2003-07-01,20619310000000.0,20.6858,0.6157,22.1573,17.5386
2003-08-01,21059190000000.0,21.5531,2.1333,24.1509,22.7102
2003-09-01,21356710000000.0,20.6714,1.4128,17.9515,20.583
2003-10-01,21446940000000.0,20.9681,0.4225,17.0482,19.5755
2003-11-01,21635170000000.0,20.3717,0.8777,11.3973,17.6013
2003-12-01,22122280000000.0,19.5752,2.2515,15.1283,16.5313
2004-01-01,22510190000000.0,18.3574,1.7535,21.3543,19.1818
2004-02-01,22705070000000.0,19.4322,0.8657,21.297,16.2418
2004-03-01,23165460000000.0,19.1104,2.0277,20.2387,17.6557
2004-04-01,23362790000000.0,19.1188,0.8518,16.0332,18.6639
2004-05-01,23484240000000.0,17.7124,0.5198,14.4497,17.8236
2004-06-01,23842750000000.0,16.345,1.5266,12.2178,16.159
2004-07-01,23812700000000.0,15.4874,-0.126,7.9284,11.9074
2004-08-01,23972920000000.0,13.8359,0.6728,8.587,11.4798
2004-09-01,24375690000000.0,14.136,1.6801,9.2452,10.7215
2004-10-01,24374030000000.0,13.6481,-0.0068,9.7678,8.8442
2004-11-01,24713560000000.0,14.2286,1.393,12.9425,10.7433
2004-12-01,25320770000000.0,14.4582,2.457,16.434,12.7823
2005-01-01,25770850000000.0,14.4853,1.7775,24.97,17.1225
2005-02-01,25935730000000.0,14.2288,0.6398,21.2977,17.0456
2005-03-01,26458890000000.0,14.217,2.0171,19.2282,17.8228
2005-04-01,26699270000000.0,14.2812,0.9085,15.208,19.9897
2005-05-01,26924050000000.0,14.6473,0.8419,16.1362,18.6889
2005-06-01,27578550000000.0,15.6685,2.4309,18.0319,18.6285
2005-07-01,27696630000000.0,16.3103,0.4282,15.8004,15.5038
2005-08-01,28128820000000.0,17.3358,1.5604,19.1364,17.6267
2005-09-01,28743830000000.0,17.9201,2.1864,18.0029,18.0174
2005-10-01,28759160000000.0,17.991,0.0533,16.2511,16.0255
2005-11-01,29235040000000.0,18.2955,1.6547,16.6833,17.9035
2005-12-01,29875550000000.0,17.9883,2.1909,16.7038,17.3516
2006-01-01,30353860000000.0,17.7837,1.601,24.094,20.1086
2006-02-01,30451630000000.0,17.4119,0.3221,17.7138,17.1974
2006-03-01,31049070000000.0,17.3483,1.9619,16.6624,16.6831
2006-04-01,31370180000000.0,17.4945,1.0342,14.0807,18.9821
2006-05-01,31670980000000.0,17.6308,0.9589,17.0048,17.3588
2006-06-01,32275640000000.0,17.0317,1.9092,16.763,16.7126
2006-07-01,32401080000000.0,16.9856,0.3887,13.8072,13.9439
2006-08-01,32788570000000.0,16.5658,1.1959,14.8799,15.9375
2006-09-01,33186540000000.0,15.4562,1.2137,11.776,14.2423
2006-10-01,33274720000000.0,15.7013,0.2657,11.2294,12.511
2006-11-01,33750420000000.0,15.4451,1.4296,12.2605,13.5626
2006-12-01,34557790000000.0,15.6725,2.3922,17.5807,14.6416
2007-01-01,35149880000000.0,15.8004,1.7133,24.5196,17.6871
2007-02-01,35865930000000.0,17.78,2.0371,27.5298,19.6518
2007-03-01,36410470000000.0,17.2675,1.5183,23.2314,20.3729
2007-04-01,36732650000000.0,17.0942,0.8849,19.2652,21.8641
2007-05-01,36971820000000.0,16.7372,0.6511,12.9159,20.0006
2007-06-01,37783220000000.0,17.0642,2.1946,15.9553,19.538
2007-07-01,38388490000000.0,18.479,1.602,19.2875,19.2764
2007-08-01,38720500000000.0,18.0915,0.8649,20.3041,16.5515
2007-09-01,39309890000000.0,18.4513,1.5222,17.1687,16.5604
2007-10-01,39420420000000.0,18.4696,0.2812,11.1939,15.1696
2007-11-01,39975790000000.0,18.4453,1.4088,13.612,16.9102
2007-12-01,40340130000000.0,16.7324,0.9114,10.9026,13.9926
2008-01-01,41784617000000.0,18.8756,3.5808,26.2353,18.4761
2008-02-01,42103784000000.0,17.3921,0.7638,23.0542,18.2389
2008-03-01,42305453000000.0,16.1904,0.479,20.9585,15.8215
2008-04-01,42931372000000.0,16.8752,1.4795,11.438,18.6061
2008-05-01,43622160000000.0,17.9876,1.6091,15.2243,19.0749
2008-06-01,44314102000000.0,17.2851,1.5862,20.3878,20.6728
2008-07-01,44636217000000.0,16.275,0.7269,16.8558,14.1148
2008-08-01,44884668000000.0,15.9196,0.5566,12.0891,13.6459
2008-09-01,45289871000000.0,15.2124,0.9028,9.103,14.6066
2008-10-01,45313332000000.0,14.9489,0.0518,6.2073,11.4044
2008-11-01,45864466000000.0,14.7306,1.2163,9.0218,10.5448
2008-12-01,47516660000000.0,17.7901,3.6023,21.1656,14.9762
2009-01-01,49613530776673.4,18.7364,4.4129,43.7132,23.5451
2009-02-01,50670807000000.0,20.3474,2.131,48.9793,27.4441
2009-03-01,53062671177858.3,25.4275,4.7204,55.5152,37.2701
2009-04-01,54048121372903.3,25.8942,1.8571,40.8387,42.2686
2009-05-01,54823076550114.2,25.6771,1.4338,37.0321,42.8809
2009-06-01,56894792000000.0,28.3898,3.7789,32.1702,43.3683
2009-07-01,57310280000000.0,28.3941,0.7303,26.4176,33.4335
2009-08-01,57669900000000.0,28.4846,0.6275,22.4456,29.5337
2009-09-01,58540530000000.0,29.2574,1.5097,12.0822,21.7125
2009-10-01,58664330000000.0,29.4637,0.2115,9.7909,17.8113
2009-11-01,59460470000000.0,29.6439,1.3571,13.0099,17.6332
2009-12-01,60622500655155.59,27.5816,1.9543,15.0029,13.5331
2010-01-01,62560929175401.2,26.0965,3.1975,29.3351,19.163
2010-02-01,63607226457206.71,25.5303,1.6724,30.9521,21.6507
2010-03-01,64994746426638.3,22.4868,2.1814,32.1228,23.266
