date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,626853100000000.0,,,,
2000-02-01,620400300000000.0,,-1.0294,,
2000-03-01,623851900000000.0,,0.5564,,
2000-04-01,633095900000000.0,,1.4818,4.0435,
2000-05-01,630464400000000.0,,-0.4157,6.6484,
2000-06-01,629274500000000.0,,-0.1887,3.5224,
2000-07-01,632664200000000.0,,0.5387,-0.2725,1.8626
2000-08-01,630220700000000.0,,-0.3862,-0.1545,3.1909
2000-09-01,627128500000000.0,,-0.4907,-1.3571,1.0532
2000-10-01,628894500000000.0,,0.2816,-2.3622,-1.3229
2000-11-01,628384300000000.0,,-0.0811,-1.1605,-0.6588
2000-12-01,640175700000000.0,,1.8765,8.5852,3.4947
2001-01-01,640458100000000.0,2.1704,0.0441,7.5602,2.479
2001-02-01,636337900000000.0,2.5689,-0.6433,5.1598,1.9507
2001-03-01,639252400000000.0,2.4686,0.458,-0.5757,3.9039
2001-04-01,647820700000000.0,2.3258,1.3404,4.6782,6.1094
2001-05-01,647165000000000.0,2.6489,-0.1012,6.9816,6.0668
2001-06-01,647315300000000.0,2.8669,0.0232,5.1415,2.243
2001-07-01,651374900000000.0,2.9574,0.6271,2.2127,3.4381
2001-08-01,648809500000000.0,2.9496,-0.3938,1.0203,3.9582
2001-09-01,647134900000000.0,3.1902,-0.2581,-0.1114,2.4814
2001-10-01,647099900000000.0,2.8948,-0.0054,-2.5995,-0.2224
2001-11-01,647546500000000.0,3.0494,0.069,-0.7764,0.1179
2001-12-01,661315600000000.0,3.3022,2.1263,9.0576,4.3724
2002-01-01,662789200000000.0,3.4867,0.2228,10.0567,3.5354
2002-02-01,658715600000000.0,3.5166,-0.6146,7.0799,3.0769
2002-03-01,662835100000000.0,3.6891,0.6254,0.9222,4.9111
2002-04-01,670732600000000.0,3.5368,1.1915,4.8808,7.4376
2002-05-01,669639700000000.0,3.4728,-0.1629,6.8004,6.9401
2002-06-01,669187800000000.0,3.379,-0.0675,3.8891,2.3949
2002-07-01,672710900000000.0,3.2755,0.5265,1.185,3.0163
2002-08-01,670921700000000.0,3.4081,-0.266,0.768,3.7404
2002-09-01,668093900000000.0,3.2387,-0.4215,-0.6523,1.5931
2002-10-01,668564500000000.0,3.317,0.0704,-2.4428,-0.6454
2002-11-01,668521000000000.0,3.2391,-0.0065,-1.4236,-0.3338
2002-12-01,675654000000000.0,2.1682,1.067,4.6038,1.9419
2003-01-01,675662300000000.0,1.9423,0.0012,4.3147,0.8794
2003-02-01,671495200000000.0,1.9401,-0.6167,1.7915,0.171
2003-03-01,674083700000000.0,1.697,0.3855,-0.9264,1.8011
2003-04-01,676706700000000.0,0.8907,0.3891,0.6197,2.4506
2003-05-01,677086900000000.0,1.1121,0.0562,3.3727,2.5791
2003-06-01,677755000000000.0,1.2802,0.0987,2.1964,0.6229
2003-07-01,681305500000000.0,1.2776,0.5239,2.7462,1.6774
2003-08-01,680734400000000.0,1.4626,-0.0838,2.1723,2.7708
2003-09-01,676845900000000.0,1.31,-0.5712,-0.5355,0.8212
2003-10-01,675573100000000.0,1.0483,-0.188,-3.3233,-0.3348
2003-11-01,675728400000000.0,1.0781,0.023,-2.9092,-0.4009
2003-12-01,682584000000000.0,1.0257,1.0145,3.4344,1.4301
2004-01-01,683311900000000.0,1.1322,0.1066,4.6614,0.5899
2004-02-01,679776700000000.0,1.2333,-0.5174,2.418,-0.2812
2004-03-01,682591600000000.0,1.2621,0.4141,0.0045,1.705
2004-04-01,689188300000000.0,1.8445,0.9664,3.4846,4.0713
2004-05-01,690384300000000.0,1.9639,0.1735,6.3894,4.3848
2004-06-01,689482400000000.0,1.7303,-0.1306,4.0996,2.0315
2004-07-01,693787500000000.0,1.8321,0.6244,2.6962,3.0896
