date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,850119000000.0,,,,
2000-02-01,863968000000.0,,1.6291,,
2000-03-01,881540000000.0,,2.0339,,
2000-04-01,886139000000.0,,0.5217,18.0561,
2000-05-01,903250000000.0,,1.931,19.4652,
2000-06-01,912916000000.0,,1.0701,15.0152,
2000-07-01,910674000000.0,,-0.2456,11.5435,14.7536
2000-08-01,920493000000.0,,1.0782,7.8574,13.513
2000-09-01,917183000000.0,,-0.3596,1.8828,8.25
2000-10-01,930801000000.0,,1.4848,9.1379,10.3342
2000-11-01,938232000000.0,,0.7983,7.9342,7.8958
2000-12-01,950022000000.0,,1.2566,15.1094,8.2943
2001-01-01,962177000000.0,13.1814,1.2794,14.1807,11.6308
2001-02-01,957933000000.0,10.876,-0.4411,8.6675,8.3002
2001-03-01,978764000000.0,11.0289,2.1746,12.662,13.8791
2001-04-01,983219000000.0,10.9554,0.4552,9.0388,11.5801
2001-05-01,981803000000.0,8.6967,-0.144,10.3461,9.5036
2001-06-01,988369000000.0,8.2651,0.6688,3.9835,8.2358
2001-07-01,1000458000000.0,9.8591,1.2231,7.1999,8.1155
2001-08-01,1011881000000.0,9.9282,1.1418,12.8289,11.5806
2001-09-01,1014775000000.0,10.6404,0.286,11.1226,7.4938
2001-10-01,1028339000000.0,10.4789,1.3367,11.622,9.3886
2001-11-01,1034894000000.0,10.3026,0.6374,9.4122,11.1074
2001-12-01,1036604000000.0,9.1137,0.1652,8.8861,9.9987
2002-01-01,1022543000000.0,6.2739,-1.3564,-2.2355,4.4637
2002-02-01,1028919000000.0,7.4103,0.6235,-2.2895,3.3959
2002-03-01,1035003000000.0,5.7459,0.5913,-0.6164,4.0264
2002-04-01,1034738000000.0,5.2398,-0.0256,4.8565,1.2484
2002-05-01,1044387000000.0,6.3744,0.9325,6.1503,1.843
2002-06-01,1040871000000.0,5.312,-0.3367,2.2872,0.825
2002-07-01,1043033000000.0,4.2556,0.2077,3.2454,4.0478
2002-08-01,1053871000000.0,4.1497,1.0391,3.6821,4.9089
2002-09-01,1063211000000.0,4.7731,0.8863,8.8655,5.5251
2002-10-01,1071471000000.0,4.1943,0.7769,11.3601,7.226
2002-11-01,1077224000000.0,4.0903,0.5369,9.1627,6.3871
2002-12-01,1076876000000.0,3.885,-0.0323,5.241,7.0379
2003-01-01,1073593000000.0,4.9925,-0.3049,0.7945,5.9457
2003-02-01,1090527000000.0,5.9876,1.5773,5.032,7.0774
2003-03-01,1084047000000.0,4.7385,-0.5942,2.6904,3.9579
2003-04-01,1094720000000.0,5.7968,0.9846,8.1069,4.3867
2003-05-01,1088326000000.0,4.2072,-0.5841,-0.8049,2.0718
2003-06-01,1106390000000.0,6.2946,1.6598,8.5027,5.5565
2003-07-01,1114049000000.0,6.8086,0.6923,7.2519,7.6786
2003-08-01,1119660000000.0,6.2426,0.5037,12.0234,5.4143
2003-09-01,1128293000000.0,6.1213,0.771,8.157,8.3297
2003-10-01,1136863000000.0,6.103,0.7596,8.4465,7.8475
2003-11-01,1148039000000.0,6.5738,0.9831,10.5304,11.2744
2003-12-01,1166857000000.0,8.3557,1.6391,14.3887,11.2292
2004-01-01,1199043000000.0,11.6851,2.7583,23.739,15.8406
2004-02-01,1189444000000.0,9.0706,-0.8006,15.2257,12.8537
2004-03-01,1199415000000.0,10.6423,0.8383,11.6368,13.0044
2004-04-01,1210206000000.0,10.5494,0.8997,3.7763,13.3189
2004-05-01,1206794000000.0,10.8853,-0.2819,5.9636,10.4976
2004-06-01,1226163000000.0,10.8256,1.605,9.2232,10.4234
2004-07-01,1226647000000.0,10.1071,0.0395,5.5459,4.6573
2004-08-01,1241862000000.0,10.9142,1.2404,12.1401,9.0081
2004-09-01,1239589000000.0,9.8641,-0.183,4.4523,6.8111
2004-10-01,1251840000000.0,10.1135,0.9883,8.4718,6.9988
2004-11-01,1265478000000.0,10.2295,1.0894,7.8264,9.9621
2004-12-01,1273826000000.0,9.1673,0.6597,11.514,7.9254
2005-01-01,1288839000000.0,7.489,1.1786,12.3568,10.3972
2005-02-01,1291911000000.0,8.6147,0.2384,8.6205,8.2227
2005-03-01,1304387000000.0,8.7519,0.9657,9.9475,10.728
2005-04-01,1317186000000.0,8.8398,0.9812,9.0922,10.7125
2005-05-01,1336052000000.0,10.7109,1.4323,14.3834,11.4647
