date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,4666.1,,,,
2000-02-01,4678.7,,0.27,,
2000-03-01,4709.1,,0.6498,,
2000-04-01,4766.4,,1.2168,8.8794,
2000-05-01,4757.5,,-0.1867,6.909,
2000-06-01,4775.8,,0.3847,5.7871,
2000-07-01,4793.4,,0.3685,2.2852,5.5308
2000-08-01,4820.4,,0.5633,5.3943,6.149
2000-09-01,4855.9,,0.7365,6.8795,6.3319
2000-10-01,4871.4,,0.3192,6.6696,4.4544
2000-11-01,4882.6,,0.2299,5.2622,5.3282
2000-12-01,4927.3,,0.9155,6.0125,6.4451
2001-01-01,4976.8,6.6587,1.0046,8.9396,7.7986
2001-02-01,5014.9,7.1858,0.7656,11.287,8.2327
2001-03-01,5072.2,7.7106,1.1426,12.2922,9.1072
2001-04-01,5137.9,7.7941,1.2953,13.5905,11.2407
2001-05-01,5139.1,8.021,0.0234,10.2806,10.7827
2001-06-01,5182.3,8.5117,0.8406,8.9694,10.6183
2001-07-01,5212.0,8.7328,0.5731,5.8949,9.6752
2001-08-01,5244.4,8.796,0.6216,8.4513,9.3622
2001-09-01,5355.9,10.2968,2.1261,14.0879,11.4993
2001-10-01,5344.0,9.7015,-0.2222,10.5219,8.1836
2001-11-01,5387.5,10.3408,0.814,11.3694,9.9007
2001-12-01,5440.1,10.4073,0.9763,6.4382,10.1967
2002-01-01,5459.6,9.701,0.3584,8.9375,9.7268
2002-02-01,5488.4,9.4419,0.5275,7.7045,9.5216
2002-03-01,5499.8,8.4303,0.2077,4.4624,5.4457
2002-04-01,5501.3,7.0729,0.0273,3.0904,5.9736
2002-05-01,5530.1,7.6083,0.5235,3.0739,5.3638
2002-06-01,5555.3,7.1976,0.4557,4.098,4.2801
2002-07-01,5597.6,7.3983,0.7614,7.188,5.1192
2002-08-01,5638.5,7.5147,0.7307,8.0743,5.5445
2002-09-01,5662.9,5.732,0.4327,7.9756,6.0191
2002-10-01,5707.3,6.7983,0.7841,8.0725,7.6294
2002-11-01,5758.0,6.877,0.8883,8.7508,8.412
2002-12-01,5779.0,6.2297,0.3647,8.4564,8.2157
2003-01-01,5811.1,6.4382,0.5555,7.4758,7.7737
2003-02-01,5846.8,6.5301,0.6143,6.313,7.525
2003-03-01,5866.3,6.6639,0.3335,6.1809,7.3126
2003-04-01,5904.9,7.3364,0.658,6.6146,7.0443
2003-05-01,5967.0,7.9004,1.0517,8.4804,7.3912
2003-06-01,6003.9,8.0752,0.6184,9.7177,7.9348
2003-07-01,6050.4,8.0892,0.7745,10.2265,8.4055
2003-08-01,6107.0,8.3089,0.9355,9.7204,9.0986
2003-09-01,6080.0,7.3655,-0.4421,5.1672,7.4184
2003-10-01,6070.2,6.3585,-0.1612,1.3154,5.6771
2003-11-01,6075.5,5.5141,0.0873,-2.0473,3.6697
2003-12-01,6073.5,5.096,-0.0329,-0.4269,2.3319
2004-01-01,6081.3,4.6497,0.1284,0.7335,1.024
2004-02-01,6120.7,4.6846,0.6479,3.0093,0.4492
2004-03-01,6156.3,4.9435,0.5816,5.5657,2.5256
2004-04-01,6198.5,4.9721,0.6855,7.9346,4.2719
2004-05-01,6277.2,5.1986,1.2697,10.6266,6.75
2004-06-01,6279.3,4.587,0.0335,8.2345,6.8918
2004-07-01,6292.3,3.9981,0.207,6.1919,7.0597
2004-08-01,6317.7,3.4501,0.4037,2.6059,6.5408
2004-09-01,6352.3,4.4786,0.5477,4.7319,6.4688
2004-10-01,6379.9,5.102,0.4345,5.6861,5.9387
2004-11-01,6406.3,5.4448,0.4138,5.7287,4.1556
2004-12-01,6424.3,5.7759,0.281,4.6115,4.6717
2005-01-01,6429.9,5.7323,0.0872,3.1719,4.4214
2005-02-01,6437.7,5.1791,0.1213,1.975,3.8349
2005-03-01,6446.6,4.7155,0.1382,1.3957,2.991
2005-04-01,6461.4,4.2413,0.2296,1.974,2.5712
2005-05-01,6480.6,3.2403,0.2971,2.6923,2.333
2005-06-01,6513.2,3.7249,0.503,4.1969,2.7868
2005-07-01,6545.1,4.0176,0.4898,5.2831,3.6154
2005-08-01,6576.7,4.0996,0.4828,6.0648,4.3649
2005-09-01,6610.2,4.0599,0.5094,6.0915,5.1399
2005-10-01,6644.0,4.1396,0.5113,6.1826,5.7319
2005-11-01,6660.6,3.9695,0.2498,5.2013,5.6322
