date,value,chg_1m
2000-01-07,639.0,
2000-01-14,642.0,3.0
2000-01-21,650.0,8.0
2000-01-28,649.0,-1.0
2000-02-04,649.0,0.0
2000-02-11,660.0,11.0
2000-02-18,662.0,2.0
2000-02-25,655.0,-7.0
2000-03-03,651.0,-4.0
2000-03-10,647.0,-4.0
2000-03-17,648.0,1.0
2000-03-24,647.0,-1.0
2000-03-31,647.0,0.0
2000-04-07,644.0,-3.0
2000-04-14,636.0,-8.0
2000-04-21,640.0,4.0
2000-04-28,637.0,-3.0
2000-05-05,652.0,15.0
2000-05-12,676.0,24.0
2000-05-19,688.0,12.0
2000-05-26,686.0,-2.0
2000-06-02,678.0,-8.0
2000-06-09,656.0,-22.0
2000-06-16,646.0,-10.0
2000-06-23,638.0,-8.0
2000-06-30,646.0,8.0
2000-07-07,640.0,-6.0
2000-07-14,633.0,-7.0
2000-07-21,645.0,12.0
2000-07-28,637.0,-8.0
2000-08-04,636.0,-1.0
2000-08-11,628.0,-8.0
2000-08-18,620.0,-8.0
2000-08-25,623.0,3.0
2000-09-01,620.0,-3.0
2000-09-08,618.0,-2.0
2000-09-15,612.0,-6.0
2000-09-22,614.0,2.0
2000-09-29,612.0,-2.0
2000-10-06,607.0,-5.0
2000-10-13,608.0,1.0
2000-10-20,607.0,-1.0
2000-10-27,592.0,-15.0
2000-11-03,597.0,5.0
2000-11-10,603.0,6.0
2000-11-17,597.0,-6.0
2000-11-24,597.0,0.0
2000-12-01,589.0,-8.0
2000-12-08,578.0,-11.0
2000-12-15,566.0,-12.0
2000-12-22,541.0,-25.0
2000-12-29,537.0,-4.0
2001-01-05,531.0,-6.0
2001-01-12,513.0,-18.0
2001-01-19,526.0,13.0
2001-01-26,539.0,13.0
2001-02-02,533.0,-6.0
2001-02-09,522.0,-11.0
2001-02-16,525.0,3.0
2001-02-23,536.0,11.0
2001-03-02,527.0,-9.0
2001-03-09,521.0,-6.0
2001-03-16,520.0,-1.0
2001-03-23,513.0,-7.0
2001-03-30,515.0,2.0
2001-04-06,525.0,10.0
2001-04-13,528.0,3.0
2001-04-20,538.0,10.0
2001-04-27,536.0,-2.0
2001-05-04,538.0,2.0
2001-05-11,534.0,-4.0
2001-05-18,538.0,4.0
2001-05-25,544.0,6.0
2001-06-01,548.0,4.0
2001-06-08,544.0,-4.0
2001-06-15,538.0,-6.0
2001-06-22,535.0,-3.0
2001-06-29,535.0,0.0
2001-07-06,543.0,8.0
2001-07-13,545.0,2.0
2001-07-20,532.0,-13.0
2001-07-27,527.0,-5.0
2001-08-03,524.0,-3.0
2001-08-10,524.0,0.0
2001-08-17,516.0,-8.0
2001-08-24,515.0,-1.0
2001-08-31,516.0,1.0
2001-09-07,513.0,-3.0
2001-09-14,510.0,-3.0
2001-09-21,504.0,-6.0
2001-09-28,496.0,-8.0
2001-10-05,488.0,-8.0
2001-10-12,482.0,-6.0
2001-10-19,485.0,3.0
2001-10-26,488.0,3.0
2001-11-02,480.0,-8.0
2001-11-09,469.0,-11.0
2001-11-16,475.0,6.0
2001-11-23,499.0,24.0
2001-11-30,526.0,27.0
2001-12-07,508.0,-18.0
2001-12-14,533.0,25.0
2001-12-21,541.0,8.0
2001-12-28,540.0,-1.0
2002-01-04,538.0,-2.0
2002-01-11,530.0,-8.0
2002-01-18,507.0,-23.0
2002-01-25,520.0,13.0
2002-02-01,526.0,6.0
2002-02-08,512.0,-14.0
2002-02-15,510.0,-2.0
2002-02-22,505.0,-5.0
2002-03-01,504.0,-1.0
2002-03-08,511.0,7.0
2002-03-15,532.0,21.0
2002-03-22,538.0,6.0
2002-03-29,542.0,4.0
2002-04-05,537.0,-5.0
2002-04-12,523.0,-14.0
2002-04-19,518.0,-5.0
2002-04-26,512.0,-6.0
2002-05-03,502.0,-10.0
2002-05-10,503.0,1.0
2002-05-17,513.0,10.0
2002-05-24,505.0,-8.0
2002-05-31,500.0,-5.0
2002-06-07,495.0,-5.0
2002-06-14,495.0,0.0
2002-06-21,487.0,-8.0
2002-06-28,479.0,-8.0
2002-07-05,481.0,2.0
2002-07-12,478.0,-3.0
2002-07-19,473.0,-5.0
2002-07-26,458.0,-15.0
2002-08-02,467.0,9.0
2002-08-09,455.0,-12.0
2002-08-16,446.0,-9.0
2002-08-23,451.0,5.0
2002-08-30,446.0,-5.0
2002-09-06,439.0,-7.0
2002-09-13,442.0,3.0
2002-09-20,429.0,-13.0
2002-09-27,423.0,-6.0
2002-10-04,425.0,2.0
2002-10-11,422.0,-3.0
2002-10-18,439.0,17.0
2002-10-25,455.0,16.0
2002-11-01,437.0,-18.0
2002-11-08,435.0,-2.0
2002-11-15,418.0,-17.0
2002-11-22,427.0,9.0
2002-11-29,437.0,10.0
2002-12-06,443.0,6.0
2002-12-13,428.0,-15.0
2002-12-20,427.0,-1.0
2002-12-27,417.0,-10.0
2003-01-03,409.0,-8.0
2003-01-10,419.0,10.0
2003-01-17,421.0,2.0
2003-01-24,415.0,-6.0
2003-01-31,414.0,-1.0
2003-02-07,412.0,-2.0
2003-02-14,410.0,-2.0
2003-02-21,408.0,-2.0
2003-02-28,403.0,-5.0
2003-03-07,391.0,-12.0
2003-03-14,385.0,-6.0
2003-03-21,403.0,18.0
2003-03-28,415.0,12.0
2003-04-04,403.0,-12.0
2003-04-11,409.0,6.0
2003-04-18,406.0,-3.0
2003-04-25,403.0,-3.0
2003-05-02,394.0,-9.0
2003-05-09,386.0,-8.0
2003-05-16,369.0,-17.0
2003-05-23,358.0,-11.0
2003-05-30,355.0,-3.0
2003-06-06,350.0,-5.0
2003-06-13,345.0,-5.0
2003-06-20,345.0,0.0
2003-06-27,348.0,3.0
2003-07-04,364.0,16.0
2003-07-11,376.0,12.0
2003-07-18,391.0,15.0
2003-07-25,418.0,27.0
2003-08-01,438.0,20.0
2003-08-08,458.0,20.0
2003-08-15,448.0,-10.0
2003-08-22,452.0,4.0
2003-08-29,456.0,4.0
2003-09-05,468.0,12.0
2003-09-12,440.0,-28.0
2003-09-19,425.0,-15.0
2003-09-26,422.0,-3.0
2003-10-03,401.0,-21.0
2003-10-10,419.0,18.0
2003-10-17,429.0,10.0
2003-10-24,429.0,0.0
2003-10-31,418.0,-11.0
2003-11-07,422.0,4.0
2003-11-14,427.0,5.0
2003-11-21,407.0,-20.0
2003-11-28,413.0,6.0
2003-12-05,426.0,13.0
2003-12-12,412.0,-14.0
2003-12-19,406.0,-6.0
2003-12-26,405.0,-1.0
2003-12-31,409.0,4.0
2004-01-08,411.0,2.0
2004-01-15,390.0,-21.0
2004-01-22,388.0,-2.0
2004-01-29,392.0,4.0
2004-02-05,396.0,4.0
2004-02-12,390.0,-6.0
2004-02-19,382.0,-8.0
2004-02-26,382.0,0.0
2004-03-04,383.0,1.0
2004-03-11,365.0,-18.0
2004-03-18,362.0,-3.0
2004-03-25,364.0,2.0
2004-04-01,376.0,12.0
2004-04-08,403.0,27.0
2004-04-15,413.0,10.0
2004-04-22,418.0,5.0
2004-04-29,425.0,7.0
2004-05-06,436.0,11.0
2004-05-13,458.0,22.0
2004-05-20,454.0,-4.0
2004-05-27,456.0,2.0
2004-06-03,452.0,-4.0
2004-06-10,454.0,2.0
2004-06-17,456.0,2.0
2004-06-24,449.0,-7.0
2004-07-01,445.0,-4.0
2004-07-08,425.0,-20.0
2004-07-15,424.0,-1.0
2004-07-22,422.0,-2.0
2004-07-29,432.0,10.0
2004-08-05,423.0,-9.0
2004-08-12,409.0,-14.0
2004-08-19,405.0,-4.0
2004-08-26,406.0,1.0
2004-09-02,401.0,-5.0
2004-09-09,407.0,6.0
2004-09-16,399.0,-8.0
2004-09-23,394.0,-5.0
2004-09-30,396.0,2.0
2004-10-07,406.0,10.0
2004-10-14,398.0,-8.0
2004-10-21,393.0,-5.0
2004-10-28,388.0,-5.0
2004-11-04,394.0,6.0
2004-11-11,400.0,6.0
2004-11-18,398.0,-2.0
2004-11-24,396.0,-2.0
2004-12-02,405.0,9.0
2004-12-09,395.0,-10.0
2004-12-16,392.0,-3.0
2004-12-22,399.0,7.0
2004-12-29,405.0,6.0
