date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,3790.55,,,,,,,100.0,-84.9618
2000-01-04,3546.2,-6.4463,,,,,,93.5537,-85.9312
2000-01-05,3507.3101,-1.0967,,,,,,92.5277,-86.0855
2000-01-06,3340.8101,-4.7472,,,,,,88.1352,-86.7461
2000-01-07,3529.6001,5.651,,,,,,93.1158,-85.9971
2000-01-10,3717.4099,5.321,-1.9295,,,,,98.0705,-85.252
2000-01-11,3544.3501,-4.6554,-0.0522,,,,,93.5049,-85.9386
2000-01-12,3478.1399,-1.868,-0.8317,,,,,91.7582,-86.2012
2000-01-13,3612.0801,3.8509,8.1199,,,,,95.2917,-85.6699
2000-01-14,3704.74,2.5653,4.962,,,,,97.7362,-85.3022
2000-01-18,3757.78,1.4317,1.086,,,,,99.1355,-85.0918
2000-01-19,3790.8899,0.8811,6.9559,,,,,100.009,-84.9605
2000-01-20,3841.74,1.3414,10.4539,,,,,101.3505,-84.7587
2000-01-21,3849.96,0.214,6.5857,,,,,101.5673,-84.7261
2000-01-24,3660.96,-4.9091,-1.1817,,,,,96.5812,-85.4759
2000-01-25,3759.1101,2.681,0.0354,,,,,99.1706,-85.0865
2000-01-26,3621.21,-3.6684,-4.476,,,,,95.5326,-85.6336
2000-01-27,3593.1499,-0.7749,-6.4708,,,,,94.7923,-85.745
2000-01-28,3446.1299,-4.0917,-10.4892,,,,,90.9137,-86.3282
2000-01-31,3570.05,3.5959,-2.4832,,,,,94.1829,-85.8366
2000-02-01,3701.78,3.6899,-1.5251,,,,,97.6581,-85.314
2000-02-02,3724.46,0.6127,2.8513,-1.7435,,,,98.2565,-85.224
2000-02-03,3851.1599,3.4018,7.1806,8.5996,,,,101.599,-84.7214
2000-02-04,3874.3701,0.6027,12.4267,10.4656,,,,102.2113,-84.6293
2000-02-07,3933.3401,1.5221,10.176,17.7361,,,,103.767,-84.3953
2000-02-08,4062.77,3.2906,9.7518,15.1057,,,,107.1815,-83.8818
2000-02-09,3968.46,-2.3213,6.5513,6.7534,,,,104.6935,-84.256
