date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-08-30,4.805,,,,,,,100.0,32.8082
2000-08-31,4.78,-0.5203,,,,,,99.4797,32.1172
2000-09-01,4.835,1.1506,,,,,,100.6244,33.6374
2000-09-05,4.96,2.5853,,,,,,103.2258,37.0923
2000-09-06,5.065,2.1169,,,,,,105.411,39.9945
2000-09-07,4.998,-1.3228,4.0167,,,,,104.0167,38.1426
2000-09-08,4.88,-2.3609,2.092,,,,,101.5609,34.8812
2000-09-11,5.015,2.7664,3.7229,,,,,104.3704,38.6125
2000-09-12,5.005,-0.1994,0.9073,,,,,104.1623,38.3361
2000-09-13,5.055,0.999,-0.1974,,,,,105.2029,39.7181
2000-09-14,5.195,2.7695,3.9416,,,,,108.1166,43.5876
2000-09-15,5.205,0.1925,6.6598,,,,,108.3247,43.864
2000-09-18,5.295,1.7291,5.5833,,,,,110.1977,46.3516
2000-09-19,5.37,1.4164,7.2927,,,,,111.7586,48.4245
2000-09-20,5.32,-0.9311,5.2423,,,,,110.718,47.0426
2000-09-21,5.287,-0.6203,1.7709,,,,,110.0312,46.1305
2000-09-22,5.131,-2.9506,-1.4217,,,,,106.7846,41.8187
2000-09-25,5.276,2.826,-0.3588,,,,,109.8023,45.8264
2000-09-26,5.36,1.5921,-0.1862,,,,,111.5505,48.1482
2000-09-27,5.33,-0.5597,0.188,,,,,110.9261,47.319
2000-09-28,5.14,-3.5647,-2.7804,,,,,106.9719,42.0674
2000-09-29,5.2,1.1673,1.3448,8.2206,,,,108.2206,43.7258
2000-10-02,5.352,2.9231,1.4405,11.9665,,,,111.384,47.927
2000-10-03,5.348,-0.0747,-0.2239,10.6101,,,,111.3007,47.8165
2000-10-04,5.29,-1.0845,-0.7505,6.6532,,,,110.0937,46.2134
2000-10-05,5.152,-2.6087,0.2335,1.7177,,,,107.2216,42.3991
2000-10-06,5.0,-2.9503,-3.8462,0.04,,,,104.0583,38.1979
2000-10-09,5.15,3.0,-3.7743,5.5328,,,,107.18,42.3438
2000-10-10,5.134,-0.3107,-4.0015,2.3729,,,,106.847,41.9016
2000-10-11,5.585,8.7846,5.5766,11.5884,,,,116.2331,54.3671
2000-10-12,5.625,0.7162,9.1809,11.276,,,,117.0656,55.4726
2000-10-13,5.535,-1.6,10.7,6.5447,,,,115.1925,52.9851
2000-10-16,5.355,-3.252,3.9806,2.8818,,,,111.4464,48.0099
2000-10-17,5.46,1.9608,6.3498,3.1161,,,,113.6316,50.9121
2000-10-18,5.21,-4.5788,-6.7144,-2.9795,,,,108.4287,44.0022
2000-10-19,4.96,-4.7985,-11.8222,-6.7669,,,,103.2258,37.0923
2000-10-20,4.937,-0.4637,-10.804,-6.62,,,,102.7471,36.4566
2000-10-23,5.072,2.7345,-5.2848,-1.1499,,,,105.5567,40.1879
2000-10-24,4.82,-4.9685,-11.7216,-8.6429,,,,100.3122,33.2228
2000-10-25,4.65,-3.527,-10.7486,-13.2463,,,,96.7742,28.524
2000-10-26,4.655,0.1075,-6.1492,-12.6642,,,,96.8783,28.6622
2000-10-27,4.53,-2.6853,-8.2439,-11.8677,,,,94.2768,25.2073
2000-10-30,4.48,-1.1038,-11.6719,-13.8462,,,,93.2362,23.8253
2000-10-31,4.5,0.4464,-6.639,-15.9193,,,,93.6524,24.3781
2000-11-01,4.686,4.1333,0.7742,-12.3785,,,,97.5234,29.5191
2000-11-02,4.76,1.5792,2.2556,-10.0189,,,,99.0635,31.5644
2000-11-03,4.91,3.1513,8.3885,-4.6972,,,,102.1852,35.7103
2000-11-06,4.849,-1.2424,8.2366,-3.02,,,,100.9157,34.0243
2000-11-07,5.08,4.7639,12.8889,-1.3592,,,,105.7232,40.4091
2000-11-08,5.34,5.1181,13.9565,4.0125,,,,111.1342,47.5954
