date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2007-09-17,4494.6499,,,,,,,100.0,-82.8098
2007-09-18,4546.2002,1.1469,,,,,,101.1469,-82.6126
2007-09-19,4732.3501,4.0946,,,,,,105.2885,-81.9007
2007-09-20,4747.5498,0.3212,,,,,,105.6267,-81.8425
2007-09-21,4837.5498,1.8957,,,,,,107.6291,-81.4983
2007-09-24,4932.2002,1.9566,9.7349,,,,,109.7349,-81.1363
2007-09-25,4938.8501,0.1348,8.6369,,,,,109.8829,-81.1109
2007-09-26,4940.5,0.0334,4.3984,,,,,109.9196,-81.1046
2007-09-27,5000.5498,1.2155,5.3291,,,,,111.2556,-80.8749
2007-09-28,5021.3501,0.416,3.7995,,,,,111.7184,-80.7954
2007-10-01,5068.9502,0.948,2.7726,,,,,112.7774,-80.6133
2007-10-03,5210.7998,2.7984,5.5063,,,,,115.9334,-80.0708
2007-10-04,5208.6499,-0.0413,5.4276,,,,,115.8856,-80.079
2007-10-05,5185.8501,-0.4377,3.7056,,,,,115.3783,-80.1662
2007-10-08,5085.1001,-1.9428,1.2696,,,,,113.1367,-80.5515
2007-10-09,5327.25,4.7619,5.0957,,,,,118.5242,-79.6254
2007-10-10,5441.4502,2.1437,4.4264,,,,,121.0651,-79.1887
2007-10-11,5524.8501,1.5327,6.0707,,,,,122.9206,-78.8697
2007-10-12,5428.25,-1.7485,4.6743,,,,,120.7714,-79.2391
2007-10-15,5670.3999,4.4609,11.5101,,,,,126.1589,-78.313
2007-10-16,5668.0498,-0.0414,6.3973,,,,,126.1066,-78.322
2007-10-17,5559.2998,-1.9186,2.1658,23.687,,,,123.687,-78.7379
2007-10-18,5351.0,-3.7469,-3.1467,17.7027,,,,119.0527,-79.5346
2007-10-19,5215.2998,-2.536,-3.923,10.2053,,,,116.0335,-80.0536
2007-10-22,5184.0,-0.6002,-8.5779,9.1932,,,,115.3371,-80.1733
2007-10-23,5473.7002,5.5884,-3.4289,13.1503,,,,121.7826,-79.0653
2007-10-24,5496.1499,0.4101,-1.1359,11.434,,,,122.282,-78.9794
2007-10-25,5568.9502,1.3246,4.0731,12.758,,,,123.9018,-78.701
2007-10-26,5702.2998,2.3945,9.3379,15.4195,,,,126.8686,-78.191
2007-10-29,5905.8999,3.5705,13.9255,18.105,,,,131.3984,-77.4123
