date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-04,19002.8594,,,,,,,100.0,-63.3382
2000-01-05,18542.5508,-2.4223,,,,,,97.5777,-64.2262
2000-01-06,18168.2695,-2.0185,,,,,,95.6081,-64.9483
2000-01-07,18193.4102,0.1384,,,,,,95.7404,-64.8998
2000-01-11,18850.9199,3.614,,,,,,99.2004,-63.6313
2000-01-12,18677.4199,-0.9204,-1.7126,,,,,98.2874,-63.966
2000-01-13,18833.2891,0.8345,1.568,,,,,99.1077,-63.6653
2000-01-14,18956.5508,0.6545,4.3388,,,,,99.7563,-63.4275
2000-01-17,19437.2305,2.5357,6.8367,,,,,102.2858,-62.5001
2000-01-18,19196.5703,-1.2381,1.8336,,,,,101.0194,-62.9644
2000-01-19,18897.75,-1.5566,1.1797,,,,,99.4469,-63.5409
2000-01-20,19008.0098,0.5835,0.9277,,,,,100.0271,-63.3282
2000-01-21,18878.0898,-0.6835,-0.4139,,,,,99.3434,-63.5789
2000-01-24,19056.7109,0.9462,-1.9577,,,,,100.2834,-63.2343
2000-01-25,18895.5293,-0.8458,-1.5682,,,,,99.4352,-63.5452
2000-01-26,19111.1895,1.1413,1.1294,,,,,100.5701,-63.1292
2000-01-27,19209.7207,0.5156,1.0612,,,,,101.0886,-62.9391
2000-01-28,19434.7793,1.1716,2.9489,,,,,102.2729,-62.5049
2000-01-31,19539.6992,0.5399,2.5345,,,,,102.825,-62.3024
2000-02-01,19423.3809,-0.5953,2.7935,,,,,102.2129,-62.5269
2000-02-02,19578.9102,0.8007,2.4474,,,,,103.0314,-62.2268
2000-02-03,19786.4199,1.0599,3.0021,4.1234,,,,104.1234,-61.8265
2000-02-04,19763.1309,-0.1177,1.6895,6.5826,,,,104.0008,-61.8714
2000-02-07,19945.4297,0.9224,2.0764,9.7817,,,,104.9601,-61.5197
2000-02-08,19868.8809,-0.3838,2.2936,9.2092,,,,104.5573,-61.6674
2000-02-09,20007.7695,0.699,2.1904,6.1368,,,,105.2882,-61.3994
2000-02-10,19710.0195,-1.4882,-0.3861,5.5286,,,,103.7213,-61.9738
2000-02-14,19556.4609,-0.7791,-1.0457,3.8399,,,,102.9133,-62.2701
2000-02-15,19367.8301,-0.9645,-2.8959,2.1696,,,,101.9206,-62.634
2000-02-16,19599.1797,1.1945,-1.3574,0.8332,,,,103.1381,-62.1877
2000-02-17,19791.4004,0.9808,-1.0814,3.0986,,,,104.1496,-61.8168
2000-02-18,19789.0293,-0.012,0.4009,4.7163,,,,104.1371,-61.8214
2000-02-21,19543.75,-1.2395,-0.065,2.8185,,,,102.8464,-62.2946
2000-02-22,19390.5801,-0.7837,0.1175,2.7147,,,,102.0403,-62.5901
2000-02-23,19519.5508,0.6651,-0.4063,2.4287,,,,102.719,-62.3413
2000-02-24,19571.4395,0.2658,-1.1114,3.5771,,,,102.9921,-62.2412
2000-02-25,19817.8809,1.2592,0.1458,3.6978,,,,104.2889,-61.7658
2000-02-28,19720.0996,-0.4934,0.9023,2.6569,,,,103.7744,-61.9544
2000-02-29,19959.5195,1.2141,2.9341,2.7,,,,105.0343,-61.4925
2000-03-01,20081.6699,0.612,2.8798,2.7737,,,,105.6771,-61.2568
2000-03-02,20065.1094,-0.0825,2.5224,3.3039,,,,105.5899,-61.2888
2000-03-03,19927.5391,-0.6856,0.5533,1.7806,,,,104.866,-61.5542
2000-03-06,19796.3496,-0.6583,0.3867,0.0502,,,,104.1756,-61.8073
2000-03-07,19944.2402,0.7471,-0.0766,0.9164,,,,104.9539,-61.522
2000-03-08,19766.8008,-0.8897,-1.5679,-0.8956,,,,104.0201,-61.8643
2000-03-09,19662.3301,-0.5285,-2.0074,-1.0396,,,,103.4704,-62.0659
2000-03-10,19750.4004,0.4479,-0.8889,-1.2863,,,,103.9338,-61.8959
2000-03-13,19189.9297,-2.8378,-3.0633,-2.6387,,,,100.9844,-62.9772
2000-03-14,19141.8398,-0.2506,-4.0232,-2.1201,,,,100.7314,-63.07
2000-03-15,19078.5996,-0.3304,-3.4816,-1.4934,,,,100.3986,-63.192
2000-03-16,19253.2305,0.9153,-2.0806,-1.7651,,,,101.3175,-62.8551
2000-03-17,19566.3203,1.6262,-0.932,-1.1373,,,,102.9651,-62.2511
2000-03-21,19602.3594,0.1842,2.1492,-0.9433,,,,103.1548,-62.1816
2000-03-22,19733.5898,0.6695,3.0914,0.9714,,,,103.8454,-61.9284
2000-03-23,19704.5996,-0.1469,3.2812,1.6194,,,,103.6928,-61.9843
2000-03-24,19958.0801,1.2864,3.6609,2.2466,,,,105.0267,-61.4953
2000-03-27,20281.0293,1.6181,3.6528,3.6256,,,,106.7262,-60.8722
2000-03-28,20374.3398,0.4601,3.9382,2.8079,,,,107.2172,-60.6922
2000-03-29,20706.6504,1.631,4.931,5.0028,,,,108.966,-60.0511
2000-03-30,20441.5,-1.2805,3.7397,2.4148,,,,107.5707,-60.5626
2000-03-31,20337.3203,-0.5096,1.9002,1.2731,,,,107.0224,-60.7636
2000-04-03,20726.9902,1.916,2.1989,3.2987,,,,109.073,-60.0118
2000-04-04,20594.9297,-0.6371,1.0827,3.3491,,,,108.3781,-60.2666
2000-04-05,20462.7695,-0.6417,-1.1778,3.3664,7.6826,,,107.6826,-60.5216
2000-04-06,20223.6094,-1.1688,-1.0659,1.4008,9.066,,,106.424,-60.983
2000-04-07,20252.8105,0.1444,-0.4155,2.4587,11.4735,,,106.5777,-60.9267
2000-04-10,20619.0605,1.8084,-0.5207,4.8658,13.3326,,,108.505,-60.2201
