date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,101.6217,,,,
2000-02-01,101.6316,0.0099,,,
2000-03-01,101.5969,-0.0347,,,
2000-04-01,101.5161,-0.0808,-0.1056,,
2000-05-01,101.3874,-0.1287,-0.2442,,
2000-06-01,101.2176,-0.1698,-0.3793,,
2000-07-01,101.0076,-0.21,-0.5085,-0.6141,
2000-08-01,100.7715,-0.2361,-0.6159,-0.8601,
2000-09-01,100.5196,-0.2519,-0.698,-1.0773,
2000-10-01,100.265,-0.2546,-0.7426,-1.2511,
2000-11-01,100.0188,-0.2462,-0.7527,-1.3686,
2000-12-01,99.7871,-0.2317,-0.7325,-1.4305,
2001-01-01,99.5675,-0.2195,-0.6975,-1.4401,-2.0542
2001-02-01,99.3747,-0.1928,-0.6441,-1.3968,-2.2569
2001-03-01,99.211,-0.1637,-0.5761,-1.3086,-2.3859
2001-04-01,99.0668,-0.1442,-0.5007,-1.1982,-2.4493
2001-05-01,98.9406,-0.1262,-0.4341,-1.0782,-2.4468
2001-06-01,98.8066,-0.134,-0.4044,-0.9805,-2.411
2001-07-01,98.6688,-0.1378,-0.398,-0.8987,-2.3388
2001-08-01,98.5344,-0.1344,-0.4062,-0.8403,-2.2371
2001-09-01,98.42,-0.1144,-0.3867,-0.791,-2.0996
2001-10-01,98.3472,-0.0728,-0.3217,-0.7197,-1.9179
2001-11-01,98.3307,-0.0165,-0.2037,-0.6099,-1.6881
2001-12-01,98.3775,0.0468,-0.0425,-0.4291,-1.4096
2002-01-01,98.484,0.1066,0.1369,-0.1848,-1.0835
2002-02-01,98.6467,0.1627,0.316,0.1124,-0.7279
2002-03-01,98.8417,0.195,0.4642,0.4218,-0.3693
2002-04-01,99.035,0.1933,0.5509,0.6878,-0.0319
2002-05-01,99.1985,0.1635,0.5518,0.8678,0.2579
2002-06-01,99.3152,0.1167,0.4735,0.9377,0.5086
2002-07-01,99.3856,0.0704,0.3506,0.9015,0.7168
2002-08-01,99.4073,0.0217,0.2088,0.7606,0.8729
2002-09-01,99.3878,-0.0195,0.0726,0.5461,0.9679
2002-10-01,99.3428,-0.045,-0.0428,0.3078,0.9956
2002-11-01,99.2926,-0.0502,-0.1147,0.0941,0.9619
2002-12-01,99.2516,-0.041,-0.1363,-0.0637,0.8741
2003-01-01,99.2314,-0.0202,-0.1114,-0.1542,0.7474
2003-02-01,99.2436,0.0122,-0.0489,-0.1637,0.5969
2003-03-01,99.2887,0.0451,0.0371,-0.0991,0.447
2003-04-01,99.368,0.0793,0.1366,0.0252,0.333
2003-05-01,99.4783,0.1102,0.2346,0.1857,0.2798
2003-06-01,99.6092,0.131,0.3205,0.3577,0.294
2003-07-01,99.7509,0.1417,0.3829,0.5195,0.3653
2003-08-01,99.9012,0.1503,0.423,0.6576,0.4939
2003-09-01,100.0573,0.1561,0.4481,0.7686,0.6695
2003-10-01,100.2088,0.1515,0.4579,0.8408,0.866
2003-11-01,100.3526,0.1438,0.4514,0.8743,1.06
2003-12-01,100.4852,0.1326,0.4279,0.876,1.2336
2004-01-01,100.5943,0.1091,0.3855,0.8434,1.3629
2004-02-01,100.6593,0.065,0.3067,0.7581,1.4157
2004-03-01,100.6713,0.012,0.1861,0.614,1.3826
2004-04-01,100.6342,-0.0371,0.0399,0.4254,1.2662
2004-05-01,100.5676,-0.0666,-0.0917,0.215,1.0893
2004-06-01,100.5,-0.0676,-0.1713,0.0148,0.8908
2004-07-01,100.4457,-0.0543,-0.1885,-0.1486,0.6948
2004-08-01,100.4046,-0.0411,-0.163,-0.2547,0.5034
2004-09-01,100.3742,-0.0304,-0.1258,-0.2971,0.3169
2004-10-01,100.3423,-0.0319,-0.1034,-0.2919,0.1335
2004-11-01,100.3024,-0.0399,-0.1022,-0.2652,-0.0502
2004-12-01,100.249,-0.0534,-0.1252,-0.251,-0.2362
2005-01-01,100.1827,-0.0663,-0.1596,-0.263,-0.4116
2005-02-01,100.1101,-0.0726,-0.1923,-0.2945,-0.5492
2005-03-01,100.0422,-0.0679,-0.2068,-0.332,-0.6291
2005-04-01,99.9935,-0.0487,-0.1892,-0.3488,-0.6407
2005-05-01,99.9688,-0.0247,-0.1413,-0.3336,-0.5988
2005-06-01,99.9659,-0.0028,-0.0763,-0.2831,-0.5341
2005-07-01,99.9749,0.009,-0.0186,-0.2078,-0.4708
2005-08-01,99.9825,0.0076,0.0137,-0.1276,-0.4221
2005-09-01,99.9846,0.0021,0.0187,-0.0576,-0.3896
2005-10-01,99.9906,0.006,0.0157,-0.0029,-0.3517
2005-11-01,100.0096,0.019,0.0271,0.0408,-0.2928
2005-12-01,100.0482,0.0386,0.0636,0.0823,-0.2008
2006-01-01,100.1016,0.0534,0.111,0.1267,-0.0811
2006-02-01,100.1608,0.0592,0.1512,0.1783,0.0507
2006-03-01,100.2178,0.057,0.1696,0.2332,0.1756
2006-04-01,100.2716,0.0538,0.17,0.281,0.2781
2006-05-01,100.3163,0.0447,0.1555,0.3067,0.3475
2006-06-01,100.362,0.0457,0.1442,0.3138,0.3961
2006-07-01,100.4218,0.0598,0.1502,0.3202,0.4469
2006-08-01,100.5153,0.0935,0.199,0.3545,0.5328
2006-09-01,100.6536,0.1383,0.2916,0.4358,0.669
2006-10-01,100.8372,0.1836,0.4154,0.5656,0.8466
2006-11-01,101.0569,0.2197,0.5416,0.7406,1.0473
2006-12-01,101.3,0.2431,0.6464,0.938,1.2518
2007-01-01,101.5575,0.2575,0.7203,1.1357,1.4559
2007-02-01,101.8342,0.2767,0.7773,1.3189,1.6734
2007-03-01,102.1146,0.2804,0.8146,1.461,1.8968
2007-04-01,102.3963,0.2817,0.8388,1.5591,2.1247
2007-05-01,102.6605,0.2642,0.8263,1.6036,2.3442
2007-06-01,102.8901,0.2296,0.7755,1.5901,2.5281
2007-07-01,103.0824,0.1923,0.6861,1.5249,2.6606
2007-08-01,103.2319,0.1495,0.5714,1.3977,2.7166
2007-09-01,103.3062,0.0743,0.4161,1.1916,2.6526
2007-10-01,103.256,-0.0502,0.1736,0.8597,2.4188
2007-11-01,103.0532,-0.2028,-0.1787,0.3927,1.9963
2007-12-01,102.7036,-0.3496,-0.6026,-0.1865,1.4036
2008-01-01,102.2236,-0.48,-1.0324,-0.8588,0.6661
2008-02-01,101.6328,-0.5908,-1.4204,-1.5991,-0.2014
2008-03-01,100.9757,-0.6571,-1.7279,-2.3305,-1.1389
2008-04-01,100.2815,-0.6942,-1.9421,-2.9745,-2.1148
2008-05-01,99.5671,-0.7144,-2.0657,-3.4861,-3.0934
2008-06-01,98.8434,-0.7237,-2.1323,-3.8602,-4.0467
2008-07-01,98.1265,-0.7169,-2.155,-4.0971,-4.9559
2008-08-01,97.4415,-0.685,-2.1256,-4.1913,-5.7904
2008-09-01,96.8232,-0.6183,-2.0202,-4.1525,-6.483
2008-10-01,96.3215,-0.5017,-1.8049,-3.96,-6.9345
2008-11-01,95.9943,-0.3272,-1.4472,-3.5728,-7.0589
2008-12-01,95.8753,-0.119,-0.948,-2.9681,-6.8283
2009-01-01,95.9718,0.0966,-0.3497,-2.1546,-6.2518
2009-02-01,96.2917,0.3198,0.2974,-1.1498,-5.3411
